ngram,AES,AES,AE,A
1500,0.0,0.0,5.092118271932122e-06,0.0005285027000354603
1501,0.0,0.0,4.0736946175456975e-06,0.0004228021600283682
1502,0.0,0.0,3.3947455146214147e-06,0.0004189295480803897
1503,0.0,0.0,2.9097818696754985e-06,0.0006268224762087422
1504,0.0,0.0,3.702229410659389e-07,0.0006401298783852585
1505,0.0,0.0,0.0,0.0006966561444901995
1506,0.0,0.0,0.0,0.0010083555077601755
1507,0.0,0.0,0.0,0.0046713592185239705
1508,0.0,0.0,0.0,0.0046713592185239705
1509,0.0,0.0,0.0,0.004614278291618186
1510,0.0,0.0,0.0,0.004346538285192635
1511,0.0,0.0,0.0,0.00416441704146564
1512,0.0,0.0,0.0,0.003974703074033771
1513,0.0,0.0,0.0,0.0036630037107637952
1514,0.0,0.0,0.0,4.970503921088364e-05
1515,0.0,0.0,0.0,4.970503921088364e-05
1516,0.0,0.0,0.0,4.970503921088364e-05
1517,0.0,0.0,0.0,0.0002271514926438353
1518,0.0,0.0,0.0,0.0002271514926438353
1519,0.0,0.0,0.0,0.0002271514926438353
1520,0.0,0.0,0.0,0.000339464089068185
1521,0.0,0.0,0.0,0.0009246797001521502
1522,0.0,0.0,0.0,0.0009818073220750584
1523,0.0,0.0,0.0,0.0011105607305320778
1524,0.0,0.0,0.0,0.0011086119214139347
1525,0.0,0.0,0.0,0.0012140415450890682
1526,0.0,0.0,6.356494850479066e-07,0.0015464862184931657
1527,0.0,0.0,6.356494850479066e-07,0.002130754612153396
1528,0.0,0.0,1.6808819184786574e-06,0.001591995345994032
1529,0.0,0.0,1.6808819184786574e-06,0.0015348677240711237
1530,0.0,0.0,3.867727368092996e-06,0.0014782802151915217
1531,0.0,0.0,3.867727368092996e-06,0.001400444989225694
1532,0.0,0.0,3.867727368092996e-06,0.001511004420795611
1533,0.0,0.0,3.232077883045089e-06,0.0012583771271498076
1534,0.0,0.0,3.232077883045089e-06,0.0006109526106489024
1535,0.0,0.0,2.1868454496143386e-06,0.0006236024907723602
1536,0.0,0.0,2.1868454496143386e-06,0.0007671743639678295
1537,0.0,0.0,0.0,0.000695008464390412
1538,0.0,0.0,0.0,0.0006513455009553581
1539,0.0,0.0,6.640889166322138e-06,0.0008138871177964445
1540,0.0,0.0,6.640889166322138e-06,0.0007340697380381503
1541,0.0,0.0,6.640889166322138e-06,0.0007872709039864796
1542,0.0,0.0,6.640889166322138e-06,0.0009267262898252479
1543,0.0,0.0,6.640889166322138e-06,0.0008287883870902338
1544,0.0,0.0,6.640889166322138e-06,0.0009235188439821026
1545,0.0,0.0,6.640889166322138e-06,0.0008973830803630076
1546,0.0,0.0,0.0,0.0005473824400853898
1547,0.0,0.0,0.0,0.0005965395581110247
1548,0.0,0.0,0.0,0.0005976221125040736
1549,0.0,0.0,0.0,0.00043060352826224905
1550,0.0,0.0,0.0,0.0005427505031028497
1551,0.0,0.0,0.0,0.0004669096233556047
1552,0.0,0.0,0.0,0.0005003403660209317
1553,0.0,0.0,0.0,0.0004718103342124128
1554,0.0,0.0,0.0,0.00063555507014306
1555,0.0,0.0,0.0,0.001199809233574862
1556,0.0,0.0,0.0,0.0013694123543765663
1557,0.0,0.0,0.0,0.0012770464672939852
1558,0.0,0.0,0.0,0.001454586907389707
1559,0.0,0.0,0.0,0.0017646447106796717
1560,0.0,0.0,0.0,0.0018467550232474292
1561,0.0,0.0,0.0,0.0017870183302355663
1562,0.0,0.0,0.0,0.0011602114079453582
1563,0.0,0.0,0.0,0.0009193618991827991
1564,0.0,0.0,0.0,0.0011338592999631406
1565,0.0,0.0,0.0,0.000992066518977351
1566,0.0,0.0,0.0,0.0008072739926449556
1567,0.0,0.0,0.0,0.0008684671161712945
1568,0.0,0.0,0.0,0.000800593316463554
1569,0.0,0.0,0.0,0.000851058639195149
1570,0.0,0.0,0.0,0.0008561670838389546
1571,0.0,0.0,0.0,0.0007037509141290295
1572,0.0,0.0,0.0,0.0006990299152676016
1573,0.0,0.0,0.0,0.0007112988761426615
1574,0.0,0.0,0.0,0.0007292300620715
1575,0.0,0.0,0.0,0.0008300160864434604
1576,0.0,0.0,0.0,0.0009387654510127115
1577,0.0,0.0,0.0,0.0010792953627450125
1578,0.0,0.0,0.0,0.0010353959265298077
1579,0.0,0.0,0.0,0.0010993085369201644
1580,0.0,0.0,0.0,0.0009787262700098967
1581,0.0,0.0,0.0,0.0008898751444316336
1582,0.0,0.0,0.0,0.0007880130184016057
1583,0.0,0.0,0.0,0.0008969512335690004
1584,0.0,0.0,0.0,0.0007772756632350918
1585,0.0,0.0,0.0,0.000774072711854907
1586,0.0,0.0,0.0,0.0012317644640071584
1587,0.0,0.0,0.0,0.001239345787325874
1588,0.0,0.0,6.695058151048475e-07,0.0012519895306987955
