ngram,Archer Daniels Midland
1500,0.0
1501,0.0
1502,0.0
1503,0.0
1504,0.0
1505,0.0
1506,0.0
1507,0.0
1508,0.0
1509,0.0
1510,0.0
1511,0.0
1512,0.0
1513,0.0
1514,0.0
1515,0.0
1516,0.0
1517,0.0
1518,0.0
1519,0.0
1520,0.0
1521,0.0
1522,0.0
1523,0.0
1524,0.0
1525,0.0
1526,0.0
1527,0.0
1528,0.0
1529,0.0
1530,0.0
1531,0.0
1532,0.0
1533,0.0
1534,0.0
1535,0.0
1536,0.0
1537,0.0
1538,0.0
1539,0.0
1540,0.0
1541,0.0
1542,0.0
1543,0.0
1544,0.0
1545,0.0
1546,0.0
1547,0.0
1548,0.0
1549,0.0
1550,0.0
1551,0.0
1552,0.0
1553,0.0
1554,0.0
1555,0.0
1556,0.0
1557,0.0
1558,0.0
1559,0.0
1560,0.0
1561,0.0
1562,0.0
1563,0.0
1564,0.0
1565,0.0
1566,0.0
1567,0.0
1568,0.0
1569,0.0
1570,0.0
1571,0.0
1572,0.0
1573,0.0
1574,0.0
1575,0.0
1576,0.0
1577,0.0
1578,0.0
1579,0.0
1580,0.0
1581,0.0
1582,0.0
1583,0.0
1584,0.0
1585,0.0
1586,0.0
1587,0.0
1588,0.0
1589,0.0
1590,0.0
1591,0.0
1592,0.0
1593,0.0
1594,0.0
1595,0.0
1596,0.0
1597,0.0
1598,0.0
1599,0.0
1600,0.0
1601,0.0
1602,0.0
1603,0.0
1604,0.0
1605,0.0
1606,0.0
1607,0.0
1608,0.0
1609,0.0
1610,0.0
1611,0.0
1612,0.0
1613,0.0
1614,0.0
1615,0.0
1616,0.0
1617,0.0
1618,0.0
1619,0.0
1620,0.0
1621,0.0
1622,0.0
1623,0.0
1624,0.0
1625,0.0
1626,0.0
1627,0.0
1628,0.0
1629,0.0
1630,0.0
1631,0.0
1632,0.0
1633,0.0
1634,0.0
1635,0.0
1636,0.0
1637,0.0
1638,0.0
1639,0.0
1640,0.0
1641,0.0
1642,0.0
1643,0.0
1644,0.0
1645,0.0
1646,0.0
1647,0.0
1648,0.0
1649,0.0
1650,0.0
1651,0.0
1652,0.0
1653,0.0
1654,0.0
1655,0.0
1656,0.0
1657,0.0
1658,0.0
1659,0.0
1660,0.0
1661,0.0
1662,0.0
1663,0.0
1664,0.0
1665,0.0
1666,0.0
1667,0.0
1668,0.0
1669,0.0
1670,0.0
1671,0.0
1672,0.0
1673,0.0
1674,0.0
1675,0.0
1676,0.0
1677,0.0
1678,0.0
1679,0.0
1680,0.0
1681,0.0
1682,0.0
1683,0.0
1684,0.0
1685,0.0
1686,0.0
1687,0.0
1688,0.0
1689,0.0
1690,0.0
1691,0.0
1692,0.0
1693,0.0
1694,0.0
1695,0.0
1696,0.0
1697,0.0
1698,0.0
1699,0.0
1700,0.0
1701,0.0
1702,0.0
1703,0.0
1704,0.0
1705,0.0
1706,0.0
1707,0.0
1708,0.0
1709,0.0
1710,0.0
1711,0.0
1712,0.0
1713,0.0
1714,0.0
1715,0.0
1716,0.0
1717,0.0
1718,0.0
1719,0.0
1720,0.0
1721,0.0
1722,0.0
1723,0.0
1724,0.0
1725,0.0
1726,0.0
1727,0.0
1728,0.0
1729,0.0
1730,0.0
1731,0.0
1732,0.0
1733,0.0
1734,0.0
1735,0.0
1736,0.0
1737,0.0
1738,0.0
1739,0.0
1740,0.0
1741,0.0
1742,6.377372281057043e-09
1743,6.377372281057043e-09
1744,6.377372281057043e-09
1745,6.377372281057043e-09
1746,6.377372281057043e-09
1747,6.377372281057043e-09
1748,6.377372281057043e-09
1749,0.0
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,0.0
1767,0.0
1768,0.0
1769,0.0
1770,0.0
1771,0.0
1772,0.0
1773,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,0.0
1787,0.0
1788,0.0
1789,0.0
1790,0.0
1791,0.0
1792,0.0
1793,0.0
1794,0.0
1795,0.0
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,3.803454376846308e-10
1817,3.803454376846308e-10
1818,3.803454376846308e-10
1819,3.803454376846308e-10
1820,3.803454376846308e-10
1821,3.803454376846308e-10
1822,3.803454376846308e-10
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,7.027427845989515e-11
1830,7.027427845989515e-11
1831,7.027427845989515e-11
1832,7.027427845989515e-11
1833,7.027427845989515e-11
1834,7.027427845989515e-11
1835,7.027427845989515e-11
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.0
1851,0.0
1852,0.0
1853,0.0
1854,0.0
1855,0.0
1856,0.0
1857,0.0
1858,0.0
1859,0.0
1860,0.0
1861,0.0
1862,0.0
1863,0.0
1864,4.709512145341575e-11
1865,4.709512145341575e-11
1866,4.709512145341575e-11
1867,4.709512145341575e-11
1868,4.709512145341575e-11
1869,4.709512145341575e-11
1870,4.709512145341575e-11
1871,0.0
1872,0.0
1873,0.0
1874,0.0
1875,0.0
1876,7.66639688240137e-11
1877,7.66639688240137e-11
1878,1.1294932846160423e-10
1879,1.1294932846160423e-10
1880,1.1294932846160423e-10
1881,1.1294932846160423e-10
1882,1.1294932846160423e-10
1883,3.6285359637590526e-11
1884,3.6285359637590526e-11
1885,0.0
1886,0.0
1887,0.0
1888,5.400568484478388e-11
1889,5.400568484478388e-11
1890,5.400568484478388e-11
1891,5.400568484478388e-11
1892,5.400568484478388e-11
1893,5.400568484478388e-11
1894,5.400568484478388e-11
1895,0.0
1896,0.0
1897,0.0
1898,0.0
1899,0.0
1900,3.6141209073089644e-11
1901,3.6141209073089644e-11
1902,3.6141209073089644e-11
1903,3.6141209073089644e-11
1904,5.199494902090913e-11
1905,5.199494902090913e-11
1906,5.199494902090913e-11
1907,1.5853739947819482e-11
1908,1.5853739947819482e-11
1909,1.5853739947819482e-11
1910,9.84970765663792e-11
1911,8.264333661855972e-11
1912,8.264333661855972e-11
1913,9.694125561811516e-11
1914,9.694125561811516e-11
1915,1.1287997818211691e-10
1916,2.1824301393857937e-10
1917,1.3559967732001965e-10
1918,1.643601554460591e-10
1919,3.0641761647861744e-10
1920,5.473378932625244e-10
1921,1.025235234010578e-09
1922,1.9994996690110766e-09
1923,2.483419287673578e-09
1924,3.851024998891006e-09
1925,4.673456019002994e-09
1926,5.5400089595179585e-09
1927,7.581366899346774e-09
1928,8.654514692198388e-09
1929,9.611317900290065e-09
1930,1.0573996598952005e-08
1931,1.070167250054916e-08
1932,1.0961713505151595e-08
1933,1.1041959600634397e-08
1934,1.0138391713456128e-08
1935,9.476239919743129e-09
1936,8.576105159363578e-09
1937,8.527785715679265e-09
1938,8.685675163227252e-09
1939,9.043190196678097e-09
1940,9.063443963595676e-09
1941,9.380307070776844e-09
1942,9.388103374062342e-09
1943,9.842964475227843e-09
1944,9.439659276466728e-09
1945,8.480956762265838e-09
1946,9.130366558045872e-09
1947,8.98156089184405e-09
1948,8.605489527318305e-09
1949,8.81420048060022e-09
1950,8.733745726630104e-09
1951,8.858042236222933e-09
1952,9.62218102021747e-09
1953,9.308285951549676e-09
1954,1.0162475813249979e-08
1955,1.0988319460685553e-08
1956,1.1445207448446126e-08
1957,1.1616895255274682e-08
1958,1.1879988040927207e-08
1959,1.5356831869642714e-08
1960,2.0074692130833682e-08
1961,2.717460796069255e-08
1962,3.475764108275468e-08
1963,4.291103574059564e-08
1964,5.1399570060490466e-08
1965,5.399322690534193e-08
1966,5.341034586032427e-08
1967,5.002808427840526e-08
1968,4.470942980918023e-08
1969,3.7776518167577574e-08
1970,3.084953879652273e-08
1971,2.522558695261523e-08
1972,2.4109350960088705e-08
1973,2.6360058516924515e-08
1974,2.9330825006874354e-08
1975,3.1387390972018436e-08
1976,3.446029341245906e-08
1977,3.8325484246521617e-08
1978,4.112211244538295e-08
1979,4.4073932059518484e-08
1980,4.405358922099367e-08
1981,4.6824047623366434e-08
1982,5.0903018689041346e-08
1983,5.487308588466736e-08
1984,5.686348864791009e-08
1985,6.008425300154028e-08
1986,6.410869701767297e-08
1987,6.814546082978268e-08
1988,6.890596588553827e-08
1989,7.097534242867759e-08
1990,7.056288962660671e-08
1991,7.678484641766253e-08
1992,7.910458370880796e-08
1993,8.168517544910564e-08
1994,8.356449196103963e-08
1995,8.913704821874749e-08
1996,9.012321657207525e-08
1997,9.360310469576558e-08
1998,9.421554279599929e-08
1999,9.397025227794334e-08
2000,9.385815604088878e-08
2001,9.169328864442963e-08
2002,8.867112707581068e-08
2003,9.152376126816567e-08
2004,9.102818714674348e-08
2005,8.878582795952233e-08
2006,8.585023688770629e-08
2007,8.117977705930051e-08
2008,7.782456330167925e-08
2009,7.131626793872264e-08
2010,6.175213787936887e-08
2011,5.4703437716138326e-08
2012,4.835018074800246e-08
2013,4.7244510272191424e-08
2014,4.385910250854457e-08
2015,4.0567594236254733e-08
2016,4.0428922685821685e-08
2017,4.0079177606363224e-08
2018,4.056875901881085e-08
2019,3.8665565416096115e-08
