ngram,BYD,BYD,BY,BY
1500,0.0,0.0,2.4590739485574886e-05,2.4590739485574886e-05
1501,0.0,0.0,1.9672591588459908e-05,1.9672591588459908e-05
1502,0.0,0.0,1.6393826323716592e-05,1.6393826323716592e-05
1503,0.0,0.0,2.297651787687625e-05,2.297651787687625e-05
1504,0.0,0.0,1.7763739119150807e-05,1.7763739119150807e-05
1505,0.0,0.0,1.0187322134567825e-05,1.0187322134567825e-05
1506,0.0,0.0,1.0187322134567825e-05,1.0187322134567825e-05
1507,0.0,0.0,1.0187322134567825e-05,1.0187322134567825e-05
1508,0.0,0.0,1.0187322134567825e-05,1.0187322134567825e-05
1509,0.0,0.0,1.0187322134567825e-05,1.0187322134567825e-05
1510,0.0,0.0,1.2626553923057924e-06,1.2626553923057924e-06
1511,0.0,0.0,1.2626553923057924e-06,1.2626553923057924e-06
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,0.0,0.0,8.569834660322937e-07,8.569834660322937e-07
1515,0.0,0.0,8.569834660322937e-07,8.569834660322937e-07
1516,0.0,0.0,8.569834660322937e-07,8.569834660322937e-07
1517,0.0,0.0,2.9820905963008826e-06,2.9820905963008826e-06
1518,0.0,0.0,2.9820905963008826e-06,2.9820905963008826e-06
1519,0.0,0.0,2.9820905963008826e-06,2.9820905963008826e-06
1520,0.0,0.0,1.0429875146655831e-05,1.0429875146655831e-05
1521,0.0,0.0,9.572891680623538e-06,9.572891680623538e-06
1522,0.0,0.0,9.572891680623538e-06,9.572891680623538e-06
1523,0.0,0.0,1.4501251696076776e-05,1.4501251696076776e-05
1524,0.0,0.0,1.2376144565808187e-05,1.2376144565808187e-05
1525,0.0,0.0,6.509095640337494e-05,6.509095640337494e-05
1526,0.0,0.0,6.763355434356657e-05,6.763355434356657e-05
1527,0.0,0.0,0.0006406698838483342,0.0006406698838483342
1528,0.0,0.0,0.0006950219690874551,0.0006950219690874551
1529,0.0,0.0,0.0006950219690874551,0.0006950219690874551
1530,0.0,0.0,0.000690093609072002,0.000690093609072002
1531,0.0,0.0,0.000690093609072002,0.000690093609072002
1532,0.0,0.0,0.0006418879633461724,0.0006418879633461724
1533,0.0,0.0,0.0006393453654059808,0.0006393453654059808
1534,0.0,0.0,6.167019273561891e-05,6.167019273561891e-05
1535,0.0,0.0,8.447636251470872e-06,8.447636251470872e-06
1536,0.0,0.0,8.447636251470872e-06,8.447636251470872e-06
1537,0.0,0.0,8.447636251470872e-06,8.447636251470872e-06
1538,0.0,0.0,1.1624074821676394e-05,1.1624074821676394e-05
1539,0.0,0.0,4.613013178251484e-05,4.613013178251484e-05
1540,0.0,0.0,4.613013178251484e-05,4.613013178251484e-05
1541,0.0,0.0,4.332119039775405e-05,4.332119039775405e-05
1542,0.0,0.0,5.121953992264545e-05,5.121953992264545e-05
1543,0.0,0.0,5.121953992264545e-05,5.121953992264545e-05
1544,0.0,0.0,5.3167008835381626e-05,5.3167008835381626e-05
1545,0.0,0.0,5.4545212151424494e-05,5.4545212151424494e-05
1546,0.0,0.0,1.8047344903087443e-05,1.8047344903087443e-05
1547,0.0,0.0,3.771019211334143e-05,3.771019211334143e-05
1548,0.0,0.0,4.454675672604935e-05,4.454675672604935e-05
1549,0.0,0.0,3.915685153645297e-05,3.915685153645297e-05
1550,0.0,0.0,5.320584010145727e-05,5.320584010145727e-05
1551,0.0,0.0,5.1258371188721086e-05,5.1258371188721086e-05
1552,0.0,0.0,5.4635950229047534e-05,5.4635950229047534e-05
1553,0.0,0.0,5.2118594404808914e-05,5.2118594404808914e-05
1554,0.0,0.0,4.17123493597111e-05,4.17123493597111e-05
1555,0.0,0.0,4.208760479481758e-05,4.208760479481758e-05
1556,0.0,0.0,4.053138426180729e-05,4.053138426180729e-05
1557,9.345008168436055e-06,9.345008168436055e-06,3.582740386523905e-05,3.582740386523905e-05
1558,9.345008168436055e-06,9.345008168436055e-06,5.0832474049197375e-05,5.0832474049197375e-05
1559,9.345008168436055e-06,9.345008168436055e-06,4.2900253122622545e-05,4.2900253122622545e-05
1560,9.345008168436055e-06,9.345008168436055e-06,4.8733226192000855e-05,4.8733226192000855e-05
1561,9.345008168436055e-06,9.345008168436055e-06,3.9476624026844676e-05,3.9476624026844676e-05
1562,9.345008168436055e-06,9.345008168436055e-06,3.404251856409246e-05,3.404251856409246e-05
1563,9.345008168436055e-06,9.345008168436055e-06,3.2870009428214484e-05,3.2870009428214484e-05
1564,0.0,0.0,3.624829475614076e-05,3.624829475614076e-05
1565,0.0,0.0,2.3266825857198065e-05,2.3266825857198065e-05
1566,0.0,0.0,4.230353118016085e-05,4.230353118016085e-05
1567,0.0,0.0,3.715295542860986e-05,3.715295542860986e-05
1568,0.0,0.0,3.715295542860986e-05,3.715295542860986e-05
1569,0.0,0.0,3.908876747768123e-05,3.908876747768123e-05
1570,0.0,0.0,3.817952405630162e-05,3.817952405630162e-05
1571,0.0,0.0,3.526363726840438e-05,3.526363726840438e-05
1572,0.0,0.0,3.324003598338875e-05,3.324003598338875e-05
1573,0.0,0.0,1.7978558714405934e-05,1.7978558714405934e-05
1574,0.0,0.0,1.8385584488506928e-05,1.8385584488506928e-05
1575,0.0,0.0,2.215742324551684e-05,2.215742324551684e-05
1576,0.0,0.0,2.3852061856034978e-05,2.3852061856034978e-05
1577,0.0,0.0,5.191829710124044e-05,5.191829710124044e-05
1578,0.0,0.0,4.2592716616647e-05,4.2592716616647e-05
1579,0.0,0.0,4.7120000382554803e-05,4.7120000382554803e-05
1580,0.0,0.0,4.4335233172075406e-05,4.4335233172075406e-05
1581,0.0,0.0,4.6212346887841704e-05,4.6212346887841704e-05
1582,0.0,0.0,4.327847087941856e-05,4.327847087941856e-05
1583,0.0,0.0,4.219590921041215e-05,4.219590921041215e-05
1584,0.0,0.0,1.9524343347906586e-05,1.9524343347906586e-05
1585,0.0,0.0,2.130713424516476e-05,2.130713424516476e-05
1586,0.0,0.0,3.762777240418862e-05,3.762777240418862e-05
1587,0.0,0.0,3.9752027662741186e-05,3.9752027662741186e-05
1588,0.0,0.0,4.0802525745675666e-05,4.0802525745675666e-05
1589,0.0,0.0,4.388581900067428e-05,4.388581900067428e-05
1590,0.0,0.0,4.164002062420228e-05,4.164002062420228e-05
1591,0.0,0.0,3.811108555445182e-05,3.811108555445182e-05
1592,0.0,0.0,4.301012995711062e-05,4.301012995711062e-05
1593,0.0,0.0,2.6627742824660216e-05,2.6627742824660216e-05
1594,0.0,0.0,2.703328989030394e-05,2.703328989030394e-05
1595,0.0,0.0,2.7524225775518323e-05,2.7524225775518323e-05
1596,0.0,0.0,2.6127988478817444e-05,2.6127988478817444e-05
1597,0.0,0.0,2.7437922004277686e-05,2.7437922004277686e-05
1598,0.0,0.0,3.18534039251972e-05,3.18534039251972e-05
1599,0.0,0.0,2.551512040684299e-05,2.551512040684299e-05
1600,0.0,0.0,2.190163429207002e-05,2.190163429207002e-05
1601,0.0,0.0,2.463173469940167e-05,2.463173469940167e-05
1602,0.0,0.0,2.1167771072733948e-05,2.1167771072733948e-05
1603,0.0,0.0,2.3175963438656515e-05,2.3175963438656515e-05
1604,0.0,0.0,2.1999738886993976e-05,2.1999738886993976e-05
1605,0.0,0.0,1.7742386652181657e-05,1.7742386652181657e-05
1606,0.0,0.0,1.9399491845563587e-05,1.9399491845563587e-05
1607,0.0,0.0,2.1533431468664537e-05,2.1533431468664537e-05
1608,0.0,0.0,1.7878876730849568e-05,1.7878876730849568e-05
