ngram,Chevron,Chevon,Chvron,Chevon
1500,3.445719102046496e-06,0.0,0.0,0.0
1501,2.756575281637197e-06,0.0,0.0,0.0
1502,2.2971460680309974e-06,0.0,0.0,0.0
1503,1.9689823440265693e-06,0.0,0.0,0.0
1504,2.313893381662118e-07,0.0,0.0,0.0
1505,0.0,0.0,0.0,0.0
1506,0.0,0.0,0.0,0.0
1507,0.0,0.0,0.0,0.0
1508,0.0,0.0,0.0,0.0
1509,0.0,0.0,0.0,0.0
1510,0.0,0.0,0.0,0.0
1511,0.0,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,0.0,0.0,0.0,0.0
1515,0.0,0.0,0.0,0.0
1516,0.0,0.0,0.0,0.0
1517,0.0,0.0,0.0,0.0
1518,0.0,0.0,0.0,0.0
1519,0.0,0.0,0.0,0.0
1520,0.0,0.0,0.0,0.0
1521,0.0,0.0,0.0,0.0
1522,0.0,0.0,0.0,0.0
1523,0.0,0.0,0.0,0.0
1524,0.0,0.0,0.0,0.0
1525,0.0,0.0,0.0,0.0
1526,0.0,0.0,0.0,0.0
1527,0.0,0.0,0.0,0.0
1528,1.045232472409095e-05,0.0,0.0,0.0
1529,1.045232472409095e-05,0.0,0.0,0.0
1530,1.045232472409095e-05,0.0,0.0,0.0
1531,1.045232472409095e-05,0.0,0.0,0.0
1532,1.045232472409095e-05,0.0,0.0,0.0
1533,1.045232472409095e-05,0.0,0.0,0.0
1534,1.045232472409095e-05,0.0,0.0,0.0
1535,0.0,0.0,0.0,0.0
1536,0.0,0.0,0.0,0.0
1537,0.0,0.0,0.0,0.0
1538,0.0,0.0,0.0,0.0
1539,0.0,0.0,0.0,0.0
1540,0.0,0.0,0.0,0.0
1541,0.0,0.0,0.0,0.0
1542,0.0,0.0,0.0,0.0
1543,0.0,0.0,0.0,0.0
1544,0.0,0.0,0.0,0.0
1545,0.0,0.0,0.0,0.0
1546,0.0,0.0,0.0,0.0
1547,0.0,0.0,0.0,0.0
1548,0.0,0.0,0.0,0.0
1549,0.0,0.0,0.0,0.0
1550,0.0,0.0,0.0,0.0
1551,0.0,0.0,0.0,0.0
1552,0.0,0.0,0.0,0.0
1553,0.0,0.0,0.0,0.0
1554,0.0,0.0,0.0,0.0
1555,6.0098500398453325e-06,0.0,0.0,0.0
1556,6.0098500398453325e-06,0.0,0.0,0.0
1557,6.0098500398453325e-06,0.0,0.0,0.0
1558,6.0098500398453325e-06,0.0,0.0,0.0
1559,6.0098500398453325e-06,0.0,0.0,0.0
1560,6.0098500398453325e-06,0.0,0.0,0.0
1561,6.0098500398453325e-06,0.0,0.0,0.0
1562,0.0,0.0,0.0,0.0
1563,0.0,0.0,0.0,0.0
1564,0.0,0.0,0.0,0.0
1565,0.0,0.0,0.0,0.0
1566,0.0,0.0,0.0,0.0
1567,0.0,0.0,0.0,0.0
1568,0.0,0.0,0.0,0.0
1569,0.0,0.0,0.0,0.0
1570,0.0,0.0,0.0,0.0
1571,0.0,0.0,0.0,0.0
1572,0.0,0.0,0.0,0.0
1573,0.0,0.0,0.0,0.0
1574,0.0,0.0,0.0,0.0
1575,0.0,0.0,0.0,0.0
1576,0.0,0.0,0.0,0.0
1577,0.0,0.0,0.0,0.0
1578,0.0,0.0,0.0,0.0
1579,0.0,0.0,0.0,0.0
1580,0.0,0.0,0.0,0.0
1581,0.0,0.0,0.0,0.0
1582,0.0,0.0,0.0,0.0
1583,0.0,0.0,0.0,0.0
1584,0.0,0.0,0.0,0.0
1585,0.0,0.0,0.0,0.0
1586,0.0,0.0,0.0,0.0
1587,0.0,0.0,0.0,0.0
1588,0.0,0.0,0.0,0.0
1589,0.0,0.0,0.0,0.0
1590,0.0,0.0,0.0,0.0
1591,0.0,0.0,0.0,0.0
1592,0.0,0.0,0.0,0.0
1593,0.0,0.0,0.0,0.0
1594,0.0,0.0,0.0,0.0
1595,0.0,0.0,0.0,0.0
1596,0.0,0.0,0.0,0.0
1597,0.0,0.0,0.0,0.0
1598,0.0,0.0,0.0,0.0
1599,0.0,0.0,0.0,0.0
1600,0.0,0.0,0.0,0.0
1601,0.0,0.0,0.0,0.0
1602,0.0,0.0,0.0,0.0
1603,0.0,0.0,0.0,0.0
1604,0.0,0.0,0.0,0.0
1605,0.0,0.0,0.0,0.0
1606,0.0,0.0,0.0,0.0
1607,0.0,0.0,0.0,0.0
1608,0.0,0.0,0.0,0.0
1609,0.0,0.0,0.0,0.0
1610,0.0,0.0,0.0,0.0
1611,0.0,0.0,0.0,0.0
1612,0.0,0.0,0.0,0.0
1613,0.0,0.0,0.0,0.0
1614,0.0,0.0,0.0,0.0
1615,0.0,0.0,0.0,0.0
1616,0.0,0.0,0.0,0.0
1617,0.0,0.0,0.0,0.0
1618,0.0,0.0,0.0,0.0
1619,0.0,0.0,0.0,0.0
1620,0.0,0.0,0.0,0.0
1621,0.0,0.0,0.0,0.0
1622,0.0,0.0,0.0,0.0
1623,0.0,0.0,0.0,0.0
1624,0.0,0.0,0.0,0.0
1625,0.0,0.0,0.0,0.0
1626,0.0,0.0,0.0,0.0
1627,0.0,0.0,0.0,0.0
1628,0.0,0.0,0.0,0.0
1629,0.0,0.0,0.0,0.0
1630,0.0,0.0,0.0,0.0
1631,0.0,0.0,0.0,0.0
1632,0.0,0.0,0.0,0.0
1633,0.0,0.0,0.0,0.0
1634,0.0,0.0,0.0,0.0
1635,0.0,0.0,0.0,0.0
1636,0.0,0.0,0.0,0.0
1637,0.0,0.0,0.0,0.0
1638,0.0,0.0,0.0,0.0
1639,0.0,0.0,0.0,0.0
1640,0.0,0.0,0.0,0.0
1641,0.0,0.0,0.0,0.0
1642,0.0,0.0,0.0,0.0
1643,0.0,0.0,0.0,0.0
1644,0.0,0.0,0.0,0.0
1645,0.0,0.0,0.0,0.0
1646,0.0,0.0,0.0,0.0
1647,0.0,0.0,0.0,0.0
1648,0.0,0.0,0.0,0.0
1649,0.0,0.0,0.0,0.0
1650,4.392013660695479e-08,0.0,0.0,0.0
1651,4.392013660695479e-08,0.0,0.0,0.0
1652,4.392013660695479e-08,0.0,0.0,0.0
1653,4.392013660695479e-08,0.0,0.0,0.0
1654,4.392013660695479e-08,0.0,0.0,0.0
1655,4.392013660695479e-08,0.0,0.0,0.0
1656,4.392013660695479e-08,0.0,0.0,0.0
1657,0.0,0.0,0.0,0.0
1658,0.0,0.0,0.0,0.0
1659,0.0,0.0,0.0,0.0
1660,0.0,0.0,0.0,0.0
1661,0.0,0.0,0.0,0.0
1662,0.0,0.0,0.0,0.0
1663,0.0,0.0,0.0,0.0
1664,0.0,0.0,0.0,0.0
1665,0.0,0.0,0.0,0.0
1666,0.0,0.0,0.0,0.0
1667,0.0,0.0,0.0,0.0
1668,0.0,0.0,0.0,0.0
1669,0.0,0.0,0.0,0.0
1670,0.0,0.0,0.0,0.0
1671,0.0,0.0,0.0,0.0
1672,0.0,0.0,0.0,0.0
1673,2.4742870355761885e-08,0.0,0.0,0.0
1674,3.1751759520050526e-07,0.0,0.0,0.0
1675,3.1751759520050526e-07,0.0,0.0,0.0
1676,3.1751759520050526e-07,0.0,0.0,0.0
1677,3.1751759520050526e-07,0.0,0.0,0.0
1678,3.1751759520050526e-07,0.0,0.0,0.0
1679,3.1751759520050526e-07,0.0,0.0,0.0
1680,2.9277472484474334e-07,0.0,0.0,0.0
1681,0.0,0.0,0.0,0.0
1682,2.016103297007378e-08,0.0,0.0,0.0
1683,2.016103297007378e-08,0.0,0.0,0.0
1684,2.016103297007378e-08,0.0,0.0,0.0
1685,2.016103297007378e-08,0.0,0.0,0.0
1686,2.016103297007378e-08,0.0,0.0,0.0
1687,2.016103297007378e-08,0.0,0.0,0.0
1688,2.016103297007378e-08,0.0,0.0,0.0
1689,0.0,0.0,0.0,0.0
1690,0.0,0.0,0.0,0.0
1691,0.0,0.0,0.0,0.0
1692,2.3668044540110193e-08,0.0,0.0,0.0
1693,2.3668044540110193e-08,0.0,0.0,0.0
1694,2.3668044540110193e-08,0.0,0.0,0.0
1695,2.3668044540110193e-08,0.0,0.0,0.0
1696,2.3668044540110193e-08,0.0,0.0,0.0
1697,4.5709269004744005e-08,0.0,0.0,0.0
1698,6.645181014976385e-08,0.0,0.0,0.0
1699,4.278376560965366e-08,0.0,0.0,0.0
1700,4.278376560965366e-08,0.0,0.0,0.0
1701,5.2450524939169034e-08,0.0,0.0,0.0
1702,5.2450524939169034e-08,0.0,0.0,0.0
1703,5.2450524939169034e-08,0.0,0.0,0.0
1704,2.0364463791468423e-07,0.0,0.0,0.0
1705,2.5616453415620656e-07,0.0,0.0,0.0
1706,2.5616453415620656e-07,0.0,0.0,0.0
1707,2.9262189319264766e-07,0.0,0.0,0.0
1708,3.408303379209039e-07,0.0,0.0,0.0
1709,4.731055176827275e-07,0.0,0.0,0.0
1710,4.731055176827275e-07,0.0,0.0,0.0
1711,4.1617812485128525e-07,0.0,0.0,0.0
1712,5.601840809634138e-07,0.0,0.0,0.0
1713,6.683642368443543e-07,0.0,0.0,0.0
1714,6.414784883596829e-07,0.0,0.0,0.0
1715,8.10050347053805e-07,0.0,0.0,0.0
1716,1.2710573358276633e-06,0.0,0.0,0.0
1717,1.974066662009071e-06,0.0,0.0,0.0
1718,1.8655004738426278e-06,0.0,0.0,0.0
1719,1.648232080343957e-06,0.0,0.0,0.0
1720,2.029352863023145e-06,0.0,0.0,0.0
1721,2.922067234274144e-06,0.0,0.0,0.0
1722,2.6956201715222505e-06,0.0,0.0,0.0
1723,4.03516820871427e-06,0.0,0.0,0.0
1724,3.332158882532862e-06,0.0,0.0,0.0
1725,4.214124471348311e-06,0.0,0.0,0.0
1726,4.373811926987921e-06,0.0,0.0,0.0
1727,3.884510988427792e-06,0.0,0.0,0.0
1728,3.0016636856089463e-06,0.0,0.0,0.0
1729,3.893740394492592e-06,0.0,0.0,0.0
1730,1.9690934267251644e-06,0.0,0.0,0.0
1731,1.9690934267251644e-06,0.0,0.0,0.0
1732,1.0919031291832328e-06,0.0,0.0,0.0
1733,1.4450238669131262e-06,0.0,0.0,0.0
1734,1.4914794514351927e-06,0.0,0.0,0.0
1735,1.4720407724512694e-06,0.0,0.0,0.0
1736,7.453338147302344e-07,0.0,0.0,0.0
1737,7.371505767699611e-07,0.0,0.0,0.0
1738,8.854296232081132e-07,0.0,0.0,0.0
1739,9.795328180319172e-07,0.0,0.0,0.0
1740,4.89186459974787e-07,0.0,0.0,0.0
1741,4.427308754527205e-07,0.0,0.0,0.0
1742,5.256367176441148e-07,0.0,0.0,0.0
1743,3.987925408312419e-07,0.0,0.0,0.0
1744,5.505705920378594e-07,0.0,0.0,0.0
1745,4.212262731633538e-07,0.0,0.0,0.0
1746,9.567650940718003e-07,0.0,0.0,0.0
1747,9.467807140189117e-07,0.0,0.0,0.0
1748,9.795383013917153e-07,0.0,0.0,0.0
1749,8.96632459200321e-07,0.0,0.0,0.0
1750,8.778992740384897e-07,0.0,0.0,0.0
1751,7.689508874721338e-07,0.0,0.0,0.0
1752,7.539147500576096e-07,0.0,0.0,0.0
1753,3.3807654073062364e-07,0.0,0.0,0.0
1754,3.423353603133299e-07,0.0,0.0,0.0
1755,3.0957777294052645e-07,0.0,0.0,0.0
1756,3.0957777294052645e-07,0.0,0.0,0.0
1757,2.928305070172753e-07,0.0,0.0,0.0
1758,2.500008423770136e-07,0.0,0.0,0.0
1759,2.461022522278914e-07,0.0,0.0,0.0
1760,2.2442765106640243e-08,0.0,0.0,0.0
1761,1.1257625181266512e-08,0.0,0.0,0.0
1762,1.1051316128884991e-07,0.0,0.0,0.0
1763,1.1051316128884991e-07,0.0,0.0,0.0
1764,1.0746803802419436e-07,0.0,0.0,0.0
1765,1.4873175580021325e-07,0.0,0.0,0.0
1766,1.5553386007687614e-07,0.0,0.0,0.0
1767,1.705395068337826e-07,0.0,0.0,0.0
1768,2.856879335005098e-07,0.0,0.0,0.0
1769,1.9861743589493536e-07,0.0,0.0,0.0
1770,1.9861743589493536e-07,0.0,0.0,0.0
1771,1.9861743589493536e-07,0.0,0.0,0.0
1772,1.599897999479286e-07,0.0,0.0,0.0
1773,1.6097326823886045e-07,0.0,0.0,0.0
1774,3.14343895421335e-07,0.0,0.0,0.0
1775,1.9653302299868107e-07,0.0,0.0,0.0
1776,2.277458965543084e-07,0.0,0.0,0.0
1777,2.277458965543084e-07,0.0,0.0,0.0
1778,2.277458965543084e-07,0.0,0.0,0.0
1779,2.4047992904944036e-07,0.0,0.0,0.0
1780,2.444400582898457e-07,0.0,0.0,0.0
1781,7.913996772198775e-08,0.0,0.0,0.0
1782,9.999074685700699e-08,0.0,0.0,0.0
1783,8.268802430068587e-08,0.0,0.0,0.0
1784,1.4926690994343517e-07,0.0,0.0,0.0
1785,1.525031547393902e-07,0.0,0.0,0.0
1786,1.692954000479371e-07,0.0,0.0,0.0
1787,2.838855771411123e-07,0.0,0.0,0.0
1788,2.859873392070865e-07,0.0,0.0,0.0
1789,2.6224787091117765e-07,0.0,0.0,0.0
1790,2.3615268140986245e-07,0.0,0.0,0.0
1791,1.7174572824225314e-07,0.0,0.0,0.0
1792,2.1530475205874415e-07,0.0,0.0,0.0
1793,2.0680692282480451e-07,0.0,0.0,0.0
1794,1.0941262499183527e-07,0.0,0.0,0.0
1795,1.2805820429459151e-07,0.0,0.0,0.0
1796,1.2805820429459151e-07,0.0,0.0,0.0
1797,1.2919205159635438e-07,0.0,0.0,0.0
1798,1.466944465582693e-07,0.0,0.0,0.0
1799,1.0110071713143043e-07,0.0,0.0,0.0
1800,7.949450621578893e-08,0.0,0.0,0.0
1801,7.655599176814576e-08,0.0,0.0,0.0
1802,7.655283492827688e-08,0.0,0.0,0.0
1803,7.795683476530257e-08,0.0,0.0,0.0
1804,8.109407304398733e-08,0.0,0.0,0.0
1805,6.66132958317332e-08,0.0,0.0,0.0
1806,7.213405936060521e-08,0.0,0.0,0.0
1807,8.241979276846223e-08,0.0,0.0,0.0
1808,6.112399005989541e-08,0.0,0.0,0.0
1809,4.694514224975624e-08,0.0,0.0,0.0
1810,5.622008712537406e-08,0.0,0.0,0.0
1811,5.358968913071749e-08,0.0,0.0,0.0
1812,5.842188574182014e-08,0.0,0.0,0.0
1813,5.305743882339746e-08,0.0,0.0,0.0
1814,4.1131302205446984e-08,0.0,0.0,0.0
1815,4.2025118781755366e-08,0.0,0.0,0.0
1816,3.3906031411084266e-08,0.0,0.0,0.0
1817,2.613999546977449e-08,0.0,0.0,0.0
1818,2.8438074910803427e-08,0.0,0.0,0.0
1819,2.0215897432253527e-08,0.0,0.0,0.0
1820,2.9470620642259504e-08,0.0,0.0,0.0
1821,3.149523511833e-08,0.0,0.0,0.0
1822,3.0136297267193054e-08,0.0,0.0,0.0
1823,2.8199901842234406e-08,0.0,0.0,0.0
1824,3.145651383817949e-08,0.0,0.0,0.0
1825,2.992346611766347e-08,0.0,0.0,0.0
1826,3.558528608290804e-08,0.0,0.0,0.0
1827,2.6854977923968752e-08,0.0,0.0,0.0
1828,2.7391338467249885e-08,0.0,0.0,0.0
1829,4.064749019911622e-08,0.0,0.0,0.0
1830,4.287939958658171e-08,0.0,0.0,0.0
1831,3.838198267150769e-08,0.0,0.0,0.0
1832,3.6998056872152215e-08,0.0,0.0,0.0
1833,3.060488491206976e-08,0.0,0.0,0.0
1834,3.063299855047116e-08,0.0,0.0,0.0
1835,3.1089226621665896e-08,0.0,0.0,0.0
1836,2.0496560575773108e-08,0.0,0.0,0.0
1837,1.996675884947357e-08,0.0,0.0,0.0
1838,2.4171737690790807e-08,0.0,0.0,0.0
1839,2.60296388887582e-08,0.0,0.0,0.0
1840,2.987050936756727e-08,0.0,0.0,0.0
1841,3.145900530552938e-08,0.0,0.0,0.0
1842,3.5321738930552526e-08,0.0,0.0,0.0
1843,3.0645644498252163e-08,0.0,0.0,0.0
1844,3.3775115529774014e-08,0.0,0.0,0.0
1845,3.216931381595194e-08,0.0,0.0,0.0
1846,3.242020315700042e-08,0.0,0.0,0.0
1847,3.284039630711634e-08,0.0,0.0,0.0
1848,3.584934939380803e-08,0.0,0.0,0.0
1849,2.9733766179366024e-08,0.0,0.0,0.0
1850,3.1776524269032184e-08,0.0,0.0,0.0
1851,3.48654037704169e-08,0.0,0.0,0.0
1852,3.468960991475407e-08,0.0,0.0,0.0
1853,3.36824369030962e-08,0.0,0.0,0.0
1854,3.476289224733721e-08,0.0,5.05018606298892e-11,0.0
1855,3.166767242086215e-08,0.0,5.05018606298892e-11,0.0
1856,3.391462019156474e-08,0.0,5.05018606298892e-11,0.0
1857,3.253038194372948e-08,4.8134226763149204e-11,5.05018606298892e-11,4.8134226763149204e-11
1858,2.8641302409125402e-08,4.8134226763149204e-11,5.05018606298892e-11,4.8134226763149204e-11
1859,3.06387542638374e-08,4.8134226763149204e-11,5.05018606298892e-11,4.8134226763149204e-11
1860,3.638372498520377e-08,4.8134226763149204e-11,5.05018606298892e-11,4.8134226763149204e-11
1861,3.61270368541357e-08,4.8134226763149204e-11,0.0,4.8134226763149204e-11
1862,3.7394758020273655e-08,4.8134226763149204e-11,0.0,4.8134226763149204e-11
1863,3.706850268006942e-08,9.587210787158945e-11,0.0,9.587210787158945e-11
1864,3.9973149108212576e-08,4.7737881108440257e-11,0.0,4.7737881108440257e-11
1865,3.541920166684674e-08,4.7737881108440257e-11,0.0,4.7737881108440257e-11
1866,3.640460212648934e-08,9.197750101235564e-11,0.0,9.197750101235564e-11
1867,3.190679200214065e-08,9.197750101235564e-11,0.0,9.197750101235564e-11
1868,2.9827608192891016e-08,9.197750101235564e-11,0.0,9.197750101235564e-11
1869,2.7522426623452897e-08,1.3156338716870308e-10,0.0,1.3156338716870308e-10
1870,3.003691378162492e-08,1.682984267820891e-10,0.0,1.682984267820891e-10
1871,2.9681405904519968e-08,1.682984267820891e-10,0.0,1.682984267820891e-10
1872,3.4058375421506885e-08,2.09250137058906e-10,0.0,2.09250137058906e-10
1873,3.21682002939789e-08,1.650105171549906e-10,0.0,1.650105171549906e-10
1874,3.3447292427776376e-08,1.650105171549906e-10,0.0,1.650105171549906e-10
1875,3.723197420210259e-08,1.650105171549906e-10,0.0,1.650105171549906e-10
1876,4.194823789914283e-08,1.6375661541065004e-10,0.0,1.6375661541065004e-10
1877,4.000071410611586e-08,1.1423536719742548e-10,0.0,1.1423536719742548e-10
1878,4.8751097127462476e-08,1.1423536719742548e-10,0.0,1.1423536719742548e-10
1879,5.050490032536865e-08,7.328365692060856e-11,0.0,7.328365692060856e-11
1880,5.034839872004275e-08,7.328365692060856e-11,0.0,7.328365692060856e-11
1881,4.96128687339186e-08,1.0484925229624155e-10,0.0,1.0484925229624155e-10
1882,4.8426695796268045e-08,3.317163012526793e-10,0.0,3.317163012526793e-10
1883,4.7599191128305004e-08,4.861200806973085e-10,0.0,4.861200806973085e-10
1884,4.9329696391201394e-08,6.037229486174514e-10,0.0,6.037229486174514e-10
1885,4.0047054942046345e-08,6.327462264461253e-10,0.0,6.327462264461253e-10
1886,3.776434707804453e-08,6.879234582773159e-10,0.0,6.879234582773159e-10
1887,3.91990328450577e-08,6.879234582773159e-10,0.0,6.879234582773159e-10
1888,4.068546743951629e-08,6.563578629016829e-10,0.0,6.563578629016829e-10
1889,3.8798367946973096e-08,4.2949081394524514e-10,0.0,4.2949081394524514e-10
1890,4.2551549077935695e-08,3.126421244908124e-10,0.0,3.126421244908124e-10
1891,4.1964868151873295e-08,2.8811284112441523e-10,0.0,2.8811284112441523e-10
1892,4.1352006263650765e-08,3.040327275652796e-10,0.0,3.040327275652796e-10
1893,3.99071455246615e-08,2.4885549573408893e-10,0.0,2.4885549573408893e-10
1894,4.057643973201916e-08,2.4885549573408893e-10,0.0,2.4885549573408893e-10
1895,3.917722958744564e-08,3.335403263106583e-10,0.0,3.335403263106583e-10
1896,3.694617208996728e-08,3.335403263106583e-10,0.0,3.335403263106583e-10
1897,3.2353491314600953e-08,2.948067623353978e-10,0.0,2.948067623353978e-10
1898,3.143598575101285e-08,1.6678150527305036e-10,0.0,1.6678150527305036e-10
1899,3.411984015956802e-08,1.7648006072385718e-10,0.0,1.7648006072385718e-10
1900,3.329872124067736e-08,1.7648006072385718e-10,0.0,1.7648006072385718e-10
1901,2.8973495095182703e-08,1.7648006072385718e-10,0.0,1.7648006072385718e-10
1902,3.036146191602386e-08,9.17952301472878e-11,0.0,9.17952301472878e-11
1903,3.389199904851077e-08,1.0773437499254714e-10,0.0,1.0773437499254714e-10
1904,3.2462728885970394e-08,1.181420854003333e-10,1.5853739947819482e-11,1.181420854003333e-10
1905,3.126517914405927e-08,1.3338894770477593e-10,1.5853739947819482e-11,1.3338894770477593e-10
1906,2.8540358901604383e-08,9.426221410567339e-11,1.5853739947819482e-11,9.426221410567339e-11
1907,3.107885758270511e-08,9.426221410567339e-11,3.050391387894789e-11,9.426221410567339e-11
1908,3.131526986927773e-08,1.628844807049263e-10,3.050391387894789e-11,1.628844807049263e-10
1909,2.899910990704159e-08,1.628844807049263e-10,3.050391387894789e-11,1.628844807049263e-10
1910,2.5486073949666987e-08,1.4694533585966696e-10,3.050391387894789e-11,1.4694533585966696e-10
1911,2.4691877748799536e-08,9.938411502493797e-11,1.465017393112841e-11,9.938411502493797e-11
1912,2.4140885100467002e-08,8.413725272049533e-11,1.465017393112841e-11,8.413725272049533e-11
1913,2.2277531438622385e-08,6.862226659925291e-11,1.465017393112841e-11,6.862226659925291e-11
1914,2.0875525054618394e-08,1.270882248644816e-10,0.0,1.270882248644816e-10
1915,2.6467483950552506e-08,1.700370122481587e-10,0.0,1.700370122481587e-10
1916,3.2350177140269154e-08,2.0014073731644544e-10,0.0,2.0014073731644544e-10
1917,3.780475691225352e-08,3.5376381982540496e-10,0.0,3.5376381982540496e-10
1918,3.923424759680724e-08,5.119464455535397e-10,0.0,5.119464455535397e-10
1919,4.065218815542591e-08,2.017755637176829e-09,0.0,2.017755637176829e-09
1920,4.2858363461359006e-08,2.4817887348379688e-09,0.0,2.4817887348379688e-09
1921,4.204134792676736e-08,3.013666550437983e-09,0.0,3.013666550437983e-09
1922,3.992341035541358e-08,2.902095496455053e-09,4.830259208483361e-11,2.902095496455053e-09
1923,3.415949986366026e-08,2.99475899634416e-09,4.830259208483361e-11,2.99475899634416e-09
1924,3.384640631257493e-08,3.012086627737379e-09,4.830259208483361e-11,3.012086627737379e-09
1925,3.685368759371548e-08,3.0379454031757648e-09,4.830259208483361e-11,3.0379454031757648e-09
1926,3.7184948707493145e-08,1.8072117611924098e-09,4.830259208483361e-11,1.8072117611924098e-09
1927,5.553404593326507e-08,1.8661613682929054e-09,4.830259208483361e-11,1.8661613682929054e-09
1928,5.900139856050503e-08,1.6863883464271874e-09,4.830259208483361e-11,1.6863883464271874e-09
1929,6.522459017332949e-08,1.762245738223811e-09,0.0,1.762245738223811e-09
1930,6.807712387464043e-08,1.6394785132664173e-09,0.0,1.6394785132664173e-09
1931,6.998743527576932e-08,1.5734598386123772e-09,0.0,1.5734598386123772e-09
1932,8.807356875552483e-08,1.9095698514500927e-09,0.0,1.9095698514500927e-09
1933,9.455555272097627e-08,2.5843478309742605e-09,0.0,2.5843478309742605e-09
1934,7.972343039698768e-08,2.1961723709448424e-09,0.0,2.1961723709448424e-09
1935,7.916304615004524e-08,1.8522686162647517e-09,0.0,1.8522686162647517e-09
1936,7.452179064314026e-08,1.964848109611442e-09,0.0,1.964848109611442e-09
1937,7.437966483995037e-08,2.099502619376129e-09,0.0,2.099502619376129e-09
1938,1.0625544634633246e-07,2.1685885864819454e-09,0.0,2.1685885864819454e-09
1939,8.82238485441381e-08,2.2707877879644757e-09,0.0,2.2707877879644757e-09
1940,9.424947628693709e-08,2.2494916802300632e-09,0.0,2.2494916802300632e-09
1941,9.711484492770848e-08,2.4456272641946798e-09,0.0,2.4456272641946798e-09
1942,1.1265000868628963e-07,3.1511096589196897e-09,0.0,3.1511096589196897e-09
1943,1.2720193355773647e-07,3.0699393979308607e-09,0.0,3.0699393979308607e-09
1944,1.4209214731814817e-07,3.181912083023113e-09,0.0,3.181912083023113e-09
1945,1.2251153437757368e-07,3.1955882860503137e-09,0.0,3.1955882860503137e-09
1946,1.3408127382977648e-07,2.7718149204452355e-09,0.0,2.7718149204452355e-09
1947,1.3809151003637714e-07,2.058498181435807e-09,0.0,2.058498181435807e-09
1948,1.445572377990954e-07,1.7959553526886956e-09,0.0,1.7959553526886956e-09
1949,1.385255196899899e-07,1.1768614178413778e-09,0.0,1.1768614178413778e-09
1950,1.3082806710989254e-07,1.0695947936868932e-09,0.0,1.0695947936868932e-09
1951,1.3456126067369822e-07,1.0381058711063572e-09,0.0,1.0381058711063572e-09
1952,1.3519209675548284e-07,9.915672092932125e-10,0.0,9.915672092932125e-10
1953,1.380048593497512e-07,8.243684326439801e-10,0.0,8.243684326439801e-10
1954,1.527332388816051e-07,6.526756179165665e-10,0.0,6.526756179165665e-10
1955,1.6294627361698337e-07,7.147238891994487e-10,0.0,7.147238891994487e-10
1956,1.7290271309937972e-07,6.963484927569041e-10,0.0,6.963484927569041e-10
1957,1.9900573785694826e-07,7.855545717884636e-10,0.0,7.855545717884636e-10
1958,2.043773171018464e-07,6.061217222574911e-10,0.0,6.061217222574911e-10
1959,2.1872109609181019e-07,5.666116286479855e-10,0.0,5.666116286479855e-10
1960,2.2607000614373517e-07,5.669967392421934e-10,0.0,5.669967392421934e-10
1961,2.2514380353706137e-07,6.247489906360418e-10,0.0,6.247489906360418e-10
1962,2.461919552030979e-07,6.065200326104453e-10,2.0403512213107433e-11,6.065200326104453e-10
1963,2.993305169444024e-07,5.609746794072684e-10,2.0403512213107433e-11,5.609746794072684e-10
1964,3.3501913776490255e-07,4.80761910440616e-10,2.0403512213107433e-11,4.80761910440616e-10
1965,3.950532569011297e-07,4.803168140998793e-10,2.921859381428098e-11,4.803168140998793e-10
1966,4.6803418131600794e-07,5.193605030167398e-10,2.921859381428098e-11,5.193605030167398e-10
1967,5.58986597200471e-07,6.998692141697254e-10,2.921859381428098e-11,6.998692141697254e-10
1968,6.581491861977286e-07,7.668433784794157e-10,2.921859381428098e-11,7.668433784794157e-10
1969,7.263070967513028e-07,7.892773537917666e-10,8.81508160117355e-12,7.892773537917666e-10
1970,7.749645679463615e-07,7.966072444544534e-10,8.81508160117355e-12,7.966072444544534e-10
1971,8.292478972699817e-07,9.48730149996635e-10,8.81508160117355e-12,9.48730149996635e-10
1972,8.81600012040248e-07,1.330851191155042e-09,0.0,1.330851191155042e-09
1973,9.045714770244169e-07,1.6771537650736183e-09,8.254096810806593e-12,1.6771537650736183e-09
1974,9.222955717242647e-07,1.587094011767931e-09,8.254096810806593e-12,1.587094011767931e-09
