ngram,Ferguson,Fergson
1500,1.133807700171019e-06,0.0
1501,9.070461601368152e-07,0.0
1502,7.558718001140127e-07,0.0
1503,6.478901143834394e-07,0.0
1504,6.478901143834394e-07,0.0
1505,6.313276961528962e-07,0.0
1506,6.313276961528962e-07,0.0
1507,6.313276961528962e-07,0.0
1508,6.313276961528962e-07,0.0
1509,6.313276961528962e-07,0.0
1510,6.313276961528962e-07,0.0
1511,6.313276961528962e-07,0.0
1512,0.0,0.0
1513,0.0,0.0
1514,0.0,0.0
1515,0.0,0.0
1516,0.0,0.0
1517,6.375321390805766e-06,0.0
1518,6.375321390805766e-06,0.0
1519,6.375321390805766e-06,0.0
1520,6.375321390805766e-06,0.0
1521,6.375321390805766e-06,0.0
1522,6.375321390805766e-06,0.0
1523,6.375321390805766e-06,0.0
1524,0.0,0.0
1525,0.0,0.0
1526,0.0,0.0
1527,0.0,0.0
1528,0.0,0.0
1529,0.0,0.0
1530,0.0,0.0
1531,0.0,0.0
1532,9.018331833691004e-07,0.0
1533,9.018331833691004e-07,0.0
1534,9.018331833691004e-07,0.0
1535,9.018331833691004e-07,0.0
1536,6.716270231014018e-06,0.0
1537,6.716270231014018e-06,0.0
1538,6.716270231014018e-06,0.0
1539,5.814437047644917e-06,0.0
1540,5.814437047644917e-06,0.0
1541,5.814437047644917e-06,0.0
1542,5.814437047644917e-06,0.0
1543,0.0,0.0
1544,0.0,0.0
1545,0.0,0.0
1546,0.0,0.0
1547,0.0,0.0
1548,2.972419354461765e-07,0.0
1549,2.972419354461765e-07,0.0
1550,2.972419354461765e-07,0.0
1551,2.972419354461765e-07,0.0
1552,2.972419354461765e-07,0.0
1553,2.972419354461765e-07,0.0
1554,2.972419354461765e-07,0.0
1555,0.0,0.0
1556,0.0,0.0
1557,0.0,0.0
1558,0.0,0.0
1559,0.0,0.0
1560,0.0,0.0
1561,0.0,0.0
1562,0.0,0.0
1563,0.0,0.0
1564,0.0,0.0
1565,0.0,0.0
1566,0.0,0.0
1567,0.0,0.0
1568,0.0,0.0
1569,0.0,0.0
1570,0.0,0.0
1571,2.4518516771162728e-06,0.0
1572,2.4518516771162728e-06,0.0
1573,2.4518516771162728e-06,0.0
1574,2.4518516771162728e-06,0.0
1575,2.4518516771162728e-06,0.0
1576,2.4518516771162728e-06,0.0
1577,2.4518516771162728e-06,0.0
1578,0.0,0.0
1579,0.0,0.0
1580,0.0,0.0
1581,2.37322949812681e-06,0.0
1582,2.37322949812681e-06,0.0
1583,2.37322949812681e-06,0.0
1584,2.37322949812681e-06,0.0
1585,2.37322949812681e-06,0.0
1586,2.37322949812681e-06,0.0
1587,3.411468177156556e-06,0.0
1588,1.7077444941345935e-06,0.0
1589,1.7077444941345935e-06,0.0
1590,1.7077444941345935e-06,0.0
1591,1.7077444941345935e-06,0.0
1592,1.7077444941345935e-06,0.0
1593,1.7077444941345935e-06,0.0
1594,6.695058151048475e-07,0.0
1595,0.0,0.0
1596,0.0,0.0
1597,0.0,0.0
1598,1.7693567185363333e-06,0.0
1599,1.7693567185363333e-06,0.0
1600,1.7693567185363333e-06,0.0
1601,1.7693567185363333e-06,0.0
1602,1.8737574367021028e-06,0.0
1603,1.8737574367021028e-06,0.0
1604,1.8737574367021028e-06,0.0
1605,1.0440071816576944e-07,0.0
1606,3.4464104763693673e-07,0.0
1607,3.4464104763693673e-07,0.0
1608,3.4464104763693673e-07,0.0
1609,2.4024032947116733e-07,0.0
1610,2.4024032947116733e-07,0.0
1611,2.4024032947116733e-07,0.0
1612,2.4024032947116733e-07,0.0
1613,0.0,0.0
1614,0.0,0.0
1615,1.1428297252028382e-06,0.0
1616,1.1428297252028382e-06,0.0
1617,1.1428297252028382e-06,0.0
1618,1.1428297252028382e-06,0.0
1619,1.2553642250168195e-06,0.0
1620,1.2553642250168195e-06,0.0
1621,1.2553642250168195e-06,0.0
1622,1.1253449981398132e-07,0.0
1623,1.1253449981398132e-07,0.0
1624,1.1578598316321274e-06,0.0
1625,1.1578598316321274e-06,0.0
1626,1.045325331818146e-06,0.0
1627,1.045325331818146e-06,0.0
1628,1.045325331818146e-06,0.0
1629,1.045325331818146e-06,0.0
1630,1.6490683135218985e-06,0.0
1631,6.037429817037523e-07,0.0
1632,6.037429817037523e-07,0.0
1633,6.037429817037523e-07,0.0
1634,7.271611447582213e-07,0.0
1635,7.271611447582213e-07,0.0
1636,8.140055537556432e-07,0.0
1637,2.1026257205189074e-07,0.0
1638,2.1026257205189074e-07,0.0
1639,2.1026257205189074e-07,0.0
1640,2.1026257205189074e-07,0.0
1641,8.684440899742185e-08,0.0
1642,8.684440899742185e-08,0.0
1643,0.0,0.0
1644,0.0,0.0
1645,0.0,0.0
1646,0.0,0.0
1647,0.0,0.0
1648,0.0,0.0
1649,0.0,0.0
1650,0.0,0.0
1651,0.0,0.0
1652,1.113427937785413e-07,0.0
1653,1.8671857203246744e-07,0.0
1654,1.8671857203246744e-07,0.0
1655,1.8671857203246744e-07,0.0
1656,1.8671857203246744e-07,0.0
1657,2.42327437100747e-07,0.0
1658,3.49558705790644e-07,0.0
1659,6.24222126686748e-07,0.0
1660,6.290211485650486e-07,0.0
1661,6.290211485650486e-07,0.0
1662,6.290211485650486e-07,0.0
1663,6.947161271650007e-07,0.0
1664,7.570162015976425e-07,0.0
1665,8.261514007504697e-07,0.0
1666,4.401451860758243e-07,0.0
1667,6.844935569461086e-07,0.0
1668,6.844935569461086e-07,0.0
1669,9.241262952335611e-07,0.0
1670,8.970804848169272e-07,0.0
1671,7.791715453160058e-07,0.0
1672,1.513027310043721e-06,0.0
1673,1.537770180399483e-06,0.0
1674,1.213247009396972e-06,0.0
1675,1.487795005670835e-06,0.0
1676,1.2481622673833824e-06,0.0
1677,1.209513099200064e-06,0.0
1678,1.309105952275656e-06,0.0
1679,5.834578737611602e-07,0.0
1680,6.311227187844841e-07,0.0
1681,6.311227187844841e-07,0.0
1682,6.186681470613362e-07,0.0
1683,6.186681470613362e-07,0.0
1684,1.115434997700504e-06,0.0
1685,1.0764596416785416e-06,0.0
1686,9.471439008328681e-07,0.0
1687,9.159362751428748e-07,0.0
1688,1.1023025885086618e-06,0.0
1689,9.34922675404388e-07,0.0
1690,1.1841661578923128e-06,0.0
1691,7.11865360309665e-07,0.0
1692,7.459200414164766e-07,0.0
1693,1.3803879141960351e-06,0.0
1694,1.4611155774803462e-06,0.0
1695,1.2902560675749036e-06,0.0
1696,1.4947155112362713e-06,0.0
1697,1.2675132532129801e-06,0.0
1698,1.2949035509888875e-06,0.0
1699,1.4093440187577601e-06,0.0
1700,7.976048489613927e-07,0.0
1701,1.21701561844085e-06,0.0
1702,1.3812862127744147e-06,0.0
1703,1.126278097071268e-06,0.0
1704,1.1388839392826152e-06,0.0
1705,1.1053431977968233e-06,0.0
1706,1.006984382862746e-06,0.0
1707,9.654546257057258e-07,0.0
1708,5.302206460555681e-07,0.0
1709,4.346183633937731e-07,0.0
1710,4.0766854730074034e-07,0.0
1711,6.153296924691989e-07,0.0
1712,7.273751257181565e-07,0.0
1713,8.54617624668208e-07,0.0
1714,1.0383073073074099e-06,0.0
1715,1.0567486522664434e-06,0.0
1716,1.0434132024426747e-06,0.0
1717,1.1255364467745364e-06,0.0
1718,9.296787725686175e-07,0.0
1719,1.0429579617721174e-06,0.0
1720,9.861842004608791e-07,0.0
1721,1.1251995398911925e-06,0.0
1722,1.1165674525922701e-06,0.0
1723,1.0766036686910802e-06,0.0
1724,1.05358735424943e-06,0.0
1725,1.014489769651001e-06,0.0
1726,8.794370011904513e-07,0.0
1727,8.761250437519916e-07,0.0
1728,7.696655056780141e-07,0.0
1729,6.983555422834797e-07,0.0
1730,6.838461367968713e-07,0.0
1731,8.165263746410087e-07,0.0
1732,1.053255846475817e-06,0.0
1733,1.0149160810816023e-06,0.0
1734,1.0383129946944791e-06,0.0
1735,8.179447813664151e-07,0.0
1736,7.788532693707242e-07,0.0
1737,7.624867934501773e-07,0.0
1738,6.688127451224903e-07,0.0
1739,4.731940690711716e-07,0.0
1740,4.703318770639596e-07,0.0
1741,3.9973407238237867e-07,0.0
1742,4.1841842092692006e-07,0.0
1743,6.633223230372616e-07,0.0
1744,7.972441348361567e-07,0.0
1745,7.639664789037072e-07,0.0
1746,7.553265472129819e-07,0.0
1747,7.461691658201224e-07,0.0
1748,6.80974620438844e-07,0.0
1749,6.795084459554346e-07,0.0
1750,4.884693843061021e-07,0.0
1751,6.436478088289732e-07,0.0
1752,7.058451631434894e-07,0.0
1753,9.174889653097904e-07,0.0
1754,9.387581485498231e-07,0.0
1755,9.541624389644961e-07,0.0
1756,1.0320993949010569e-06,0.0
1757,1.1797906073037926e-06,0.0
1758,1.3506129091313466e-06,0.0
1759,1.3907411958565978e-06,0.0
1760,1.4825899289202686e-06,0.0
1761,1.600157905353886e-06,0.0
1762,1.6855585321146854e-06,0.0
1763,1.7652920080633651e-06,0.0
1764,2.0669566375935185e-06,0.0
1765,1.919459399297401e-06,0.0
1766,2.078589545817522e-06,0.0
1767,2.050334923556615e-06,0.0
1768,2.0946687625057947e-06,0.0
1769,2.0623840961369363e-06,0.0
1770,2.203994370120199e-06,0.0
1771,2.0296071413992778e-06,0.0
1772,2.2786672957408882e-06,0.0
1773,2.352986752742124e-06,0.0
1774,2.4093974145346564e-06,0.0
1775,2.448201135913613e-06,0.0
1776,2.466058406623363e-06,0.0
1777,2.391521612870357e-06,0.0
1778,2.299135335955985e-06,0.0
1779,2.462606939194042e-06,0.0
1780,2.7119370835342645e-06,0.0
1781,2.49155352451323e-06,0.0
1782,2.418531494186027e-06,0.0
1783,2.653717436779906e-06,0.0
1784,2.705657249992198e-06,0.0
1785,2.792176603959108e-06,0.0
1786,2.5550153363188395e-06,0.0
1787,2.085098133518061e-06,0.0
1788,2.1312986616196994e-06,0.0
1789,2.1277101853099467e-06,0.0
1790,1.9881175928406136e-06,0.0
1791,2.1462220079878795e-06,0.0
1792,2.0930734438349774e-06,0.0
1793,2.028281138726535e-06,0.0
1794,1.983734250643465e-06,0.0
1795,2.0458141664546148e-06,0.0
1796,2.1314111303841595e-06,0.0
1797,2.2785039358755706e-06,5.66923650881433e-10
1798,2.1153174592265193e-06,5.66923650881433e-10
1799,2.1487827390436517e-06,5.66923650881433e-10
1800,2.0184722870908445e-06,5.66923650881433e-10
1801,2.2196079498826293e-06,5.66923650881433e-10
1802,2.425622597002075e-06,5.66923650881433e-10
1803,2.512354253017942e-06,5.66923650881433e-10
1804,2.421937714253935e-06,0.0
1805,2.5798882299048794e-06,2.5967750172384285e-10
1806,2.9479768142794327e-06,2.5967750172384285e-10
1807,3.035857194585593e-06,2.5967750172384285e-10
1808,3.615244785188614e-06,4.950406909795138e-10
1809,3.5341451751134756e-06,4.950406909795138e-10
1810,3.585164092458269e-06,4.950406909795138e-10
1811,3.685782855557461e-06,4.950406909795138e-10
1812,3.528217900696161e-06,2.35363189255671e-10
1813,3.590977192808558e-06,2.35363189255671e-10
1814,3.6383500433398045e-06,2.35363189255671e-10
1815,3.4033386912467123e-06,0.0
1816,3.491823755601737e-06,0.0
1817,3.527350989835603e-06,0.0
1818,3.404012724266587e-06,0.0
1819,3.4610719532273445e-06,0.0
1820,3.0474705324325313e-06,0.0
1821,2.958136162435819e-06,0.0
1822,2.559003535550021e-06,0.0
1823,2.472506756540887e-06,0.0
1824,2.3234781240587054e-06,0.0
1825,2.4418911834800383e-06,0.0
1826,2.474243826457366e-06,0.0
1827,2.65725150581732e-06,0.0
