ngram,Indian Railway Finance
1500,0.0
1501,0.0
1502,0.0
1503,0.0
1504,0.0
1505,0.0
1506,0.0
1507,0.0
1508,0.0
1509,0.0
1510,0.0
1511,0.0
1512,0.0
1513,0.0
1514,0.0
1515,0.0
1516,0.0
1517,0.0
1518,0.0
1519,0.0
1520,0.0
1521,0.0
1522,0.0
1523,0.0
1524,0.0
1525,0.0
1526,0.0
1527,0.0
1528,0.0
1529,0.0
1530,0.0
1531,0.0
1532,0.0
1533,0.0
1534,0.0
1535,0.0
1536,0.0
1537,0.0
1538,0.0
1539,0.0
1540,0.0
1541,0.0
1542,0.0
1543,0.0
1544,0.0
1545,0.0
1546,0.0
1547,0.0
1548,0.0
1549,0.0
1550,0.0
1551,0.0
1552,0.0
1553,0.0
1554,0.0
1555,0.0
1556,0.0
1557,0.0
1558,0.0
1559,0.0
1560,0.0
1561,0.0
1562,0.0
1563,0.0
1564,0.0
1565,0.0
1566,0.0
1567,0.0
1568,0.0
1569,0.0
1570,0.0
1571,0.0
1572,0.0
1573,0.0
1574,0.0
1575,0.0
1576,0.0
1577,0.0
1578,0.0
1579,0.0
1580,0.0
1581,0.0
1582,0.0
1583,0.0
1584,0.0
1585,0.0
1586,0.0
1587,0.0
1588,0.0
1589,0.0
1590,0.0
1591,0.0
1592,0.0
1593,0.0
1594,0.0
1595,0.0
1596,0.0
1597,0.0
1598,0.0
1599,0.0
1600,0.0
1601,0.0
1602,0.0
1603,0.0
1604,0.0
1605,0.0
1606,0.0
1607,0.0
1608,0.0
1609,0.0
1610,0.0
1611,0.0
1612,0.0
1613,0.0
1614,0.0
1615,0.0
1616,0.0
1617,0.0
1618,0.0
1619,0.0
1620,0.0
1621,0.0
1622,0.0
1623,0.0
1624,0.0
1625,0.0
1626,0.0
1627,0.0
1628,0.0
1629,0.0
1630,0.0
1631,0.0
1632,0.0
1633,0.0
1634,0.0
1635,0.0
1636,0.0
1637,0.0
1638,0.0
1639,0.0
1640,0.0
1641,0.0
1642,0.0
1643,0.0
1644,0.0
1645,0.0
1646,0.0
1647,0.0
1648,0.0
1649,0.0
1650,0.0
1651,0.0
1652,0.0
1653,0.0
1654,0.0
1655,0.0
1656,0.0
1657,0.0
1658,0.0
1659,0.0
1660,0.0
1661,0.0
1662,0.0
1663,0.0
1664,0.0
1665,0.0
1666,0.0
1667,0.0
1668,0.0
1669,0.0
1670,0.0
1671,0.0
1672,0.0
1673,0.0
1674,0.0
1675,0.0
1676,0.0
1677,0.0
1678,0.0
1679,0.0
1680,0.0
1681,0.0
1682,0.0
1683,0.0
1684,0.0
1685,0.0
1686,0.0
1687,0.0
1688,0.0
1689,0.0
1690,0.0
1691,0.0
1692,0.0
1693,0.0
1694,0.0
1695,0.0
1696,0.0
1697,0.0
1698,0.0
1699,0.0
1700,0.0
1701,0.0
1702,0.0
1703,0.0
1704,0.0
1705,0.0
1706,0.0
1707,0.0
1708,0.0
1709,0.0
1710,0.0
1711,0.0
1712,0.0
1713,0.0
1714,0.0
1715,0.0
1716,0.0
1717,0.0
1718,0.0
1719,0.0
1720,0.0
1721,0.0
1722,0.0
1723,0.0
1724,0.0
1725,0.0
1726,0.0
1727,0.0
1728,0.0
1729,0.0
1730,0.0
1731,0.0
1732,0.0
1733,0.0
1734,0.0
1735,0.0
1736,0.0
1737,0.0
1738,0.0
1739,0.0
1740,0.0
1741,0.0
1742,0.0
1743,0.0
1744,0.0
1745,0.0
1746,0.0
1747,0.0
1748,0.0
1749,0.0
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,0.0
1767,0.0
1768,0.0
1769,0.0
1770,0.0
1771,0.0
1772,0.0
1773,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,0.0
1787,0.0
1788,0.0
1789,0.0
1790,0.0
1791,0.0
1792,0.0
1793,0.0
1794,0.0
1795,0.0
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.0
1851,0.0
1852,0.0
1853,0.0
1854,0.0
1855,0.0
1856,0.0
1857,0.0
1858,0.0
1859,0.0
1860,0.0
1861,0.0
1862,0.0
1863,0.0
1864,0.0
1865,0.0
1866,0.0
1867,0.0
1868,0.0
1869,0.0
1870,0.0
1871,0.0
1872,0.0
1873,0.0
1874,0.0
1875,0.0
1876,0.0
1877,0.0
1878,0.0
1879,0.0
1880,0.0
1881,3.156559537563299e-11
1882,6.397517436442155e-11
1883,6.397517436442155e-11
1884,6.397517436442155e-11
1885,6.397517436442155e-11
1886,6.397517436442155e-11
1887,6.397517436442155e-11
1888,3.240957898878857e-11
1889,0.0
1890,0.0
1891,0.0
1892,8.988632853907624e-11
1893,8.988632853907624e-11
1894,8.988632853907624e-11
1895,8.988632853907624e-11
1896,8.988632853907624e-11
1897,1.0846308375254767e-10
1898,1.2650125193390339e-10
1899,3.6614923394827163e-11
1900,5.468552793137198e-11
1901,8.895890175291449e-11
1902,1.922686434666484e-10
1903,2.8790350857312216e-10
1904,3.327417131509287e-10
1905,2.4187705608255274e-09
1906,4.265053940974031e-09
1907,4.569287170852476e-09
1908,5.04281861110226e-09
1909,5.408063175853834e-09
1910,5.808288330458719e-09
1911,5.99647614103154e-09
1912,4.1806912852239614e-09
1913,2.6632600569342912e-09
1914,2.414038667377026e-09
1915,1.98592747009079e-09
1916,1.6377880638986296e-09
1917,1.4352084600131677e-09
1918,2.1470817187666367e-09
1919,1.9440340369238284e-09
1920,1.7079885045972227e-09
1921,2.0003569673703633e-09
1922,2.0655711189096084e-09
1923,1.9697096632314323e-09
1924,1.871801489599407e-09
1925,1.0003461610650989e-09
1926,1.144341318133029e-09
1927,1.1424882131619692e-09
1928,8.682752513010174e-10
1929,7.486532802422222e-10
1930,7.240998356472517e-10
1931,6.074266248720253e-10
1932,5.390491703798667e-10
1933,5.414911217828587e-10
1934,5.853448519539078e-10
1935,4.94106906183995e-10
1936,5.735082726181823e-10
1937,6.632779405078639e-10
1938,5.845789090892189e-10
1939,5.858296883313027e-10
1940,3.5415810165481277e-10
1941,2.7450799768212267e-10
1942,2.7450799768212267e-10
1943,2.127274844372045e-10
1944,1.4192913907632284e-10
1945,2.1700682124275213e-10
1946,2.2520900422318135e-10
1947,2.2520900422318135e-10
1948,3.4105187126812607e-10
1949,5.451258194844044e-10
1950,5.022191690295941e-10
1951,5.163460433031477e-10
1952,5.040041578530108e-10
1953,5.807326068442618e-10
1954,7.113762138878852e-10
1955,5.69364710140923e-10
1956,4.999708226792267e-10
1957,7.293578875776165e-10
1958,8.509831946255732e-10
1959,1.0254201238124594e-09
1960,1.032061937895306e-09
1961,1.1152741369313546e-09
1962,1.1678996817262747e-09
1963,1.14216203955004e-09
1964,9.307615947814643e-10
1965,8.64188910907972e-10
1966,6.621884707236347e-10
1967,5.634113572508933e-10
1968,3.938382596237387e-10
1969,3.12224210771309e-10
1970,2.383598279071768e-10
1971,2.472259103785441e-10
1972,2.0255231618954943e-10
1973,1.838882240923212e-10
1974,1.7434636918691104e-10
1975,1.7061116259843778e-10
1976,2.107933178206535e-10
1977,2.3190015631986098e-10
1978,2.2952723898104844e-10
1979,2.1043311587301946e-10
1980,2.0959857708573766e-10
1981,2.2434047080339374e-10
1982,3.023768894002846e-10
1983,1.0024453251616145e-09
1984,1.945941170105365e-09
1985,2.883593346246295e-09
1986,3.5500657433581597e-09
1987,4.310138349402795e-09
1988,5.160606592851431e-09
1989,6.492161221314876e-09
1990,6.770502380959442e-09
1991,6.3226401891824935e-09
1992,6.003105187549604e-09
1993,6.059447356575122e-09
1994,5.9275109265399806e-09
1995,5.890867476361044e-09
1996,5.001610427411509e-09
1997,4.627301399194396e-09
1998,4.930595424009912e-09
1999,4.814053156110276e-09
2000,4.544558983101053e-09
2001,4.31147828550138e-09
2002,3.845194321680115e-09
2003,3.562852235461378e-09
2004,3.3626655745625354e-09
2005,2.741076920997898e-09
2006,2.518669970998287e-09
2007,2.3146916764257443e-09
2008,2.2108451577399333e-09
2009,1.9648753100755455e-09
2010,1.7845894048232731e-09
2011,1.3962021063105924e-09
2012,1.2748152137095507e-09
2013,1.0407307634733139e-09
2014,8.501375635207507e-10
2015,6.192843460262054e-10
2016,6.012182259976636e-10
2017,5.86792170409467e-10
2018,6.261583362920931e-10
2019,5.864581598125085e-10
