ngram,Marsh,Marsh,Mrsh,Mrsh
1500,9.681179108156357e-06,9.681179108156357e-06,0.0,0.0
1501,7.744943286525085e-06,7.744943286525085e-06,0.0,0.0
1502,6.629830257528131e-06,6.629830257528131e-06,0.0,0.0
1503,5.682711649309827e-06,5.682711649309827e-06,0.0,0.0
1504,5.828970610569481e-06,5.828970610569481e-06,0.0,0.0
1505,3.237410153035723e-06,3.237410153035723e-06,0.0,0.0
1506,3.237410153035723e-06,3.237410153035723e-06,0.0,0.0
1507,3.237410153035723e-06,3.237410153035723e-06,0.0,0.0
1508,3.237410153035723e-06,3.237410153035723e-06,0.0,0.0
1509,3.0868008512438142e-06,3.0868008512438142e-06,0.0,0.0
1510,3.0868008512438142e-06,3.0868008512438142e-06,0.0,0.0
1511,0.0,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,5.713222890335601e-07,5.713222890335601e-07,0.0,0.0
1515,5.713222890335601e-07,5.713222890335601e-07,0.0,0.0
1516,5.713222890335601e-07,5.713222890335601e-07,0.0,0.0
1517,5.713222890335601e-07,5.713222890335601e-07,0.0,0.0
1518,5.713222890335601e-07,5.713222890335601e-07,0.0,0.0
1519,5.713222890335601e-07,5.713222890335601e-07,0.0,0.0
1520,5.713222890335601e-07,5.713222890335601e-07,0.0,0.0
1521,0.0,0.0,0.0,0.0
1522,0.0,0.0,0.0,0.0
1523,0.0,0.0,0.0,0.0
1524,0.0,0.0,0.0,0.0
1525,0.0,0.0,0.0,0.0
1526,0.0,0.0,0.0,0.0
1527,0.0,0.0,0.0,0.0
1528,1.2542789461024637e-05,1.2542789461024637e-05,0.0,0.0
1529,1.2542789461024637e-05,1.2542789461024637e-05,0.0,0.0
1530,1.2542789461024637e-05,1.2542789461024637e-05,0.0,0.0
1531,1.2542789461024637e-05,1.2542789461024637e-05,0.0,0.0
1532,1.2542789461024637e-05,1.2542789461024637e-05,0.0,0.0
1533,1.2542789461024637e-05,1.2542789461024637e-05,0.0,0.0
1534,1.2542789461024637e-05,1.2542789461024637e-05,0.0,0.0
1535,2.2590575099457055e-06,2.2590575099457055e-06,0.0,0.0
1536,2.2590575099457055e-06,2.2590575099457055e-06,0.0,0.0
1537,2.2590575099457055e-06,2.2590575099457055e-06,0.0,0.0
1538,2.2590575099457055e-06,2.2590575099457055e-06,0.0,0.0
1539,2.2590575099457055e-06,2.2590575099457055e-06,0.0,0.0
1540,2.2590575099457055e-06,2.2590575099457055e-06,0.0,0.0
1541,2.2590575099457055e-06,2.2590575099457055e-06,0.0,0.0
1542,0.0,0.0,0.0,0.0
1543,0.0,0.0,0.0,0.0
1544,5.564196986337525e-07,5.564196986337525e-07,0.0,0.0
1545,1.092259903348999e-06,1.092259903348999e-06,0.0,0.0
1546,1.092259903348999e-06,1.092259903348999e-06,0.0,0.0
1547,1.092259903348999e-06,1.092259903348999e-06,0.0,0.0
1548,1.092259903348999e-06,1.092259903348999e-06,0.0,0.0
1549,1.092259903348999e-06,1.092259903348999e-06,0.0,0.0
1550,1.092259903348999e-06,1.092259903348999e-06,0.0,0.0
1551,5.358402047152464e-07,5.358402047152464e-07,0.0,0.0
1552,0.0,0.0,0.0,0.0
1553,0.0,0.0,0.0,0.0
1554,0.0,0.0,0.0,0.0
1555,3.0049250199226663e-06,3.0049250199226663e-06,0.0,0.0
1556,3.0049250199226663e-06,3.0049250199226663e-06,0.0,0.0
1557,3.0049250199226663e-06,3.0049250199226663e-06,0.0,0.0
1558,3.0049250199226663e-06,3.0049250199226663e-06,0.0,0.0
1559,3.0049250199226663e-06,3.0049250199226663e-06,0.0,0.0
1560,7.491827221071747e-06,7.491827221071747e-06,0.0,0.0
1561,7.491827221071747e-06,7.491827221071747e-06,0.0,0.0
1562,4.48690220114908e-06,4.48690220114908e-06,0.0,0.0
1563,4.48690220114908e-06,4.48690220114908e-06,0.0,0.0
1564,4.48690220114908e-06,4.48690220114908e-06,0.0,0.0
1565,4.48690220114908e-06,4.48690220114908e-06,0.0,0.0
1566,4.48690220114908e-06,4.48690220114908e-06,0.0,0.0
1567,0.0,0.0,0.0,0.0
1568,0.0,0.0,0.0,0.0
1569,0.0,0.0,0.0,0.0
1570,0.0,0.0,0.0,0.0
1571,0.0,0.0,0.0,0.0
1572,1.9238548702560365e-05,1.9238548702560365e-05,0.0,0.0
1573,1.9238548702560365e-05,1.9238548702560365e-05,0.0,0.0
1574,1.9238548702560365e-05,1.9238548702560365e-05,0.0,0.0
1575,1.9238548702560365e-05,1.9238548702560365e-05,0.0,0.0
1576,1.9238548702560365e-05,1.9238548702560365e-05,0.0,0.0
1577,1.9238548702560365e-05,1.9238548702560365e-05,0.0,0.0
1578,1.9238548702560365e-05,1.9238548702560365e-05,0.0,0.0
1579,0.0,0.0,0.0,0.0
1580,0.0,0.0,0.0,0.0
1581,0.0,0.0,0.0,0.0
1582,0.0,0.0,0.0,0.0
1583,3.364358105630215e-06,3.364358105630215e-06,0.0,0.0
1584,3.364358105630215e-06,3.364358105630215e-06,0.0,0.0
1585,3.364358105630215e-06,3.364358105630215e-06,0.0,0.0
1586,7.677721181867777e-06,7.677721181867777e-06,0.0,0.0
1587,7.677721181867777e-06,7.677721181867777e-06,0.0,0.0
1588,7.677721181867777e-06,7.677721181867777e-06,0.0,0.0
1589,8.237900601670844e-06,8.237900601670844e-06,0.0,0.0
1590,4.87354249604063e-06,4.87354249604063e-06,0.0,0.0
1591,4.87354249604063e-06,4.87354249604063e-06,0.0,0.0
1592,5.470514289689683e-06,5.470514289689683e-06,0.0,0.0
1593,1.1571512134521202e-06,1.1571512134521202e-06,0.0,0.0
1594,1.3247827967331562e-06,1.3247827967331562e-06,0.0,0.0
1595,1.3247827967331562e-06,1.3247827967331562e-06,0.0,0.0
1596,7.646033769300889e-07,7.646033769300889e-07,0.0,0.0
1597,7.646033769300889e-07,7.646033769300889e-07,0.0,0.0
1598,1.0300068749659528e-06,1.0300068749659528e-06,0.0,0.0
1599,5.509462295906684e-07,5.509462295906684e-07,0.0,0.0
1600,7.639583990177406e-07,7.639583990177406e-07,0.0,0.0
1601,1.1822984008956285e-06,1.1822984008956285e-06,0.0,0.0
1602,1.9131034442969915e-06,1.9131034442969915e-06,0.0,0.0
1603,1.9131034442969915e-06,1.9131034442969915e-06,0.0,0.0
1604,1.9131034442969915e-06,1.9131034442969915e-06,0.0,0.0
1605,1.7601368378044363e-06,1.7601368378044363e-06,0.0,0.0
1606,2.4430267444586207e-06,2.4430267444586207e-06,0.0,0.0
1607,2.2300145750315485e-06,2.2300145750315485e-06,0.0,0.0
1608,1.6440429898726246e-06,1.6440429898726246e-06,0.0,0.0
1609,9.132379464712617e-07,9.132379464712617e-07,0.0,0.0
1610,9.132379464712617e-07,9.132379464712617e-07,0.0,0.0
1611,1.0156502250018612e-06,1.0156502250018612e-06,0.0,0.0
1612,1.1722140616906733e-06,1.1722140616906733e-06,0.0,0.0
1613,5.31223487801721e-07,5.31223487801721e-07,0.0,0.0
1614,8.608332352975725e-07,8.608332352975725e-07,0.0,0.0
1615,1.2417764878591697e-06,1.2417764878591697e-06,0.0,0.0
1616,1.2417764878591697e-06,1.2417764878591697e-06,0.0,0.0
1617,1.2417764878591697e-06,1.2417764878591697e-06,0.0,0.0
1618,1.1393642093285701e-06,1.1393642093285701e-06,0.0,0.0
1619,8.703634810964494e-07,8.703634810964494e-07,0.0,0.0
1620,3.329764695081394e-06,3.329764695081394e-06,0.0,0.0
1621,3.356990938690225e-06,3.356990938690225e-06,0.0,0.0
1622,2.976047686128628e-06,2.976047686128628e-06,0.0,0.0
1623,2.976047686128628e-06,2.976047686128628e-06,0.0,0.0
1624,3.274712071288377e-06,3.274712071288377e-06,0.0,0.0
1625,3.274712071288377e-06,3.274712071288377e-06,0.0,0.0
1626,3.274712071288377e-06,3.274712071288377e-06,0.0,0.0
1627,6.555003762644316e-07,6.555003762644316e-07,0.0,0.0
1628,4.296876373440942e-07,4.296876373440942e-07,0.0,0.0
1629,4.296876373440942e-07,4.296876373440942e-07,0.0,0.0
1630,6.884346248625661e-07,6.884346248625661e-07,0.0,0.0
1631,1.3533299839504513e-06,1.3533299839504513e-06,0.0,0.0
1632,4.376992413719043e-06,4.376992413719043e-06,0.0,0.0
1633,4.514085211277623e-06,4.514085211277623e-06,0.0,0.0
1634,1.0314738996644987e-05,1.0314738996644987e-05,0.0,0.0
1635,1.0183715744460642e-05,1.0183715744460642e-05,0.0,0.0
1636,1.461278083882332e-05,1.461278083882332e-05,0.0,0.0
1637,1.4427193978657929e-05,1.4427193978657929e-05,0.0,0.0
1638,1.4338989688310124e-05,1.4338989688310124e-05,0.0,0.0
1639,1.1860418875845166e-05,1.1860418875845166e-05,0.0,0.0
1640,1.2031750251091061e-05,1.2031750251091061e-05,0.0,0.0
1641,6.3505406404017e-06,6.3505406404017e-06,0.0,0.0
1642,6.674390135685826e-06,6.674390135685826e-06,0.0,0.0
1643,2.4259699346527796e-06,2.4259699346527796e-06,0.0,0.0
1644,3.452747372583482e-06,3.452747372583482e-06,0.0,0.0
1645,2.675625580650376e-06,2.675625580650376e-06,0.0,0.0
1646,3.339394822887698e-06,3.339394822887698e-06,0.0,0.0
1647,3.0309706500832234e-06,3.0309706500832234e-06,0.0,0.0
1648,2.9115264754052206e-06,2.9115264754052206e-06,0.0,0.0
1649,2.6659047551090353e-06,2.6659047551090353e-06,0.0,0.0
1650,3.056221666091525e-06,3.056221666091525e-06,0.0,0.0
1651,1.9562841008077418e-06,1.9562841008077418e-06,0.0,0.0
1652,3.47252098923231e-06,3.47252098923231e-06,0.0,0.0
1653,2.8666663557227627e-06,2.8666663557227627e-06,0.0,0.0
1654,3.530397334218703e-06,3.530397334218703e-06,0.0,0.0
1655,3.7047064763230864e-06,3.7047064763230864e-06,0.0,0.0
1656,4.895084007979936e-06,4.895084007979936e-06,0.0,0.0
1657,4.93581969099718e-06,4.93581969099718e-06,0.0,0.0
1658,5.847285462680572e-06,5.847285462680572e-06,0.0,0.0
1659,4.650988330467953e-06,4.650988330467953e-06,0.0,0.0
1660,4.368681304965451e-06,4.368681304965451e-06,0.0,0.0
1661,4.511175218015394e-06,4.511175218015394e-06,0.0,0.0
1662,4.580465234279732e-06,4.580465234279732e-06,0.0,0.0
1663,3.903114767516465e-06,3.903114767516465e-06,0.0,0.0
1664,3.5665381606772177e-06,3.5665381606772177e-06,0.0,0.0
1665,2.875530477857475e-06,2.875530477857475e-06,0.0,0.0
1666,2.6570990517679353e-06,2.6570990517679353e-06,0.0,0.0
1667,2.433756800915684e-06,2.433756800915684e-06,0.0,0.0
1668,1.8025447729996813e-06,1.8025447729996813e-06,0.0,0.0
1669,1.8285324472344655e-06,1.8285324472344655e-06,0.0,0.0
1670,2.3967526447319998e-06,2.3967526447319998e-06,0.0,0.0
1671,2.19985214958537e-06,2.19985214958537e-06,0.0,0.0
1672,2.1023970638062953e-06,2.1023970638062953e-06,0.0,0.0
1673,2.0511122979119785e-06,2.0511122979119785e-06,0.0,0.0
1674,1.986285872541365e-06,1.986285872541365e-06,0.0,0.0
1675,1.9485470070484164e-06,1.9485470070484164e-06,0.0,0.0
1676,2.022532257228704e-06,2.022532257228704e-06,0.0,0.0
1677,2.00498797450369e-06,2.00498797450369e-06,0.0,0.0
1678,2.245464731994876e-06,2.245464731994876e-06,0.0,0.0
1679,2.514681806279181e-06,2.514681806279181e-06,0.0,0.0
1680,2.4386322954634513e-06,2.4386322954634513e-06,0.0,0.0
1681,2.5627327074419426e-06,2.5627327074419426e-06,0.0,0.0
1682,2.8085183235556803e-06,2.8085183235556803e-06,0.0,0.0
1683,3.391769804953323e-06,3.391769804953323e-06,0.0,0.0
1684,2.9511569761910195e-06,2.9511569761910195e-06,0.0,0.0
1685,2.834518146041124e-06,2.834518146041124e-06,0.0,0.0
1686,2.525185688487649e-06,2.525185688487649e-06,0.0,0.0
1687,2.493978062797656e-06,2.493978062797656e-06,0.0,0.0
1688,2.4305302831960162e-06,2.4305302831960162e-06,0.0,0.0
1689,2.047470668945347e-06,2.047470668945347e-06,0.0,0.0
1690,1.8268369988813253e-06,1.8268369988813253e-06,0.0,0.0
1691,2.0062969992652924e-06,2.0062969992652924e-06,0.0,0.0
1692,1.8042386865805123e-06,1.8042386865805123e-06,0.0,0.0
1693,2.912696487555877e-06,2.912696487555877e-06,0.0,0.0
1694,3.261665207381676e-06,3.261665207381676e-06,0.0,0.0
1695,3.2460160680005046e-06,3.2460160680005046e-06,0.0,0.0
1696,3.497951200058326e-06,3.497951200058326e-06,0.0,0.0
1697,3.173809204781719e-06,3.173809204781719e-06,0.0,0.0
1698,2.6975108247435335e-06,2.6975108247435335e-06,0.0,0.0
1699,2.8674148455008563e-06,2.8674148455008563e-06,0.0,0.0
1700,1.8580393706153181e-06,1.8580393706153181e-06,0.0,0.0
1701,1.8062071376334643e-06,1.8062071376334643e-06,0.0,0.0
1702,1.8485247161541857e-06,1.8485247161541857e-06,0.0,0.0
1703,1.7622077247584196e-06,1.7622077247584196e-06,0.0,0.0
1704,1.6053657532211218e-06,1.6053657532211218e-06,0.0,0.0
1705,1.3840422963897124e-06,1.3840422963897124e-06,0.0,0.0
1706,1.4134951616792283e-06,1.4134951616792283e-06,0.0,0.0
1707,1.4016595498235671e-06,1.4016595498235671e-06,0.0,0.0
1708,1.159781642659904e-06,1.159781642659904e-06,0.0,0.0
1709,1.220305291228994e-06,1.220305291228994e-06,0.0,0.0
1710,1.0891171971901973e-06,1.0891171971901973e-06,0.0,0.0
1711,1.009296206737937e-06,1.009296206737937e-06,0.0,0.0
1712,9.239108952182765e-07,9.239108952182765e-07,0.0,0.0
1713,8.8682423487236e-07,8.8682423487236e-07,0.0,0.0
1714,8.698356696511058e-07,8.698356696511058e-07,0.0,0.0
1715,1.1923040647486362e-06,1.1923040647486362e-06,0.0,0.0
1716,1.180173029524667e-06,1.180173029524667e-06,0.0,0.0
1717,1.4666819976940002e-06,1.4666819976940002e-06,0.0,0.0
1718,1.6851596131216086e-06,1.6851596131216086e-06,0.0,0.0
1719,2.733156358252537e-06,2.733156358252537e-06,0.0,0.0
1720,2.8880256357816895e-06,2.8880256357816895e-06,0.0,0.0
1721,2.8838008542412093e-06,2.8838008542412093e-06,0.0,0.0
1722,3.137173832458627e-06,3.137173832458627e-06,0.0,0.0
1723,3.7778776719018685e-06,3.7778776719018685e-06,0.0,0.0
1724,3.773968338854112e-06,3.773968338854112e-06,0.0,0.0
1725,3.6380473277729053e-06,3.6380473277729053e-06,0.0,0.0
1726,2.709454731432613e-06,2.709454731432613e-06,0.0,0.0
1727,2.5839112660313342e-06,2.5839112660313342e-06,0.0,0.0
1728,2.655295312641621e-06,2.655295312641621e-06,0.0,0.0
1729,2.091318874265978e-06,2.091318874265978e-06,0.0,0.0
1730,1.4296691119852767e-06,1.4296691119852767e-06,0.0,0.0
1731,1.3843422672315292e-06,1.3843422672315292e-06,0.0,0.0
1732,1.4630684047135998e-06,1.4630684047135998e-06,0.0,0.0
1733,1.5058099458136503e-06,1.5058099458136503e-06,0.0,0.0
1734,1.567138765169927e-06,1.567138765169927e-06,0.0,0.0
1735,1.5214407328910186e-06,1.5214407328910186e-06,0.0,0.0
1736,1.7107826936678196e-06,1.7107826936678196e-06,0.0,0.0
1737,1.722681856465767e-06,1.722681856465767e-06,0.0,0.0
1738,1.637700766618114e-06,1.637700766618114e-06,0.0,0.0
1739,1.634739224495466e-06,1.634739224495466e-06,0.0,0.0
1740,1.9513431977559648e-06,1.9513431977559648e-06,0.0,0.0
1741,2.2866120811418763e-06,2.2866120811418763e-06,0.0,0.0
1742,2.520156905510313e-06,2.520156905510313e-06,0.0,0.0
1743,2.675166829898704e-06,2.675166829898704e-06,0.0,0.0
1744,2.7034599107927145e-06,2.7034599107927145e-06,0.0,0.0
1745,2.725020164819268e-06,2.725020164819268e-06,0.0,0.0
1746,2.7896843286206215e-06,2.7896843286206215e-06,0.0,0.0
1747,2.6082833041333027e-06,2.6082833041333027e-06,0.0,0.0
1748,2.2166350877991396e-06,2.2166350877991396e-06,0.0,0.0
1749,1.96209694942289e-06,1.96209694942289e-06,0.0,0.0
1750,1.6413707157880708e-06,1.6413707157880708e-06,0.0,0.0
1751,1.971405278514534e-06,1.971405278514534e-06,0.0,0.0
1752,1.9424584170987406e-06,1.9424584170987406e-06,0.0,0.0
1753,2.0217004816913686e-06,2.0217004816913686e-06,0.0,0.0
1754,1.7562871984669722e-06,1.7562871984669722e-06,0.0,0.0
1755,1.6946074440836258e-06,1.6946074440836258e-06,0.0,0.0
1756,1.8323989122239124e-06,1.8323989122239124e-06,0.0,0.0
1757,1.8344350840899487e-06,1.8344350840899487e-06,0.0,0.0
1758,1.6898201644315641e-06,1.6898201644315641e-06,0.0,0.0
1759,1.9975163192092234e-06,1.9975163192092234e-06,0.0,0.0
1760,1.8240247478778265e-06,1.8240247478778265e-06,0.0,0.0
1761,2.0135088659247103e-06,2.0135088659247103e-06,0.0,0.0
1762,2.1683619511999756e-06,2.1683619511999756e-06,0.0,0.0
1763,2.132437511396087e-06,2.132437511396087e-06,0.0,0.0
1764,2.0715297556047777e-06,2.0715297556047777e-06,0.0,0.0
1765,1.7870418348918195e-06,1.7870418348918195e-06,0.0,0.0
1766,1.4768652444477733e-06,1.4768652444477733e-06,0.0,0.0
1767,1.3529140606546467e-06,1.3529140606546467e-06,0.0,0.0
1768,1.1839277038104358e-06,1.1839277038104358e-06,0.0,0.0
1769,1.0678456468277936e-06,1.0678456468277936e-06,0.0,0.0
1770,9.62276845127365e-07,9.62276845127365e-07,0.0,0.0
1771,1.1524635559518565e-06,1.1524635559518565e-06,0.0,0.0
1772,1.4146401749063183e-06,1.4146401749063183e-06,0.0,0.0
1773,1.6192785129273294e-06,1.6192785129273294e-06,0.0,0.0
1774,1.8138566377144474e-06,1.8138566377144474e-06,0.0,0.0
1775,1.8109758944514657e-06,1.8109758944514657e-06,0.0,0.0
1776,1.8299173234481714e-06,1.8299173234481714e-06,0.0,0.0
1777,1.8346620761024366e-06,1.8346620761024366e-06,0.0,0.0
1778,1.7605154718174681e-06,1.7605154718174681e-06,0.0,0.0
1779,1.5328775150789755e-06,1.5328775150789755e-06,0.0,0.0
1780,1.3346174146785676e-06,1.3346174146785676e-06,0.0,0.0
1781,1.1830338816512916e-06,1.1830338816512916e-06,0.0,0.0
1782,1.2018870084570414e-06,1.2018870084570414e-06,0.0,0.0
1783,1.200673498910224e-06,1.200673498910224e-06,0.0,0.0
1784,1.497088784877373e-06,1.497088784877373e-06,0.0,0.0
1785,1.5620162149129361e-06,1.5620162149129361e-06,0.0,0.0
1786,1.8410847977585426e-06,1.8410847977585426e-06,0.0,0.0
1787,1.9775589927511258e-06,1.9775589927511258e-06,0.0,0.0
1788,2.0078152017179363e-06,2.0078152017179363e-06,0.0,0.0
1789,2.1778571246094155e-06,2.1778571246094155e-06,0.0,0.0
1790,2.531182677297953e-06,2.531182677297953e-06,0.0,0.0
1791,2.600288553367136e-06,2.600288553367136e-06,0.0,0.0
1792,2.771753819225913e-06,2.771753819225913e-06,0.0,0.0
1793,3.1102269174100783e-06,3.1102269174100783e-06,0.0,0.0
1794,3.2306314129268036e-06,3.2306314129268036e-06,0.0,0.0
1795,3.5606539248484685e-06,3.5606539248484685e-06,0.0,0.0
1796,3.866341103275772e-06,3.866341103275772e-06,0.0,0.0
1797,3.970778444844265e-06,3.970778444844265e-06,0.0,0.0
1798,4.033886528174792e-06,4.033886528174792e-06,0.0,0.0
1799,4.316082660287586e-06,4.316082660287586e-06,0.0,0.0
1800,4.408376168742377e-06,4.408376168742377e-06,0.0,0.0
1801,4.680562791950901e-06,4.680562791950901e-06,0.0,0.0
1802,4.799582256964641e-06,4.799582256964641e-06,0.0,0.0
1803,4.566942834571819e-06,4.566942834571819e-06,0.0,0.0
1804,4.448040012253582e-06,4.448040012253582e-06,0.0,0.0
1805,4.472659124335873e-06,4.472659124335873e-06,0.0,0.0
1806,4.234220958616268e-06,4.234220958616268e-06,0.0,0.0
1807,4.035574387931515e-06,4.035574387931515e-06,0.0,0.0
1808,3.915214522619083e-06,3.915214522619083e-06,0.0,0.0
1809,4.217936910728375e-06,4.217936910728375e-06,0.0,0.0
1810,5.4678303058608435e-06,5.4678303058608435e-06,0.0,0.0
1811,6.086321231383149e-06,6.086321231383149e-06,0.0,0.0
1812,6.637822252741898e-06,6.637822252741898e-06,0.0,0.0
1813,7.4340754118955895e-06,7.4340754118955895e-06,0.0,0.0
1814,7.512473140585436e-06,7.512473140585436e-06,2.0895813650818289e-10,2.0895813650818289e-10
1815,7.650799748911855e-06,7.650799748911855e-06,2.0895813650818289e-10,2.0895813650818289e-10
1816,7.440489623279843e-06,7.440489623279843e-06,2.0895813650818289e-10,2.0895813650818289e-10
1817,6.3899568496188815e-06,6.3899568496188815e-06,3.8030570756067815e-10,3.8030570756067815e-10
1818,5.973135687651977e-06,5.973135687651977e-06,3.8030570756067815e-10,3.8030570756067815e-10
1819,5.483004120573501e-06,5.483004120573501e-06,5.306031487200308e-10,5.306031487200308e-10
1820,4.805891096891303e-06,4.805891096891303e-06,5.306031487200308e-10,5.306031487200308e-10
1821,4.864797899374805e-06,4.864797899374805e-06,3.2164501221184795e-10,3.2164501221184795e-10
1822,4.8906324211982015e-06,4.8906324211982015e-06,3.2164501221184795e-10,3.2164501221184795e-10
1823,4.9811760618467815e-06,4.9811760618467815e-06,3.2164501221184795e-10,3.2164501221184795e-10
1824,5.046770833619771e-06,5.046770833619771e-06,1.5029744115935273e-10,1.5029744115935273e-10
1825,5.139911406461449e-06,5.139911406461449e-06,1.5029744115935273e-10,1.5029744115935273e-10
1826,5.194779662685635e-06,5.194779662685635e-06,0.0,0.0
1827,5.4061270670250195e-06,5.4061270670250195e-06,0.0,0.0
1828,5.364060078656101e-06,5.364060078656101e-06,6.619758709445835e-10,6.619758709445835e-10
