ngram,NEC,NE,NC,NC
1500,0.0,2.438157821416098e-06,0.0,0.0
1501,0.0,1.9505262571328784e-06,0.0,0.0
1502,0.0,1.625438547610732e-06,0.0,0.0
1503,0.0,1.393233040809199e-06,0.0,0.0
1504,0.0,3.239450571917197e-07,0.0,0.0
1505,0.0,3.156638480764481e-07,0.0,0.0
1506,0.0,3.156638480764481e-07,0.0,0.0
1507,0.0,3.156638480764481e-07,0.0,0.0
1508,0.0,3.156638480764481e-07,0.0,0.0
1509,0.0,3.156638480764481e-07,0.0,0.0
1510,0.0,3.156638480764481e-07,0.0,0.0
1511,0.0,3.156638480764481e-07,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,0.0,0.0,0.0,0.0
1515,0.0,0.0,0.0,0.0
1516,0.0,0.0,0.0,0.0
1517,0.0,0.0,0.0,0.0
1518,0.0,0.0,0.0,0.0
1519,0.0,0.0,0.0,0.0
1520,0.0,2.979113885105887e-07,0.0,0.0
1521,0.0,2.979113885105887e-07,0.0,0.0
1522,0.0,2.979113885105887e-07,0.0,0.0
1523,0.0,2.979113885105887e-07,0.0,0.0
1524,0.0,2.362589482020537e-06,0.0,0.0
1525,0.0,2.362589482020537e-06,0.0,0.0
1526,0.0,2.362589482020537e-06,0.0,0.0
1527,0.0,2.064678093509948e-06,0.0,0.0
1528,0.0,5.01453701612523e-05,0.0,0.0
1529,0.0,5.01453701612523e-05,0.0,0.0
1530,0.0,5.01453701612523e-05,0.0,0.0
1531,0.0,4.808069206774235e-05,0.0,0.0
1532,0.0,4.988435843448055e-05,0.0,0.0
1533,0.0,4.988435843448055e-05,0.0,0.0
1534,0.0,4.988435843448055e-05,0.0,0.0
1535,0.0,1.8036663667382008e-06,0.0,0.0
1536,0.0,1.8036663667382008e-06,0.0,0.0
1537,0.0,1.8036663667382008e-06,0.0,0.0
1538,0.0,4.980104936943722e-06,0.0,0.0
1539,0.0,4.0065497159957886e-06,8.301111457902672e-07,8.301111457902672e-07
1540,0.0,4.0065497159957886e-06,8.301111457902672e-07,8.301111457902672e-07
1541,0.0,4.0065497159957886e-06,8.301111457902672e-07,8.301111457902672e-07
1542,0.0,4.0065497159957886e-06,8.301111457902672e-07,8.301111457902672e-07
1543,0.0,2.6823534946223454e-05,8.301111457902672e-07,8.301111457902672e-07
1544,0.0,2.6823534946223454e-05,8.301111457902672e-07,8.301111457902672e-07
1545,0.0,2.3647096376017934e-05,8.301111457902672e-07,8.301111457902672e-07
1546,0.0,2.2816985230227666e-05,0.0,0.0
1547,0.0,2.2816985230227666e-05,0.0,0.0
1548,0.0,2.2816985230227666e-05,0.0,0.0
1549,0.0,2.2816985230227666e-05,0.0,0.0
1550,0.0,0.0,0.0,0.0
1551,0.0,2.361197143077983e-06,0.0,0.0
1552,0.0,2.361197143077983e-06,0.0,0.0
1553,0.0,2.361197143077983e-06,0.0,0.0
1554,0.0,2.361197143077983e-06,0.0,0.0
1555,0.0,7.16907717495425e-06,0.0,0.0
1556,0.0,7.16907717495425e-06,0.0,0.0
1557,0.0,7.16907717495425e-06,0.0,0.0
1558,0.0,5.489928688413264e-06,0.0,0.0
1559,0.0,5.489928688413264e-06,0.0,0.0
1560,0.0,5.938618934513735e-06,0.0,0.0
1561,0.0,5.938618934513735e-06,0.0,0.0
1562,0.0,1.1307389026374689e-06,0.0,0.0
1563,0.0,1.1307389026374689e-06,0.0,0.0
1564,0.0,1.1307389026374689e-06,0.0,0.0
1565,0.0,4.4869024610047094e-07,0.0,0.0
1566,0.0,1.5678054296586197e-05,0.0,0.0
1567,0.0,1.5229364050485725e-05,0.0,0.0
1568,0.0,1.5229364050485725e-05,0.0,0.0
1569,1.4854106536534215e-06,1.5972069377312437e-05,0.0,0.0
1570,1.4854106536534215e-06,1.5972069377312437e-05,0.0,0.0
1571,1.4854106536534215e-06,1.5972069377312437e-05,0.0,0.0
1572,1.4854106536534215e-06,1.5972069377312437e-05,0.0,0.0
1573,1.4854106536534215e-06,7.427053268267108e-07,0.0,0.0
1574,2.0301221996175755e-06,1.2874168727908649e-06,0.0,0.0
1575,2.0301221996175755e-06,1.2874168727908649e-06,0.0,0.0
1576,5.447115459641541e-07,9.953919938457797e-07,0.0,0.0
1577,5.447115459641541e-07,3.5468679016048554e-06,0.0,0.0
1578,5.447115459641541e-07,3.7877810135406823e-06,0.0,0.0
1579,5.447115459641541e-07,3.7877810135406823e-06,0.0,0.0
1580,5.447115459641541e-07,3.7877810135406823e-06,0.0,0.0
1581,0.0,3.243069467576528e-06,0.0,0.0
1582,0.0,3.243069467576528e-06,0.0,0.0
1583,0.0,4.47456807251001e-06,0.0,0.0
1584,0.0,1.9230921647509343e-06,0.0,0.0
1585,0.0,1.8708971408289341e-06,0.0,0.0
1586,0.0,2.589790986868528e-06,0.0,0.0
1587,0.0,2.589790986868528e-06,0.0,0.0
1588,0.0,3.2592968019733755e-06,0.0,0.0
1589,0.0,3.2592968019733755e-06,0.0,0.0
1590,0.0,2.6170203487449077e-06,0.0,0.0
1591,0.0,2.8835538127428402e-06,0.0,0.0
1592,0.0,2.6948357247290133e-06,0.0,0.0
1593,0.0,1.9759418786894197e-06,0.0,0.0
1594,0.0,2.3112050452514917e-06,0.0,0.0
1595,0.0,1.6416992301466443e-06,0.0,0.0
1596,0.0,1.6416992301466443e-06,0.0,0.0
1597,0.0,9.649829085641874e-07,0.0,0.0
1598,0.0,8.311511935841866e-07,1.3270174901793196e-07,1.3270174901793196e-07
1599,0.0,2.128173792113687e-06,1.3270174901793196e-07,1.3270174901793196e-07
1600,0.0,2.234679876827223e-06,2.39207833731468e-07,2.39207833731468e-07
1601,0.0,2.290064433704434e-06,2.39207833731468e-07,2.39207833731468e-07
1602,0.0,2.4988658700359726e-06,2.39207833731468e-07,2.39207833731468e-07
1603,0.0,3.3230860887150423e-06,2.39207833731468e-07,2.39207833731468e-07
1604,0.0,2.9598998107108595e-06,2.39207833731468e-07,2.39207833731468e-07
1605,0.0,2.8271980616929274e-06,1.0650608471353604e-07,1.0650608471353604e-07
1606,0.0,1.6903356773972128e-06,1.0650608471353604e-07,1.0650608471353604e-07
1607,0.0,2.330326667885986e-06,0.0,0.0
1608,0.0,1.9396789444467037e-06,0.0,0.0
1609,0.0,1.9195514856359556e-06,0.0,0.0
1610,0.0,1.0953312669568862e-06,0.0,0.0
1611,0.0,1.3001558240180851e-06,0.0,0.0
1612,0.0,1.3001558240180851e-06,0.0,0.0
1613,0.0,1.2998060908232998e-06,0.0,0.0
1614,0.0,5.533090156209905e-07,0.0,0.0
1615,0.0,9.342522681825878e-07,0.0,0.0
1616,0.0,7.455782906617969e-07,0.0,0.0
1617,0.0,8.691196252844488e-07,0.0,0.0
1618,0.0,6.642950682232498e-07,0.0,0.0
1619,0.0,1.339502050866161e-06,0.0,0.0
1620,1.0073891384568664e-07,1.5826472252099068e-06,0.0,0.0
1621,1.0073891384568664e-07,1.5826472252099068e-06,0.0,0.0
1622,1.0073891384568664e-07,1.2017039726483096e-06,0.0,0.0
1623,1.0073891384568664e-07,1.2017039726483096e-06,0.0,0.0
1624,2.500711064255613e-07,3.318145445518894e-06,2.389315081277995e-06,2.389315081277995e-06
1625,2.500711064255613e-07,3.318145445518894e-06,2.389315081277995e-06,2.389315081277995e-06
1626,2.500711064255613e-07,2.642938462875983e-06,2.389315081277995e-06,2.389315081277995e-06
1627,1.493321925798747e-07,3.1986108816844146e-06,2.389315081277995e-06,2.389315081277995e-06
1628,1.493321925798747e-07,3.7227038904217935e-06,2.389315081277995e-06,2.389315081277995e-06
1629,1.493321925798747e-07,3.9702919301427234e-06,2.389315081277995e-06,2.389315081277995e-06
1630,1.493321925798747e-07,4.229038917661196e-06,2.4755640798243154e-06,2.4755640798243154e-06
1631,0.0,2.045736096079054e-06,8.624899854632012e-08,8.624899854632012e-08
1632,0.0,2.3206144987852895e-06,8.624899854632012e-08,8.624899854632012e-08
1633,0.0,2.4577072963438695e-06,8.624899854632012e-08,8.624899854632012e-08
1634,0.0,1.6224973852071604e-06,7.033397894571993e-07,7.033397894571993e-07
1635,0.0,1.0984043764697811e-06,7.033397894571993e-07,7.033397894571993e-07
1636,0.0,1.4587272078512927e-06,7.033397894571993e-07,7.033397894571993e-07
1637,0.0,1.346300475038983e-06,6.170907909108792e-07,6.170907909108792e-07
1638,6.733503710165678e-08,1.4242905633312018e-06,6.170907909108792e-07,6.170907909108792e-07
1639,6.733503710165678e-08,1.6945037779286004e-06,6.949610207941857e-07,6.949610207941857e-07
1640,3.7575920990613146e-07,2.2770673727531436e-06,7.977690756888478e-07,7.977690756888478e-07
1641,3.7575920990613146e-07,2.153649209698675e-06,1.8067828477796866e-07,1.8067828477796866e-07
1642,3.7575920990613146e-07,2.153649209698675e-06,1.8067828477796866e-07,1.8067828477796866e-07
1643,3.7575920990613146e-07,1.6360607852610492e-06,1.8067828477796866e-07,1.8067828477796866e-07
1644,3.7575920990613146e-07,1.489740530554887e-06,2.7233975125844676e-07,2.7233975125844676e-07
1645,3.084241728044747e-07,1.4533041183182962e-06,3.2145658224180806e-07,3.2145658224180806e-07
1646,3.084241728044747e-07,9.082125010146618e-07,1.2509704885945081e-06,1.2509704885945081e-06
1647,0.0,2.9260166099577744e-07,1.2522079860640848e-06,1.2522079860640848e-06
1648,0.0,3.8430013254193387e-07,1.2522079860640848e-06,1.2522079860640848e-06
1649,0.0,4.6252790752987494e-07,1.2522079860640848e-06,1.2522079860640848e-06
1650,0.0,5.039658747461675e-07,1.2522079860640848e-06,1.2522079860640848e-06
1651,0.0,5.469659559561737e-07,1.203546600793613e-06,1.203546600793613e-06
1652,0.0,4.4873229398945114e-07,1.265772563588793e-06,1.265772563588793e-06
1653,0.0,5.241080722433773e-07,3.337642056067125e-07,3.337642056067125e-07
1654,0.0,4.615457060351348e-07,3.541682076502184e-07,3.541682076502184e-07
1655,0.0,4.86053323811575e-07,4.122712523115167e-07,4.122712523115167e-07
1656,0.0,5.437475424839379e-07,4.5757858353161804e-07,4.5757858353161804e-07
1657,0.0,6.344225888759476e-07,5.409918831641594e-07,5.409918831641594e-07
1658,0.0,6.450381420108897e-07,5.516074362991016e-07,5.516074362991016e-07
1659,0.0,7.41539695679551e-07,4.724318277534881e-07,4.724318277534881e-07
1660,0.0,7.463387175578516e-07,3.97056049499562e-07,3.97056049499562e-07
1661,0.0,7.048555314018554e-07,4.06977313056294e-07,4.06977313056294e-07
1662,0.0,5.886494420792587e-07,3.488742683949957e-07,3.488742683949957e-07
1663,0.0,7.155073628187633e-07,3.035669371748944e-07,3.035669371748944e-07
1664,0.0,6.109808420465665e-07,2.5945661872940816e-07,2.5945661872940816e-07
1665,0.0,6.896400545234169e-07,2.0584098438445964e-07,2.0584098438445964e-07
1666,0.0,6.330868984605331e-07,2.1362219675730948e-07,2.1362219675730948e-07
1667,0.0,5.853644142104843e-07,3.1097914643396507e-07,3.1097914643396507e-07
1668,0.0,7.166240619328943e-07,2.2036154437695847e-07,2.2036154437695847e-07
1669,0.0,7.765322465047575e-07,2.5031563666289003e-07,2.5031563666289003e-07
1670,0.0,5.524015002882672e-07,3.662631371526004e-07,3.662631371526004e-07
1671,0.0,4.736027534590903e-07,3.6607034863728974e-07,3.6607034863728974e-07
1672,0.0,1.054745360257974e-06,9.81085412783094e-07,9.81085412783094e-07
1673,2.4742870355761885e-08,1.0890255757496042e-06,9.906227558888401e-07,9.906227558888401e-07
1674,1.2233444530400967e-07,1.186695357091594e-06,9.257963305182264e-07,9.257963305182264e-07
1675,1.2233444530400967e-07,1.1583912079718824e-06,9.163616141449893e-07,9.163616141449893e-07
1676,1.2233444530400967e-07,1.1843760440959677e-06,9.29354032207032e-07,9.29354032207032e-07
1677,1.2233444530400967e-07,1.246485473822239e-06,8.134065317173216e-07,8.134065317173216e-07
1678,1.2233444530400967e-07,1.267130995431996e-06,8.141334818999115e-07,8.141334818999115e-07
1679,1.2233444530400967e-07,7.382876958672568e-07,2.452619562680931e-07,2.452619562680931e-07
1680,9.75915749482478e-08,7.183648693041635e-07,1.9577621555656931e-07,1.9577621555656931e-07
1681,4.475169492122534e-08,8.120012385656342e-07,1.8562153871114007e-07,1.8562153871114007e-07
1682,4.475169492122534e-08,8.904950326333554e-07,1.71464072146981e-07,1.71464072146981e-07
1683,1.3302060811578746e-07,1.0694087515210931e-06,2.1678647499356885e-07,2.1678647499356885e-07
1684,1.3302060811578746e-07,1.0563148943479713e-06,2.460080545623506e-07,2.460080545623506e-07
1685,1.3302060811578746e-07,1.158205833462489e-06,2.061709117080162e-07,2.061709117080162e-07
1686,1.3302060811578746e-07,1.111777720552709e-06,2.152857864043004e-07,2.152857864043004e-07
1687,1.3302060811578746e-07,1.0986720237074872e-06,3.388860514113341e-07,3.388860514113341e-07
1688,8.826891319456211e-08,9.680967139047425e-07,3.6310178229216815e-07,3.6310178229216815e-07
1689,8.826891319456211e-08,8.813609326807637e-07,3.429407493220944e-07,3.429407493220944e-07
1690,0.0,7.411759343410398e-07,2.754421270115667e-07,2.754421270115667e-07
1691,0.0,9.226377731660509e-07,2.7068660049930517e-07,2.7068660049930517e-07
1692,0.0,8.556632979304725e-07,2.9435464503941536e-07,2.9435464503941536e-07
1693,0.0,9.99678016049594e-07,2.70447425724082e-07,2.70447425724082e-07
1694,0.0,1.007249027549863e-06,1.4684716071704835e-07,1.4684716071704835e-07
1695,0.0,1.0381202985497242e-06,1.002555823756016e-07,1.002555823756016e-07
1696,0.0,1.0851203049761743e-06,1.002555823756016e-07,1.002555823756016e-07
1697,1.4694149643089207e-08,1.0192751623045687e-06,8.683236631311177e-08,8.683236631311177e-08
1698,1.4694149643089207e-08,7.605198533155999e-07,7.273758382910143e-08,7.273758382910143e-08
1699,1.4694149643089207e-08,7.311953770080695e-07,8.82781604007375e-08,8.82781604007375e-08
1700,1.4694149643089207e-08,5.140238812373354e-07,6.992481920471099e-08,6.992481920471099e-08
1701,1.4694149643089207e-08,6.005874106611892e-07,9.892509719325712e-08,9.892509719325712e-08
1702,1.4694149643089207e-08,5.484439437200958e-07,9.892509719325712e-08,9.892509719325712e-08
1703,1.4694149643089207e-08,5.833897834658533e-07,1.5413114543402377e-07,1.5413114543402377e-07
1704,0.0,5.939073182454584e-07,1.7276936960440382e-07,1.7276936960440382e-07
1705,0.0,6.384828777429772e-07,1.7155590370521168e-07,1.7155590370521168e-07
1706,0.0,9.053966526347981e-07,1.323472825934654e-07,1.323472825934654e-07
1707,0.0,9.254745561650322e-07,1.1934942989455521e-07,1.1934942989455521e-07
1708,0.0,1.0216407417829032e-06,9.999501924897101e-08,9.999501924897101e-08
1709,0.0,1.3225052839516138e-06,1.6012009800598597e-07,1.6012009800598597e-07
1710,0.0,1.4212862993190356e-06,1.3934409638847812e-07,1.3934409638847812e-07
1711,4.8461645617083245e-08,1.5555310710624326e-06,1.4243578354873015e-07,1.4243578354873015e-07
1712,5.9325065495029e-08,2.88023859086804e-06,2.7450243221340186e-07,2.7450243221340186e-07
1713,5.9325065495029e-08,3.0888778772870344e-06,3.1777449294168036e-07,3.1777449294168036e-07
1714,8.803989613527716e-08,3.21438614849155e-06,6.336376502856313e-07,6.336376502856313e-07
1715,1.1068460281649095e-07,3.288588881592399e-06,6.466364896238832e-07,6.466364896238832e-07
1716,1.372494773071204e-07,3.24344682667288e-06,6.219312435210408e-07,6.219312435210408e-07
1717,1.372494773071204e-07,3.1208345652495543e-06,6.027840078510443e-07,6.027840078510443e-07
1718,8.878783169003717e-08,3.1572901174773245e-06,5.891905345833948e-07,5.891905345833948e-07
1719,7.792441181209142e-08,1.8961634477169094e-06,4.545509523065253e-07,4.545509523065253e-07
1720,1.0510779548310114e-07,1.6361576545672766e-06,4.7470678816401754e-07,4.7470678816401754e-07
1721,7.639296484285296e-08,1.8285448878227077e-06,4.3040543116847273e-07,4.3040543116847273e-07
1722,5.374825816163918e-08,1.7933068729040054e-06,4.3867107127734274e-07,4.3867107127734274e-07
1723,3.3358559850934655e-08,1.6200528258585628e-06,4.341271200303254e-07,4.341271200303254e-07
1724,3.3358559850934655e-08,1.649223228079271e-06,4.3058614857776387e-07,4.3058614857776387e-07
1725,4.07115128910261e-08,1.8062882369512018e-06,4.665733079889378e-07,4.665733079889378e-07
