ngram,Procter,Procter,Proter,Proter
1500,0.0,0.0,0.0,0.0
1501,0.0,0.0,0.0,0.0
1502,0.0,0.0,0.0,0.0
1503,0.0,0.0,0.0,0.0
1504,0.0,0.0,0.0,0.0
1505,0.0,0.0,0.0,0.0
1506,0.0,0.0,0.0,0.0
1507,0.0,0.0,0.0,0.0
1508,0.0,0.0,0.0,0.0
1509,0.0,0.0,0.0,0.0
1510,0.0,0.0,0.0,0.0
1511,0.0,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,0.0,0.0,0.0,0.0
1515,0.0,0.0,0.0,0.0
1516,0.0,0.0,0.0,0.0
1517,0.0,0.0,0.0,0.0
1518,0.0,0.0,0.0,0.0
1519,0.0,0.0,0.0,0.0
1520,0.0,0.0,0.0,0.0
1521,0.0,0.0,0.0,0.0
1522,0.0,0.0,0.0,0.0
1523,0.0,0.0,0.0,0.0
1524,0.0,0.0,0.0,0.0
1525,0.0,0.0,0.0,0.0
1526,0.0,0.0,0.0,0.0
1527,0.0,0.0,0.0,0.0
1528,0.0,0.0,0.0,0.0
1529,0.0,0.0,0.0,0.0
1530,0.0,0.0,0.0,0.0
1531,0.0,0.0,0.0,0.0
1532,0.0,0.0,0.0,0.0
1533,0.0,0.0,0.0,0.0
1534,0.0,0.0,0.0,0.0
1535,0.0,0.0,0.0,0.0
1536,0.0,0.0,0.0,0.0
1537,0.0,0.0,0.0,0.0
1538,0.0,0.0,0.0,0.0
1539,0.0,0.0,0.0,0.0
1540,0.0,0.0,0.0,0.0
1541,0.0,0.0,0.0,0.0
1542,0.0,0.0,0.0,0.0
1543,0.0,0.0,0.0,0.0
1544,0.0,0.0,0.0,0.0
1545,0.0,0.0,0.0,0.0
1546,8.391185864249045e-07,8.391185864249045e-07,0.0,0.0
1547,8.391185864249045e-07,8.391185864249045e-07,0.0,0.0
1548,8.391185864249045e-07,8.391185864249045e-07,0.0,0.0
1549,4.477091676692778e-06,4.477091676692778e-06,0.0,0.0
1550,4.477091676692778e-06,4.477091676692778e-06,0.0,0.0
1551,4.477091676692778e-06,4.477091676692778e-06,0.0,0.0
1552,4.477091676692778e-06,4.477091676692778e-06,0.0,0.0
1553,3.637973090267873e-06,3.637973090267873e-06,0.0,0.0
1554,3.637973090267873e-06,3.637973090267873e-06,0.0,0.0
1555,3.637973090267873e-06,3.637973090267873e-06,0.0,0.0
1556,0.0,0.0,0.0,0.0
1557,0.0,0.0,0.0,0.0
1558,0.0,0.0,0.0,0.0
1559,0.0,0.0,0.0,0.0
1560,0.0,0.0,0.0,0.0
1561,0.0,0.0,0.0,0.0
1562,0.0,0.0,0.0,0.0
1563,0.0,0.0,0.0,0.0
1564,0.0,0.0,0.0,0.0
1565,0.0,0.0,0.0,0.0
1566,0.0,0.0,0.0,0.0
1567,0.0,0.0,0.0,0.0
1568,0.0,0.0,0.0,0.0
1569,0.0,0.0,0.0,0.0
1570,0.0,0.0,0.0,0.0
1571,0.0,0.0,0.0,0.0
1572,1.0399215690475622e-06,1.0399215690475622e-06,0.0,0.0
1573,1.0399215690475622e-06,1.0399215690475622e-06,0.0,0.0
1574,1.0399215690475622e-06,1.0399215690475622e-06,0.0,0.0
1575,1.0399215690475622e-06,1.0399215690475622e-06,0.0,0.0
1576,1.0399215690475622e-06,1.0399215690475622e-06,0.0,0.0
1577,1.0399215690475622e-06,1.0399215690475622e-06,0.0,0.0
1578,1.0399215690475622e-06,1.0399215690475622e-06,0.0,0.0
1579,0.0,0.0,0.0,0.0
1580,0.0,0.0,0.0,0.0
1581,0.0,0.0,0.0,0.0
1582,0.0,0.0,0.0,0.0
1583,7.209339076195777e-07,7.209339076195777e-07,0.0,0.0
1584,7.209339076195777e-07,7.209339076195777e-07,0.0,0.0
1585,7.209339076195777e-07,7.209339076195777e-07,0.0,0.0
1586,7.209339076195777e-07,7.209339076195777e-07,0.0,0.0
1587,1.0670134672961597e-06,1.0670134672961597e-06,0.0,0.0
1588,1.0670134672961597e-06,1.0670134672961597e-06,0.0,0.0
1589,1.0670134672961597e-06,1.0670134672961597e-06,0.0,0.0
1590,3.46079559676582e-07,3.46079559676582e-07,0.0,0.0
1591,3.46079559676582e-07,3.46079559676582e-07,0.0,0.0
1592,3.46079559676582e-07,3.46079559676582e-07,0.0,0.0
1593,3.46079559676582e-07,3.46079559676582e-07,0.0,0.0
1594,0.0,0.0,0.0,0.0
1595,0.0,0.0,0.0,0.0
1596,0.0,0.0,0.0,0.0
1597,0.0,0.0,0.0,0.0
1598,8.84678326786213e-08,8.84678326786213e-08,0.0,0.0
1599,8.84678326786213e-08,8.84678326786213e-08,0.0,0.0
1600,8.84678326786213e-08,8.84678326786213e-08,0.0,0.0
1601,8.84678326786213e-08,8.84678326786213e-08,0.0,0.0
1602,8.84678326786213e-08,8.84678326786213e-08,0.0,0.0
1603,8.84678326786213e-08,8.84678326786213e-08,0.0,0.0
1604,8.84678326786213e-08,8.84678326786213e-08,0.0,0.0
1605,0.0,0.0,0.0,0.0
1606,0.0,0.0,0.0,0.0
1607,0.0,0.0,0.0,0.0
1608,0.0,0.0,0.0,0.0
1609,0.0,0.0,0.0,0.0
1610,0.0,0.0,0.0,0.0
1611,0.0,0.0,0.0,0.0
1612,0.0,0.0,0.0,0.0
1613,0.0,0.0,0.0,0.0
1614,0.0,0.0,0.0,0.0
1615,3.809432525615973e-07,3.809432525615973e-07,0.0,0.0
1616,3.809432525615973e-07,3.809432525615973e-07,0.0,0.0
