ngram,SAP,SAP,SP,SP
1500,0.0,0.0,1.295780293730786e-06,1.295780293730786e-06
1501,0.0,0.0,1.0366242349846288e-06,1.0366242349846288e-06
1502,0.0,0.0,8.638535291538574e-07,8.638535291538574e-07
1503,0.0,0.0,7.404458821318778e-07,7.404458821318778e-07
1504,0.0,0.0,7.404458821318778e-07,7.404458821318778e-07
1505,0.0,0.0,0.0,0.0
1506,0.0,0.0,0.0,0.0
1507,0.0,0.0,0.0,0.0
1508,0.0,0.0,0.0,0.0
1509,0.0,0.0,0.0,0.0
1510,0.0,0.0,0.0,0.0
1511,0.0,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,0.0,0.0,0.0,0.0
1515,0.0,0.0,0.0,0.0
1516,0.0,0.0,0.0,0.0
1517,0.0,0.0,0.0,0.0
1518,0.0,0.0,0.0,0.0
1519,0.0,0.0,0.0,0.0
1520,0.0,0.0,0.0,0.0
1521,0.0,0.0,0.0,0.0
1522,0.0,0.0,0.0,0.0
1523,0.0,0.0,0.0,0.0
1524,0.0,0.0,0.0,0.0
1525,0.0,0.0,0.0,0.0
1526,0.0,0.0,1.2712989700958133e-06,1.2712989700958133e-06
1527,0.0,0.0,1.2712989700958133e-06,1.2712989700958133e-06
1528,0.0,0.0,1.2712989700958133e-06,1.2712989700958133e-06
1529,0.0,0.0,1.2712989700958133e-06,1.2712989700958133e-06
1530,0.0,0.0,2.0002474749552287e-06,2.0002474749552287e-06
1531,0.0,0.0,2.0002474749552287e-06,2.0002474749552287e-06
1532,0.0,0.0,2.4511640666397786e-06,2.4511640666397786e-06
1533,0.0,0.0,1.1798650965439656e-06,1.1798650965439656e-06
1534,0.0,0.0,1.1798650965439656e-06,1.1798650965439656e-06
1535,0.0,0.0,1.1798650965439656e-06,1.1798650965439656e-06
1536,0.0,0.0,1.1798650965439656e-06,1.1798650965439656e-06
1537,0.0,0.0,4.509165916845502e-07,4.509165916845502e-07
1538,0.0,0.0,4.509165916845502e-07,4.509165916845502e-07
1539,0.0,0.0,2.4903334373708016e-06,2.4903334373708016e-06
1540,0.0,0.0,2.4903334373708016e-06,2.4903334373708016e-06
1541,0.0,0.0,2.4903334373708016e-06,2.4903334373708016e-06
1542,0.0,0.0,2.4903334373708016e-06,2.4903334373708016e-06
1543,0.0,0.0,2.4903334373708016e-06,2.4903334373708016e-06
1544,0.0,0.0,2.4903334373708016e-06,2.4903334373708016e-06
1545,0.0,0.0,2.4903334373708016e-06,2.4903334373708016e-06
1546,0.0,0.0,0.0,0.0
1547,0.0,0.0,0.0,0.0
1548,0.0,0.0,0.0,0.0
1549,0.0,0.0,0.0,0.0
1550,0.0,0.0,0.0,0.0
1551,0.0,0.0,2.361197143077983e-06,2.361197143077983e-06
1552,0.0,0.0,2.361197143077983e-06,2.361197143077983e-06
1553,0.0,0.0,2.361197143077983e-06,2.361197143077983e-06
1554,0.0,0.0,2.361197143077983e-06,2.361197143077983e-06
1555,0.0,0.0,2.361197143077983e-06,2.361197143077983e-06
1556,0.0,0.0,2.361197143077983e-06,2.361197143077983e-06
1557,0.0,0.0,2.361197143077983e-06,2.361197143077983e-06
1558,0.0,0.0,0.0,0.0
1559,0.0,0.0,0.0,0.0
1560,0.0,0.0,0.0,0.0
1561,0.0,0.0,0.0,0.0
1562,0.0,0.0,0.0,0.0
1563,0.0,0.0,0.0,0.0
1564,0.0,0.0,0.0,0.0
1565,0.0,0.0,0.0,0.0
1566,0.0,0.0,0.0,0.0
1567,0.0,0.0,0.0,0.0
1568,0.0,0.0,0.0,0.0
1569,0.0,0.0,0.0,0.0
1570,0.0,0.0,0.0,0.0
1571,0.0,0.0,0.0,0.0
1572,0.0,0.0,0.0,0.0
1573,0.0,0.0,0.0,0.0
1574,0.0,0.0,0.0,0.0
1575,0.0,0.0,0.0,0.0
1576,0.0,0.0,0.0,0.0
1577,0.0,0.0,0.0,0.0
1578,0.0,0.0,0.0,0.0
1579,0.0,0.0,0.0,0.0
1580,0.0,0.0,0.0,0.0
1581,0.0,0.0,0.0,0.0
1582,0.0,0.0,8.379627485867656e-07,8.379627485867656e-07
1583,0.0,0.0,8.379627485867656e-07,8.379627485867656e-07
1584,0.0,0.0,8.379627485867656e-07,8.379627485867656e-07
