x_sums,y_sums,x_ture,y_ture
1,[5.78764845e-10],1,[1.05762951e-08]
2,[5.56044818e-10],2,[1.13714046e-08]
3,[4.29894761e-10],3,[1.15365467e-08]
4,[3.57589368e-10],4,[1.36292502e-08]
5,[4.68741106e-10],5,[1.16582926e-08]
6,[4.16865464e-10],6,[1.43534396e-08]
7,[4.74987118e-10],7,[1.3227093e-08]
8,[2.56510006e-11],8,[8.20866961e-09]
10,[2.21853577e-11],9,[8.88588728e-09]
11,[1.2898179e-10],10,[9.38704262e-09]
12,[3.01226979e-10],11,[1.00984522e-08]
13,[2.98693348e-10],12,[1.04420684e-08]
14,[4.19600383e-10],13,[7.94729041e-09]
15,[3.33838772e-10],14,[7.96460493e-09]
16,[4.89726609e-10],15,[8.02106789e-09]
17,[5.64661155e-10],16,[8.69292081e-09]
18,[1.02394154e-11],17,[9.15736758e-09]
19,[3.36322705e-11],18,[7.88466416e-09]
20,[1.07323924e-10],19,[9.13618136e-09]
22,[4.82134311e-11],20,[9.44828048e-09]
23,[1.60730671e-10],21,[1.19566224e-08]
24,[7.58810821e-11],22,[1.61022987e-08]
25,[3.30453077e-11],23,[1.64141065e-08]
26,[9.00365215e-11],24,[1.78659807e-08]
27,[8.41491726e-12],25,[1.73870734e-08]
28,[4.27272443e-11],26,[1.88018649e-08]
34,[4.64479583e-11],27,[1.77895123e-08]
36,[6.04481585e-11],28,[1.65574675e-08]
37,[3.04588741e-11],29,[1.83741436e-08]
38,[3.39547121e-11],30,[1.74711167e-08]
40,[2.32568633e-11],31,[1.70116974e-08]
41,[4.60777025e-11],32,[1.90682661e-08]
42,[2.8767556e-11],33,[1.74861724e-08]
43,[1.21719109e-10],34,[1.74197459e-08]
44,[5.75746969e-11],35,[1.64567279e-08]
45,[8.18306118e-11],36,[1.38575078e-08]
46,[9.39439296e-11],37,[1.33408564e-08]
47,[3.2742181e-11],38,[1.25167607e-08]
49,[3.35538797e-11],39,[1.23750657e-08]
50,[8.32164541e-11],40,[1.33710218e-08]
53,[3.62406693e-11],41,[1.68701149e-08]
54,[1.09016033e-10],42,[1.71298726e-08]
55,[4.98298561e-11],43,[1.66909028e-08]
57,[1.29261867e-10],44,[1.83722681e-08]
58,[1.25687991e-10],45,[2.19632351e-08]
59,[5.9675204e-11],46,[2.21984628e-08]
60,[3.19902809e-11],47,[2.24543201e-08]
61,[1.95167624e-10],48,[2.18924554e-08]
62,[2.21702259e-10],49,[2.28415308e-08]
63,[1.18050682e-10],50,[2.321688e-08]
64,[1.3933788e-10],51,[2.25677878e-08]
65,[1.62524438e-10],52,[2.01253562e-08]
66,[2.26117594e-11],53,[2.34687147e-08]
67,[6.69937898e-11],54,[2.27154548e-08]
68,[9.66116867e-11],55,[1.94540073e-08]
69,[9.25060373e-11],56,[1.73715393e-08]
70,[1.46917806e-10],57,[1.59597161e-08]
71,[8.98861139e-11],58,[2.01427425e-08]
72,[2.31787168e-11],59,[2.26483581e-08]
73,[2.49359396e-11],60,[2.02413438e-08]
74,[4.47749179e-12],61,[1.9795343e-08]
75,[2.63255005e-11],62,[2.36045701e-08]
76,[3.33270657e-11],63,[2.2740741e-08]
77,[2.22983361e-10],64,[2.03725314e-08]
78,[9.81538852e-11],65,[1.83946209e-08]
79,[2.69880264e-10],66,[1.87616708e-08]
80,[1.14532762e-10],67,[1.83905919e-08]
81,[1.83308257e-10],68,[2.04007471e-08]
82,[1.80787013e-10],69,[1.96904127e-08]
83,[3.07376685e-10],70,[1.9249412e-08]
84,[7.5108935e-11],71,[2.07861887e-08]
85,[2.33535898e-10],72,[2.23645531e-08]
86,[2.17031301e-10],73,[2.07519808e-08]
87,[1.30964213e-10],74,[2.42456846e-08]
88,[1.61847414e-10],75,[2.3931805e-08]
89,[1.60228784e-10],76,[2.29576028e-08]
90,[2.66833857e-10],77,[2.2201862e-08]
91,[1.12620791e-10],78,[2.22408541e-08]
92,[2.69887392e-10],79,[2.20406606e-08]
93,[1.58666354e-10],80,[2.12094558e-08]
94,[2.16527375e-10],81,[2.24676044e-08]
95,[1.96307226e-10],82,[2.20200596e-08]
96,[1.21467819e-10],83,[2.56312483e-08]
97,[1.23818577e-10],84,[2.59625998e-08]
98,[2.8611456e-11],85,[2.6164048e-08]
99,[1.3408765e-10],86,[2.62007623e-08]
100,[1.74439372e-10],87,[2.58854437e-08]
101,[2.38919618e-10],88,[2.74414304e-08]
102,[9.37429401e-11],89,[2.90737761e-08]
103,[6.27082832e-11],90,[3.13687465e-08]
104,[1.94584225e-10],91,[2.92965509e-08]
105,[1.33371784e-10],92,[3.15772443e-08]
106,[1.64508577e-10],93,[3.36422942e-08]
107,[1.87015837e-10],94,[3.08707966e-08]
108,[2.4836818e-10],95,[3.31781924e-08]
109,[1.52448785e-10],96,[3.22462163e-08]
110,[1.78075711e-10],97,[3.3628125e-08]
111,[2.33970538e-10],98,[3.30060783e-08]
112,[9.09178259e-11],99,[3.33998885e-08]
113,[1.8153553e-10],100,[3.45413233e-08]
114,[1.79029958e-10],101,[3.45388201e-08]
115,[5.17498003e-10],102,[3.71842182e-08]
116,[3.39549926e-10],103,[3.56444731e-08]
