ngram,agent,agnt,agt,agentt
1500,5.296731978887692e-05,0.0,5.487997611908213e-07,0.0
1501,4.237385583110154e-05,0.0,4.3903980895265704e-07,0.0
1502,6.816947522262733e-05,0.0,3.6586650746054755e-07,0.0
1503,5.843097876225199e-05,0.0,3.1359986353761216e-07,0.0
1504,4.172335424560255e-05,0.0,4.627786763324236e-08,0.0
1505,4.047482902283913e-05,0.0,0.0,0.0
1506,4.047482902283913e-05,0.0,0.0,0.0
1507,4.047482902283913e-05,0.0,0.0,0.0
1508,4.047482902283913e-05,0.0,0.0,0.0
1509,1.2310890139945383e-05,0.0,0.0,0.0
1510,1.2310890139945383e-05,0.0,0.0,0.0
1511,1.2310890139945383e-05,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,2.2852891561342403e-06,0.0,0.0,0.0
1515,2.2852891561342403e-06,0.0,0.0,0.0
1516,2.2852891561342403e-06,0.0,0.0,0.0
1517,2.2852891561342403e-06,0.0,0.0,0.0
1518,2.2852891561342403e-06,0.0,0.0,0.0
1519,2.2852891561342403e-06,0.0,0.0,0.0
1520,4.3706689081903145e-06,0.0,2.979113885105887e-07,0.0
1521,2.0853797520560746e-06,0.0,2.979113885105887e-07,0.0
1522,2.0853797520560746e-06,0.0,2.979113885105887e-07,0.0
1523,2.7014247539877293e-06,0.0,2.979113885105887e-07,0.0
1524,2.7014247539877293e-06,0.0,2.979113885105887e-07,0.0
1525,2.7014247539877293e-06,0.0,2.979113885105887e-07,0.0
1526,3.337074239035636e-06,0.0,2.979113885105887e-07,0.0
1527,1.2516944869795615e-06,0.0,0.0,0.0
1528,2.2969269204103123e-06,0.0,0.0,0.0
1529,2.2969269204103123e-06,0.0,0.0,0.0
1530,1.6808819184786574e-06,0.0,0.0,0.0
1531,1.6808819184786574e-06,0.0,0.0,0.0
1532,3.935464974347269e-06,0.0,0.0,0.0
1533,3.2998154892993625e-06,0.0,0.0,0.0
1534,3.2998154892993625e-06,0.0,0.0,0.0
1535,2.631092619204927e-06,0.0,0.0,0.0
1536,3.7070449317460384e-05,0.0,0.0,0.0
1537,3.7070449317460384e-05,0.0,0.0,0.0
1538,4.3423326457871424e-05,0.0,0.0,0.0
1539,4.863974345425959e-05,0.0,0.0,0.0
1540,4.863974345425959e-05,0.0,0.0,0.0
1541,4.863974345425959e-05,0.0,0.0,0.0
1542,4.976788022759138e-05,0.0,0.0,0.0
1543,1.5328523529335924e-05,0.0,0.0,0.0
1544,1.880614672700176e-05,0.0,0.0,0.0
1545,1.272118968894834e-05,0.0,0.0,0.0
1546,5.2501896366915645e-06,0.0,0.0,0.0
1547,5.2501896366915645e-06,0.0,0.0,0.0
1548,1.2681237925400118e-05,0.0,0.0,0.0
1549,1.1176591588732013e-05,0.0,0.0,0.0
1550,5.872701602324274e-05,0.0,0.0,0.0
1551,5.52493928255769e-05,0.0,0.0,0.0
1552,5.498147272321928e-05,0.0,0.0,0.0
1553,5.498147272321928e-05,0.0,0.0,0.0
1554,5.498147272321928e-05,0.0,0.0,0.0
1555,4.755042443451073e-05,0.0,0.0,0.0
1556,4.755042443451073e-05,0.0,0.0,0.0
1557,0.0,0.0,0.0,0.0
1558,1.3640973130739958e-06,0.0,0.0,0.0
1559,1.3640973130739958e-06,0.0,0.0,0.0
1560,2.710168051375409e-06,0.0,0.0,0.0
1561,2.710168051375409e-06,0.0,0.0,0.0
1562,2.710168051375409e-06,0.0,0.0,0.0
1563,2.710168051375409e-06,0.0,0.0,0.0
1564,2.710168051375409e-06,0.0,0.0,0.0
1565,1.346070738301413e-06,0.0,0.0,0.0
1566,1.346070738301413e-06,0.0,0.0,0.0
1567,0.0,0.0,0.0,0.0
1568,0.0,0.0,0.0,0.0
1569,1.114058042211192e-05,0.0,0.0,0.0
1570,1.114058042211192e-05,0.0,0.0,0.0
1571,1.114058042211192e-05,0.0,0.0,0.0
1572,1.1660541206635702e-05,0.0,0.0,0.0
1573,1.1660541206635702e-05,0.0,0.0,0.0
1574,1.2205252752599855e-05,0.0,0.0,0.0
1575,1.2205252752599855e-05,0.0,0.0,0.0
1576,1.0646723304879352e-06,0.0,0.0,0.0
1577,1.0646723304879352e-06,0.0,0.0,0.0
1578,1.0646723304879352e-06,0.0,0.0,0.0
1579,3.778485441736328e-06,0.0,0.0,0.0
1580,3.778485441736328e-06,0.0,0.0,0.0
1581,3.233773895772174e-06,0.0,0.0,0.0
1582,3.6527552700655567e-06,0.0,0.0,0.0
1583,4.133377875145275e-06,0.0,0.0,0.0
1584,4.133377875145275e-06,0.0,0.0,0.0
1585,5.64312257925589e-06,0.0,0.0,0.0
1586,2.4093486834837156e-06,0.0,0.0,0.0
1587,2.7554282431602976e-06,0.0,0.0,0.0
1588,3.424934058265145e-06,0.0,0.0,0.0
1589,1.17820973823005e-05,0.0,0.0,0.0
1590,1.1821426077014102e-05,0.0,0.0,0.0
1591,1.2354493005009967e-05,0.0,0.0,0.0
1592,1.0844748300899352e-05,0.0,0.0,0.0
1593,1.1291301754161915e-05,0.0,0.0,0.0
1594,1.3124432825861732e-05,0.0,0.0,0.0
1595,1.2905724101334012e-05,0.0,0.0,0.0
1596,7.285852916538715e-06,0.0,0.0,0.0
1597,7.250149987417639e-06,0.0,0.0,0.0
1598,1.6713948428202586e-05,0.0,0.0,0.0
1599,2.8505062865796e-05,0.0,0.0,0.0
1600,3.0082124989608667e-05,0.0,0.0,0.0
1601,2.8488885943391195e-05,0.0,0.0,0.0
1602,2.835129102355235e-05,0.0,0.0,0.0
1603,2.5607127619358444e-05,0.0,0.0,0.0
1604,3.3806665539616786e-05,0.0,0.0,0.0
1605,2.504660603465579e-05,0.0,0.0,0.0
1606,1.4136372750986734e-05,0.0,0.0,0.0
1607,1.2112757173911501e-05,0.0,0.0,0.0
1608,1.1526785588752578e-05,0.0,0.0,0.0
1609,1.1590931373055874e-05,0.0,0.0,0.0
1610,1.1433717791728018e-05,0.0,0.0,0.0
1611,6.33436133869379e-06,0.0,0.0,0.0
1612,7.518562028963061e-06,0.0,0.0,0.0
1613,7.276922799194706e-06,0.0,0.0,0.0
1614,8.59536178917811e-06,0.0,0.0,0.0
1615,8.59536178917811e-06,0.0,3.809432525615973e-07,0.0
1616,9.299287398789602e-06,0.0,3.809432525615973e-07,0.0
1617,9.291473540023227e-06,0.0,3.809432525615973e-07,0.0
1618,1.949384313450407e-05,0.0,3.809432525615973e-07,0.0
1619,1.7635509055123422e-05,0.0,3.809432525615973e-07,0.0
1620,2.13280404588139e-05,0.0,3.809432525615973e-07,0.0
1621,2.0009601468830495e-05,0.0,3.809432525615973e-07,0.0
1622,2.015029828531364e-05,0.0,0.0,0.0
1623,2.257140930136562e-05,0.0,0.0,0.0
1624,2.6804292247106787e-05,0.0,0.0,0.0
1625,1.3017492814729589e-05,0.0,0.0,0.0
1626,1.3373307605693949e-05,0.0,0.0,0.0
1627,9.680619638986951e-06,0.0,0.0,0.0
1628,1.1580456755057509e-05,0.0,0.0,0.0
1629,1.6143932628308123e-05,0.0,0.0,0.0
1630,1.4280278979380715e-05,0.0,0.0,0.0
1631,1.0310433221353118e-05,0.0,1.7003995773328435e-07,0.0
1632,1.0493685489823942e-05,0.0,2.6166609196869625e-07,0.0
1633,1.2454147054086206e-05,0.0,4.785728167787186e-06,0.0
1634,1.1938479856001192e-05,0.0,4.785728167787186e-06,0.0
1635,1.0120962453389179e-05,0.0,4.8680478812457295e-06,0.0
1636,6.111545035634793e-06,0.0,4.8680478812457295e-06,0.0
1637,4.911774867975639e-06,0.0,4.8680478812457295e-06,0.0
1638,4.67099515942339e-06,0.0,4.698007923512445e-06,0.0
1639,5.655796282358746e-06,0.0,4.6063817892770335e-06,0.0
1640,3.496503844806804e-06,0.0,1.8512776835320567e-07,0.0
1641,4.866137909890053e-06,0.0,2.4484985569220695e-07,0.0
1642,5.863316557354535e-06,0.0,2.7047997670186827e-07,0.0
1643,5.981463297238017e-06,0.0,2.7047997670186827e-07,0.0
1644,6.734101573004279e-06,0.0,2.7047997670186827e-07,0.0
1645,6.808579233360693e-06,0.0,2.7047997670186827e-07,0.0
1646,6.748648339842995e-06,0.0,2.7047997670186827e-07,0.0
1647,6.757310822130032e-06,0.0,1.6767192180720615e-07,0.0
1648,7.327474220021811e-06,0.0,1.0794983446820489e-07,0.0
1649,7.343164692688983e-06,0.0,0.0,0.0
1650,7.013384187562874e-06,0.0,8.784027321390958e-08,0.0
1651,6.595786576976284e-06,0.0,1.3084035442391594e-07,0.0
1652,7.254053928461092e-06,0.0,1.865117513131866e-07,0.0
1653,9.160962495765748e-06,0.0,1.865117513131866e-07,0.0
1654,9.303790518190778e-06,0.0,1.865117513131866e-07,0.0
1655,7.763502285992477e-06,0.0,1.865117513131866e-07,0.0
1656,7.574460044322352e-06,0.0,1.865117513131866e-07,0.0
1657,7.869862624180054e-06,0.0,9.867147809927701e-08,0.0
1658,1.0956186770272325e-05,0.0,1.0928703123421915e-07,0.0
1659,1.1047785879522312e-05,0.0,8.578281957787632e-08,0.0
1660,8.593978399013785e-06,0.0,8.578281957787632e-08,0.0
1661,8.797798045634408e-06,0.0,8.578281957787632e-08,0.0
1662,8.84326872047885e-06,0.0,8.578281957787632e-08,0.0
1663,1.0762006175874766e-05,0.0,8.578281957787632e-08,0.0
1664,1.3088417485310597e-05,0.0,8.578281957787632e-08,0.0
1665,9.448549998783814e-06,0.0,3.2167185232927816e-08,0.0
1666,9.832956379796087e-06,0.0,7.989679521155527e-08,0.0
1667,1.0375111498563325e-05,0.0,7.989679521155527e-08,0.0
1668,1.0525234967774719e-05,0.0,7.989679521155527e-08,0.0
1669,1.232321010645267e-05,0.0,7.989679521155527e-08,0.0
1670,1.0425906063054363e-05,0.0,7.989679521155527e-08,0.0
1671,7.633852208398042e-06,0.0,7.989679521155527e-08,0.0
1672,8.717225974968252e-06,0.0,7.989679521155527e-08,0.0
1673,7.4618211556298775e-06,0.0,4.948574071152377e-08,0.0
1674,7.269297108385737e-06,0.0,4.948574071152377e-08,0.0
1675,6.3873920908008586e-06,0.0,4.948574071152377e-08,0.0
1676,4.407537468458551e-06,0.0,9.243225105949802e-08,0.0
1677,3.6814746603600464e-06,0.0,1.2601844900927972e-07,0.0
1678,3.886475967971949e-06,0.0,1.2812956486283968e-06,1.991857142716721e-08
1679,2.7210747280800466e-06,0.0,1.3043674178853898e-06,1.991857142716721e-08
1680,3.0776506199409984e-06,0.0,1.3272893925529518e-06,1.991857142716721e-08
1681,4.6281391275572655e-06,0.0,1.3720410874741771e-06,1.991857142716721e-08
1682,5.071234389626105e-06,0.0,1.3922021204442508e-06,1.991857142716721e-08
1683,4.861253631003949e-06,0.0,1.3492556100962766e-06,1.991857142716721e-08
1684,4.893509071735025e-06,0.0,1.315669412146495e-06,1.991857142716721e-08
1685,4.4160378860981704e-06,0.0,1.603922125273779e-07,0.0
1686,5.078854237743664e-06,0.0,1.37320443270385e-07,0.0
1687,4.540792604400069e-06,0.0,6.491272789129912e-08,0.0
1688,2.1260410189175412e-06,0.0,2.016103297007378e-08,0.0
1689,1.3713319313118127e-06,0.0,0.0,0.0
1690,1.5271187590672395e-06,0.0,2.0770290884034433e-08,0.0
1691,1.4156763918598308e-06,0.0,2.0770290884034433e-08,0.0
1692,1.469936906671267e-06,0.0,2.0770290884034433e-08,0.0
1693,2.7065175406245804e-06,0.0,5.2121484778971146e-08,0.0
1694,3.665125041558375e-06,0.0,1.0089258596833264e-07,0.0
1695,3.7270810874393386e-06,0.0,1.4741299634936566e-07,0.0
1696,4.356839635225437e-06,0.0,1.631589421029795e-07,0.0
1697,6.096390036093778e-06,0.0,1.4973572604048968e-07,0.0
1698,1.218645063870229e-05,0.0,1.4973572604048968e-07,0.0
1699,1.2784464112363431e-05,0.0,1.8894434715223595e-07,0.0
1700,1.1058584975996513e-05,0.0,1.7059100595620942e-07,0.0
