ngram,angle,angl,anglee,anggle
1500,3.761094376386609e-06,0.0,0.0,0.0
1501,3.0088755011092872e-06,0.0,0.0,0.0
1502,3.3859505492728204e-06,0.0,0.0,0.0
1503,6.537491260262738e-05,0.0,0.0,0.0
1504,6.470660758038451e-05,0.0,0.0,0.0
1505,6.322571581612075e-05,0.0,0.0,0.0
1506,6.322571581612075e-05,0.0,0.0,0.0
1507,6.322571581612075e-05,0.0,0.0,0.0
1508,6.322571581612075e-05,0.0,0.0,0.0
1509,6.247266927467925e-05,0.0,0.0,0.0
1510,0.0,0.0,0.0,0.0
1511,0.0,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,0.0,0.0,0.0,0.0
1515,0.0,0.0,0.0,0.0
1516,0.0,0.0,0.0,0.0
1517,1.4344473519096418e-05,0.0,0.0,0.0
1518,1.4344473519096418e-05,0.0,0.0,0.0
1519,1.4344473519096418e-05,0.0,0.0,0.0
1520,1.9111055735265836e-05,0.0,0.0,0.0
1521,1.9111055735265836e-05,0.0,0.0,0.0
1522,1.9111055735265836e-05,0.0,0.0,0.0
1523,2.0343145739129147e-05,0.0,0.0,0.0
1524,5.998672220032729e-06,0.0,0.0,0.0
1525,5.998672220032729e-06,0.0,0.0,0.0
1526,5.176543514348201e-05,0.0,0.0,0.0
1527,4.6998852927312586e-05,0.0,0.0,0.0
1528,4.6998852927312586e-05,0.0,0.0,0.0
1529,4.6998852927312586e-05,0.0,0.0,0.0
1530,4.6495711428308694e-05,0.0,0.0,0.0
1531,4.6495711428308694e-05,0.0,0.0,0.0
1532,4.739754461167779e-05,0.0,0.0,0.0
1533,1.6307816882285157e-06,0.0,0.0,0.0
1534,1.6307816882285157e-06,0.0,0.0,0.0
1535,2.0072912515648307e-06,0.0,0.0,0.0
1536,2.0072912515648307e-06,0.0,0.0,0.0
1537,1.2783427467054156e-06,0.0,0.0,0.0
1538,1.2783427467054156e-06,0.0,0.0,0.0
1539,6.346495768281914e-05,0.0,0.0,0.0
1540,6.346495768281914e-05,0.0,0.0,0.0
1541,6.346495768281914e-05,0.0,0.0,0.0
1542,6.308844811948282e-05,0.0,0.0,0.0
1543,6.308844811948282e-05,0.0,0.0,0.0
1544,6.308844811948282e-05,0.0,0.0,0.0
1545,6.308844811948282e-05,0.0,0.0,0.0
1546,0.0,0.0,0.0,0.0
1547,0.0,0.0,0.0,0.0
1548,5.94483870892353e-07,0.0,0.0,0.0
1549,5.94483870892353e-07,0.0,0.0,0.0
1550,1.134829582432368e-06,0.0,0.0,0.0
1551,3.4960267255103517e-06,0.0,0.0,0.0
1552,3.4960267255103517e-06,0.0,0.0,0.0
1553,3.4960267255103517e-06,0.0,0.0,0.0
1554,3.4960267255103517e-06,0.0,0.0,0.0
1555,2.9015428546179985e-06,0.0,0.0,0.0
1556,4.974097734183098e-05,0.0,0.0,0.0
1557,4.920063163029097e-05,0.0,0.0,0.0
1558,4.683943448721298e-05,0.0,0.0,0.0
1559,4.683943448721298e-05,0.0,0.0,0.0
1560,4.683943448721298e-05,0.0,0.0,0.0
1561,4.683943448721298e-05,0.0,0.0,0.0
1562,4.683943448721298e-05,0.0,0.0,0.0
1563,0.0,0.0,0.0,0.0
1564,0.0,0.0,0.0,0.0
1565,0.0,0.0,0.0,0.0
1566,0.0,0.0,0.0,0.0
1567,0.0,0.0,0.0,0.0
1568,0.0,0.0,0.0,0.0
1569,7.427053268267108e-07,0.0,0.0,0.0
1570,7.427053268267108e-07,0.0,0.0,0.0
1571,7.427053268267108e-07,0.0,0.0,0.0
1572,7.427053268267108e-07,0.0,0.0,0.0
1573,7.427053268267108e-07,0.0,0.0,0.0
1574,7.427053268267108e-07,0.0,0.0,0.0
1575,7.427053268267108e-07,0.0,0.0,0.0
1576,0.0,0.0,0.0,0.0
1577,0.0,0.0,0.0,0.0
1578,4.81826223871654e-07,0.0,0.0,0.0
1579,4.81826223871654e-07,0.0,0.0,0.0
1580,4.81826223871654e-07,0.0,0.0,0.0
1581,4.81826223871654e-07,0.0,0.0,0.0
1582,4.81826223871654e-07,0.0,0.0,0.0
1583,4.81826223871654e-07,0.0,0.0,0.0
1584,4.81826223871654e-07,0.0,0.0,0.0
1585,7.548723520553072e-07,0.0,0.0,0.0
1586,1.473766198094901e-06,0.0,0.0,0.0
1587,2.858084436801229e-06,0.0,0.0,0.0
