ngram,anxiety,anxeity,axiety,anxity
1500,8.098626835817413e-08,0.0,0.0,0.0
1501,6.47890146865393e-08,0.0,0.0,0.0
1502,2.2970169766267645e-07,0.0,0.0,0.0
1503,1.9688716942515123e-07,0.0,0.0,0.0
1504,1.9688716942515123e-07,0.0,0.0,0.0
1505,1.506093017919089e-07,0.0,0.0,0.0
1506,1.506093017919089e-07,0.0,0.0,0.0
1507,1.506093017919089e-07,0.0,0.0,0.0
1508,1.506093017919089e-07,0.0,0.0,0.0
1509,0.0,0.0,0.0,0.0
1510,0.0,0.0,0.0,0.0
1511,0.0,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,2.856611380203893e-06,0.0,0.0,0.0
1515,2.856611380203893e-06,0.0,0.0,0.0
1516,2.856611380203893e-06,0.0,0.0,0.0
1517,2.856611380203893e-06,0.0,0.0,0.0
1518,2.856611380203893e-06,0.0,0.0,0.0
1519,2.856611380203893e-06,0.0,0.0,0.0
1520,3.7503455782176128e-06,0.0,0.0,0.0
1521,8.937341980137197e-07,0.0,0.0,0.0
1522,8.937341980137197e-07,0.0,0.0,0.0
1523,6.438139150434706e-06,0.0,0.0,0.0
1524,6.438139150434706e-06,0.0,0.0,0.0
1525,6.438139150434706e-06,0.0,0.0,0.0
1526,6.438139150434706e-06,0.0,0.0,0.0
1527,5.544404952420986e-06,0.0,0.0,0.0
1528,5.544404952420986e-06,0.0,0.0,0.0
1529,5.544404952420986e-06,0.0,0.0,0.0
1530,0.0,0.0,0.0,0.0
1531,0.0,0.0,0.0,0.0
1532,0.0,0.0,0.0,0.0
1533,0.0,0.0,0.0,0.0
1534,0.0,0.0,0.0,0.0
1535,1.1295287549728528e-06,0.0,0.0,0.0
1536,1.1295287549728528e-06,0.0,0.0,0.0
1537,1.1295287549728528e-06,0.0,0.0,0.0
1538,1.1295287549728528e-06,0.0,0.0,0.0
1539,1.1295287549728528e-06,0.0,0.0,0.0
1540,1.1295287549728528e-06,0.0,0.0,0.0
1541,1.1295287549728528e-06,0.0,0.0,0.0
1542,0.0,0.0,0.0,0.0
1543,0.0,0.0,0.0,0.0
1544,1.8083640368006724e-06,0.0,0.0,0.0
1545,2.0762841391582957e-06,0.0,0.0,0.0
1546,2.0762841391582957e-06,0.0,0.0,0.0
1547,2.0762841391582957e-06,0.0,0.0,0.0
1548,2.373526074604472e-06,0.0,0.0,0.0
1549,2.373526074604472e-06,0.0,0.0,0.0
1550,6.155946152830438e-06,0.0,0.0,0.0
1551,4.347582116029766e-06,0.0,0.0,0.0
1552,4.800773012902937e-06,0.0,0.0,0.0
1553,4.800773012902937e-06,0.0,0.0,0.0
1554,4.800773012902937e-06,0.0,0.0,0.0
1555,5.104516081441293e-06,0.0,0.0,0.0
1556,5.104516081441293e-06,0.0,0.0,0.0
1557,1.3220960032153277e-06,0.0,0.0,0.0
1558,2.0041446597523257e-06,0.0,0.0,0.0
1559,1.2830336605215313e-06,0.0,0.0,0.0
1560,4.423865513152643e-06,0.0,0.0,0.0
1561,4.423865513152643e-06,0.0,0.0,0.0
1562,3.8228805091681096e-06,0.0,0.0,0.0
1563,3.8228805091681096e-06,0.0,0.0,0.0
1564,3.8228805091681096e-06,0.0,0.0,0.0
1565,3.140831852631111e-06,0.0,0.0,0.0
1566,3.140831852631111e-06,0.0,0.0,0.0
1567,0.0,0.0,0.0,0.0
1568,0.0,0.0,0.0,0.0
1569,0.0,0.0,0.0,0.0
1570,0.0,0.0,0.0,0.0
1571,0.0,0.0,0.0,0.0
1572,0.0,0.0,0.0,0.0
1573,0.0,0.0,0.0,0.0
1574,0.0,0.0,0.0,0.0
1575,0.0,0.0,0.0,0.0
1576,4.5068044788162555e-07,0.0,0.0,0.0
1577,4.5068044788162555e-07,0.0,0.0,0.0
1578,1.1734197674481299e-06,0.0,0.0,0.0
1579,1.8201745725881274e-06,0.0,0.0,0.0
1580,1.8201745725881274e-06,0.0,0.0,0.0
1581,1.8201745725881274e-06,0.0,0.0,0.0
1582,1.8201745725881274e-06,0.0,0.0,0.0
1583,2.330739334865939e-06,0.0,0.0,0.0
1584,3.229850920303891e-06,0.0,0.0,0.0
1585,2.6958296887512134e-06,0.0,0.0,0.0
1586,2.7679687296508097e-06,0.0,0.0,0.0
1587,3.1140482893273917e-06,0.0,0.0,0.0
1588,3.1140482893273917e-06,0.0,0.0,0.0
1589,3.300774762595081e-06,0.0,0.0,0.0
1590,2.5995052023323036e-06,0.0,0.0,0.0
1591,2.7665274728860823e-06,0.0,0.0,0.0
1592,2.5778093848722553e-06,0.0,0.0,0.0
1593,1.8589155388326617e-06,0.0,0.0,0.0
1594,1.6804675624371157e-06,0.0,0.0,0.0
1595,1.6804675624371157e-06,0.0,0.0,0.0
1596,2.124995765890552e-06,0.0,0.0,0.0
1597,2.107144301330014e-06,0.0,0.0,0.0
1598,1.4833496249723664e-06,0.0,0.0,0.0
1599,1.4833496249723664e-06,0.0,0.0,0.0
1600,3.719977436438577e-06,0.0,0.0,0.0
1601,4.724289023475389e-06,0.0,0.0,0.0
1602,6.603501917977285e-06,0.0,0.0,0.0
1603,5.97224724125616e-06,0.0,0.0,0.0
1604,1.492472054971066e-05,0.0,0.0,0.0
1605,1.4932128936249813e-05,0.0,0.0,0.0
1606,1.5252449364717385e-05,0.0,0.0,0.0
1607,1.3015821553251175e-05,0.0,0.0,0.0
1608,1.1843878382933326e-05,0.0,0.0,0.0
1609,9.96466548843143e-06,0.0,0.0,0.0
1610,9.96466548843143e-06,0.0,0.0,0.0
1611,7.700679946408075e-07,0.0,0.0,0.0
1612,5.893211566996927e-07,0.0,0.0,0.0
1613,4.2881120927112146e-07,0.0,0.0,0.0
1614,4.2881120927112146e-07,0.0,0.0,0.0
1615,1.190697714394316e-06,0.0,0.0,0.0
1616,1.190697714394316e-06,0.0,0.0,0.0
1617,1.314239049016968e-06,0.0,0.0,0.0
1618,3.973121863509732e-06,0.0,0.0,0.0
1619,3.9291901349055735e-06,0.0,0.0,0.0
1620,4.17233530924932e-06,0.0,0.0,0.0
1621,4.350753304801661e-06,0.0,0.0,0.0
1622,3.65921520792004e-06,0.0,0.0,0.0
1623,4.467457813461806e-06,0.0,0.0,0.0
1624,4.343916478839154e-06,0.0,0.0,0.0
1625,1.6850336643463898e-06,0.0,0.0,0.0
1626,4.67467009457323e-06,0.0,0.0,0.0
1627,4.271714439190484e-06,0.0,0.0,0.0
1628,4.158808069730315e-06,0.0,0.0,0.0
1629,5.986634611027901e-06,0.0,0.0,0.0
1630,5.437138993004607e-06,0.0,0.0,0.0
1631,5.550498964826797e-06,0.0,0.0,0.0
1632,6.65001257565174e-06,0.0,0.0,0.0
1633,3.7094927409140965e-06,0.0,0.0,0.0
1634,3.7094927409140965e-06,0.0,0.0,0.0
1635,3.6439811148219244e-06,0.0,0.0,0.0
1636,1.8326505742801861e-06,0.0,0.0,0.0
1637,2.159184605586363e-06,0.0,0.0,0.0
1638,2.2478297410089e-06,0.0,0.0,0.0
1639,1.6155375257247734e-06,0.0,0.0,0.0
1640,1.8553921969604353e-06,0.0,0.0,0.0
1641,1.9151142842994366e-06,0.0,0.0,0.0
1642,2.0230641187676416e-06,0.0,0.0,0.0
1643,2.1168646030998517e-06,0.0,0.0,0.0
1644,1.9898909247980815e-06,0.0,0.0,0.0
1645,3.0158065677759235e-06,0.0,0.0,0.0
1646,3.5559693084711138e-06,0.0,0.0,0.0
1647,3.2500201468467693e-06,0.0,0.0,0.0
1648,3.6487904172385503e-06,0.0,0.0,0.0
1649,3.6190683577582864e-06,0.0,0.0,0.0
1650,3.6141040108564733e-06,0.0,0.0,0.0
1651,3.3707970763836263e-06,0.0,0.0,0.0
1652,2.309890508708382e-06,0.0,0.0,0.0
1653,1.6040094854880799e-06,0.0,0.0,0.0
1654,1.8107502504400536e-06,0.0,0.0,0.0
1655,1.7589792134588476e-06,0.0,0.0,0.0
1656,1.9072880864509249e-06,0.0,0.0,0.0
1657,2.0374562836877885e-06,0.0,0.0,0.0
1658,1.8224558776377568e-06,0.0,0.0,0.0
1659,2.0736151132691053e-06,0.0,0.0,0.0
1660,2.1729860171555108e-06,0.0,0.0,0.0
1661,1.8925249654395365e-06,0.0,0.0,0.0
1662,1.8106025225149227e-06,0.0,0.0,0.0
1663,1.6497608531348566e-06,0.0,0.0,0.0
1664,1.736941929461214e-06,0.0,0.0,0.0
1665,1.8251251633825762e-06,0.0,0.0,0.0
1666,1.68659054062508e-06,3.9948397605777634e-08,0.0,0.0
1667,1.8049535778378152e-06,3.9948397605777634e-08,0.0,0.0
1668,1.8893488475311772e-06,3.9948397605777634e-08,0.0,0.0
1669,1.8640908803847976e-06,3.9948397605777634e-08,0.0,0.0
1670,2.4940809372050613e-06,3.9948397605777634e-08,0.0,0.0
1671,2.492153035810978e-06,3.9948397605777634e-08,0.0,0.0
1672,2.6007746133213265e-06,3.9948397605777634e-08,0.0,0.0
1673,2.5933073857231648e-06,0.0,0.0,0.0
1674,2.4644366314013107e-06,0.0,0.0,0.0
1675,2.520218540017335e-06,0.0,0.0,0.0
1676,2.3495171603826748e-06,0.0,0.0,0.0
1677,2.023280306470302e-06,0.0,0.0,3.35861979497817e-08
1678,1.8114455266576052e-06,0.0,0.0,3.35861979497817e-08
1679,2.0068607925947745e-06,0.0,0.0,3.35861979497817e-08
1680,2.3501548136144786e-06,0.0,0.0,5.168812679455316e-08
1681,2.4520571660754546e-06,0.0,0.0,5.168812679455316e-08
1682,2.379119491381841e-06,0.0,0.0,5.168812679455316e-08
1683,2.3385488735324804e-06,0.0,0.0,5.168812679455316e-08
1684,2.027543851162201e-06,0.0,0.0,1.8101928844771464e-08
1685,2.030129203538828e-06,0.0,0.0,1.8101928844771464e-08
1686,2.245751655241942e-06,0.0,0.0,1.8101928844771464e-08
1687,1.6714861560883167e-06,0.0,0.0,0.0
1688,1.8780911627150739e-06,0.0,0.0,0.0
1689,1.7396231807457037e-06,0.0,0.0,0.0
1690,1.7967463017092605e-06,0.0,0.0,0.0
1691,1.836167354797778e-06,0.0,0.0,0.0
1692,1.772655082277197e-06,0.0,0.0,0.0
1693,1.5096756962001173e-06,0.0,0.0,0.0
1694,1.63917446067379e-06,0.0,0.0,0.0
1695,1.0333416225551315e-06,0.0,0.0,0.0
1696,1.6630209042237506e-06,0.0,0.0,0.0
1697,1.8262060003897723e-06,0.0,0.0,0.0
