ngram,bird,bid,brd,bird
1500,2.0784868297596404e-06,1.1086066649568238e-05,0.0,2.0784868297596404e-06
1501,1.6627894638077124e-06,8.86885331965459e-06,0.0,1.6627894638077124e-06
1502,1.3856578865064269e-06,7.742132803893279e-06,0.0,1.3856578865064269e-06
1503,1.1877067598626517e-06,6.636113831908526e-06,0.0,1.1877067598626517e-06
1504,7.867237660060969e-07,6.50245283395634e-06,0.0,7.867237660060969e-07
1505,3.1566383508366665e-06,1.5638739958896103e-06,0.0,3.1566383508366665e-06
1506,3.1566383508366665e-06,1.5638739958896103e-06,0.0,3.1566383508366665e-06
1507,3.1566383508366665e-06,1.5638739958896103e-06,0.0,3.1566383508366665e-06
1508,3.1566383508366665e-06,1.5638739958896103e-06,0.0,3.1566383508366665e-06
1509,3.1566383508366665e-06,1.2626553923057924e-06,0.0,3.1566383508366665e-06
1510,3.1566383508366665e-06,1.2626553923057924e-06,0.0,3.1566383508366665e-06
1511,3.1566383508366665e-06,1.2626553923057924e-06,0.0,3.1566383508366665e-06
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,0.0,1.1426445780671202e-06,0.0,0.0
1515,0.0,1.1426445780671202e-06,0.0,0.0
1516,0.0,1.1426445780671202e-06,0.0,0.0
1517,5.312767825671472e-07,1.1426445780671202e-06,0.0,5.312767825671472e-07
1518,5.312767825671472e-07,1.1426445780671202e-06,0.0,5.312767825671472e-07
1519,5.312767825671472e-07,1.1426445780671202e-06,0.0,5.312767825671472e-07
1520,8.872795790791446e-06,1.7384673550882975e-06,0.0,8.872795790791446e-06
1521,8.872795790791446e-06,5.958227770211774e-07,0.0,8.872795790791446e-06
1522,3.108909459115239e-05,5.958227770211774e-07,0.0,3.108909459115239e-05
1523,3.2321184595015696e-05,5.958227770211774e-07,0.0,3.2321184595015696e-05
1524,3.178990781244855e-05,4.725178964041074e-06,0.0,3.178990781244855e-05
1525,3.178990781244855e-05,4.725178964041074e-06,0.0,3.178990781244855e-05
1526,3.178990781244855e-05,4.725178964041074e-06,0.0,3.178990781244855e-05
1527,2.3448388804224252e-05,4.129356187019896e-06,0.0,2.3448388804224252e-05
1528,2.3448388804224252e-05,4.129356187019896e-06,0.0,2.3448388804224252e-05
1529,1.2320900038633096e-06,4.129356187019896e-06,0.0,1.2320900038633096e-06
1530,0.0,4.858304691879312e-06,0.0,0.0
1531,0.0,7.289485048594153e-07,0.0,0.0
1532,4.509165916845502e-07,7.289485048594153e-07,0.0,4.509165916845502e-07
1533,4.509165916845502e-07,7.289485048594153e-07,0.0,4.509165916845502e-07
1534,4.509165916845502e-07,7.289485048594153e-07,0.0,4.509165916845502e-07
1535,4.509165916845502e-07,4.117534509922345e-06,0.0,4.509165916845502e-07
1536,4.509165916845502e-07,1.9771788499513476e-05,0.0,4.509165916845502e-07
1537,4.509165916845502e-07,1.904283999465406e-05,0.0,4.509165916845502e-07
1538,4.509165916845502e-07,1.904283999465406e-05,0.0,4.509165916845502e-07
1539,0.0,2.0703062286234592e-05,0.0,0.0
1540,0.0,2.0703062286234592e-05,0.0,0.0
1541,0.0,2.0703062286234592e-05,0.0,0.0
1542,0.0,1.7314476281171665e-05,0.0,0.0
1543,0.0,1.6602222915805344e-06,0.0,0.0
1544,1.391049246584381e-07,4.025005962051052e-06,0.0,1.391049246584381e-07
1545,1.391049246584381e-07,4.560846166766298e-06,0.0,1.391049246584381e-07
1546,4.188111201334063e-07,3.4600362661357006e-06,0.0,4.188111201334063e-07
1547,4.188111201334063e-07,3.4600362661357006e-06,0.0,4.188111201334063e-07
1548,1.3105368939899823e-06,4.054520137028053e-06,0.0,1.3105368939899823e-06
1549,1.3105368939899823e-06,5.267177877093283e-06,0.0,1.3105368939899823e-06
1550,1.3105368939899823e-06,5.267177877093283e-06,0.0,1.3105368939899823e-06
1551,1.171431969331544e-06,5.263591349700748e-06,0.0,1.171431969331544e-06
1552,2.613653967793133e-06,4.727751144985502e-06,0.0,2.613653967793133e-06
1553,2.3339477723181645e-06,4.168338754035565e-06,0.0,2.3339477723181645e-06
1554,2.3339477723181645e-06,4.168338754035565e-06,0.0,2.3339477723181645e-06
1555,1.4422219984615886e-06,3.5738548831432126e-06,0.0,1.4422219984615886e-06
1556,1.4422219984615886e-06,2.361197143077983e-06,0.0,1.4422219984615886e-06
