ngram,bit,bitt,biit,bit
1500,7.017202392489708e-07,0.0,0.0,7.017202392489708e-07
1501,5.613761913991766e-07,0.0,0.0,5.613761913991766e-07
1502,4.6781349283264717e-07,0.0,0.0,4.6781349283264717e-07
1503,4.009829938565547e-07,0.0,0.0,4.009829938565547e-07
1504,6.1736017024876285e-06,0.0,0.0,6.1736017024876285e-06
1505,6.1736017024876285e-06,0.0,0.0,6.1736017024876285e-06
1506,6.1736017024876285e-06,0.0,0.0,6.1736017024876285e-06
1507,6.1736017024876285e-06,0.0,0.0,6.1736017024876285e-06
1508,6.1736017024876285e-06,0.0,0.0,6.1736017024876285e-06
1509,6.1736017024876285e-06,0.0,0.0,6.1736017024876285e-06
1510,6.1736017024876285e-06,0.0,0.0,6.1736017024876285e-06
1511,0.0,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,2.8566114451678004e-07,0.0,0.0,2.8566114451678004e-07
1515,2.8566114451678004e-07,0.0,0.0,2.8566114451678004e-07
1516,2.8566114451678004e-07,0.0,0.0,2.8566114451678004e-07
1517,1.6223964361675564e-05,0.0,0.0,1.6223964361675564e-05
1518,1.6223964361675564e-05,0.0,0.0,1.6223964361675564e-05
1519,1.6223964361675564e-05,0.0,0.0,1.6223964361675564e-05
1520,1.6819787138696745e-05,0.0,0.0,1.6819787138696745e-05
1521,1.6534125994179965e-05,0.0,0.0,1.6534125994179965e-05
1522,4.192418087508746e-05,0.0,0.0,4.192418087508746e-05
1523,4.192418087508746e-05,0.0,0.0,4.192418087508746e-05
1524,3.0115233844948568e-05,0.0,0.0,3.0115233844948568e-05
1525,3.0115233844948568e-05,0.0,0.0,3.0115233844948568e-05
1526,3.0115233844948568e-05,0.0,0.0,3.0115233844948568e-05
1527,2.9519411067927388e-05,0.0,0.0,2.9519411067927388e-05
1528,2.9519411067927388e-05,0.0,0.0,2.9519411067927388e-05
1529,4.129356187019896e-06,0.0,0.0,4.129356187019896e-06
1530,4.129356187019896e-06,0.0,0.0,4.129356187019896e-06
1531,0.0,0.0,0.0,0.0
1532,0.0,0.0,0.0,0.0
1533,0.0,0.0,0.0,0.0
1534,0.0,0.0,0.0,0.0
1535,0.0,0.0,0.0,0.0
1536,0.0,0.0,0.0,0.0
1537,0.0,0.0,0.0,0.0
1538,3.1764385702055212e-06,3.1764385702055212e-06,0.0,3.1764385702055212e-06
1539,6.4968831533665905e-06,3.1764385702055212e-06,0.0,6.4968831533665905e-06
1540,6.4968831533665905e-06,3.1764385702055212e-06,0.0,6.4968831533665905e-06
1541,6.4968831533665905e-06,3.1764385702055212e-06,0.0,6.4968831533665905e-06
1542,6.4968831533665905e-06,3.1764385702055212e-06,0.0,6.4968831533665905e-06
1543,6.4968831533665905e-06,3.1764385702055212e-06,0.0,6.4968831533665905e-06
1544,6.914197911100928e-06,3.1764385702055212e-06,0.0,6.914197911100928e-06
1545,4.273599545610653e-06,0.0,0.0,4.273599545610653e-06
1546,9.531549624495841e-07,0.0,0.0,9.531549624495841e-07
1547,9.531549624495841e-07,0.0,0.0,9.531549624495841e-07
1548,1.2503968978957606e-06,0.0,0.0,1.2503968978957606e-06
1549,1.2503968978957606e-06,0.0,0.0,1.2503968978957606e-06
1550,1.7907426094357755e-06,0.0,0.0,1.7907426094357755e-06
1551,1.3734278517014381e-06,0.0,0.0,1.3734278517014381e-06
1552,8.375876469861916e-07,0.0,0.0,8.375876469861916e-07
1553,8.375876469861916e-07,0.0,0.0,8.375876469861916e-07
1554,8.375876469861916e-07,0.0,0.0,8.375876469861916e-07
1555,5.40345711540015e-07,0.0,0.0,5.40345711540015e-07
1556,5.40345711540015e-07,0.0,0.0,5.40345711540015e-07
1557,0.0,0.0,0.0,0.0
1558,1.3640973130739958e-06,0.0,0.0,1.3640973130739958e-06
1559,9.96021403157751e-06,0.0,0.0,9.96021403157751e-06
1560,1.040890427767798e-05,0.0,0.0,1.040890427767798e-05
1561,1.040890427767798e-05,0.0,0.0,1.040890427767798e-05
1562,1.040890427767798e-05,0.0,0.0,1.040890427767798e-05
1563,1.0863525988367786e-05,0.0,0.0,1.0863525988367786e-05
1564,1.0863525988367786e-05,0.0,0.0,1.0863525988367786e-05
1565,9.499428675293789e-06,0.0,0.0,9.499428675293789e-06
1566,9.033119567902759e-07,0.0,0.0,9.033119567902759e-07
1567,1.1370190285171183e-06,6.823973178273133e-07,0.0,1.1370190285171183e-06
1568,1.1370190285171183e-06,6.823973178273133e-07,0.0,1.1370190285171183e-06
1569,1.1370190285171183e-06,6.823973178273133e-07,0.0,1.1370190285171183e-06
1570,6.823973178273133e-07,6.823973178273133e-07,0.0,6.823973178273133e-07
1571,6.823973178273133e-07,6.823973178273133e-07,0.0,6.823973178273133e-07
1572,1.2023581023510945e-06,6.823973178273133e-07,0.0,1.2023581023510945e-06
1573,1.2023581023510945e-06,6.823973178273133e-07,0.0,1.2023581023510945e-06
1574,1.6093838764520894e-06,0.0,0.0,1.6093838764520894e-06
1575,1.6093838764520894e-06,7.543677514019821e-06,0.0,1.6093838764520894e-06
1576,2.9614251876150125e-06,7.994357961901447e-06,0.0,2.9614251876150125e-06
1577,2.9614251876150125e-06,1.0545833869660523e-05,0.0,2.9614251876150125e-06
1578,4.165990763535124e-06,1.0545833869660523e-05,0.0,4.165990763535124e-06
1579,6.2330491995713345e-06,1.0545833869660523e-05,0.0,6.2330491995713345e-06
1580,6.2330491995713345e-06,1.0545833869660523e-05,0.0,6.2330491995713345e-06
1581,5.736933482174729e-06,1.0545833869660523e-05,0.0,5.736933482174729e-06
1582,6.574896230761494e-06,3.0021563556407012e-06,0.0,6.574896230761494e-06
1583,5.943788827218148e-06,2.5514759077590758e-06,0.0,5.943788827218148e-06
1584,5.943788827218148e-06,0.0,0.0,5.943788827218148e-06
1585,6.060249883635801e-06,0.0,0.0,6.060249883635801e-06
1586,4.192124509115404e-06,0.0,0.0,4.192124509115404e-06
1587,5.9225223724622215e-06,0.0,0.0,5.9225223724622215e-06
1588,5.329214997930519e-06,0.0,0.0,5.329214997930519e-06
1589,5.0514316691468205e-06,0.0,0.0,5.0514316691468205e-06
1590,8.230132477495187e-06,0.0,2.599756498966599e-07,8.230132477495187e-06
1591,8.763199405491053e-06,0.0,2.599756498966599e-07,8.763199405491053e-06
1592,8.039144566802342e-06,0.0,2.599756498966599e-07,8.039144566802342e-06
1593,1.4465105972963751e-05,0.0,2.599756498966599e-07,1.4465105972963751e-05
1594,1.3740497641785104e-05,0.0,4.276072331776959e-07,1.3740497641785104e-05
1595,1.6445280315175686e-05,0.0,4.276072331776959e-07,1.6445280315175686e-05
1596,1.841011960225712e-05,2.1041822557370843e-07,4.276072331776959e-07,1.841011960225712e-05
1597,1.632641630879204e-05,9.367907815820737e-07,2.886936759490969e-07,1.632641630879204e-05
1598,1.6147220711510662e-05,9.810246979213844e-07,2.886936759490969e-07,1.6147220711510662e-05
1599,1.6375626923296034e-05,1.8064027033558107e-06,2.886936759490969e-07,1.6375626923296034e-05
1600,1.0508844687657465e-05,1.8064027033558107e-06,2.886936759490969e-07,1.0508844687657465e-05
1601,1.4386151958335955e-05,1.8064027033558107e-06,1.2106209266806089e-07,1.4386151958335955e-05
1602,1.3873784480113369e-05,1.8064027033558107e-06,1.2106209266806089e-07,1.3873784480113369e-05
1603,1.2172985991907939e-05,1.5959844777821023e-06,1.2106209266806089e-07,1.2172985991907939e-05
1604,1.18894873984183e-05,8.69611921773737e-07,0.0,1.18894873984183e-05
1605,1.2322674332868441e-05,8.253780054344264e-07,1.1243689154330891e-07,1.2322674332868441e-05
1606,1.3098898437289921e-05,0.0,1.9251699866020188e-07,1.3098898437289921e-05
1607,1.1820825420727488e-05,0.0,1.9251699866020188e-07,1.1820825420727488e-05
1608,7.93611661720206e-06,0.0,1.9251699866020188e-07,7.93611661720206e-06
1609,6.309723370837414e-06,0.0,1.9251699866020188e-07,6.309723370837414e-06
1610,8.416813151208252e-06,0.0,1.9251699866020188e-07,8.416813151208252e-06
1611,7.39644172296851e-06,0.0,1.9251699866020188e-07,7.39644172296851e-06
1612,8.492388555428729e-06,2.6900072823212084e-07,8.008010711689297e-08,8.492388555428729e-06
1613,1.0406616995948883e-05,2.6900072823212084e-07,0.0,1.0406616995948883e-05
1614,1.1725055985932289e-05,2.6900072823212084e-07,0.0,1.1725055985932289e-05
1615,1.1488554491734249e-05,2.6900072823212084e-07,0.0,1.1488554491734249e-05
1616,1.3445504367025154e-05,9.898497929888045e-07,0.0,1.3445504367025154e-05
1617,1.5702930243475877e-05,1.1133911276114565e-06,1.2354133462265183e-07,1.5702930243475877e-05
1618,1.578173169036745e-05,1.1133911276114565e-06,2.2201847319333217e-07,1.578173169036745e-05
1619,1.637448550744531e-05,8.443903993793356e-07,2.2201847319333217e-07,1.637448550744531e-05
1620,1.3866044095526117e-05,9.451293132250222e-07,2.2201847319333217e-07,1.3866044095526117e-05
1621,2.253901246669037e-05,9.451293132250222e-07,2.2201847319333217e-07,2.253901246669037e-05
1622,2.4239320152576382e-05,9.451293132250222e-07,2.2201847319333217e-07,2.4239320152576382e-05
1623,2.306341925109986e-05,2.2428024846833849e-07,2.2201847319333217e-07,2.306341925109986e-05
1624,1.8770676498596523e-05,1.0073891384568664e-07,2.47809331150555e-07,1.8770676498596523e-05
1625,2.0256430941247216e-05,1.0073891384568664e-07,1.493321925798747e-07,2.0256430941247216e-05
1626,2.0306511877216898e-05,3.303607302638868e-07,3.789540089980749e-07,2.0306511877216898e-05
1627,2.025775081295121e-05,2.296218164182002e-07,6.984966895678164e-07,2.025775081295121e-05
1628,1.1183506233334941e-05,3.60645068602545e-07,8.295199417521612e-07,1.1183506233334941e-05
1629,9.794193504473827e-06,4.4317441246935883e-07,8.295199417521612e-07,9.794193504473827e-06
1630,1.0085853513633733e-05,6.15672409561999e-07,1.0020179388448014e-06,1.0085853513633733e-05
1631,1.0833580030781117e-05,6.15672409561999e-07,8.526857462649267e-07,1.0833580030781117e-05
1632,9.581597948584073e-06,6.15672409561999e-07,9.443118805003386e-07,9.581597948584073e-06
1633,8.289593292179884e-06,3.8605059314379885e-07,7.146900640821383e-07,8.289593292179884e-06
1634,8.071474180074542e-06,3.8605059314379885e-07,5.185655465668657e-07,8.071474180074542e-06
1635,1.0776378725755162e-05,3.373470544179976e-07,5.521817212996081e-07,1.0776378725755162e-05
1636,1.1700918613704353e-05,2.5481771055118383e-07,8.127149564123621e-07,1.1700918613704353e-05
1637,1.2110671182849078e-05,2.2863996816470588e-07,6.402169593197218e-07,1.2110671182849078e-05
1638,1.4103043538073376e-05,2.2863996816470588e-07,6.402169593197218e-07,1.4103043538073376e-05
1639,1.4835812895138848e-05,3.065101980480124e-07,5.485908250843099e-07,1.4835812895138848e-05
1640,2.0901349346656518e-05,4.0931825294267453e-07,5.485908250843099e-07,2.0901349346656518e-05
1641,2.1713614712228135e-05,4.6904034028167576e-07,6.04338928107089e-07,2.1713614712228135e-05
1642,1.9710794861436754e-05,9.264698072846451e-07,4.396995011900019e-07,1.9710794861436754e-05
1643,1.8887565342343544e-05,1.1071147006142773e-06,1.79166266077248e-07,1.8887565342343544e-05
1644,1.7847357997067904e-05,9.607944459081149e-07,3.624891990382041e-07,1.7847357997067904e-05
1645,1.588123820641028e-05,1.0099112768914762e-06,3.624891990382041e-07,1.588123820641028e-05
1646,1.5734171353999826e-05,9.320410470081697e-07,3.624891990382041e-07,1.5734171353999826e-05
1647,1.0411665178773027e-05,8.292329921135076e-07,4.6653475140244283e-07,1.0411665178773027e-05
1648,1.0692860282038705e-05,7.695109047745063e-07,2.8736848532519487e-07,1.0692860282038705e-05
1649,1.2046268173954949e-05,2.2976172431299346e-07,3.655962603131359e-07,1.2046268173954949e-05
1650,1.7416176563399078e-05,4.9116830983361326e-08,3.655962603131359e-07,1.7416176563399078e-05
1651,2.5265917299423434e-05,4.9116830983361326e-08,2.6827348977219246e-07,2.5265917299423434e-05
1652,2.6880557405612698e-05,5.567139688927065e-08,2.6827348977219246e-07,2.6880557405612698e-05
1653,2.7580741516430862e-05,1.310471751431968e-07,6.451523729213347e-07,2.7580741516430862e-05
1654,2.734616984006217e-05,1.7253036129919304e-07,5.825900067130923e-07,2.734616984006217e-05
1655,2.8591661897995175e-05,3.4683950340357636e-07,5.825900067130923e-07,2.8591661897995175e-05
1656,3.495231703709578e-05,3.4683950340357636e-07,5.949768941653539e-07,3.495231703709578e-05
1657,3.066037593920815e-05,4.580572335401355e-07,5.949768941653539e-07,3.066037593920815e-05
1658,2.416144694247383e-05,5.116728678850839e-07,6.162080004352382e-07,2.416144694247383e-05
1659,2.4801231250291623e-05,5.20335841461669e-07,6.48375185668166e-07,2.4801231250291623e-05
1660,2.4695079446246382e-05,4.449600632077428e-07,3.5167110265125044e-07,2.4695079446246382e-05
1661,2.5371460261729745e-05,6.722185129806999e-07,4.445587344597308e-07,2.5371460261729745e-05
1662,2.663618384498737e-05,6.197089500606776e-07,4.445587344597308e-07,2.663618384498737e-05
1663,1.9733587578230072e-05,6.197089500606776e-07,4.1963905061948026e-07,1.9733587578230072e-05
1664,1.9132153673646307e-05,5.870971822982288e-07,4.1963905061948026e-07,1.9132153673646307e-05
1665,2.074131121584547e-05,6.216647818746424e-07,3.1240778192958327e-07,2.074131121584547e-05
1666,1.9533405585597003e-05,5.972788090145644e-07,3.601373919082107e-07,1.9533405585597003e-05
1667,1.8535057344187017e-05,6.297311248967422e-07,3.7731954145263966e-07,1.8535057344187017e-05
1668,1.808527739350601e-05,4.4849592078272895e-07,2.8670193939563303e-07,1.808527739350601e-05
1669,1.5388567395088364e-05,3.866045261702311e-07,3.166560316815646e-07,1.5388567395088364e-05
1670,1.554734749983514e-05,4.639028625368675e-07,2.8961022126493064e-07,1.554734749983514e-05
1671,1.620412363731053e-05,6.199580643137129e-07,3.678306066084198e-07,1.620412363731053e-05
1672,1.3638112445083347e-05,6.547778334769256e-07,4.416324149555554e-07,1.3638112445083347e-05
1673,1.2851565315941116e-05,6.148294358711479e-07,3.617356197440001e-07,1.2851565315941116e-05
1674,1.441545490316847e-05,6.47438168601054e-07,3.294397186794283e-07,1.441545490316847e-05
1675,1.3819300225545053e-05,7.658427339915111e-07,3.5432350184042403e-07,1.3819300225545053e-05
1676,1.4576829796299404e-05,7.05934549419648e-07,4.1026243025044096e-07,1.4576829796299404e-05
1677,1.4069679699397447e-05,6.286362130530116e-07,3.7161326206712276e-07,1.4069679699397447e-05
