ngram,calendar,calndar,calendr,caledar
1500,4.3100870243506506e-05,0.0,0.0,0.0
1501,3.4480696194805204e-05,0.0,0.0,0.0
1502,3.3126684684248175e-05,0.0,0.0,0.0
1503,2.839430115792701e-05,0.0,0.0,0.0
1504,2.3849827422444442e-05,0.0,0.0,0.0
1505,1.323514801957312e-05,0.0,0.0,0.0
1506,1.323514801957312e-05,0.0,0.0,0.0
1507,1.323514801957312e-05,0.0,0.0,0.0
1508,1.323514801957312e-05,0.0,0.0,0.0
1509,9.469915572221258e-06,0.0,0.0,0.0
1510,9.469915572221258e-06,0.0,0.0,0.0
1511,9.469915572221258e-06,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,5.713222890335601e-07,0.0,0.0,0.0
1515,5.713222890335601e-07,0.0,0.0,0.0
1516,5.713222890335601e-07,0.0,0.0,0.0
1517,3.758982984436443e-06,0.0,0.0,0.0
1518,3.758982984436443e-06,0.0,0.0,0.0
1519,3.758982984436443e-06,0.0,0.0,0.0
1520,6.440185578477602e-06,0.0,0.0,0.0
1521,5.868863289444042e-06,0.0,0.0,0.0
1522,5.868863289444042e-06,0.0,0.0,0.0
1523,7.100953293307352e-06,0.0,0.0,0.0
1524,3.913292597904469e-06,0.0,0.0,0.0
1525,3.913292597904469e-06,0.0,0.0,0.0
1526,3.913292597904469e-06,0.0,0.0,0.0
1527,1.2320900038633096e-06,0.0,0.0,0.0
1528,1.2320900038633096e-06,0.0,0.0,0.0
1529,1.2320900038633096e-06,0.0,0.0,0.0
1530,0.0,0.0,0.0,0.0
1531,5.744848229889092e-06,0.0,0.0,0.0
1532,6.195764821573643e-06,0.0,0.0,0.0
1533,6.195764821573643e-06,0.0,0.0,0.0
1534,6.195764821573643e-06,0.0,0.0,0.0
1535,6.572274384909958e-06,0.0,0.0,0.0
1536,9.703125182828184e-06,0.0,0.0,0.0
1537,9.703125182828184e-06,0.0,0.0,0.0
1538,3.958276952939091e-06,0.0,0.0,0.0
1539,4.3374715070448085e-06,0.0,0.0,0.0
1540,4.3374715070448085e-06,0.0,0.0,0.0
1541,4.3374715070448085e-06,0.0,0.0,0.0
1542,3.9609619437084935e-06,0.0,0.0,0.0
1543,8.301111457902672e-07,0.0,0.0,0.0
1544,9.692160704487054e-07,0.0,0.0,0.0
1545,9.692160704487054e-07,0.0,0.0,0.0
1546,1.391049246584381e-07,0.0,0.0,0.0
1547,1.391049246584381e-07,0.0,0.0,0.0
1548,4.597733793941318e-06,0.0,0.0,0.0
1549,4.597733793941318e-06,0.0,0.0,0.0
1550,4.597733793941318e-06,0.0,0.0,0.0
1551,4.45862886928288e-06,0.0,0.0,0.0
1552,1.3111960600196784e-05,0.0,0.0,0.0
1553,1.3111960600196784e-05,0.0,0.0,0.0
1554,1.3111960600196784e-05,0.0,0.0,0.0
1555,8.653331730913902e-06,0.0,0.0,0.0
1556,8.653331730913902e-06,0.0,0.0,0.0
1557,8.653331730913902e-06,0.0,0.0,0.0
1558,1.00174290439879e-05,0.0,0.0,0.0
1559,1.3640973130739958e-06,0.0,0.0,0.0
1560,1.3640973130739958e-06,0.0,0.0,0.0
1561,1.3640973130739958e-06,0.0,0.0,0.0
1562,1.3640973130739958e-06,0.0,0.0,0.0
1563,1.3640973130739958e-06,0.0,0.0,0.0
1564,1.3640973130739958e-06,0.0,0.0,0.0
1565,0.0,0.0,0.0,0.0
1566,0.0,0.0,0.0,0.0
1567,2.0471920184458474e-06,0.0,0.0,0.0
1568,2.0471920184458474e-06,0.0,0.0,0.0
1569,2.0471920184458474e-06,0.0,0.0,0.0
1570,2.0471920184458474e-06,0.0,0.0,0.0
1571,2.0471920184458474e-06,0.0,0.0,0.0
1572,2.0471920184458474e-06,0.0,0.0,0.0
1573,2.0471920184458474e-06,0.0,0.0,0.0
1574,0.0,0.0,0.0,0.0
1575,0.0,0.0,0.0,0.0
1576,4.5068044788162555e-07,0.0,0.0,0.0
1577,4.5068044788162555e-07,0.0,0.0,0.0
1578,1.4143328956249337e-06,0.0,0.0,0.0
1579,1.4143328956249337e-06,0.0,0.0,0.0
1580,1.4143328956249337e-06,0.0,0.0,0.0
1581,1.4143328956249337e-06,0.0,0.0,0.0
1582,1.4143328956249337e-06,0.0,0.0,0.0
1583,2.4055202629824635e-06,0.0,0.0,0.0
1584,2.4055202629824635e-06,0.0,0.0,0.0
1585,1.4418678152391555e-06,0.0,0.0,0.0
1586,1.4418678152391555e-06,0.0,0.0,0.0
1587,1.7879473749157375e-06,0.0,0.0,0.0
1588,3.1269590051254326e-06,0.0,0.0,0.0
1589,5.367676684337701e-06,0.0,0.0,0.0
1590,3.925808869098546e-06,0.0,0.0,0.0
1591,3.925808869098546e-06,0.0,0.0,0.0
1592,3.925808869098546e-06,0.0,0.0,0.0
1593,3.925808869098546e-06,0.0,0.0,0.0
1594,3.747360892703e-06,0.0,0.0,0.0
1595,2.408349262493305e-06,0.0,0.0,0.0
1596,1.67631583281036e-07,0.0,0.0,0.0
1597,2.2256871261561173e-06,0.0,0.0,0.0
1598,9.833920574107782e-06,0.0,0.0,0.0
1599,2.1153390808389565e-05,0.0,0.0,0.0
1600,2.1685921231957244e-05,0.0,0.0,0.0
1601,2.2299585095554774e-05,0.0,0.0,1.953238617196413e-07
1602,2.36567944154688e-05,0.0,0.0,1.953238617196413e-07
1603,2.36567944154688e-05,0.0,0.0,1.953238617196413e-07
1604,2.2109549815598128e-05,0.0,0.0,1.953238617196413e-07
1605,1.4501316367646463e-05,0.0,0.0,1.953238617196413e-07
1606,3.902567089296229e-06,0.0,0.0,1.953238617196413e-07
1607,3.3700366657285485e-06,0.0,0.0,1.953238617196413e-07
1608,2.5887412188499833e-06,0.0,0.0,0.0
1609,1.2315318989359575e-06,0.0,0.0,0.0
1610,1.2315318989359575e-06,0.0,0.0,0.0
1611,7.787168410037079e-06,0.0,0.0,0.0
1612,7.787168410037079e-06,0.0,0.0,0.0
1613,7.06644745410553e-06,0.0,0.0,0.0
1614,7.06644745410553e-06,0.0,0.0,0.0
1615,7.06644745410553e-06,0.0,0.0,0.0
1616,7.4268719864838725e-06,0.0,0.0,0.0
1617,8.168119977978807e-06,0.0,0.0,0.0
