ngram,candidate,candiate,candate,candiate
1500,1.239946914211032e-05,0.0,0.0,0.0
1501,9.919575313688256e-06,0.0,0.0,0.0
1502,9.671999578131363e-06,0.0,0.0,0.0
1503,8.290285352684026e-06,0.0,0.0,0.0
1504,7.220997369066546e-06,0.0,0.0,0.0
1505,1.4147092120505736e-05,0.0,0.0,0.0
1506,1.4147092120505736e-05,0.0,0.0,0.0
1507,1.4147092120505736e-05,0.0,0.0,0.0
1508,1.4147092120505736e-05,0.0,0.0,0.0
1509,1.2942217706170465e-05,0.0,0.0,0.0
1510,1.2942217706170465e-05,0.0,0.0,0.0
1511,1.2942217706170465e-05,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,8.569834660322937e-07,0.0,0.0,0.0
1515,8.569834660322937e-07,0.0,0.0,0.0
1516,8.569834660322937e-07,0.0,0.0,0.0
1517,8.569834660322937e-07,0.0,0.0,0.0
1518,8.569834660322937e-07,0.0,0.0,0.0
1519,8.569834660322937e-07,0.0,0.0,0.0
1520,2.644451862059733e-06,0.0,0.0,0.0
1521,1.7874683960274394e-06,0.0,0.0,0.0
1522,1.7874683960274394e-06,0.0,0.0,0.0
1523,7.947918285416173e-06,0.0,0.0,0.0
1524,1.0012596378926122e-05,0.0,0.0,0.0
1525,1.0012596378926122e-05,0.0,0.0,0.0
1526,1.0648245863974029e-05,0.0,0.0,0.0
1527,8.860777467946588e-06,0.0,0.0,0.0
1528,8.860777467946588e-06,0.0,0.0,0.0
1529,8.860777467946588e-06,0.0,0.0,0.0
1530,2.7003275785578547e-06,0.0,0.0,0.0
1531,6.356494850479066e-07,0.0,0.0,0.0
1532,1.537482668417007e-06,0.0,0.0,0.0
1533,9.018331833691004e-07,0.0,0.0,0.0
1534,9.018331833691004e-07,0.0,0.0,0.0
1535,9.018331833691004e-07,0.0,0.0,0.0
1536,8.952591932549175e-06,0.0,0.0,0.0
1537,8.952591932549175e-06,0.0,0.0,0.0
1538,8.952591932549175e-06,0.0,0.0,0.0
1539,8.880869894970342e-06,0.0,0.0,0.0
1540,8.880869894970342e-06,0.0,0.0,0.0
1541,8.880869894970342e-06,0.0,0.0,0.0
1542,1.4899455241642759e-05,0.0,0.0,0.0
1543,6.848696492462685e-06,0.0,0.0,0.0
1544,6.987801417121123e-06,0.0,0.0,0.0
1545,6.987801417121123e-06,0.0,0.0,0.0
1546,6.157690271330856e-06,0.0,0.0,0.0
1547,6.157690271330856e-06,0.0,0.0,0.0
1548,2.3992205748462376e-05,0.0,0.0,0.0
1549,1.7973620401789958e-05,0.0,0.0,0.0
1550,1.7973620401789958e-05,0.0,0.0,0.0
1551,1.783451547713152e-05,0.0,0.0,0.0
1552,1.783451547713152e-05,0.0,0.0,0.0
1553,1.783451547713152e-05,0.0,0.0,0.0
1554,1.783451547713152e-05,0.0,0.0,0.0
1555,0.0,0.0,0.0,0.0
1556,5.204381263216159e-06,0.0,0.0,0.0
1557,5.204381263216159e-06,0.0,0.0,0.0
1558,7.932575889364152e-06,0.0,0.0,0.0
1559,7.932575889364152e-06,0.0,0.0,0.0
1560,7.932575889364152e-06,0.0,0.0,0.0
1561,7.932575889364152e-06,0.0,0.0,0.0
1562,7.932575889364152e-06,0.0,0.0,0.0
1563,2.7281946261479917e-06,0.0,0.0,0.0
1564,2.7281946261479917e-06,0.0,0.0,0.0
1565,0.0,0.0,0.0,0.0
1566,0.0,0.0,0.0,0.0
1567,0.0,0.0,0.0,0.0
1568,0.0,0.0,0.0,0.0
1569,7.427053268267108e-07,0.0,0.0,0.0
1570,7.427053268267108e-07,0.0,0.0,0.0
1571,7.427053268267108e-07,0.0,0.0,0.0
1572,7.427053268267108e-07,0.0,0.0,0.0
1573,7.427053268267108e-07,0.0,0.0,0.0
1574,7.427053268267108e-07,0.0,0.0,0.0
1575,7.427053268267108e-07,0.0,0.0,0.0
1576,0.0,0.0,0.0,0.0
1577,0.0,0.0,0.0,0.0
1578,0.0,0.0,0.0,0.0
1579,0.0,0.0,0.0,0.0
1580,0.0,0.0,0.0,0.0
1581,0.0,0.0,0.0,0.0
1582,0.0,0.0,0.0,0.0
1583,4.806226050797185e-07,0.0,0.0,0.0
1584,4.806226050797185e-07,0.0,0.0,0.0
1585,4.806226050797185e-07,0.0,0.0,0.0
1586,4.806226050797185e-07,0.0,0.0,0.0
1587,4.806226050797185e-07,0.0,0.0,0.0
1588,4.806226050797185e-07,0.0,0.0,0.0
1589,7.576228459324089e-06,0.0,0.0,0.0
1590,7.35558150414103e-06,0.0,0.0,0.0
1591,8.155181896134828e-06,0.0,0.0,0.0
1592,8.155181896134828e-06,0.0,0.0,0.0
1593,8.155181896134828e-06,0.0,0.0,0.0
1594,8.155181896134828e-06,0.0,0.0,0.0
1595,8.155181896134828e-06,0.0,0.0,0.0
1596,1.059576041890458e-06,0.0,0.0,0.0
1597,9.206624846618589e-07,0.0,0.0,0.0
1598,6.844617571135002e-06,0.0,0.0,0.0
1599,7.080439867682539e-06,0.0,0.0,0.0
1600,7.186945952396075e-06,0.0,0.0,0.0
1601,7.186945952396075e-06,0.0,0.0,0.0
1602,7.395747388727614e-06,0.0,0.0,0.0
1603,7.395747388727614e-06,0.0,0.0,0.0
1604,7.444955615808015e-06,0.0,0.0,0.0
1605,7.214001373410741e-07,0.0,0.0,0.0
1606,8.058982692611088e-07,0.0,0.0,0.0
1607,6.993921845475728e-07,0.0,0.0,0.0
1608,6.993921845475728e-07,0.0,0.0,0.0
1609,6.792647257368247e-07,0.0,0.0,0.0
1610,6.792647257368247e-07,0.0,0.0,0.0
1611,4.810310055550612e-06,0.0,0.0,0.0
1612,4.810310055550612e-06,0.0,0.0,0.0
1613,4.64980010812204e-06,0.0,0.0,0.0
1614,4.64980010812204e-06,0.0,0.0,0.0
1615,4.64980010812204e-06,0.0,0.0,0.0
1616,4.4611261306012495e-06,0.0,0.0,0.0
1617,4.4611261306012495e-06,0.0,0.0,0.0
1618,7.506733287040593e-07,0.0,0.0,0.0
1619,7.506733287040593e-07,0.0,0.0,0.0
1620,7.92340675356432e-07,0.0,0.0,0.0
1621,7.92340675356432e-07,0.0,0.0,0.0
1622,7.92340675356432e-07,0.0,0.0,0.0
1623,1.8699974394361822e-06,0.0,0.0,0.0
1624,2.467326209755681e-06,0.0,0.0,0.0
1625,1.8764633620906222e-06,0.0,0.0,0.0
1626,1.8764633620906222e-06,0.0,0.0,0.0
1627,1.6749855343992489e-06,0.0,0.0,0.0
1628,2.0025436567396227e-06,0.0,0.0,0.0
1629,2.0025436567396227e-06,0.0,0.0,0.0
1630,1.0111358912061924e-06,0.0,0.0,0.0
1631,4.138071208866937e-07,0.0,0.0,0.0
1632,5.054332551221055e-07,0.0,0.0,0.0
1633,1.1908972591559826e-06,0.0,0.0,0.0
1634,1.4377335852649203e-06,0.0,0.0,0.0
1635,1.110175462924547e-06,0.0,0.0,0.0
1636,1.2838642809193907e-06,0.0,0.0,0.0
1637,1.1976152823730705e-06,0.0,0.0,0.0
1638,1.5342904719415986e-06,0.0,0.0,0.0
1639,1.987755955009821e-06,0.0,0.0,0.0
1640,1.302291950975944e-06,0.0,0.0,0.0
1641,1.055455624867006e-06,0.0,0.0,0.0
1642,1.4872549627398257e-06,0.0,0.0,0.0
1643,1.313566144744982e-06,0.0,0.0,0.0
1644,1.4968890777059381e-06,0.0,0.0,0.0
1645,1.5531485360043007e-06,0.0,0.0,0.0
1646,1.4110105602022877e-06,0.0,0.0,0.0
1647,1.4110105602022877e-06,0.0,0.0,0.0
1648,2.557241405806313e-06,0.0,0.0,0.0
1649,2.1254420679334932e-06,0.0,0.0,0.0
1650,2.1254420679334932e-06,0.0,0.0,0.0
1651,1.942119134972537e-06,0.0,0.0,0.0
1652,1.6048558839949173e-06,0.0,0.0,0.0
1653,1.2772780207472221e-06,0.0,0.0,0.0
1654,1.3187612069032184e-06,0.0,0.0,0.0
1655,1.7253036129919304e-07,0.0,0.0,0.0
1656,4.896816879603907e-07,0.0,0.0,0.0
1657,5.452905530286703e-07,0.0,0.0,0.0
1658,2.797147203636996e-06,0.0,0.0,0.0
1659,2.966646101348098e-06,0.0,0.0,0.0
1660,2.9714451232263983e-06,0.0,0.0,0.0
1661,2.929961937070402e-06,0.0,0.0,0.0
1662,2.9705617967985224e-06,0.0,0.0,0.0
1663,2.9818853631370857e-06,0.0,0.0,0.0
1664,2.965579479255861e-06,0.0,0.0,0.0
1665,7.137228286475355e-07,0.0,0.0,0.0
1666,4.885525340471628e-07,0.0,0.0,0.0
1667,7.004485748244146e-07,0.0,0.0,0.0
1668,7.004485748244146e-07,0.0,0.0,0.0
1669,7.497109899239669e-07,0.0,0.0,0.0
1670,4.598852651075244e-07,0.0,0.0,0.0
1671,4.5969247659221377e-07,0.0,0.0,0.0
1672,5.088936794501413e-07,0.0,0.0,0.0
1673,5.583794201616651e-07,0.0,0.0,0.0
1674,3.313696278642705e-07,0.0,0.0,0.0
1675,3.313696278642705e-07,0.0,0.0,0.0
1676,2.415073530365979e-07,0.0,0.0,0.0
1677,3.372029766524065e-07,0.0,0.0,0.0
1678,2.9809278398066195e-07,0.0,0.0,0.0
1679,2.719633503797273e-07,0.0,0.0,0.0
1680,2.767833962025179e-07,0.0,0.0,0.0
1681,2.340981950510468e-07,0.0,0.0,0.0
1682,3.1474232693134194e-07,0.0,0.0,0.0
1683,4.0301124012590404e-07,0.0,0.0,0.0
1684,2.97888027895559e-07,0.0,0.0,0.0
