ngram,card,cad,crd,cardd
1500,7.0181670253077755e-06,0.0,0.0,0.0
1501,5.61453362024622e-06,0.0,0.0,0.0
1502,4.85448886896241e-06,0.0,0.0,0.0
1503,4.160990459110638e-06,0.0,0.0,0.0
1504,6.120627439746127e-05,0.0,0.0,0.0
1505,6.385044678479192e-05,0.0,0.0,0.0
1506,6.385044678479192e-05,0.0,0.0,0.0
1507,6.385044678479192e-05,0.0,0.0,0.0
1508,6.385044678479192e-05,0.0,0.0,0.0
1509,6.369983748300001e-05,0.0,0.0,0.0
1510,6.369983748300001e-05,0.0,0.0,0.0
1511,5.05062156922317e-06,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,0.0,0.0,0.0,0.0
1515,0.0,0.0,0.0,0.0
1516,0.0,0.0,0.0,0.0
1517,2.1251071302685887e-06,0.0,0.0,0.0
1518,2.1251071302685887e-06,0.0,0.0,0.0
1519,2.1251071302685887e-06,0.0,0.0,0.0
1520,2.1251071302685887e-06,0.0,0.0,0.0
1521,2.1251071302685887e-06,0.0,0.0,0.0
1522,2.1251071302685887e-06,0.0,0.0,0.0
1523,2.7411521322002434e-06,0.0,0.0,0.0
1524,6.160450019316548e-07,0.0,0.0,0.0
1525,6.160450019316548e-07,0.0,0.0,0.0
1526,6.160450019316548e-07,0.0,0.0,0.0
1527,6.160450019316548e-07,0.0,0.0,0.0
1528,6.160450019316548e-07,0.0,0.0,0.0
1529,6.160450019316548e-07,0.0,0.0,0.0
1530,0.0,0.0,0.0,0.0
1531,0.0,0.0,0.0,0.0
1532,0.0,0.0,0.0,0.0
1533,0.0,0.0,0.0,0.0
1534,0.0,0.0,0.0,0.0
1535,6.400662511753451e-06,0.0,0.0,0.0
1536,6.847926897535217e-06,0.0,0.0,0.0
1537,6.847926897535217e-06,0.0,0.0,0.0
1538,6.847926897535217e-06,0.0,0.0,0.0
1539,6.847926897535217e-06,0.0,0.0,0.0
1540,6.847926897535217e-06,0.0,0.0,0.0
1541,6.847926897535217e-06,0.0,0.0,0.0
1542,3.4565570591179754e-06,0.0,0.0,0.0
1543,3.009292673336209e-06,0.0,0.0,0.0
1544,3.287502522653085e-06,0.0,0.0,0.0
1545,3.287502522653085e-06,0.0,0.0,0.0
1546,3.287502522653085e-06,0.0,0.0,0.0
1547,3.287502522653085e-06,0.0,0.0,0.0
