ngram,career,carer,caree,carree
1500,4.6781349283264717e-07,0.0,0.0,0.0
1501,3.742507942661177e-07,0.0,0.0,0.0
1502,3.1187566188843146e-07,0.0,0.0,0.0
1503,2.673219959043698e-07,0.0,0.0,0.0
1504,0.0,0.0,0.0,0.0
1505,9.469915442293444e-07,0.0,0.0,0.0
1506,9.469915442293444e-07,0.0,0.0,0.0
1507,9.469915442293444e-07,0.0,0.0,0.0
1508,9.469915442293444e-07,0.0,0.0,0.0
1509,9.469915442293444e-07,0.0,0.0,0.0
1510,9.469915442293444e-07,0.0,0.0,0.0
1511,9.469915442293444e-07,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,0.0,0.0,0.0,0.0
1515,0.0,0.0,0.0,0.0
1516,0.0,0.0,0.0,0.0
1517,0.0,0.0,0.0,0.0
1518,0.0,0.0,0.0,0.0
1519,0.0,0.0,0.0,0.0
1520,1.6087215044535697e-05,0.0,0.0,0.0
1521,1.6087215044535697e-05,0.0,0.0,0.0
1522,2.243472876476257e-05,0.0,0.0,0.0
1523,2.4898908772489188e-05,0.0,0.0,0.0
1524,2.4898908772489188e-05,0.0,0.0,0.0
1525,2.4898908772489188e-05,0.0,0.0,0.0
1526,2.4898908772489188e-05,0.0,0.0,0.0
1527,8.811693727953493e-06,0.0,0.0,0.0
1528,8.811693727953493e-06,0.0,0.0,0.0
1529,2.4641800077266192e-06,0.0,0.0,0.0
1530,0.0,0.0,0.0,0.0
1531,1.1489696459778185e-05,0.0,0.0,0.0
1532,1.1940613051462736e-05,0.0,0.0,0.0
1533,1.1940613051462736e-05,0.0,0.0,0.0
1534,1.3345083743843134e-05,0.0,0.0,0.0
1535,1.3345083743843134e-05,0.0,0.0,0.0
1536,1.3345083743843134e-05,0.0,0.0,0.0
1537,1.3345083743843134e-05,0.0,0.0,0.0
1538,1.8553872840649483e-06,0.0,0.0,0.0
1539,1.4044706923803979e-06,0.0,0.0,0.0
1540,1.4044706923803979e-06,0.0,0.0,0.0
1541,0.0,0.0,0.0,0.0
1542,0.0,0.0,0.0,0.0
1543,0.0,0.0,0.0,0.0
1544,2.5038885464060253e-06,0.0,0.0,0.0
1545,2.5038885464060253e-06,0.0,0.0,0.0
1546,2.5038885464060253e-06,0.0,0.0,0.0
1547,2.5038885464060253e-06,0.0,0.0,0.0
1548,2.801130481852202e-06,0.0,0.0,0.0
1549,2.801130481852202e-06,0.0,0.0,0.0
1550,3.881821904932232e-06,0.0,0.0,0.0
1551,1.3779333585262066e-06,0.0,0.0,0.0
1552,7.146821352372561e-06,0.0,0.0,0.0
1553,7.146821352372561e-06,0.0,0.0,0.0
1554,7.146821352372561e-06,0.0,0.0,0.0
1555,6.849579416926385e-06,0.0,0.0,0.0
1556,6.849579416926385e-06,0.0,0.0,0.0
1557,5.768887993846354e-06,0.0,0.0,0.0
1558,6.450936650383353e-06,0.0,0.0,0.0
1559,6.820486565369979e-07,0.0,0.0,0.0
1560,1.57942914873794e-06,0.0,0.0,0.0
1561,1.57942914873794e-06,0.0,0.0,0.0
1562,1.57942914873794e-06,0.0,0.0,0.0
1563,2.0340508594277447e-06,0.0,0.0,0.0
1564,2.0340508594277447e-06,0.0,0.0,0.0
1565,2.3638028453985626e-06,0.0,0.0,0.0
1566,2.3638028453985626e-06,0.0,0.0,0.0
1567,3.5136143716434683e-06,0.0,0.0,0.0
1568,3.5136143716434683e-06,0.0,0.0,0.0
1569,1.0197962313083866e-05,0.0,0.0,0.0
1570,9.74334060239406e-06,0.0,0.0,0.0
1571,9.74334060239406e-06,0.0,0.0,0.0
1572,9.251500744410026e-06,0.0,0.0,0.0
1573,9.251500744410026e-06,0.0,0.0,0.0
1574,7.2043087259641784e-06,0.0,0.0,0.0
1575,7.2043087259641784e-06,0.0,0.0,0.0
1576,7.73084795062979e-06,0.0,0.0,0.0
1577,7.73084795062979e-06,0.0,0.0,0.0
1578,8.212674174501444e-06,0.0,0.0,0.0
1579,8.986223000257659e-06,0.0,0.0,0.0
1580,8.986223000257659e-06,0.0,0.0,0.0
1581,8.986223000257659e-06,0.0,0.0,0.0
1582,8.986223000257659e-06,0.0,0.0,0.0
1583,2.976892411814853e-06,0.0,0.0,0.0
1584,2.976892411814853e-06,0.0,0.0,0.0
1585,2.8725023639708525e-06,0.0,0.0,0.0
1586,2.297886599730451e-06,0.0,0.0,0.0
1587,4.720443452502618e-06,0.0,0.0,0.0
1588,8.737478343131702e-06,0.0,0.0,0.0
1589,8.924204816399392e-06,0.0,0.0,0.0
1590,1.0582380485045309e-05,0.0,0.0,0.0
1591,1.2714648197028769e-05,0.0,0.0,0.0
1592,1.2934183814650169e-05,0.0,0.0,0.0
1593,1.333167366673089e-05,0.0,0.0,0.0
1594,1.1244379980520794e-05,0.0,1.67631583281036e-07,0.0
1595,8.128939271045965e-06,0.0,1.67631583281036e-07,0.0
1596,8.152631023351984e-06,0.0,1.67631583281036e-07,0.0
1597,6.3824575785734595e-06,0.0,1.67631583281036e-07,0.0
1598,4.515593364625861e-06,0.0,1.67631583281036e-07,0.0
1599,3.918621570976809e-06,0.0,1.67631583281036e-07,0.0
1600,4.186817006614417e-06,0.0,1.67631583281036e-07,0.0
1601,4.63284928693091e-06,0.0,0.0,0.0
