ngram,child,chld,cild,childd
1500,3.077333531109616e-05,0.0,0.0,0.0
1501,2.461866824887693e-05,0.0,0.0,0.0
1502,2.6138304140962038e-05,0.0,0.0,0.0
1503,2.2404260692253176e-05,0.0,0.0,0.0
1504,1.8795413780026138e-05,0.0,0.0,0.0
1505,2.4390655328586164e-05,0.0,0.0,0.0
1506,2.4390655328586164e-05,0.0,0.0,0.0
1507,2.4390655328586164e-05,0.0,0.0,0.0
1508,2.4390655328586164e-05,0.0,0.0,0.0
1509,1.957115767124508e-05,0.0,0.0,0.0
1510,1.957115767124508e-05,0.0,0.0,0.0
1511,1.957115767124508e-05,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,7.998512176397656e-06,0.0,0.0,0.0
1515,7.998512176397656e-06,0.0,0.0,0.0
1516,7.998512176397656e-06,0.0,0.0,0.0
1517,1.118617287180054e-05,0.0,0.0,0.0
1518,1.118617287180054e-05,0.0,0.0,0.0
1519,1.118617287180054e-05,0.0,0.0,0.0
1520,1.8336046455910298e-05,0.0,0.0,0.0
1521,1.0337534279512641e-05,0.0,0.0,0.0
1522,1.0337534279512641e-05,0.0,0.0,0.0
1523,2.450656886919335e-05,0.0,0.0,0.0
1524,2.5448264360810363e-05,0.0,0.0,0.0
1525,2.5448264360810363e-05,0.0,0.0,0.0
1526,2.5448264360810363e-05,0.0,0.0,0.0
1527,1.8298390776700607e-05,0.0,0.0,0.0
1528,1.8298390776700607e-05,0.0,0.0,0.0
1529,1.8298390776700607e-05,0.0,0.0,0.0
1530,4.129356187019896e-06,0.0,0.0,0.0
1531,5.744848229889092e-06,0.0,0.0,0.0
1532,9.352180963365494e-06,0.0,0.0,0.0
1533,1.733391893919491e-05,0.0,0.0,0.0
1534,2.154733088640829e-05,0.0,0.0,0.0
1535,2.9830541409735035e-05,0.0,0.0,0.0
1536,3.2514127659461724e-05,0.0,0.0,0.0
1537,3.2514127659461724e-05,0.0,0.0,0.0
1538,2.6769279429572634e-05,0.0,0.0,0.0
1539,2.316194669609623e-05,0.0,0.0,0.0
1540,1.5180208720266819e-05,0.0,0.0,0.0
1541,1.0966796773053439e-05,0.0,0.0,0.0
1542,2.9767220049896942e-05,0.0,0.0,0.0
1543,2.7083633800170253e-05,0.0,0.0,0.0
1544,3.3621565047984146e-05,0.0,0.0,0.0
1545,3.496116551104933e-05,0.0,0.0,0.0
1546,3.803793359631007e-05,0.0,0.0,0.0
1547,3.803793359631007e-05,0.0,0.0,0.0
1548,4.3685530337305476e-05,0.0,0.0,0.0
1549,3.236644676819976e-05,0.0,0.0,0.0
1550,3.83102498225136e-05,0.0,0.0,0.0
1551,3.413351571777769e-05,0.0,0.0,0.0
1552,4.4331691242405213e-05,0.0,0.0,0.0
1553,4.125492315714447e-05,0.0,0.0,0.0
1554,4.125492315714447e-05,0.0,0.0,0.0
1555,3.6809296424118134e-05,0.0,0.0,0.0
1556,2.2085622471682393e-05,0.0,0.0,0.0
1557,2.548682758580461e-05,0.0,0.0,0.0
1558,2.7899970908557797e-05,0.0,0.0,0.0
1559,5.074666179487914e-05,0.0,0.0,0.0
1560,7.183510401124035e-05,0.0,0.0,0.0
1561,7.949336174663455e-05,0.0,0.0,0.0
1562,8.717996453404859e-05,0.0,0.0,0.0
1563,8.65937099661096e-05,0.0,0.0,0.0
1564,8.361034854585472e-05,0.0,0.0,0.0
1565,8.794221412244951e-05,0.0,0.0,0.0
1566,5.355774724843546e-05,0.0,0.0,0.0
1567,3.45164970505201e-05,0.0,0.0,0.0
1568,2.6858239315125892e-05,0.0,0.0,0.0
1569,2.0940487827049636e-05,0.0,0.0,0.0
1570,2.5018903085895416e-05,0.0,0.0,0.0
1571,1.865725633771425e-05,0.0,0.0,0.0
1572,2.0470226445468143e-05,0.0,0.0,0.0
1573,2.17286357967948e-05,0.0,0.0,0.0
1574,2.2949712989169973e-05,0.0,0.0,0.0
1575,3.3007950021003906e-05,0.0,0.0,0.0
1576,3.31918919463143e-05,0.0,0.0,0.0
1577,2.865885497677872e-05,0.0,0.0,0.0
1578,4.7690990998359795e-05,0.0,0.0,0.0
1579,3.935883406873992e-05,0.0,0.0,0.0
1580,3.9090885560913845e-05,0.0,0.0,0.0
1581,4.650214948144692e-05,0.0,0.0,0.0
1582,4.5242521147364254e-05,0.0,0.0,0.0
1583,4.665367285789606e-05,0.0,0.0,0.0
1584,5.384656554139967e-05,0.0,0.0,0.0
1585,4.896828646191612e-05,0.0,0.0,0.0
1586,4.9975736341626286e-05,0.0,0.0,0.0
1587,6.0059821407776326e-05,0.0,0.0,0.0
1588,5.071929990663193e-05,0.0,0.0,0.0
1589,4.9949929754283016e-05,0.0,0.0,0.0
1590,5.344325992544847e-05,0.0,0.0,0.0
1591,5.397983789277662e-05,0.0,0.0,0.0
1592,6.31078811628478e-05,0.0,0.0,0.0
1593,6.420222312694282e-05,0.0,0.0,0.0
1594,5.480399301762061e-05,0.0,0.0,0.0
1595,5.752215513764115e-05,0.0,0.0,0.0
1596,5.159709884797589e-05,0.0,0.0,0.0
1597,5.9639112415814975e-05,0.0,0.0,0.0
1598,5.566952456449924e-05,0.0,0.0,0.0
1599,4.4296649840751865e-05,0.0,0.0,0.0
1600,5.6009775367523874e-05,0.0,0.0,0.0
1601,6.97640443831915e-05,0.0,0.0,0.0
1602,8.55430062074447e-05,0.0,0.0,0.0
1603,9.827478840764212e-05,0.0,0.0,0.0
1604,9.000596453136365e-05,0.0,0.0,0.0
1605,9.659027533156664e-05,0.0,0.0,0.0
1606,0.00011423080962101397,0.0,0.0,0.0
1607,0.00010305435249132902,0.0,0.0,0.0
1608,0.00011058669198454092,0.0,0.0,0.0
1609,0.0001079198882507626,0.0,0.0,0.0
1610,0.00010200530180424851,0.0,0.0,0.0
1611,0.00011363119951316289,0.0,0.0,0.0
1612,0.00010947402292263828,0.0,0.0,0.0
1613,8.567764026728193e-05,0.0,0.0,0.0
1614,8.242981935576868e-05,0.0,0.0,0.0
1615,6.327632763714064e-05,0.0,0.0,0.0
1616,6.340737283088467e-05,0.0,0.0,0.0
1617,6.140430949536884e-05,0.0,0.0,0.0
1618,4.9922625424057643e-05,0.0,0.0,0.0
1619,5.487652353102541e-05,0.0,0.0,0.0
1620,5.5469898143201135e-05,0.0,0.0,0.0
1621,6.223472155397758e-05,0.0,0.0,0.0
1622,6.33496773454161e-05,0.0,0.0,0.0
1623,5.035992736728596e-05,0.0,0.0,0.0
1624,4.583092777465936e-05,0.0,0.0,0.0
1625,4.325348423403089e-05,0.0,0.0,0.0
1626,3.578651818055992e-05,0.0,0.0,0.0
1627,3.31147072886649e-05,0.0,0.0,0.0
1628,2.8564969397848472e-05,0.0,0.0,0.0
1629,3.23061623410987e-05,0.0,0.0,0.0
1630,3.222173628663378e-05,0.0,0.0,0.0
1631,3.782429926754308e-05,0.0,0.0,0.0
1632,4.2229090727882325e-05,0.0,0.0,0.0
1633,4.623233819854379e-05,0.0,0.0,0.0
1634,4.798799636773765e-05,0.0,0.0,0.0
1635,4.832283645685363e-05,0.0,0.0,0.0
1636,4.834169625870085e-05,0.0,0.0,0.0
1637,5.5308994758109164e-05,0.0,7.316012735308114e-08,0.0
1638,5.566666108539461e-05,0.0,7.316012735308114e-08,0.0
1639,5.3805427991652065e-05,0.0,7.316012735308114e-08,0.0
1640,5.435287571994455e-05,0.0,7.316012735308114e-08,0.0
1641,5.220719140197616e-05,0.0,7.316012735308114e-08,0.0
1642,5.761099211148186e-05,0.0,7.316012735308114e-08,0.0
1643,5.55200897776688e-05,0.0,7.316012735308114e-08,0.0
1644,4.8726340537541546e-05,0.0,0.0,0.0
1645,4.617258231779228e-05,0.0,0.0,0.0
1646,4.4677077312371694e-05,0.0,0.0,0.0
1647,4.300730272786625e-05,0.0,0.0,0.0
1648,4.944262608270427e-05,0.0,0.0,0.0
1649,4.5613007906857615e-05,0.0,0.0,0.0
1650,4.609061111945526e-05,0.0,0.0,0.0
1651,5.9578894121971515e-05,0.0,0.0,0.0
1652,6.051934698397028e-05,0.0,0.0,0.0
1653,6.0102150850330614e-05,0.0,0.0,0.0
1654,6.018459108807812e-05,0.0,0.0,0.0
1655,6.836029050256392e-05,0.0,0.0,0.0
1656,6.814847698218987e-05,0.0,0.0,0.0
1657,7.534100898608034e-05,0.0,2.7804432534139778e-08,0.0
1658,7.418105399535437e-05,0.0,2.7804432534139778e-08,0.0
1659,7.246289585184838e-05,0.0,2.7804432534139778e-08,0.0
1660,7.517188662729626e-05,0.0,2.7804432534139778e-08,0.0
1661,8.143417497714316e-05,0.0,2.7804432534139778e-08,0.0
1662,7.186140854693284e-05,0.0,2.7804432534139778e-08,0.0
1663,7.457749753874461e-05,0.0,2.7804432534139778e-08,0.0
1664,6.675951226498e-05,0.0,0.0,0.0
1665,5.496969502668695e-05,0.0,0.0,0.0
1666,5.6103667572772664e-05,0.0,0.0,0.0
1667,5.0739655437480125e-05,0.0,0.0,0.0
1668,4.9740931509794404e-05,0.0,0.0,0.0
1669,4.507235982081121e-05,0.0,0.0,0.0
1670,4.040853283575936e-05,0.0,0.0,0.0
1671,4.1706662419268726e-05,0.0,0.0,0.0
1672,4.072909827560319e-05,0.0,0.0,0.0
1673,3.851116109996967e-05,0.0,0.0,0.0
1674,4.147957250617245e-05,0.0,0.0,0.0
1675,3.54128431873895e-05,0.0,0.0,0.0
1676,3.742738304676355e-05,0.0,0.0,0.0
1677,4.010164879478647e-05,0.0,0.0,0.0
1678,3.6500893267137667e-05,0.0,0.0,0.0
1679,3.473201442310321e-05,0.0,2.3071769256992932e-08,0.0
1680,3.5413889885863424e-05,0.0,2.3071769256992932e-08,0.0
1681,3.4261634417427036e-05,0.0,2.3071769256992932e-08,0.0
1682,3.310484914566457e-05,0.0,2.3071769256992932e-08,0.0
1683,2.9113019341561346e-05,0.0,2.3071769256992932e-08,0.0
1684,2.486348642248361e-05,0.0,2.3071769256992932e-08,0.0
1685,2.6519497493739307e-05,0.0,6.348343260599774e-08,0.0
1686,3.098631831172887e-05,0.0,4.041166334900481e-08,0.0
1687,2.843033105039337e-05,0.0,4.041166334900481e-08,0.0
1688,2.5848262599278575e-05,0.0,4.041166334900481e-08,0.0
1689,2.3033601922049585e-05,0.0,4.041166334900481e-08,0.0
1690,2.3599684027431067e-05,0.0,4.041166334900481e-08,0.0
1691,2.3850603741136312e-05,0.0,4.041166334900481e-08,0.0
1692,2.0442002356243654e-05,0.0,0.0,0.0
1693,1.575848870873285e-05,0.0,0.0,0.0
1694,1.8063498048702187e-05,0.0,0.0,0.0
1695,1.708258410612221e-05,0.0,0.0,0.0
1696,1.955002023480899e-05,0.0,0.0,0.0
1697,2.1847320957541732e-05,0.0,0.0,0.0
1698,2.207118138487983e-05,0.0,0.0,0.0
1699,2.062171578082988e-05,0.0,0.0,0.0
1700,2.0921214724824366e-05,0.0,0.0,0.0
1701,1.7281207874475513e-05,0.0,0.0,0.0
1702,2.1357929524258778e-05,0.0,0.0,0.0
1703,1.8750223067140075e-05,0.0,0.0,0.0
1704,1.5223157528713013e-05,0.0,0.0,0.0
1705,1.7537273249347762e-05,9.157804673317775e-09,0.0,0.0
1706,2.1491585747363778e-05,9.157804673317775e-09,0.0,0.0
1707,2.0663103506584385e-05,9.157804673317775e-09,1.2152453012147037e-08,0.0
1708,2.123064275240592e-05,9.157804673317775e-09,1.2152453012147037e-08,0.0
1709,1.737755922347008e-05,9.157804673317775e-09,1.2152453012147037e-08,0.0
1710,1.8719404709242682e-05,9.157804673317775e-09,1.2152453012147037e-08,0.0
1711,1.87042878678767e-05,9.157804673317775e-09,1.2152453012147037e-08,0.0
1712,1.577544519802489e-05,0.0,1.2152453012147037e-08,0.0
1713,1.4287800565528284e-05,0.0,1.2152453012147037e-08,0.0
1714,1.3923250662628561e-05,0.0,0.0,0.0
1715,1.340062447395342e-05,0.0,0.0,0.0
1716,1.2992130255692505e-05,0.0,0.0,0.0
1717,1.206744959095626e-05,0.0,0.0,0.0
1718,1.3476826097758021e-05,0.0,0.0,0.0
1719,1.1941236347671033e-05,0.0,0.0,0.0
1720,1.2058340546770654e-05,0.0,0.0,0.0
1721,1.667954640132458e-05,0.0,0.0,0.0
1722,2.024480253177379e-05,0.0,0.0,0.0
1723,2.242627260784502e-05,0.0,0.0,0.0
1724,2.20890514615998e-05,0.0,0.0,0.0
1725,2.2725487789492555e-05,0.0,0.0,0.0
1726,2.451242549536151e-05,0.0,0.0,0.0
1727,2.345786690836706e-05,0.0,0.0,0.0
1728,2.168816198328776e-05,0.0,0.0,0.0
1729,1.9850800786766092e-05,0.0,0.0,0.0
1730,2.0841318733541163e-05,0.0,0.0,0.0
1731,2.1581806192573693e-05,0.0,0.0,0.0
1732,2.0189933820802253e-05,0.0,6.258523857890655e-09,0.0
1733,2.2867765307767384e-05,0.0,6.258523857890655e-09,0.0
1734,2.46766203417792e-05,0.0,6.258523857890655e-09,0.0
1735,2.336909931597932e-05,0.0,6.258523857890655e-09,0.0
1736,2.291635701112682e-05,0.0,6.258523857890655e-09,0.0
1737,2.056438318374733e-05,0.0,6.258523857890655e-09,0.0
1738,2.0838825028996716e-05,0.0,6.258523857890655e-09,0.0
1739,2.113481735120461e-05,0.0,9.69274895266738e-09,0.0
1740,1.9497657766416004e-05,0.0,9.69274895266738e-09,0.0
1741,1.894975061337131e-05,0.0,9.69274895266738e-09,0.0
1742,2.2478343193402645e-05,0.0,9.69274895266738e-09,0.0
1743,3.173089524872401e-05,0.0,9.69274895266738e-09,0.0
1744,3.713231438138921e-05,0.0,9.69274895266738e-09,0.0
1745,3.949681662821344e-05,0.0,9.69274895266738e-09,0.0
1746,4.151602167569633e-05,0.0,0.0,0.0
1747,4.2455611297295294e-05,0.0,0.0,0.0
1748,4.309940050006844e-05,0.0,0.0,0.0
1749,4.681615454111514e-05,0.0,0.0,0.0
1750,4.1096684851384324e-05,0.0,0.0,0.0
1751,4.220483658303108e-05,0.0,3.569138635433384e-09,0.0
1752,4.505802696387816e-05,0.0,3.569138635433384e-09,0.0
1753,5.010317909182049e-05,0.0,3.569138635433384e-09,0.0
1754,5.066545106404062e-05,0.0,3.569138635433384e-09,0.0
1755,5.624744101494018e-05,0.0,3.569138635433384e-09,0.0
1756,5.228658379305021e-05,0.0,3.569138635433384e-09,0.0
1757,5.605695748402338e-05,0.0,3.569138635433384e-09,0.0
1758,5.57055687490252e-05,0.0,0.0,0.0
1759,5.672935679155801e-05,0.0,0.0,0.0
1760,5.883861012989655e-05,0.0,0.0,0.0
1761,6.506432691821828e-05,0.0,5.551134916816279e-09,0.0
1762,6.710656868693019e-05,0.0,5.551134916816279e-09,0.0
1763,7.261933361795465e-05,0.0,5.551134916816279e-09,0.0
1764,7.636295101422417e-05,0.0,8.361814605807792e-09,0.0
1765,8.220095852656024e-05,0.0,8.361814605807792e-09,0.0
1766,8.327050974392998e-05,0.0,1.176286674413924e-08,0.0
1767,8.152395145901079e-05,0.0,1.176286674413924e-08,0.0
1768,8.120736830668258e-05,0.0,6.211731827322962e-09,0.0
1769,7.977869972819462e-05,0.0,1.230425107832746e-08,0.0
1770,8.258597413909488e-05,0.0,1.5187172662324755e-08,0.0
1771,8.141443894211469e-05,0.0,1.5009136790565336e-08,0.0
1772,7.744613997471918e-05,0.0,1.5009136790565336e-08,0.0
1773,7.70809139274726e-05,0.0,1.1608084652233889e-08,0.0
1774,7.887117057440005e-05,0.0,1.1608084652233889e-08,0.0
1775,7.899327881334881e-05,0.0,1.4496773813123452e-08,0.0
1776,8.022156544029713e-05,0.0,1.6541363072925767e-08,0.0
1777,7.962459598534874e-05,0.0,1.3658441488928474e-08,0.0
1778,8.58370414269822e-05,0.0,1.1025797671696376e-08,0.0
1779,8.547743345843628e-05,0.0,1.1025797671696376e-08,0.0
