ngram,decision,decison,decsion,deision
1500,0.00026837646873900667,0.0,0.0,0.0
1501,0.00021470117499120534,0.0,0.0,0.0
1502,0.0002655430920034026,1.7571085209056037e-07,0.0,0.0
1503,0.0002722316962068102,1.506093017919089e-07,0.0,0.0
1504,0.00015555824705058643,1.506093017919089e-07,0.0,0.0
1505,0.00014405698493646923,1.506093017919089e-07,0.0,0.0
1506,0.00014405698493646923,1.506093017919089e-07,0.0,0.0
1507,0.00014405698493646923,1.506093017919089e-07,0.0,0.0
1508,0.00014405698493646923,1.506093017919089e-07,0.0,0.0
1509,6.980660249869938e-05,0.0,0.0,0.0
1510,2.5183270866234254e-05,0.0,0.0,0.0
1511,2.209647001499044e-05,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,8.569834660322937e-07,0.0,0.0,0.0
1515,8.569834660322937e-07,0.0,0.0,0.0
1516,8.569834660322937e-07,0.0,0.0,0.0
1517,4.575920814074509e-06,0.0,0.0,0.0
1518,4.575920814074509e-06,0.0,0.0,0.0
1519,4.575920814074509e-06,0.0,0.0,0.0
1520,5.469655012088229e-06,0.0,0.0,0.0
1521,4.612671546055935e-06,0.0,0.0,0.0
1522,7.786428406169371e-06,0.0,0.0,0.0
1523,3.304427290069205e-05,0.0,0.0,0.0
1524,3.139001364615979e-05,0.0,0.0,0.0
1525,3.139001364615979e-05,0.0,0.0,0.0
1526,3.202566313120769e-05,0.0,0.0,0.0
1527,3.1131928933193975e-05,0.0,0.0,0.0
1528,0.00010429820200183062,0.0,0.0,0.0
1529,0.00010112444514171719,0.0,0.0,0.0
1530,7.58666006471945e-05,0.0,0.0,0.0
1531,7.380192255368456e-05,0.0,0.0,0.0
1532,8.191842113904255e-05,0.0,0.0,0.0
1533,8.128277165399465e-05,0.0,0.0,0.0
1534,8.268724234637505e-05,0.0,0.0,0.0
1535,1.1027007531083655e-05,3.7650956333631515e-07,0.0,0.0
1536,0.00016935859730438096,3.7650956333631515e-07,0.0,0.0
1537,0.00016935859730438096,3.7650956333631515e-07,0.0,0.0
1538,0.00016935859730438096,3.7650956333631515e-07,0.0,0.0
1539,0.0001653926544479743,3.7650956333631515e-07,0.0,0.0
1540,0.0001653926544479743,3.7650956333631515e-07,0.0,0.0
1541,0.00016398818375559391,3.7650956333631515e-07,0.0,0.0
1542,0.00016699608464218078,0.0,0.0,0.0
1543,8.664494868883463e-06,0.0,0.0,0.0
1544,1.0472858905684137e-05,0.0,0.0,0.0
1545,1.0472858905684137e-05,0.0,0.0,0.0
1546,7.161421763157705e-06,0.0,0.0,0.0
1547,7.161421763157705e-06,0.0,0.0,0.0
1548,2.2320760958142012e-05,0.0,0.0,0.0
1549,1.7806821818209884e-05,0.0,0.0,0.0
1550,6.535724625272061e-05,0.0,0.0,0.0
1551,6.354888221591994e-05,0.0,0.0,0.0
1552,6.426999321515073e-05,0.0,0.0,0.0
1553,6.343087462872583e-05,0.0,0.0,0.0
1554,6.343087462872583e-05,0.0,0.0,0.0
1555,5.908926498575186e-05,0.0,0.0,0.0
1556,6.0130141264380654e-05,0.0,0.0,0.0
1557,1.257971682986993e-05,0.0,0.0,0.0
1558,3.508732210580742e-05,0.0,0.0,0.0
1559,3.4366211106576626e-05,0.0,0.0,0.0
1560,3.5712281844878036e-05,0.0,0.0,0.0
1561,3.5712281844878036e-05,0.0,0.0,0.0
1562,2.4894552292867695e-05,0.0,0.0,0.0
1563,2.4308297724928707e-05,0.0,0.0,0.0
1564,2.4308297724928707e-05,0.0,0.0,0.0
1565,2.812493091499034e-06,0.0,0.0,0.0
1566,2.375286957041161e-05,0.0,0.0,0.0
1567,2.3089196149937508e-05,0.0,0.0,0.0
1568,2.3089196149937508e-05,0.0,0.0,0.0
1569,2.531731213041764e-05,0.0,0.0,0.0
1570,2.4862690419727835e-05,0.0,0.0,0.0
1571,2.4862690419727835e-05,0.0,0.0,0.0
1572,2.385088977722002e-05,0.0,0.0,0.0
1573,2.9105132983074455e-06,0.0,0.0,0.0
1574,2.2281159804801324e-06,0.0,0.0,0.0
1575,2.2281159804801324e-06,0.0,0.0,0.0
1576,4.5068044788162555e-07,0.0,0.0,0.0
1577,4.5068044788162555e-07,0.0,0.0,0.0
1578,2.8598115997218495e-06,0.0,0.0,0.0
1579,1.0620869261401822e-05,0.0,0.0,0.0
1580,1.0620869261401822e-05,0.0,0.0,0.0
1581,1.0620869261401822e-05,0.0,0.0,0.0
1582,1.0620869261401822e-05,0.0,0.0,0.0
1583,2.5790423543574953e-05,0.0,0.0,0.0
1584,2.5790423543574953e-05,0.0,0.0,0.0
1585,2.338129239173473e-05,0.0,0.0,0.0
1586,1.6339128576094352e-05,0.0,0.0,0.0
1587,1.6685208135770934e-05,0.0,0.0,0.0
1588,1.6685208135770934e-05,0.0,0.0,0.0
1589,2.284718181856858e-05,0.0,0.0,0.0
1590,7.486922738410483e-06,0.0,0.0,0.0
1591,8.28652313040428e-06,0.0,0.0,0.0
1592,8.28652313040428e-06,0.0,0.0,0.0
