ngram,discipline,dicipline,discpline,discipine
1500,4.688151591381029e-06,0.0,0.0,0.0
1501,3.750521273104823e-06,0.0,0.0,0.0
1502,3.47685609843514e-06,0.0,0.0,0.0
1503,2.980162370087263e-06,0.0,0.0,0.0
1504,2.846501372135078e-06,0.0,0.0,0.0
1505,9.32546299736714e-07,0.0,0.0,0.0
1506,9.32546299736714e-07,0.0,0.0,0.0
1507,9.32546299736714e-07,0.0,0.0,0.0
1508,9.32546299736714e-07,0.0,0.0,0.0
1509,6.313276961528962e-07,0.0,0.0,0.0
1510,6.313276961528962e-07,0.0,0.0,0.0
1511,6.313276961528962e-07,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,5.713222890335601e-07,0.0,0.0,0.0
1515,5.713222890335601e-07,0.0,0.0,0.0
1516,5.713222890335601e-07,0.0,0.0,0.0
1517,1.6338758541678544e-06,0.0,0.0,0.0
1518,1.6338758541678544e-06,0.0,0.0,0.0
1519,1.6338758541678544e-06,0.0,0.0,0.0
1520,4.910901160266283e-06,0.0,0.0,0.0
1521,4.339578871232723e-06,0.0,0.0,0.0
1522,4.339578871232723e-06,0.0,0.0,0.0
1523,6.187713941991595e-06,0.0,0.0,0.0
1524,9.254516563877197e-06,0.0,0.0,0.0
1525,9.254516563877197e-06,0.0,0.0,0.0
1526,9.254516563877197e-06,0.0,0.0,0.0
1527,5.977491257778768e-06,0.0,0.0,0.0
1528,5.977491257778768e-06,0.0,0.0,0.0
1529,5.977491257778768e-06,0.0,0.0,0.0
1530,4.129356187019896e-06,0.0,0.0,0.0
1531,0.0,0.0,0.0,0.0
1532,0.0,0.0,0.0,0.0
1533,0.0,0.0,0.0,0.0
1534,0.0,0.0,0.0,0.0
1535,7.530191266726303e-07,0.0,0.0,0.0
1536,7.530191266726303e-07,0.0,0.0,0.0
1537,7.530191266726303e-07,0.0,0.0,0.0
1538,7.530191266726303e-07,0.0,0.0,0.0
1539,1.5831302724628976e-06,0.0,0.0,0.0
1540,1.5831302724628976e-06,0.0,0.0,0.0
1541,1.5831302724628976e-06,0.0,0.0,0.0
1542,1.4371928045875393e-05,0.0,0.0,0.0
1543,1.4371928045875393e-05,0.0,0.0,0.0
1544,1.673671171634591e-05,0.0,0.0,0.0
1545,1.7808392125776402e-05,0.0,0.0,0.0
1546,2.0614461586124628e-05,0.0,0.0,0.0
1547,2.0614461586124628e-05,0.0,0.0,0.0
1548,2.2100671295837465e-05,0.0,0.0,0.0
1549,1.7047458446281132e-05,0.0,0.0,0.0
1550,2.0289532650557313e-05,0.0,0.0,0.0
1551,3.445312924148831e-05,0.0,0.0,0.0
1552,3.4823670830519404e-05,0.0,0.0,0.0
1553,3.118749022438091e-05,0.0,0.0,0.0
1554,3.118749022438091e-05,0.0,0.0,0.0
1555,2.9701280514668076e-05,0.0,0.0,0.0
1556,2.1212676464139285e-05,0.0,0.0,0.0
1557,1.79706022598631e-05,0.0,0.0,0.0
1558,1.4422219984615886e-06,0.0,0.0,0.0
1559,0.0,0.0,0.0,0.0
1560,8.973804922009419e-07,0.0,0.0,0.0
1561,8.973804922009419e-07,0.0,0.0,0.0
1562,1.867452608296714e-05,0.0,0.0,0.0
1563,1.867452608296714e-05,0.0,0.0,0.0
1564,1.867452608296714e-05,0.0,0.0,0.0
1565,1.867452608296714e-05,0.0,0.0,0.0
1566,1.867452608296714e-05,0.0,0.0,0.0
1567,2.255392662066567e-05,0.0,0.0,0.0
1568,2.255392662066567e-05,0.0,0.0,0.0
1569,7.004897010379604e-06,0.0,0.0,0.0
1570,8.51590929024886e-06,0.0,0.0,0.0
1571,8.51590929024886e-06,0.0,0.0,0.0
1572,8.51590929024886e-06,0.0,0.0,0.0
1573,8.51590929024886e-06,0.0,0.0,0.0
1574,6.462686022652113e-06,0.0,0.0,0.0
1575,6.462686022652113e-06,0.0,0.0,0.0
1576,8.741374585952144e-06,0.0,0.0,0.0
1577,9.781838213841962e-06,0.0,0.0,0.0
1578,9.781838213841962e-06,0.0,0.0,0.0
1579,6.152222054619674e-05,0.0,0.0,0.0
1580,6.84554462558091e-05,0.0,0.0,0.0
1581,6.632519586803807e-05,0.0,0.0,0.0
1582,6.800112136521161e-05,0.0,0.0,0.0
1583,6.613774108440598e-05,0.0,0.0,0.0
1584,6.448537676208486e-05,0.0,0.0,0.0
1585,6.618383953796833e-05,0.0,0.0,0.0
1586,1.4443457205613544e-05,0.0,0.0,0.0
1587,1.3047504450826506e-05,0.0,0.0,0.0
1588,1.914925522734328e-05,0.0,0.0,0.0
1589,1.8780414978079663e-05,0.0,0.0,0.0
1590,1.8736747279035626e-05,0.0,0.0,0.0
1591,1.8637236085591473e-05,0.0,0.0,0.0
1592,1.8729688690655166e-05,0.0,0.0,0.0
1593,2.207883952516048e-05,0.0,0.0,0.0
1594,1.8888408768751625e-05,0.0,0.0,0.0
1595,1.3545741954398441e-05,0.0,0.0,0.0
1596,1.2659493157635942e-05,0.0,0.0,0.0
1597,1.3328412998297218e-05,0.0,0.0,0.0
1598,2.1464063788049055e-05,0.0,0.0,0.0
1599,2.085225995480349e-05,0.0,0.0,0.0
