ngram,drama,draam,draama
1500,0.0,0.0,0.0
1501,0.0,0.0,0.0
1502,1.7571085209056037e-07,0.0,0.0
1503,1.506093017919089e-07,0.0,0.0
1504,3.237410153035723e-06,0.0,0.0
1505,3.237410153035723e-06,0.0,0.0
1506,3.237410153035723e-06,0.0,0.0
1507,3.237410153035723e-06,0.0,0.0
1508,3.237410153035723e-06,0.0,0.0
1509,3.0868008512438142e-06,0.0,0.0
1510,3.0868008512438142e-06,0.0,0.0
1511,0.0,0.0,0.0
1512,0.0,0.0,0.0
1513,0.0,0.0,0.0
1514,0.0,0.0,0.0
1515,0.0,0.0,0.0
1516,0.0,0.0,0.0
1517,0.0,0.0,0.0
1518,0.0,0.0,0.0
1519,0.0,0.0,0.0
1520,1.7874683960274394e-06,0.0,0.0
1521,1.7874683960274394e-06,0.0,0.0
1522,1.7874683960274394e-06,0.0,0.0
1523,2.4035133979590943e-06,0.0,0.0
1524,2.4035133979590943e-06,0.0,0.0
1525,2.4035133979590943e-06,0.0,0.0
1526,2.4035133979590943e-06,0.0,0.0
1527,6.160450019316548e-07,0.0,0.0
1528,6.160450019316548e-07,0.0,0.0
1529,6.160450019316548e-07,0.0,0.0
1530,0.0,0.0,0.0
1531,0.0,0.0,0.0
1532,0.0,0.0,0.0
1533,0.0,0.0,0.0
1534,0.0,0.0,0.0
1535,0.0,0.0,0.0
1536,0.0,0.0,0.0
1537,0.0,0.0,0.0
1538,0.0,0.0,0.0
1539,0.0,0.0,0.0
1540,0.0008618832299751895,0.0,0.0
1541,0.0008618832299751895,0.0,0.0
1542,0.0008618832299751895,0.0,0.0
1543,0.0008618832299751895,0.0,0.0
1544,0.0008625787546147226,0.0,0.0
1545,0.0008625787546147226,0.0,0.0
1546,0.0008625787546147226,0.0,0.0
1547,6.955246395331674e-07,0.0,0.0
1548,6.955246395331674e-07,0.0,0.0
1549,6.955246395331674e-07,0.0,0.0
1550,6.955246395331674e-07,0.0,0.0
1551,0.0,0.0,0.0
1552,7.211109992307943e-07,0.0,0.0
1553,7.211109992307943e-07,0.0,0.0
1554,7.211109992307943e-07,0.0,0.0
1555,7.211109992307943e-07,0.0,0.0
1556,7.211109992307943e-07,0.0,0.0
1557,7.211109992307943e-07,0.0,0.0
1558,7.211109992307943e-07,0.0,0.0
1559,0.0,0.0,0.0
1560,0.0,0.0,0.0
1561,0.0,0.0,0.0
1562,0.0,0.0,0.0
1563,0.0,0.0,0.0
1564,0.0,0.0,0.0
1565,0.0,0.0,0.0
1566,0.0,0.0,0.0
1567,0.0,0.0,0.0
1568,0.0,0.0,0.0
1569,1.4854106536534215e-06,0.0,0.0
1570,1.4854106536534215e-06,0.0,0.0
1571,1.4854106536534215e-06,0.0,0.0
1572,2.5253322227009837e-06,0.0,0.0
1573,2.5253322227009837e-06,0.0,0.0
1574,2.5253322227009837e-06,0.0,0.0
1575,2.5253322227009837e-06,0.0,0.0
1576,1.9412824648108133e-06,0.0,0.0
1577,1.9412824648108133e-06,0.0,0.0
1578,7.000457961631972e-06,0.0,0.0
1579,5.96053639258441e-06,0.0,0.0
1580,5.96053639258441e-06,0.0,0.0
1581,5.96053639258441e-06,0.0,0.0
1582,5.96053639258441e-06,0.0,0.0
1583,5.539798101900877e-06,0.0,0.0
1584,2.172380625000057e-05,0.0,0.0
1585,1.741950310523472e-05,0.0,0.0
1586,1.741950310523472e-05,0.0,0.0
1587,1.741950310523472e-05,0.0,0.0
1588,1.8758514735444415e-05,0.0,0.0
1589,1.987887357505055e-05,0.0,0.0
1590,2.3037910003560163e-05,0.0,0.0
1591,7.386968783456334e-06,0.0,0.0
1592,9.019983605997237e-06,0.0,0.0
1593,9.24326033262852e-06,0.0,0.0
1594,9.24326033262852e-06,0.0,0.0
1595,1.0158234090340557e-05,0.0,0.0
1596,9.037875250734423e-06,0.0,0.0
1597,7.577333820206279e-06,0.0,0.0
1598,7.088500808549725e-06,0.0,0.0
1599,4.700613633953513e-06,0.0,0.0
1600,4.903361246176376e-06,0.0,0.0
1601,5.879980554774582e-06,0.0,0.0
1602,3.834796603184389e-06,0.0,0.0
1603,3.834796603184389e-06,0.0,0.0
1604,2.6773008861320184e-06,0.0,0.0
1605,2.633066969792708e-06,0.0,0.0
1606,4.554989605562046e-06,0.0,0.0
1607,4.875462341910211e-06,0.0,0.0
1608,3.898843033312005e-06,0.0,0.0
1609,3.690041596980466e-06,0.0,0.0
1610,3.690041596980466e-06,0.0,0.0
1611,3.2828933659142682e-06,0.0,0.0
1612,3.2828933659142682e-06,0.0,0.0
1613,3.598317562136799e-06,0.0,0.0
1614,2.85182048693449e-06,0.0,0.0
1615,2.85182048693449e-06,0.0,0.0
1616,3.5726695516911733e-06,0.0,0.0
1617,4.561000228672388e-06,0.0,0.0
1618,4.045003712300448e-06,0.0,0.0
1619,4.720210694943359e-06,0.0,0.0
1620,5.505031343285996e-06,0.0,0.0
1621,6.3971213048067255e-06,0.0,0.0
1622,6.3971213048067255e-06,0.0,0.0
1623,6.215100622089917e-06,0.0,0.0
1624,5.226769945108702e-06,0.0,0.0
1625,5.543616258104781e-06,0.0,0.0
1626,4.86840927546187e-06,0.0,0.0
1627,1.8462417951273631e-06,0.0,0.0
1628,9.541518336066344e-07,0.0,0.0
1629,9.541518336066344e-07,0.0,0.0
1630,8.465684524188484e-07,0.0,0.0
1631,8.465684524188484e-07,0.0,0.0
1632,3.8214119675623285e-06,0.0,0.0
1633,3.8214119675623285e-06,0.0,0.0
1634,4.315084619780204e-06,0.0,0.0
1635,4.479724046697291e-06,0.0,0.0
1636,4.479724046697291e-06,0.0,0.0
1637,4.048479045845202e-06,0.0,0.0
1638,4.183149120048516e-06,0.0,0.0
1639,7.929821533382762e-07,0.0,0.0
1640,1.3070224196910983e-06,0.0,0.0
1641,9.925160335504707e-07,0.0,0.0
1642,1.583525472272283e-06,0.0,0.0
1643,1.583525472272283e-06,0.0,0.0
1644,1.7668484052332393e-06,0.0,0.0
1645,1.6321783310299258e-06,0.0,0.0
1646,1.8336551517807363e-06,0.0,0.0
1647,1.3196148854279142e-06,0.0,0.0
1648,1.1404486193506663e-06,0.0,0.0
1649,4.630275286997078e-07,0.0,0.0
1650,5.069476653066626e-07,0.0,0.0
1651,4.0962489476571916e-07,0.0,0.0
1652,6.323104823228018e-07,0.0,0.0
1653,4.308336615719911e-07,0.0,0.0
1654,5.967664061959763e-07,0.0,0.0
1655,7.129724955185728e-07,0.0,0.0
1656,7.706667141909358e-07,0.0,0.0
1657,8.657687382245578e-07,0.0,0.0
1658,8.333842101494935e-07,0.0,0.0
1659,6.428658078253388e-07,0.0,0.0
1660,6.428658078253388e-07,0.0,0.0
1661,4.769330632013537e-07,0.0,0.0
1662,4.0132683360687746e-07,0.0,0.0
1663,2.6540483994657346e-07,0.0,0.0
1664,2.4429161880691807e-07,0.0,0.0
1665,1.9067598446196955e-07,0.0,0.0
1666,1.5850879922904175e-07,0.0,0.0
1667,1.5850879922904175e-07,0.0,0.0
1668,1.5850879922904175e-07,0.0,0.0
1669,1.179089395009214e-07,0.0,0.0
1670,1.565581076842396e-07,0.0,0.0
1671,3.864916818331819e-08,0.0,0.0
1672,6.324976961228198e-08,0.0,0.0
1673,6.324976961228198e-08,0.0,0.0
1674,9.09043397509127e-07,0.0,0.0
1675,1.0119988961118257e-06,0.0,0.0
1676,1.0549454064598e-06,0.0,0.0
1677,1.117054836186071e-06,0.0,0.0
1678,1.117054836186071e-06,0.0,0.0
1679,1.0924542347571072e-06,0.0,0.0
1680,1.1467600212914216e-06,0.0,0.0
1681,3.0096639339457655e-07,0.0,0.0
1682,4.1978226152293375e-07,0.0,0.0
1683,3.768357511749595e-07,0.0,0.0
1684,3.05298732834152e-07,0.0,0.0
1685,4.467395484653025e-07,0.0,0.0
1686,5.019979616755726e-07,0.0,0.0
1687,4.888922648303508e-07,0.0,0.0
1688,5.354838431717976e-07,0.0,0.0
1689,3.4528364624618136e-07,0.0,0.0
1690,4.283648097823191e-07,0.0,0.0
1691,3.9914323021353735e-07,0.0,0.0
1692,2.5770241458238683e-07,0.0,0.0
1693,2.9649758508704896e-07,0.0,0.0
1694,2.5529749539795634e-07,0.0,0.0
1695,2.552263274375426e-07,0.0,0.0
1696,2.8663894064655846e-07,0.0,0.0
1697,3.1791230087817113e-06,0.0,0.0
1698,3.1791230087817113e-06,0.0,0.0
1699,3.1791230087817113e-06,0.0,0.0
1700,3.1110651304645998e-06,0.0,0.0
1701,3.1110651304645998e-06,0.0,0.0
1702,3.076529879868823e-06,0.0,0.0
1703,3.0135460968543678e-06,0.0,0.0
1704,3.798086518307693e-08,0.0,0.0
1705,1.7534794035814878e-07,0.0,0.0
1706,2.750263833815682e-07,0.0,0.0
1707,2.854880370201889e-07,0.0,0.0
1708,3.915925798228922e-07,0.0,0.0
1709,4.1568247054004003e-07,0.0,0.0
1710,4.1568247054004003e-07,0.0,0.0
1711,4.350671279748245e-07,0.0,0.0
1712,2.9770005279975263e-07,0.0,0.0
1713,2.412936705046117e-07,0.0,0.0
1714,2.239795325717101e-07,0.0,0.0
1715,1.1787498976900679e-07,0.0,0.0
1716,8.179993926660245e-08,0.0,0.0
1717,9.708275021986473e-08,0.0,0.0
1718,3.409178128371033e-07,0.0,0.0
1719,3.409178128371033e-07,0.0,0.0
1720,3.1576800856620526e-07,0.0,0.0
1721,2.966247874626658e-07,0.0,0.0
1722,3.3526272095027056e-07,0.0,0.0
1723,4.4024071651652517e-07,0.0,0.0
1724,4.366997450639636e-07,0.0,0.0
1725,2.837743175681291e-07,0.0,0.0
1726,3.412618007863395e-07,0.0,0.0
1727,3.573531230927074e-07,0.0,0.0
1728,5.063830061301035e-07,0.0,0.0
1729,4.996049562626987e-07,0.0,0.0
1730,4.1099343661699095e-07,0.0,0.0
1731,4.7588573437451487e-07,0.0,0.0
1732,3.781084895341077e-07,0.0,0.0
1733,3.206210063158973e-07,0.0,0.0
1734,3.1737781723352653e-07,0.0,0.0
1735,1.8774871283052823e-07,0.0,0.0
1736,1.6691347935550637e-07,0.0,0.0
1737,1.9899840099567102e-07,0.0,0.0
1738,1.9924968950947785e-07,0.0,0.0
1739,2.2227272264022497e-07,0.0,0.0
1740,2.2976000124685925e-07,0.0,0.0
1741,2.700858188526516e-07,0.0,0.0
1742,2.634397847803679e-07,0.0,0.0
1743,3.2946628333466575e-07,0.0,0.0
1744,3.1672736864964334e-07,0.0,0.0
1745,4.102545011010404e-07,0.0,0.0
1746,7.580186560980045e-07,0.0,0.0
1747,1.0000804826810444e-06,4.159151753161236e-09,0.0
1748,1.2745587970438725e-06,4.159151753161236e-09,0.0
1749,1.6037183862798493e-06,4.159151753161236e-09,0.0
1750,2.8824459223285104e-06,4.159151753161236e-09,0.0
1751,3.1358336757745875e-06,4.159151753161236e-09,0.0
1752,3.1993365285286146e-06,4.159151753161236e-09,0.0
