ngram,driver,drver,diver,driver
1500,6.064435865482665e-06,0.0,8.098626835817413e-08,6.064435865482665e-06
1501,4.851548692386132e-06,0.0,6.47890146865393e-08,4.851548692386132e-06
1502,5.624354950365766e-06,0.0,5.3990845572116086e-08,5.624354950365766e-06
1503,4.820875671742085e-06,0.0,4.627786763324236e-08,4.820875671742085e-06
1504,3.4842656272563284e-06,0.0,4.627786763324236e-08,3.4842656272563284e-06
1505,4.1964583163332596e-06,0.0,0.0,4.1964583163332596e-06
1506,4.1964583163332596e-06,0.0,0.0,4.1964583163332596e-06
1507,4.1964583163332596e-06,0.0,0.0,4.1964583163332596e-06
1508,4.1964583163332596e-06,0.0,0.0,4.1964583163332596e-06
1509,2.8409745677241257e-06,0.0,0.0,2.8409745677241257e-06
1510,2.8409745677241257e-06,0.0,0.0,2.8409745677241257e-06
1511,2.8409745677241257e-06,0.0,0.0,2.8409745677241257e-06
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,0.0,0.0,0.0,0.0
1515,0.0,0.0,0.0,0.0
1516,0.0,0.0,0.0,0.0
1517,0.0,0.0,0.0,0.0
1518,0.0,0.0,0.0,0.0
1519,0.0,0.0,0.0,0.0
1520,2.979113885105887e-07,0.0,8.937341980137197e-07,2.979113885105887e-07
1521,2.979113885105887e-07,0.0,8.937341980137197e-07,2.979113885105887e-07
1522,2.979113885105887e-07,0.0,8.937341980137197e-07,2.979113885105887e-07
1523,2.979113885105887e-07,0.0,8.937341980137197e-07,2.979113885105887e-07
1524,2.979113885105887e-07,0.0,8.937341980137197e-07,2.979113885105887e-07
1525,2.979113885105887e-07,0.0,8.937341980137197e-07,2.979113885105887e-07
1526,2.979113885105887e-07,0.0,8.937341980137197e-07,2.979113885105887e-07
1527,0.0,0.0,0.0,0.0
1528,0.0,0.0,1.0452324334307508e-06,0.0
1529,0.0,0.0,1.0452324334307508e-06,0.0
1530,0.0,0.0,1.0452324334307508e-06,0.0
1531,0.0,0.0,1.0452324334307508e-06,0.0
1532,1.3527498075356043e-06,0.0,1.0452324334307508e-06,1.3527498075356043e-06
1533,1.3527498075356043e-06,0.0,1.0452324334307508e-06,1.3527498075356043e-06
1534,1.3527498075356043e-06,0.0,1.0452324334307508e-06,1.3527498075356043e-06
1535,1.3527498075356043e-06,0.0,0.0,1.3527498075356043e-06
1536,2.69454293239895e-06,0.0,0.0,2.69454293239895e-06
1537,2.69454293239895e-06,0.0,0.0,2.69454293239895e-06
1538,2.69454293239895e-06,0.0,0.0,2.69454293239895e-06
1539,3.0020154164438802e-06,0.0,0.0,3.0020154164438802e-06
1540,3.0020154164438802e-06,0.0,0.0,3.0020154164438802e-06
1541,3.0020154164438802e-06,0.0,0.0,3.0020154164438802e-06
1542,3.0020154164438802e-06,0.0,0.0,3.0020154164438802e-06
1543,1.6602222915805344e-06,0.0,0.0,1.6602222915805344e-06
1544,1.7993272162389725e-06,0.0,0.0,1.7993272162389725e-06
1545,1.7993272162389725e-06,0.0,0.0,1.7993272162389725e-06
1546,1.391049246584381e-07,0.0,0.0,1.391049246584381e-07
1547,1.391049246584381e-07,0.0,0.0,1.391049246584381e-07
1548,4.3634686010461466e-07,0.0,2.972419354461765e-07,4.3634686010461466e-07
1549,4.3634686010461466e-07,0.0,2.972419354461765e-07,4.3634686010461466e-07
1550,9.766925716446297e-07,0.0,2.972419354461765e-07,9.766925716446297e-07
1551,8.375876469861916e-07,0.0,2.972419354461765e-07,8.375876469861916e-07
1552,8.375876469861916e-07,0.0,2.972419354461765e-07,8.375876469861916e-07
1553,8.375876469861916e-07,0.0,2.972419354461765e-07,8.375876469861916e-07
1554,8.375876469861916e-07,0.0,2.972419354461765e-07,8.375876469861916e-07
1555,5.40345711540015e-07,0.0,0.0,5.40345711540015e-07
1556,5.40345711540015e-07,0.0,0.0,5.40345711540015e-07
1557,0.0,0.0,0.0,0.0
1558,0.0,0.0,0.0,0.0
1559,1.7192232917295769e-06,0.0,0.0,1.7192232917295769e-06
1560,1.7192232917295769e-06,0.0,0.0,1.7192232917295769e-06
1561,1.7192232917295769e-06,0.0,0.0,1.7192232917295769e-06
1562,1.7192232917295769e-06,0.0,0.0,1.7192232917295769e-06
1563,1.7192232917295769e-06,0.0,0.0,1.7192232917295769e-06
1564,1.7192232917295769e-06,0.0,0.0,1.7192232917295769e-06
1565,1.7192232917295769e-06,0.0,0.0,1.7192232917295769e-06
1566,0.0,0.0,0.0,0.0
1567,0.0,0.0,0.0,0.0
1568,0.0,0.0,0.0,0.0
1569,7.427053268267108e-07,0.0,0.0,7.427053268267108e-07
1570,7.427053268267108e-07,0.0,0.0,7.427053268267108e-07
1571,7.427053268267108e-07,0.0,0.0,7.427053268267108e-07
1572,7.427053268267108e-07,0.0,0.0,7.427053268267108e-07
1573,7.427053268267108e-07,0.0,0.0,7.427053268267108e-07
1574,7.427053268267108e-07,0.0,0.0,7.427053268267108e-07
1575,7.427053268267108e-07,0.0,0.0,7.427053268267108e-07
1576,0.0,0.0,0.0,0.0
1577,0.0,0.0,0.0,0.0
1578,0.0,0.0,0.0,0.0
1579,0.0,0.0,0.0,0.0
1580,0.0,0.0,9.904608435005815e-07,0.0
1581,0.0,0.0,9.904608435005815e-07,0.0
1582,0.0,0.0,9.904608435005815e-07,0.0
1583,2.403113025398592e-07,0.0,1.2307721460404406e-06,2.403113025398592e-07
1584,2.403113025398592e-07,0.0,1.2307721460404406e-06,2.403113025398592e-07
1585,9.951836545951664e-07,0.0,1.4194902340542676e-06,9.951836545951664e-07
1586,9.951836545951664e-07,0.0,1.4194902340542676e-06,9.951836545951664e-07
1587,9.951836545951664e-07,0.0,4.2902939055368604e-07,9.951836545951664e-07
1588,9.951836545951664e-07,0.0,4.2902939055368604e-07,9.951836545951664e-07
1589,2.302268902505083e-06,0.0,4.2902939055368604e-07,2.302268902505083e-06
1590,2.0619575999652236e-06,0.0,1.887180880138268e-07,2.0619575999652236e-06
1591,2.0619575999652236e-06,0.0,1.887180880138268e-07,2.0619575999652236e-06
1592,1.3070852479099164e-06,0.0,0.0,1.3070852479099164e-06
1593,1.3070852479099164e-06,0.0,2.2327672663128135e-07,1.3070852479099164e-06
1594,1.3070852479099164e-06,0.0,2.2327672663128135e-07,1.3070852479099164e-06
1595,1.7578823384870442e-06,0.0,2.2327672663128135e-07,1.7578823384870442e-06
1596,1.7133064440193785e-06,0.0,2.2327672663128135e-07,1.7133064440193785e-06
1597,1.8343685366874394e-06,0.0,2.2327672663128135e-07,1.8343685366874394e-06
1598,3.1613860106257822e-06,0.0,2.67510642970592e-07,3.1613860106257822e-06
1599,3.7509417844765788e-06,0.0,2.67510642970592e-07,3.7509417844765788e-06
1600,3.8574478691901144e-06,0.0,4.423391633931065e-08,3.8574478691901144e-06
1601,3.8574478691901144e-06,0.0,4.423391633931065e-08,3.8574478691901144e-06
1602,3.4066507786129866e-06,0.0,4.423391633931065e-08,3.4066507786129866e-06
1603,2.144141425170736e-06,0.0,4.423391633931065e-08,2.144141425170736e-06
1604,2.0230793325026752e-06,0.0,2.1450423608777263e-07,2.0230793325026752e-06
1605,6.960618585643325e-07,0.0,3.951441028350798e-07,6.960618585643325e-07
1606,6.670668426522752e-07,0.0,3.951441028350798e-07,6.670668426522752e-07
1607,5.605607579387392e-07,0.0,3.951441028350798e-07,5.605607579387392e-07
1608,9.599159511708422e-07,0.0,3.951441028350798e-07,9.599159511708422e-07
1609,9.599159511708422e-07,0.0,3.951441028350798e-07,9.599159511708422e-07
1610,9.599159511708422e-07,0.0,3.951441028350798e-07,9.599159511708422e-07
1611,1.8816264660667263e-06,0.0,3.272860616172173e-07,1.8816264660667263e-06
1612,1.8816264660667263e-06,0.0,1.0241227853059951e-07,1.8816264660667263e-06
1613,1.321065708127987e-06,0.0,1.0241227853059951e-07,1.321065708127987e-06
1614,1.321065708127987e-06,0.0,1.0241227853059951e-07,1.321065708127987e-06
1615,9.21710514895884e-07,0.0,4.833555310921968e-07,9.21710514895884e-07
1616,9.21710514895884e-07,0.0,4.833555310921968e-07,9.21710514895884e-07
1617,9.21710514895884e-07,0.0,6.068968657148486e-07,9.21710514895884e-07
1618,1.1817256953301175e-06,0.0,6.029617257549294e-07,1.1817256953301175e-06
1619,1.1817256953301175e-06,0.0,6.029617257549294e-07,1.1817256953301175e-06
1620,1.282464609175804e-06,0.0,6.029617257549294e-07,1.282464609175804e-06
1621,1.6393006002804863e-06,0.0,7.813797213072706e-07,1.6393006002804863e-06
1622,2.0613910497299263e-06,0.0,4.004364687456733e-07,2.0613910497299263e-06
1623,2.6002194317698013e-06,0.0,4.004364687456733e-07,2.6002194317698013e-06
1624,2.749551624349676e-06,0.0,4.262273267028961e-07,2.749551624349676e-06
1625,1.5678259290195586e-06,0.0,3.277501881322158e-07,1.5678259290195586e-06
1626,1.5678259290195586e-06,0.0,3.277501881322158e-07,1.5678259290195586e-06
1627,1.4670870151738718e-06,0.0,3.277501881322158e-07,1.4670870151738718e-06
1628,1.1757626501613622e-06,0.0,5.424019653738859e-07,1.1757626501613622e-06
1629,7.536722007119221e-07,0.0,7.899900050948158e-07,7.536722007119221e-07
1630,2.148438186720471e-07,0.0,1.3937329867985682e-06,2.148438186720471e-07
1631,1.2219161200326717e-07,0.0,1.8678806554817129e-06,1.2219161200326717e-07
1632,1.2219161200326717e-07,0.0,2.1427590581879485e-06,1.2219161200326717e-07
1633,1.2219161200326717e-07,0.0,2.2798518557465286e-06,1.2219161200326717e-07
1634,4.924460930461854e-07,0.0,2.5266881818554665e-06,4.924460930461854e-07
1635,4.26934466954013e-07,0.0,2.54521699259515e-06,4.26934466954013e-07
1636,4.26934466954013e-07,0.0,2.384473361871642e-06,4.26934466954013e-07
1637,4.26934466954013e-07,0.0,2.000210762227133e-06,4.26934466954013e-07
1638,3.7025448104291823e-07,0.0,1.7807411154535657e-06,3.7025448104291823e-07
1639,4.4812471092622476e-07,0.0,1.8952138540433744e-06,4.4812471092622476e-07
1640,4.4812471092622476e-07,0.0,1.8609291113794564e-06,4.4812471092622476e-07
1641,7.787022988330656e-08,0.0,1.67381487260952e-06,7.787022988330656e-08
1642,7.787022988330656e-08,0.0,1.3701661235440303e-06,7.787022988330656e-08
1643,7.787022988330656e-08,0.0,1.2833217145466084e-06,7.787022988330656e-08
1644,7.787022988330656e-08,0.0,1.705471589730223e-06,7.787022988330656e-08
1645,2.2522071471290213e-07,0.0,1.6452791840038117e-06,2.2522071471290213e-07
1646,3.488273055804062e-07,0.0,1.5581432575930063e-06,3.488273055804062e-07
1647,4.528728579446449e-07,0.0,1.6634263074268217e-06,4.528728579446449e-07
1648,5.445713294908014e-07,0.0,1.7871011631801333e-06,5.445713294908014e-07
1649,6.227991044787424e-07,0.0,2.0702902117721223e-06,6.227991044787424e-07
1650,7.984796509065615e-07,0.0,2.245970758199941e-06,7.984796509065615e-07
1651,7.984796509065615e-07,0.0,2.0343413130571468e-06,7.984796509065615e-07
1652,9.85157531171613e-07,0.0,1.9132090918511883e-06,9.85157531171613e-07
1653,7.836807104208024e-07,0.0,2.063248562730483e-06,7.836807104208024e-07
1654,8.455679026805488e-07,0.0,2.187022947249976e-06,8.455679026805488e-07
1655,8.70075520456989e-07,0.0,2.6427595035524324e-06,8.70075520456989e-07
1656,7.918477454690478e-07,0.0,2.478157268472257e-06,7.918477454690478e-07
1657,6.717760641095083e-07,0.0,2.4693033213095205e-06,6.717760641095083e-07
1658,1.0470855167048804e-06,0.0,2.3073806849944437e-06,1.0470855167048804e-06
1659,1.1955649443150053e-06,0.0,2.1811966511060225e-06,1.1955649443150053e-06
1660,1.3559145445794587e-06,0.0,2.3703403663993024e-06,1.3559145445794587e-06
1661,1.1899817999554735e-06,0.0,2.4415873229242735e-06,1.1899817999554735e-06
1662,1.1549754300891176e-06,0.0,1.802453823529504e-06,1.1549754300891176e-06
1663,1.1549754300891176e-06,0.0,1.641612154149438e-06,1.1549754300891176e-06
1664,1.2172755045217594e-06,0.0,1.5926944943852765e-06,1.2172755045217594e-06
1665,8.419660519263874e-07,0.0,1.5009827864430138e-06,8.419660519263874e-07
1666,4.393550544331707e-07,0.0,1.64417161028853e-06,4.393550544331707e-07
1667,3.1145777005089516e-07,0.0,1.2623917362881393e-06,3.1145777005089516e-07
1668,3.552109859583652e-07,0.0,1.4280711054327964e-06,3.552109859583652e-07
1669,3.039653587880561e-07,0.0,1.577841560772088e-06,3.039653587880561e-07
1670,3.426145269713743e-07,0.0,1.8213399276386814e-06,3.426145269713743e-07
1671,3.8114635815743115e-07,0.0,1.8989819474362385e-06,3.8114635815743115e-07
1672,4.549481665045667e-07,0.0,2.017822712982057e-06,4.549481665045667e-07
1673,4.2453711200453525e-07,0.0,2.000818166639614e-06,4.2453711200453525e-07
1674,3.920847961223574e-07,0.0,2.0014438340305266e-06,3.920847961223574e-07
1675,4.51287078817586e-07,0.0,1.7072000153867911e-06,4.51287078817586e-07
1676,5.072260072276029e-07,0.0,1.7292156014393965e-06,5.072260072276029e-07
1677,6.700940348634634e-07,0.0,1.4536084539226328e-06,6.700940348634634e-07
1678,5.136532641764851e-07,0.0,1.4572432007753378e-06,5.136532641764851e-07
1679,5.321385328573212e-07,0.0,1.3696818906997317e-06,5.321385328573212e-07
1680,5.188566498353404e-07,0.0,1.2556076325966257e-06,5.188566498353404e-07
1681,5.41232497295953e-07,0.0,1.241497764275274e-06,5.41232497295953e-07
1682,4.584380316633282e-07,0.0,1.1685600895816606e-06,4.584380316633282e-07
1683,4.608139241619418e-07,0.0,1.2174463392966572e-06,4.608139241619418e-07
1684,2.592967283427632e-07,0.0,1.3299680452811508e-06,2.592967283427632e-07
1685,2.592967283427632e-07,0.0,1.2520173332372257e-06,2.592967283427632e-07
1686,1.670096513147915e-07,0.0,1.2654050627653696e-06,1.670096513147915e-07
1687,2.132059730034338e-07,0.0,1.3215938484531113e-06,2.132059730034338e-07
1688,3.771964389086081e-07,0.0,1.2618258356919147e-06,3.771964389086081e-07
1689,3.8860657574397397e-07,0.0,1.2812136966593762e-06,3.8860657574397397e-07
1690,3.626485331713931e-07,0.0,1.185163146796445e-06,3.626485331713931e-07
1691,3.626485331713931e-07,0.0,1.2103176101975675e-06,3.626485331713931e-07
1692,4.0998462225161347e-07,0.0,1.2074228347306156e-06,4.0998462225161347e-07
1693,5.040382059665458e-07,0.0,1.0804427656044676e-06,5.040382059665458e-07
1694,4.947946783724027e-07,0.0,1.2326545808199235e-06,4.947946783724027e-07
1695,3.2393516846696e-07,0.0,1.2323699089782686e-06,3.2393516846696e-07
1696,3.553477816759758e-07,0.0,1.1530852443034486e-06,3.553477816759758e-07
1697,3.9589595449537486e-07,0.0,1.1313225465008664e-06,3.9589595449537486e-07
1698,5.825788207403093e-07,0.0,1.3334259116553376e-06,5.825788207403093e-07
1699,5.352427316600889e-07,0.0,1.3327115522900255e-06,5.352427316600889e-07
1700,4.801827060418873e-07,0.0,1.3556386388050408e-06,4.801827060418873e-07
1701,5.616942035300911e-07,0.0,1.1642943361169143e-06,5.616942035300911e-07
1702,5.701577196402598e-07,0.0,1.0860791316450298e-06,5.701577196402598e-07
1703,5.292563563281354e-07,0.0,1.0658189190897765e-06,5.292563563281354e-07
1704,5.043532139227734e-07,0.0,1.066901071616095e-06,5.043532139227734e-07
1705,3.359859570244745e-07,0.0,8.217446065827971e-07,3.359859570244745e-07
1706,4.467397880197106e-07,0.0,8.259479581543669e-07,4.467397880197106e-07
1707,6.507952901659207e-07,0.0,8.669491811425749e-07,6.507952901659207e-07
1708,5.154188755795985e-07,0.0,8.377399792282501e-07,5.154188755795985e-07
1709,5.034735721665129e-07,0.0,8.501236996900323e-07,5.034735721665129e-07
1710,5.846812963942025e-07,0.0,1.0385408261624564e-06,5.846812963942025e-07
1711,5.164177240755765e-07,0.0,1.0121382599338955e-06,5.164177240755765e-07
1712,5.306923753778392e-07,0.0,9.382460908519923e-07,5.306923753778392e-07
1713,4.415745747467424e-07,0.0,1.0111411573429256e-06,4.415745747467424e-07
1714,2.55955175784298e-07,0.0,9.87161809819424e-07,2.55955175784298e-07
1715,2.593081477795879e-07,0.0,9.926043235606942e-07,2.593081477795879e-07
1716,2.7384800611279e-07,0.0,9.254839150279232e-07,2.7384800611279e-07
1717,2.5461332191818134e-07,0.0,7.684415948006063e-07,2.5461332191818134e-07
1718,3.068550447388978e-07,0.0,8.534798528866563e-07,3.068550447388978e-07
1719,3.203588810103091e-07,0.0,9.176904346272099e-07,3.203588810103091e-07
1720,3.3496736356093084e-07,0.0,7.954551831192345e-07,3.3496736356093084e-07
1721,2.775377022804345e-07,0.0,8.27893740863926e-07,2.775377022804345e-07
1722,5.562688768025379e-07,0.0,9.810029187714723e-07,5.562688768025379e-07
1723,5.482295303441528e-07,0.0,1.144004337610178e-06,5.482295303441528e-07
1724,4.99399588095782e-07,0.0,1.0968527785085565e-06,4.99399588095782e-07
1725,4.962891608784048e-07,0.0,9.930995150041002e-07,4.962891608784048e-07
1726,4.629700600032395e-07,0.0,9.512218070995004e-07,4.629700600032395e-07
1727,4.5409641050550166e-07,0.0,9.334745081040248e-07,4.5409641050550166e-07
1728,4.800146505041474e-07,0.0,8.83665486688707e-07,4.800146505041474e-07
1729,2.7421842016143015e-07,0.0,7.815825670474754e-07,2.7421842016143015e-07
1730,2.7205936804973264e-07,0.0,6.800167276261553e-07,2.7205936804973264e-07
1731,2.9953450462828967e-07,0.0,6.3704082923063e-07,2.9953450462828967e-07
1732,3.4084726203380864e-07,0.0,6.720950612556667e-07,3.4084726203380864e-07
1733,3.421218051715057e-07,0.0,6.867670947485749e-07,3.421218051715057e-07
1734,3.56044794662986e-07,0.0,7.66230389867165e-07,3.56044794662986e-07
1735,4.012627396069287e-07,0.0,7.013337161814499e-07,4.012627396069287e-07
1736,3.167077388915069e-07,0.0,6.36603475965915e-07,3.167077388915069e-07
1737,3.072628911939189e-07,0.0,6.189409426886934e-07,3.072628911939189e-07
1738,2.7202131950129373e-07,0.0,6.111584533690413e-07,2.7202131950129373e-07
1739,1.8803952071623697e-07,0.0,5.851298437521888e-07,1.8803952071623697e-07
1740,2.0393909595993266e-07,0.0,5.911424563821908e-07,2.0393909595993266e-07
1741,2.8741360783409877e-07,0.0,5.638817494205536e-07,2.8741360783409877e-07
1742,3.820891072742987e-07,0.0,5.886748064248033e-07,3.820891072742987e-07
1743,4.866411761180903e-07,0.0,5.678973593603587e-07,4.866411761180903e-07
1744,5.198960906227512e-07,0.0,5.468835898422444e-07,5.198960906227512e-07
1745,5.807990715668763e-07,0.0,5.677043353508842e-07,5.807990715668763e-07
1746,6.044683057585384e-07,0.0,6.591503571533914e-07,6.044683057585384e-07
1747,6.452247711357424e-07,0.0,6.408396221299231e-07,6.452247711357424e-07
1748,6.696854037662498e-07,0.0,6.321680692573344e-07,6.696854037662498e-07
1749,5.534265231485083e-07,0.0,6.745663329508846e-07,5.534265231485083e-07
1750,5.632016016729072e-07,0.0,7.193034515954164e-07,5.632016016729072e-07
1751,5.694238609521562e-07,0.0,8.254405007132196e-07,5.694238609521562e-07
1752,6.136138616901527e-07,0.0,8.74456475230545e-07,6.136138616901527e-07
1753,7.146119165619374e-07,0.0,9.414820608201678e-07,7.146119165619374e-07
1754,7.652443311404308e-07,0.0,9.71243967537053e-07,7.652443311404308e-07
1755,8.780402700787298e-07,0.0,9.693039016513337e-07,8.780402700787298e-07
1756,1.1472118615074578e-06,0.0,1.0628601135717223e-06,1.1472118615074578e-06
1757,1.2867857849739397e-06,0.0,1.1395008771484884e-06,1.2867857849739397e-06
1758,1.3460448664253427e-06,0.0,1.094208528229501e-06,1.3460448664253427e-06
1759,1.4848388088596818e-06,0.0,1.139914599791934e-06,1.4848388088596818e-06
1760,1.6101536337893258e-06,0.0,1.0120643228869345e-06,1.6101536337893258e-06
1761,1.8107814737179848e-06,0.0,9.865455581348215e-07,1.8107814737179848e-06
1762,1.8974922113557113e-06,0.0,1.0109290542459348e-06,1.8974922113557113e-06
1763,2.140825407488072e-06,0.0,9.091544208266506e-07,2.140825407488072e-06
1764,2.1935064751232858e-06,0.0,9.086723236708037e-07,2.1935064751232858e-06
1765,2.2794301425424886e-06,0.0,9.69414957450811e-07,2.2794301425424886e-06
1766,2.1645325399991374e-06,0.0,9.179908277344242e-07,2.1645325399991374e-06
1767,2.3194596678877133e-06,0.0,9.873568761317334e-07,2.3194596678877133e-06
1768,2.555394059657244e-06,0.0,1.051611548064102e-06,2.555394059657244e-06
1769,2.4686367104160515e-06,0.0,1.0192368823222101e-06,2.4686367104160515e-06
1770,2.5321731007872065e-06,0.0,1.0497917303707384e-06,2.5321731007872065e-06
1771,2.393586084638498e-06,0.0,1.1168426356432195e-06,2.393586084638498e-06
1772,2.866297125235308e-06,0.0,1.127616737254097e-06,2.866297125235308e-06
1773,3.005700494083742e-06,0.0,1.1513154082162406e-06,3.005700494083742e-06
1774,2.8866249976999825e-06,0.0,1.1090845483912354e-06,2.8866249976999825e-06
1775,2.6407032172366077e-06,0.0,1.0684443460767007e-06,2.6407032172366077e-06
