ngram,drop,drp,drpp,dropp
1500,7.288764436452766e-07,0.0,0.0,0.0
1501,5.831011549162213e-07,0.0,0.0,0.0
1502,4.859176290968511e-07,0.0,0.0,0.0
1503,4.1650082494015805e-07,0.0,0.0,0.0
1504,4.1650082494015805e-07,0.0,0.0,0.0
1505,6.313276961528962e-07,0.0,0.0,0.0
1506,6.313276961528962e-07,0.0,0.0,0.0
1507,6.313276961528962e-07,0.0,0.0,0.0
1508,6.313276961528962e-07,0.0,0.0,0.0
1509,6.313276961528962e-07,0.0,0.0,0.0
1510,6.313276961528962e-07,0.0,0.0,0.0
1511,6.313276961528962e-07,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,2.8566114451678004e-07,0.0,0.0,0.0
1515,2.8566114451678004e-07,0.0,0.0,0.0
1516,2.8566114451678004e-07,0.0,0.0,0.0
1517,1.3482147096510744e-06,0.0,0.0,0.0
1518,1.3482147096510744e-06,0.0,0.0,0.0
1519,1.3482147096510744e-06,0.0,0.0,0.0
1520,1.646126098161663e-06,0.0,0.0,0.0
1521,1.360464953644883e-06,0.0,0.0,0.0
1522,4.53422181375832e-06,0.0,0.0,0.0
1523,5.766311817621629e-06,0.0,0.0,0.0
1524,1.2962470626527128e-05,8.258712374039792e-06,0.0,1.0323390597477555e-05
1525,1.2962470626527128e-05,8.258712374039792e-06,0.0,1.0323390597477555e-05
1526,1.5505068566718755e-05,8.258712374039792e-06,0.0,1.0323390597477555e-05
1527,1.5207157178208166e-05,8.258712374039792e-06,0.0,1.0323390597477555e-05
1528,2.2523784277187326e-05,8.258712374039792e-06,0.0,1.0323390597477555e-05
1529,1.935002741707389e-05,8.258712374039792e-06,0.0,1.0323390597477555e-05
1530,1.8846885918069995e-05,8.258712374039792e-06,0.0,1.0323390597477555e-05
1531,1.0588173544030205e-05,0.0,0.0,0.0
1532,2.0959254925401183e-05,0.0,0.0,0.0
1533,1.8416656985209556e-05,0.0,0.0,0.0
1534,1.8416656985209556e-05,0.0,0.0,0.0
1535,1.1100029886230394e-05,0.0,0.0,0.0
1536,1.1100029886230394e-05,0.0,0.0,0.0
1537,1.0371081381370978e-05,0.0,0.0,0.0
1538,1.0371081381370978e-05,0.0,0.0,0.0
1539,1.1621556560774999e-05,0.0,0.0,0.0
1540,1.1621556560774999e-05,0.0,0.0,0.0
1541,1.1621556560774999e-05,0.0,0.0,0.0
1542,1.1621556560774999e-05,0.0,0.0,0.0
1543,1.1621556560774999e-05,0.0,0.0,0.0
1544,1.2038871318509337e-05,0.0,0.0,0.0
1545,1.2038871318509337e-05,0.0,0.0,0.0
1546,4.1731475773433756e-07,0.0,0.0,0.0
1547,4.1731475773433756e-07,0.0,0.0,0.0
1548,1.0117986286266906e-06,0.0,0.0,0.0
1549,1.0117986286266906e-06,0.0,0.0,0.0
1550,1.0117986286266906e-06,0.0,0.0,0.0
1551,5.94483870892353e-07,0.0,0.0,0.0
1552,5.94483870892353e-07,0.0,0.0,0.0
1553,5.94483870892353e-07,0.0,0.0,0.0
1554,5.94483870892353e-07,0.0,0.0,0.0
1555,6.009850039845333e-07,0.0,0.0,0.0
1556,6.009850039845333e-07,0.0,0.0,0.0
1557,9.945993172420589e-06,0.0,0.0,0.0
1558,1.1992139142031582e-05,0.0,0.0,0.0
1559,1.371136243376116e-05,0.0,0.0,0.0
1560,1.505743317206257e-05,0.0,0.0,0.0
1561,1.505743317206257e-05,0.0,0.0,0.0
1562,1.4456448168078038e-05,0.0,0.0,0.0
1563,1.4456448168078038e-05,0.0,0.0,0.0
1564,5.111439999641984e-06,0.0,0.0,0.0
1565,3.06529403003099e-06,0.0,0.0,0.0
1566,3.249741244612129e-06,0.0,0.0,0.0
1567,1.9036705063107156e-06,0.0,0.0,0.0
1568,1.9036705063107156e-06,0.0,0.0,0.0
1569,1.9036705063107156e-06,0.0,0.0,0.0
1570,1.9036705063107156e-06,0.0,0.0,0.0
1571,1.9036705063107156e-06,0.0,0.0,0.0
1572,1.9036705063107156e-06,0.0,0.0,0.0
1573,0.0,0.0,0.0,0.0
1574,1.6341346054105088e-06,0.0,0.0,0.0
1575,1.6341346054105088e-06,0.0,0.0,0.0
1576,2.0848150532921343e-06,0.0,0.0,0.0
1577,4.6362909610512105e-06,0.0,0.0,0.0
1578,5.599943408794518e-06,0.0,0.0,0.0
1579,6.246698213934516e-06,0.0,0.0,0.0
1580,6.246698213934516e-06,0.0,0.0,0.0
1581,4.612563608524007e-06,0.0,0.0,0.0
1582,4.612563608524007e-06,0.0,0.0,0.0
1583,6.324684948465022e-06,0.0,0.0,0.0
1584,4.672320626143898e-06,0.0,0.0,0.0
1585,5.407130954284055e-06,0.0,0.0,0.0
1586,4.7603761491440566e-06,0.0,0.0,0.0
1587,5.4525352684972205e-06,0.0,0.0,0.0
1588,5.4525352684972205e-06,0.0,0.0,0.0
1589,7.13307359287033e-06,0.0,0.0,0.0
1590,6.270150087012942e-06,0.0,0.0,2.599756498966599e-07
1591,9.635573925541913e-06,0.0,0.0,2.599756498966599e-07
1592,1.0324998324254661e-05,0.0,0.0,2.599756498966599e-07
1593,1.3227595835425226e-05,0.0,0.0,2.599756498966599e-07
1594,1.4044120949360409e-05,0.0,0.0,2.599756498966599e-07
1595,1.6298106337282142e-05,0.0,0.0,2.599756498966599e-07
1596,1.5459240915203865e-05,0.0,0.0,2.599756498966599e-07
1597,1.7064852857272073e-05,0.0,0.0,0.0
1598,1.7666048084460533e-05,0.0,0.0,0.0
1599,1.6221450096054468e-05,0.0,0.0,0.0
1600,1.4277407379787682e-05,0.0,0.0,0.0
1601,1.4135990178536823e-05,0.0,0.0,0.0
