ngram,duty,dut,dutty,dut
1500,5.0687388011283474e-05,0.0,0.0,0.0
1501,4.054991040902678e-05,0.0,0.0,0.0
1502,9.546610120499584e-05,0.0,0.0,0.0
1503,8.182808674713929e-05,0.0,0.0,0.0
1504,9.472253233460444e-05,0.0,0.0,0.0
1505,8.818469151654946e-05,3.156638480764481e-07,0.0,3.156638480764481e-07
1506,8.818469151654946e-05,3.156638480764481e-07,0.0,3.156638480764481e-07
1507,8.818469151654946e-05,3.156638480764481e-07,0.0,3.156638480764481e-07
1508,8.818469151654946e-05,3.156638480764481e-07,0.0,3.156638480764481e-07
1509,3.532082649014358e-05,3.156638480764481e-07,0.0,3.156638480764481e-07
1510,3.532082649014358e-05,3.156638480764481e-07,0.0,3.156638480764481e-07
1511,1.988682197406888e-05,3.156638480764481e-07,0.0,3.156638480764481e-07
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,3.999256088198828e-06,0.0,0.0,0.0
1515,3.999256088198828e-06,0.0,0.0,0.0
1516,3.999256088198828e-06,0.0,0.0,0.0
1517,1.1437130784283259e-05,0.0,0.0,0.0
1518,1.1437130784283259e-05,0.0,0.0,0.0
1519,1.1437130784283259e-05,0.0,0.0,0.0
1520,2.0970295216622098e-05,0.0,0.0,0.0
1521,1.697103912842327e-05,0.0,0.0,0.0
1522,1.697103912842327e-05,0.0,0.0,0.0
1523,2.0667309269941014e-05,0.0,0.0,0.0
1524,2.1488146947896375e-05,0.0,0.0,0.0
1525,7.420295878546312e-05,0.0,0.0,0.0
1526,7.420295878546312e-05,0.0,0.0,0.0
1527,6.466979435312428e-05,0.0,0.0,0.0
1528,6.676025921998579e-05,0.0,0.0,0.0
1529,6.676025921998579e-05,0.0,0.0,0.0
1530,6.306398907846804e-05,0.0,0.0,0.0
1531,5.480527670442825e-05,0.0,0.0,0.0
1532,2.0904648668615015e-06,0.0,0.0,0.0
1533,2.0904648668615015e-06,0.0,0.0,0.0
1534,6.303876814074881e-06,0.0,0.0,0.0
1535,1.1743602954084054e-05,0.0,0.0,0.0
1536,9.582930891026211e-05,0.0,0.0,0.0
1537,0.00013140130769378238,0.0,0.0,0.0
1538,0.00013140130769378238,0.0,0.0,0.0
1539,0.00013306152998536293,0.0,0.0,0.0
1540,0.00013306152998536293,0.0,0.0,0.0
1541,0.00012884811803814955,0.0,0.0,0.0
1542,0.00012884115858469158,0.0,0.0,0.0
1543,4.4755452628513535e-05,0.0,0.0,0.0
1544,1.6834224620002453e-05,0.0,0.0,0.0
1545,1.790590502943295e-05,0.0,0.0,0.0
1546,1.8763038562091034e-05,0.0,0.0,0.0
1547,1.8763038562091034e-05,0.0,0.0,0.0
1548,3.689479561736724e-05,0.0,0.0,0.0
1549,3.058422180401976e-05,0.0,0.0,0.0
1550,7.219084162508287e-05,0.0,0.0,0.0
1551,6.454007085007365e-05,4.722394286155966e-06,0.0,4.722394286155966e-06
1552,7.428505562399681e-05,4.722394286155966e-06,0.0,4.722394286155966e-06
1553,7.176769979975819e-05,4.722394286155966e-06,0.0,4.722394286155966e-06
1554,7.176769979975819e-05,4.722394286155966e-06,0.0,4.722394286155966e-06
1555,5.8443822776358244e-05,4.722394286155966e-06,0.0,4.722394286155966e-06
1556,6.13946701508082e-05,4.722394286155966e-06,0.0,4.722394286155966e-06
1557,1.9788050329745082e-05,4.722394286155966e-06,0.0,4.722394286155966e-06
1558,4.1613607338929016e-05,0.0,0.0,0.0
1559,3.079694215557538e-05,0.0,0.0,0.0
1560,3.977074655787354e-05,0.0,0.0,0.0
1561,3.977074655787354e-05,0.0,0.0,0.0
1562,3.674058111105946e-05,0.0,0.0,0.0
1563,3.394094112861369e-05,4.5462171068980493e-07,0.0,4.5462171068980493e-07
1564,3.394094112861369e-05,4.5462171068980493e-07,0.0,4.5462171068980493e-07
1565,1.413898540444539e-05,4.5462171068980493e-07,0.0,4.5462171068980493e-07
1566,1.413898540444539e-05,4.5462171068980493e-07,0.0,4.5462171068980493e-07
1567,5.16518100214723e-06,4.5462171068980493e-07,0.0,4.5462171068980493e-07
1568,5.16518100214723e-06,4.5462171068980493e-07,0.0,4.5462171068980493e-07
1569,4.872877070738468e-06,4.5462171068980493e-07,0.0,4.5462171068980493e-07
1570,3.5090119386690536e-06,1.5110122798692567e-06,0.0,1.5110122798692567e-06
1571,1.822012200136669e-05,1.5110122798692567e-06,0.0,1.5110122798692567e-06
1572,2.4515893268731554e-05,1.5110122798692567e-06,0.0,1.5110122798692567e-06
1573,3.961680548465145e-05,1.5110122798692567e-06,0.0,1.5110122798692567e-06
1574,4.397449785236469e-05,1.5110122798692567e-06,0.0,1.5110122798692567e-06
1575,4.523177748134393e-05,1.5110122798692567e-06,0.0,1.5110122798692567e-06
1576,4.554908861921701e-05,1.961692727750882e-06,0.0,1.961692727750882e-06
1577,5.065204043473516e-05,4.5068044788162555e-07,0.0,4.5068044788162555e-07
