ngram,entertainment,entertinment,enterainment,enterntainment
1500,3.553861574800976e-06,0.0,0.0,0.0
1501,2.843089259840781e-06,0.0,0.0,0.0
1502,6.059168981664698e-06,0.0,0.0,0.0
1503,5.193573412855455e-06,0.0,0.0,0.0
1504,3.856963368369699e-06,0.0,0.0,0.0
1505,3.4784592181884884e-06,0.0,0.0,0.0
1506,3.4784592181884884e-06,0.0,0.0,0.0
1507,3.4784592181884884e-06,0.0,0.0,0.0
1508,3.4784592181884884e-06,0.0,0.0,0.0
1509,3.156638480764481e-07,0.0,0.0,0.0
1510,3.156638480764481e-07,0.0,0.0,0.0
1511,3.156638480764481e-07,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,3.427933864129175e-06,0.0,0.0,0.0
1515,3.427933864129175e-06,0.0,0.0,0.0
1516,3.427933864129175e-06,0.0,0.0,0.0
1517,3.427933864129175e-06,0.0,0.0,0.0
1518,3.427933864129175e-06,0.0,0.0,0.0
1519,3.427933864129175e-06,0.0,0.0,0.0
1520,3.7258452526397638e-06,0.0,0.0,0.0
1521,2.979113885105887e-07,0.0,0.0,0.0
1522,2.979113885105887e-07,0.0,0.0,0.0
1523,9.139563904422435e-07,0.0,0.0,0.0
1524,9.139563904422435e-07,0.0,0.0,0.0
1525,9.139563904422435e-07,0.0,0.0,0.0
1526,9.139563904422435e-07,0.0,0.0,0.0
1527,6.160450019316548e-07,0.0,0.0,0.0
1528,6.160450019316548e-07,0.0,0.0,0.0
1529,6.160450019316548e-07,0.0,0.0,0.0
1530,0.0,0.0,0.0,0.0
1531,0.0,0.0,0.0,0.0
1532,0.0,0.0,0.0,0.0
1533,0.0,0.0,0.0,0.0
1534,0.0,0.0,0.0,0.0
1535,4.894624518263819e-06,0.0,0.0,0.0
1536,4.894624518263819e-06,0.0,0.0,0.0
1537,4.894624518263819e-06,0.0,0.0,0.0
1538,4.894624518263819e-06,0.0,0.0,0.0
1539,4.894624518263819e-06,0.0,0.0,0.0
1540,4.894624518263819e-06,0.0,0.0,0.0
1541,4.894624518263819e-06,0.0,0.0,0.0
1542,1.5046463366681046e-06,0.0,0.0,0.0
1543,1.5046463366681046e-06,0.0,0.0,0.0
1544,5.538689038075972e-06,0.0,0.0,0.0
1545,5.538689038075972e-06,0.0,0.0,0.0
1546,5.538689038075972e-06,0.0,0.0,0.0
1547,5.538689038075972e-06,0.0,0.0,0.0
1548,8.511108457501645e-06,0.0,0.0,0.0
1549,7.006462120833541e-06,0.0,0.0,0.0
1550,9.167844966993601e-06,0.0,0.0,0.0
1551,5.1338022655857325e-06,0.0,0.0,0.0
1552,5.1338022655857325e-06,0.0,0.0,0.0
1553,5.1338022655857325e-06,0.0,0.0,0.0
1554,5.1338022655857325e-06,0.0,0.0,0.0
1555,2.16138284616006e-06,0.0,0.0,0.0
1556,2.16138284616006e-06,0.0,0.0,0.0
1557,0.0,0.0,0.0,0.0
1558,3.4102434126128045e-06,0.0,0.0,0.0
1559,5.129466704342381e-06,0.0,0.0,0.0
1560,7.821608180945208e-06,0.0,0.0,0.0
1561,7.821608180945208e-06,0.0,0.0,0.0
1562,7.821608180945208e-06,0.0,0.0,0.0
1563,7.821608180945208e-06,0.0,0.0,0.0
1564,7.821608180945208e-06,0.0,0.0,0.0
1565,4.411364768332403e-06,0.0,0.0,0.0
1566,2.692141476602826e-06,0.0,0.0,0.0
1567,6.823973178273133e-07,0.0,0.0,0.0
1568,6.823973178273133e-07,0.0,0.0,0.0
1569,6.823973178273133e-07,0.0,0.0,0.0
1570,6.823973178273133e-07,0.0,0.0,0.0
1571,6.823973178273133e-07,0.0,0.0,0.0
1572,2.762240455922438e-06,0.0,0.0,0.0
1573,2.762240455922438e-06,0.0,0.0,0.0
1574,2.0798431380951243e-06,0.0,0.0,0.0
1575,2.0798431380951243e-06,0.0,0.0,0.0
1576,4.333245409985206e-06,0.0,0.0,0.0
1577,4.333245409985206e-06,0.0,0.0,0.0
1578,5.537810985905318e-06,0.0,0.0,0.0
1579,4.751477458090189e-06,0.0,0.0,0.0
1580,4.751477458090189e-06,0.0,0.0,0.0
1581,4.751477458090189e-06,0.0,0.0,0.0
1582,5.170458832383572e-06,0.0,0.0,0.0
1583,4.839546980812364e-06,0.0,0.0,0.0
1584,5.7386585662503165e-06,0.0,0.0,0.0
1585,5.855119622667969e-06,0.0,0.0,0.0
1586,5.280503858427567e-06,0.0,0.0,0.0
1587,7.703060711199733e-06,0.0,0.0,0.0
1588,1.3059107232038514e-05,0.0,0.0,0.0
1589,1.656138186133051e-05,0.0,0.0,0.0
1590,1.64587209578063e-05,0.0,0.0,0.0
1591,1.6359209764362148e-05,0.0,0.0,0.0
1592,1.8023042100269648e-05,0.0,0.0,0.0
1593,1.8420531952350367e-05,0.0,0.0,0.0
1594,1.81771857309546e-05,0.0,0.0,0.0
1595,1.55259218835064e-05,0.0,0.0,0.0
1596,1.5181775584746252e-05,0.0,0.0,0.0
1597,1.90518644558324e-05,0.0,0.0,0.0
1598,2.174674357645147e-05,0.0,0.0,0.0
1599,1.8997706904753742e-05,0.0,0.0,0.0
1600,1.926590234039135e-05,0.0,0.0,0.0
1601,1.767266329417388e-05,0.0,0.0,0.0
1602,1.5072281338949064e-05,0.0,0.0,0.0
1603,1.4792052508840112e-05,0.0,0.0,0.0
1604,1.3188621664994571e-05,0.0,0.0,0.0
1605,1.2729938280894462e-05,0.0,0.0,0.0
1606,1.409571809420283e-05,0.0,0.0,0.0
1607,1.3457636035647219e-05,0.0,0.0,0.0
1608,1.3271019643720397e-05,0.0,0.0,0.0
1609,1.5996728669571375e-05,0.0,0.0,0.0
1610,1.3464537362649156e-05,0.0,0.0,0.0
1611,1.0606997128499123e-05,0.0,0.0,0.0
1612,9.185205369379088e-06,0.0,0.0,0.0
1613,9.181708102395142e-06,0.0,0.0,0.0
1614,9.424040302162342e-06,0.0,0.0,0.0
1615,1.5119777149915795e-05,0.0,0.0,0.0
1616,1.337094097055212e-05,0.0,0.0,0.0
1617,1.594186739696722e-05,0.0,0.0,0.0
1618,1.579616861947995e-05,0.0,0.0,0.0
1619,1.7445664850259034e-05,0.0,0.0,0.0
1620,1.937342202446806e-05,0.0,0.0,0.0
1621,2.0347190716815282e-05,0.0,0.0,0.0
1622,1.488523431752193e-05,0.0,0.0,0.0
1623,1.5151031675486593e-05,0.0,0.0,0.0
1624,1.271140880427473e-05,0.0,0.0,0.0
1625,1.3289454078143795e-05,0.0,0.0,0.0
1626,1.0944440743644788e-05,0.0,0.0,0.0
1627,9.495606198990053e-06,0.0,0.0,0.0
1628,8.974263956978185e-06,0.0,0.0,0.0
1629,1.0899537950795743e-05,0.0,0.0,0.0
1630,1.093245100491913e-05,0.0,0.0,0.0
