ngram,fat,ft,fat,faat
1500,5.487997611908213e-07,8.385725823245593e-05,5.487997611908213e-07,0.0
1501,4.3903980895265704e-07,6.708580658596475e-05,4.3903980895265704e-07,0.0
1502,1.4201316200039098e-06,5.590483882163729e-05,1.4201316200039098e-06,0.0
1503,1.2172556742890656e-06,4.791843327568911e-05,1.2172556742890656e-06,0.0
1504,9.499336783846957e-07,2.273209065606352e-05,9.499336783846957e-07,0.0
1505,9.036558107514534e-07,4.5036568605740156e-05,9.036558107514534e-07,0.0
1506,8.506079406548192e-06,4.5036568605740156e-05,8.506079406548192e-06,0.0
1507,8.506079406548192e-06,4.5036568605740156e-05,8.506079406548192e-06,0.0
1508,8.506079406548192e-06,4.5036568605740156e-05,8.506079406548192e-06,0.0
1509,7.602423595796738e-06,4.5036568605740156e-05,7.602423595796738e-06,0.0
1510,7.602423595796738e-06,4.5036568605740156e-05,7.602423595796738e-06,0.0
1511,7.602423595796738e-06,2.651576401798853e-05,7.602423595796738e-06,0.0
1512,7.602423595796738e-06,0.0,7.602423595796738e-06,0.0
1513,0.0,0.0,0.0,0.0
1514,2.5709502681690666e-06,0.0,2.5709502681690666e-06,0.0
1515,2.5709502681690666e-06,0.0,2.5709502681690666e-06,0.0
1516,2.5709502681690666e-06,0.0,2.5709502681690666e-06,0.0
1517,4.696057398437656e-06,4.250214260537177e-06,4.696057398437656e-06,0.0
1518,4.696057398437656e-06,4.250214260537177e-06,4.696057398437656e-06,0.0
1519,4.696057398437656e-06,4.250214260537177e-06,4.696057398437656e-06,0.0
1520,8.568905416593355e-06,4.846037037558355e-06,8.568905416593355e-06,0.0
1521,5.997955148424288e-06,4.846037037558355e-06,5.997955148424288e-06,0.0
1522,1.8692982588878033e-05,4.846037037558355e-06,1.8692982588878033e-05,0.0
1523,1.8692982588878033e-05,4.846037037558355e-06,1.8692982588878033e-05,0.0
1524,2.6891266056087e-05,2.6605008705311254e-06,2.6891266056087e-05,0.0
1525,2.6891266056087e-05,2.6605008705311254e-06,2.6891266056087e-05,0.0
1526,2.6891266056087e-05,9.6526452060581e-06,2.6891266056087e-05,0.0
1527,2.3018418037931303e-05,9.05682242903692e-06,2.3018418037931303e-05,0.0
1528,2.3018418037931303e-05,9.05682242903692e-06,2.3018418037931303e-05,0.0
1529,1.0323390597477555e-05,9.05682242903692e-06,1.0323390597477555e-05,0.0
1530,1.105233910233697e-05,1.124366787865126e-05,1.105233910233697e-05,0.0
1531,7.289485048594153e-07,9.178989785141312e-06,7.289485048594153e-07,0.0
1532,7.289485048594153e-07,0.00011243888963820479,7.289485048594153e-07,0.0
1533,7.289485048594153e-07,0.00010544674530267782,7.289485048594153e-07,0.0
1534,8.780612909374343e-05,0.00010825568668743861,8.780612909374343e-05,0.0
1535,9.081820560043395e-05,0.00010863219625077493,9.081820560043395e-05,0.0
1536,9.081820560043395e-05,0.00010863219625077493,9.081820560043395e-05,0.0
1537,9.008925709557454e-05,0.0001064453508011606,9.008925709557454e-05,0.0
1538,9.961857254633546e-05,0.00011279822794157164,9.961857254633546e-05,0.0
1539,9.961857254633546e-05,2.8630883662117412e-05,9.961857254633546e-05,0.0
1540,9.961857254633546e-05,2.8630883662117412e-05,9.961857254633546e-05,0.0
1541,1.2541391957451456e-05,2.5821942277356618e-05,1.2541391957451456e-05,0.0
1542,9.529315450760936e-06,2.9959371853952428e-05,9.529315450760936e-06,0.0
1543,9.529315450760936e-06,2.9959371853952428e-05,9.529315450760936e-06,0.0
1544,1.1476784363497114e-05,3.079400136942111e-05,1.1476784363497114e-05,0.0
1545,1.94746891273618e-06,2.4976964433725307e-05,1.94746891273618e-06,0.0
1546,2.7865874991610847e-06,1.1478533029471042e-05,2.7865874991610847e-06,0.0
1547,9.34086990257908e-06,6.391279225681501e-05,9.34086990257908e-06,0.0
1548,1.1421563418220363e-05,6.480451803067158e-05,1.1421563418220363e-05,0.0
1549,1.1421563418220363e-05,6.0290578890739456e-05,1.1421563418220363e-05,0.0
1550,1.1421563418220363e-05,6.0290578890739456e-05,1.1421563418220363e-05,0.0
1551,1.1835291648562166e-05,6.181714651834877e-05,1.1835291648562166e-05,0.0
1552,1.1835291648562166e-05,6.200241731286431e-05,1.1835291648562166e-05,0.0
1553,1.0996173062137262e-05,0.0015445035755874414,1.0996173062137262e-05,0.0
1554,4.441890658719265e-06,0.0014920693163600976,4.441890658719265e-06,0.0
1555,2.361197143077983e-06,0.001491177590586241,2.361197143077983e-06,0.0
1556,2.361197143077983e-06,0.001491177590586241,2.361197143077983e-06,0.0
1557,3.97412298168222e-05,0.001509867606923113,3.97412298168222e-05,0.0
1558,3.738003267374422e-05,0.001507506409780035,3.738003267374422e-05,0.0
1559,6.144915823824704e-05,0.0015067852987808042,6.144915823824704e-05,0.0
1560,6.279522897654845e-05,2.1382157813474934e-05,6.279522897654845e-05,0.0
1561,6.279522897654845e-05,2.1382157813474934e-05,6.279522897654845e-05,0.0
1562,6.279522897654845e-05,2.4937586983599302e-05,6.279522897654845e-05,0.0
1563,6.324985068723825e-05,2.584683040497891e-05,6.324985068723825e-05,0.0
1564,2.5869818013494035e-05,7.156814068106801e-06,2.5869818013494035e-05,0.0
1565,7.747164948211451e-05,7.156814068106801e-06,7.747164948211451e-05,0.0
1566,5.720986493023312e-05,1.0964155080728233e-05,5.720986493023312e-05,0.0
1567,5.7910986210377556e-05,8.272013604125408e-06,5.7910986210377556e-05,0.0
1568,5.7910986210377556e-05,8.272013604125408e-06,5.7910986210377556e-05,0.0
1569,5.9396396864030976e-05,4.716584434001041e-06,5.9396396864030976e-05,0.0
1570,6.347481212287676e-05,3.8073410126214313e-06,6.347481212287676e-05,0.0
1571,6.347481212287676e-05,3.8073410126214313e-06,6.347481212287676e-05,0.0
1572,1.2392941438780067e-05,3.8073410126214313e-06,1.2392941438780067e-05,0.0
1573,1.3619237831465267e-05,1.2584093513266583e-06,1.3619237831465267e-05,0.0
1574,1.2661468904947729e-05,2.892543956737167e-06,1.2661468904947729e-05,0.0
1575,1.391874853392697e-05,1.0436221470756988e-05,1.391874853392697e-05,0.0
1576,1.648946181376232e-05,1.1788262781919912e-05,1.648946181376232e-05,0.0
1577,1.1956424844226734e-05,1.1788262781919912e-05,1.1956424844226734e-05,0.0
1578,1.9424731233032488e-05,1.516104644646735e-05,1.9424731233032488e-05,0.0
1579,2.2785299279348692e-05,1.516104644646735e-05,2.2785299279348692e-05,0.0
1580,1.874212271754264e-05,1.4893097938641273e-05,1.874212271754264e-05,0.0
1581,1.8839314374677736e-05,1.3852270707762468e-05,1.8839314374677736e-05,0.0
1582,1.841999749428526e-05,8.403500032727607e-06,1.841999749428526e-05,0.0
1583,1.532511877095593e-05,7.77239262918426e-06,1.532511877095593e-05,0.0
1584,1.532511877095593e-05,7.77239262918426e-06,1.532511877095593e-05,0.0
1585,1.8991179136459584e-05,5.720635596974587e-06,1.8991179136459584e-05,0.0
1586,1.5110650305619597e-05,5.720635596974587e-06,1.5110650305619597e-05,0.0
1587,1.9311383052159465e-05,4.730174753474005e-06,1.9311383052159465e-05,0.0
1588,2.1472297378620298e-05,4.80637319404715e-06,2.1472297378620298e-05,0.0
1589,2.2688325771014206e-05,2.8981928283298785e-06,2.2688325771014206e-05,0.0
1590,2.328693439527082e-05,4.7770154846408075e-06,2.328693439527082e-05,0.0
1591,2.7551469819237745e-05,1.0374218423489115e-05,2.7551469819237745e-05,0.0
1592,2.0595905620471706e-05,1.1441078965747562e-05,2.0595905620471706e-05,0.0
1593,2.5061440412952963e-05,1.2110909145641407e-05,2.5061440412952963e-05,0.0
1594,2.2217089021328968e-05,1.529590917925816e-05,2.2217089021328968e-05,0.0
1595,2.788550149749166e-05,2.0486765736547697e-05,2.788550149749166e-05,0.0
1596,2.898778387004443e-05,2.640216767498974e-05,2.898778387004443e-05,0.0
1597,3.021235819947573e-05,2.68289633952788e-05,3.021235819947573e-05,0.0
1598,2.6345928030683092e-05,2.308958489395861e-05,2.6345928030683092e-05,0.0
1599,2.5232815395221614e-05,2.211663149864762e-05,2.5232815395221614e-05,0.0
1600,2.300390841420657e-05,2.3257404791365843e-05,2.300390841420657e-05,0.0
1601,2.554016301863677e-05,2.8276006949974025e-05,2.554016301863677e-05,0.0
1602,2.4563076749473112e-05,2.2833247450242717e-05,2.4563076749473112e-05,0.0
1603,2.717634450683753e-05,1.8379559475891127e-05,2.717634450683753e-05,0.0
1604,2.5924349172003402e-05,1.6374629077680375e-05,2.5924349172003402e-05,0.0
1605,2.8449603113196125e-05,1.541629977249873e-05,2.8449603113196125e-05,0.0
1606,3.0428959819671165e-05,1.5602968103069414e-05,3.0428959819671165e-05,0.0
1607,2.9685326158609575e-05,1.6778352931266583e-05,2.9685326158609575e-05,0.0
1608,3.718224005362052e-05,9.373461125505855e-06,3.718224005362052e-05,0.0
1609,3.2162168411429904e-05,9.710554162925941e-06,3.2162168411429904e-05,0.0
1610,2.8941592323202974e-05,9.718941133282247e-06,2.8941592323202974e-05,0.0
1611,2.8842931377377162e-05,1.023350348207584e-05,2.8842931377377162e-05,0.0
1612,3.1568587214029063e-05,2.0094037479014203e-05,3.1568587214029063e-05,0.0
1613,3.0199181570164262e-05,2.3606370762406315e-05,3.0199181570164262e-05,0.0
1614,3.7276041049543505e-05,2.1938821451580486e-05,3.7276041049543505e-05,0.0
1615,2.794357637217867e-05,2.3806713930493322e-05,2.794357637217867e-05,0.0
1616,2.6726915426219682e-05,2.7377112279022447e-05,2.6726915426219682e-05,0.0
1617,2.936668611904939e-05,3.535650908556168e-05,2.936668611904939e-05,0.0
1618,2.9311594127128565e-05,3.8744181568160586e-05,2.9311594127128565e-05,0.0
1619,2.895170083710192e-05,2.9897238943833925e-05,2.895170083710192e-05,0.0
1620,2.769379378670627e-05,2.7201037482882384e-05,2.769379378670627e-05,0.0
1621,2.340597218010641e-05,3.0343048430430436e-05,2.340597218010641e-05,0.0
1622,2.1132258682752892e-05,2.866132328043542e-05,2.1132258682752892e-05,0.0
1623,2.148544951653873e-05,2.5683299944440868e-05,2.148544951653873e-05,0.0
1624,1.764070332553404e-05,2.1124370440312695e-05,1.764070332553404e-05,0.0
1625,2.2907198659335597e-05,2.0769071917519405e-05,2.2907198659335597e-05,0.0
1626,2.014391676701572e-05,2.1841069155925652e-05,2.014391676701572e-05,0.0
1627,2.1081381029424457e-05,2.4855561020688454e-05,2.1081381029424457e-05,0.0
1628,2.2171302329557614e-05,2.5963599455280928e-05,2.2171302329557614e-05,0.0
1629,2.6184171604524765e-05,3.125095164640308e-05,2.6184171604524765e-05,0.0
1630,2.8600054845030953e-05,3.930502186579231e-05,2.8600054845030953e-05,0.0
1631,3.139370424573177e-05,3.7911926223646984e-05,3.139370424573177e-05,0.0
1632,2.639779943690103e-05,3.7649796338103313e-05,2.639779943690103e-05,0.0
1633,2.661381560236415e-05,3.7680754238473515e-05,2.661381560236415e-05,0.0
1634,2.4863053503005566e-05,3.6444746001507156e-05,2.4863053503005566e-05,0.0
1635,2.5253480349160134e-05,4.190709894049048e-05,2.5253480349160134e-05,0.0
1636,2.6198509788498215e-05,4.0932377877262684e-05,2.6198509788498215e-05,0.0
1637,2.762644349526714e-05,3.5920844311476685e-05,2.762644349526714e-05,0.0
1638,2.638421093641747e-05,4.5164972107158974e-05,2.638421093641747e-05,0.0
1639,2.7304658033244777e-05,4.4752055276018966e-05,2.7304658033244777e-05,0.0
