ngram,food,fod,fod,foodd
1500,1.300113444813178e-05,0.0,0.0,0.0
1501,1.0400907558505424e-05,0.0,0.0,0.0
1502,9.897398892159496e-06,0.0,0.0,0.0
1503,8.48348476470814e-06,0.0,0.0,0.0
1504,7.426794581988361e-06,0.0,0.0,0.0
1505,6.035049019763912e-06,0.0,0.0,0.0
1506,6.035049019763912e-06,0.0,0.0,0.0
1507,6.035049019763912e-06,0.0,0.0,0.0
1508,6.035049019763912e-06,0.0,0.0,0.0
1509,4.980783939702503e-06,0.0,0.0,0.0
1510,4.980783939702503e-06,0.0,0.0,0.0
1511,1.8939830884586887e-06,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,5.713222890335601e-07,0.0,0.0,0.0
1515,5.713222890335601e-07,0.0,0.0,0.0
1516,5.713222890335601e-07,0.0,0.0,0.0
1517,1.1025990716007072e-06,0.0,0.0,0.0
1518,1.1025990716007072e-06,0.0,0.0,0.0
1519,1.1025990716007072e-06,0.0,0.0,0.0
1520,1.5998168172310606e-05,0.0,0.0,0.0
1521,1.5426845883277046e-05,0.0,0.0,0.0
1522,6.303319956454548e-05,0.0,0.0,0.0
1523,8.767499912210042e-05,0.0,0.0,0.0
1524,8.714372233953327e-05,0.0,0.0,0.0
1525,8.714372233953327e-05,0.0,0.0,0.0
1526,8.714372233953327e-05,0.0,0.0,0.0
1527,7.224815323882337e-05,0.0,0.0,0.0
1528,7.224815323882337e-05,0.0,0.0,0.0
1529,2.4641799557554934e-05,0.0,0.0,0.0
1530,0.0,0.0,0.0,0.0
1531,0.0,0.0,0.0,0.0
1532,3.787699305186314e-05,0.0,0.0,0.0
1533,3.787699305186314e-05,0.0,0.0,0.0
1534,3.928146374424354e-05,0.0,0.0,0.0
1535,3.9657973307579854e-05,0.0,0.0,0.0
1536,4.010523769336162e-05,0.0,0.0,0.0
1537,4.010523769336162e-05,0.0,0.0,0.0
1538,4.010523769336162e-05,0.0,0.0,0.0
1539,2.2282446414984795e-06,0.0,0.0,0.0
1540,2.2282446414984795e-06,0.0,0.0,0.0
1541,8.237739491180816e-07,0.0,0.0,0.0
1542,1.951910722449871e-06,0.0,0.0,0.0
1543,1.5046463366681046e-06,0.0,0.0,0.0
1544,4.147640018865266e-06,0.0,0.0,0.0
1545,4.95140030969716e-06,0.0,0.0,0.0
1546,5.510812700647096e-06,0.0,0.0,0.0
1547,5.510812700647096e-06,0.0,0.0,0.0
1548,1.0861167343786552e-05,0.0,0.0,0.0
1549,9.356521007118448e-06,0.0,0.0,0.0
1550,1.962308949389678e-05,0.0,0.0,0.0
1551,1.698009581169962e-05,0.0,0.0,0.0
1552,9.76618803179008e-05,0.0,0.0,0.0
1553,9.710246792695086e-05,0.0,0.0,0.0
1554,0.00010635907009210703,0.0,0.0,0.0
1555,0.00010160970045295212,0.0,0.0,0.0
1556,0.00010265057673158091,0.0,0.0,0.0
1557,9.238400824480257e-05,0.0,0.0,0.0
1558,0.0001060249818952538,0.0,0.0,0.0
1559,3.4854776328886927e-05,0.0,0.0,0.0
1560,4.652072246764354e-05,0.0,0.0,0.0
