ngram,growth,gowth,grwth,growh
1500,6.5055752429543645e-06,0.0,0.0,0.0
1501,5.204460194363492e-06,0.0,0.0,0.0
1502,4.5127610140601364e-06,0.0,0.0,0.0
1503,3.868080869194403e-06,0.0,0.0,0.0
1504,3.3934123913630696e-05,0.0,0.0,0.0
1505,3.3543929118552895e-05,0.0,0.0,0.0
1506,3.3543929118552895e-05,0.0,0.0,0.0
1507,3.3543929118552895e-05,0.0,0.0,0.0
1508,3.3543929118552895e-05,0.0,0.0,0.0
1509,3.339331981676098e-05,0.0,0.0,0.0
1510,3.339331981676098e-05,0.0,0.0,0.0
1511,2.525310784611585e-06,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,5.713222890335601e-07,0.0,0.0,0.0
1515,5.713222890335601e-07,0.0,0.0,0.0
1516,5.713222890335601e-07,0.0,0.0,0.0
1517,1.9697286981162116e-05,0.0,0.0,0.0
1518,1.9697286981162116e-05,0.0,0.0,0.0
1519,1.9697286981162116e-05,0.0,0.0,0.0
1520,2.4463869197331534e-05,0.0,0.0,0.0
1521,2.3892546908297974e-05,0.0,0.0,0.0
1522,2.3892546908297974e-05,0.0,0.0,0.0
1523,4.853434646585291e-05,0.0,0.0,0.0
1524,2.9408381773724352e-05,0.0,0.0,0.0
1525,2.9408381773724352e-05,0.0,0.0,0.0
1526,3.067968074382017e-05,0.0,0.0,0.0
1527,2.5913098527650747e-05,0.0,0.0,0.0
1528,3.218449325816307e-05,0.0,0.0,0.0
1529,3.218449325816307e-05,0.0,0.0,0.0
1530,7.542693700608132e-06,0.0,0.0,0.0
1531,7.542693700608132e-06,0.0,0.0,0.0
1532,2.287385775291893e-05,0.0,0.0,0.0
1533,2.1602558782823117e-05,0.0,0.0,0.0
1534,2.1602558782823117e-05,0.0,0.0,0.0
1535,1.5331164052310798e-05,0.0,0.0,0.0
1536,1.5778428438092567e-05,0.0,0.0,0.0
1537,1.5778428438092567e-05,0.0,0.0,0.0
1538,1.5778428438092567e-05,0.0,0.0,0.0
1539,3.767708968942835e-06,0.0,0.0,0.0
1540,3.767708968942835e-06,0.0,0.0,0.0
1541,3.767708968942835e-06,0.0,0.0,0.0
1542,3.767708968942835e-06,0.0,0.0,0.0
1543,1.4728937198274902e-05,0.0,0.0,0.0
1544,1.5841776595542406e-05,0.0,0.0,0.0
1545,1.5841776595542406e-05,0.0,0.0,0.0
1546,1.2521332012381339e-05,0.0,0.0,0.0
1547,1.2521332012381339e-05,0.0,0.0,0.0
1548,1.3413057786237914e-05,0.0,0.0,0.0
1549,1.3413057786237914e-05,0.0,0.0,0.0
1550,4.70629376130611e-06,0.0,0.0,0.0
1551,3.593454364038605e-06,0.0,0.0,0.0
1552,9.36234235788496e-06,0.0,0.0,0.0
1553,9.36234235788496e-06,0.0,0.0,0.0
1554,9.36234235788496e-06,0.0,0.0,0.0
1555,9.071601588012917e-06,0.0,0.0,0.0
1556,1.0112477866641711e-05,0.0,0.0,0.0
1557,7.410749276459683e-06,0.0,0.0,0.0
1558,1.0138943902607675e-05,0.0,0.0,0.0
1559,6.0892792004908965e-06,0.0,0.0,0.0
1560,6.537969446591367e-06,0.0,0.0,0.0
1561,6.537969446591367e-06,0.0,0.0,0.0
1562,5.936984442606834e-06,0.0,0.0,0.0
1563,4.89610816397804e-06,0.0,0.0,0.0
1564,4.89610816397804e-06,0.0,0.0,0.0
1565,2.1679135378300477e-06,0.0,0.0,0.0
1566,4.4869024610047094e-07,0.0,0.0,0.0
1567,0.0,0.0,0.0,0.0
1568,0.0,0.0,0.0,0.0
1569,9.655168729035982e-06,0.0,0.0,0.0
1570,9.655168729035982e-06,0.0,0.0,0.0
1571,1.2107020406152255e-05,0.0,0.0,0.0
1572,1.3146941975199817e-05,0.0,0.0,0.0
1573,1.943898847197748e-05,0.0,0.0,0.0
1574,2.0528411563905786e-05,0.0,0.0,0.0
1575,2.0528411563905786e-05,0.0,0.0,0.0
1576,1.2225284146032728e-05,0.0,0.0,0.0
1577,1.2225284146032728e-05,0.0,0.0,0.0
1578,1.0977998044836568e-05,0.0,0.0,0.0
1579,1.0584831280929003e-05,0.0,0.0,0.0
1580,4.292784784151341e-06,0.0,0.0,0.0
1581,3.7966690667547354e-06,0.0,0.0,0.0
1582,5.891575905739696e-06,0.0,0.0,0.0
1583,9.826383120525861e-06,0.0,0.0,0.0
1584,1.342282946227767e-05,0.0,0.0,0.0
1585,1.2406981974371384e-05,0.0,0.0,0.0
1586,1.247912101527098e-05,0.0,0.0,0.0
1587,1.3171280134624144e-05,0.0,0.0,0.0
1588,1.2577972760092443e-05,0.0,0.0,0.0
1589,1.1416698287445928e-05,0.0,0.0,0.0
1590,8.729606325427344e-06,0.0,0.0,0.0
1591,7.531961094693023e-06,0.0,0.0,0.0
1592,9.134158387626354e-06,0.0,0.0,0.0
1593,8.415264541586761e-06,0.0,0.0,0.0
1594,7.890737005514633e-06,0.0,0.0,0.0
1595,8.34153409609176e-06,0.0,0.0,0.0
1596,2.4872613542876415e-05,0.0,0.0,0.0
1597,2.4451974582007097e-05,0.0,0.0,0.0
1598,2.497261196562509e-05,0.0,0.0,0.0
1599,2.4950363776302504e-05,0.0,0.0,0.0
1600,2.6441448897328102e-05,0.0,0.0,0.0
1601,2.7055112760925632e-05,0.0,0.0,0.0
1602,2.806592575715123e-05,0.0,0.0,0.0
1603,1.1837544272046735e-05,0.0,0.0,0.0
1604,1.2042211242909876e-05,0.0,0.0,0.0
1605,9.909831013439024e-06,0.0,0.0,0.0
1606,1.63093346990146e-05,0.0,0.0,0.0
1607,1.4818249577989004e-05,0.0,0.0,0.0
1608,1.4835664517574645e-05,0.0,0.0,0.0
1609,1.5260794173497872e-05,0.0,0.0,0.0
1610,1.848515285018948e-05,0.0,0.0,0.0
1611,1.794478930605692e-05,0.0,0.0,0.0
1612,1.7964733225588653e-05,0.0,0.0,0.0
1613,1.0435804272544504e-05,0.0,0.0,0.0
1614,1.2083852977541807e-05,0.0,0.0,0.0
1615,1.242797231628044e-05,0.0,0.0,0.0
1616,1.1622506138207558e-05,0.0,0.0,0.0
1617,8.397230431000935e-06,0.0,0.0,0.0
1618,7.735535096539284e-06,0.0,0.0,0.0
1619,8.504015892997683e-06,0.0,0.0,0.0
1620,9.879552245755413e-06,0.0,0.0,0.0
1621,9.30201154655411e-06,0.0,0.0,0.0
1622,9.56614998618274e-06,0.0,0.0,0.0
1623,1.0640189949689166e-05,0.0,0.0,0.0
1624,1.2988749144174758e-05,0.0,0.0,0.0
