ngram,ideal,idal,idle,idle
1500,0.0,0.0,4.859176101490448e-07,4.859176101490448e-07
1501,0.0,0.0,3.8873408811923584e-07,3.8873408811923584e-07
1502,0.0,0.0,1.3782101859760587e-06,1.3782101859760587e-06
1503,0.0001517193325396095,0.0,1.1813230165509076e-06,1.1813230165509076e-06
1504,0.0001517193325396095,0.0,1.1813230165509076e-06,1.1813230165509076e-06
1505,0.0001517193325396095,0.0,1.2193196588279015e-06,1.2193196588279015e-06
1506,0.0001517193325396095,0.0,1.2193196588279015e-06,1.2193196588279015e-06
1507,0.0001517193325396095,0.0,1.2193196588279015e-06,1.2193196588279015e-06
1508,0.0001517193325396095,0.0,1.2193196588279015e-06,1.2193196588279015e-06
1509,0.0001517193325396095,0.0,3.156638480764481e-07,3.156638480764481e-07
1510,0.0,0.0,3.156638480764481e-07,3.156638480764481e-07
1511,0.0,0.0,3.156638480764481e-07,3.156638480764481e-07
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,0.0,0.0,2.8566114451678004e-07,2.8566114451678004e-07
1515,0.0,0.0,2.8566114451678004e-07,2.8566114451678004e-07
1516,0.0,0.0,2.8566114451678004e-07,2.8566114451678004e-07
1517,1.5938303477014415e-06,0.0,1.3482147096510744e-06,1.3482147096510744e-06
1518,1.5938303477014415e-06,0.0,1.3482147096510744e-06,1.3482147096510744e-06
1519,1.5938303477014415e-06,0.0,1.3482147096510744e-06,1.3482147096510744e-06
1520,1.5938303477014415e-06,0.0,1.9440374866722517e-06,1.9440374866722517e-06
1521,1.5938303477014415e-06,0.0,1.6583763421554716e-06,1.6583763421554716e-06
1522,1.5938303477014415e-06,0.0,1.6583763421554716e-06,1.6583763421554716e-06
1523,3.4419654184603132e-06,0.0,1.6583763421554716e-06,1.6583763421554716e-06
1524,1.8481350707588717e-06,0.0,5.958227770211774e-07,5.958227770211774e-07
1525,1.8481350707588717e-06,0.0,5.958227770211774e-07,5.958227770211774e-07
1526,5.6620319810463116e-06,0.0,5.958227770211774e-07,5.958227770211774e-07
1527,5.6620319810463116e-06,0.0,0.0,0.0
1528,5.6620319810463116e-06,0.0,0.0,0.0
1529,5.6620319810463116e-06,0.0,0.0,0.0
1530,3.81389691028744e-06,0.0,2.915794019437661e-06,2.915794019437661e-06
