ngram,item,itm,iteem,itm
1500,2.6667297788662836e-05,0.0,0.0,0.0
1501,2.1333838230930268e-05,0.0,0.0,0.0
1502,1.953530712247205e-05,0.0,0.0,0.0
1503,1.6744548962118904e-05,0.0,0.0,0.0
1504,1.557939374054383e-05,0.0,0.0,0.0
1505,1.1397823072911706e-05,0.0,0.0,0.0
1506,1.1397823072911706e-05,0.0,0.0,0.0
1507,1.1397823072911706e-05,0.0,0.0,0.0
1508,1.1397823072911706e-05,0.0,0.0,0.0
1509,9.89172999002871e-06,0.0,0.0,0.0
1510,9.89172999002871e-06,0.0,0.0,0.0
1511,6.313276961528962e-07,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,5.713222890335601e-07,0.0,0.0,0.0
1515,5.713222890335601e-07,0.0,0.0,0.0
1516,5.713222890335601e-07,0.0,0.0,0.0
1517,6.4153667673443645e-06,0.0,0.0,0.0
1518,6.4153667673443645e-06,0.0,0.0,0.0
1519,6.4153667673443645e-06,0.0,0.0,0.0
1520,8.50074651940044e-06,0.0,0.0,0.0
1521,7.92942423036688e-06,0.0,0.0,0.0
1522,1.1103181090480316e-05,0.0,0.0,0.0
1523,2.5272215680161025e-05,0.0,0.0,0.0
1524,1.942817120185022e-05,0.0,0.0,0.0
1525,1.942817120185022e-05,0.0,0.0,0.0
1526,1.942817120185022e-05,0.0,0.0,0.0
1527,1.7342791449794148e-05,0.0,0.0,0.0
1528,1.8388023883224897e-05,0.0,0.0,0.0
1529,1.521426702311146e-05,0.0,0.0,0.0
1530,1.774180938290166e-06,0.0,0.0,0.0
1531,7.519029168179259e-06,0.0,0.0,0.0
1532,7.969945759863809e-06,0.0,0.0,0.0
1533,7.969945759863809e-06,0.0,0.0,0.0
1534,7.969945759863809e-06,0.0,0.0,0.0
1535,7.3012228897693736e-06,0.0,0.0,0.0
1536,1.1773866812550945e-05,0.0,0.0,0.0
1537,1.1044918307691529e-05,0.0,0.0,0.0
1538,5.300070077802437e-06,0.0,0.0,0.0
1539,8.169598069278955e-06,0.0,0.0,0.0
1540,8.169598069278955e-06,0.0,0.0,0.0
1541,8.169598069278955e-06,0.0,0.0,0.0
1542,7.793088505942641e-06,0.0,0.0,0.0
1543,3.320444583161069e-06,0.0,0.0,0.0
1544,3.8768642817948214e-06,0.0,0.0,0.0
1545,3.8768642817948214e-06,0.0,0.0,0.0
1546,8.361258941087206e-07,0.0,0.0,0.0
1547,8.361258941087206e-07,0.0,0.0,0.0
1548,1.1239593602242945e-05,0.0,0.0,0.0
1549,1.1239593602242945e-05,0.0,0.0,0.0
1550,1.448166780651913e-05,0.0,0.0,0.0
1551,1.3925248107885377e-05,2.361197143077983e-06,0.0,2.361197143077983e-06
1552,1.6809692104808554e-05,2.361197143077983e-06,0.0,2.361197143077983e-06
1553,1.6529985909333584e-05,2.361197143077983e-06,0.0,2.361197143077983e-06
1554,1.6529985909333584e-05,2.361197143077983e-06,0.0,2.361197143077983e-06
1555,6.12651820119936e-06,2.361197143077983e-06,0.0,2.361197143077983e-06
1556,6.12651820119936e-06,2.361197143077983e-06,0.0,2.361197143077983e-06
1557,1.2229452165359231e-05,2.361197143077983e-06,0.0,2.361197143077983e-06
1558,4.428573941238158e-05,0.0,0.0,0.0
1559,4.312051870718798e-05,0.0,0.0,0.0
1560,4.312051870718798e-05,0.0,0.0,0.0
1561,4.312051870718798e-05,0.0,0.0,0.0
1562,4.312051870718798e-05,0.0,0.0,0.0
1563,5.6304548706975766e-05,0.0,0.0,0.0
1564,4.695954053853971e-05,0.0,0.0,0.0
1565,1.4903253291517363e-05,0.0,0.0,0.0
1566,1.6991371012409218e-05,0.0,0.0,0.0
1567,2.5180139086192605e-05,0.0,0.0,0.0
1568,2.5180139086192605e-05,0.0,0.0,0.0
1569,2.5180139086192605e-05,0.0,0.0,0.0
1570,1.1996109086404821e-05,0.0,0.0,0.0
1571,1.1996109086404821e-05,0.0,0.0,0.0
1572,1.1996109086404821e-05,0.0,0.0,0.0
1573,8.18876807378339e-06,0.0,0.0,0.0
1574,5.447115459641541e-07,0.0,0.0,0.0
1575,5.447115459641541e-07,0.0,0.0,0.0
1576,1.8967528571270772e-06,0.0,0.0,0.0
1577,1.8967528571270772e-06,0.0,0.0,0.0
1578,2.6194921766935816e-06,0.0,0.0,0.0
1579,3.913001786973577e-06,0.0,0.0,0.0
1580,3.913001786973577e-06,0.0,0.0,0.0
1581,6.928134618127453e-06,0.0,0.0,0.0
1582,6.928134618127453e-06,0.0,0.0,0.0
1583,6.537338517123967e-06,0.0,0.0,0.0
1584,6.537338517123967e-06,0.0,0.0,0.0
1585,5.814599197557462e-06,0.0,0.0,0.0
1586,8.83445266351503e-06,0.0,0.0,0.0
1587,8.83445266351503e-06,0.0,0.0,0.0
1588,7.283125731711542e-06,0.0,0.0,0.0
1589,7.65657867824692e-06,0.0,0.0,0.0
1590,7.4752603852955095e-06,0.0,0.0,0.0
1591,7.741793849293441e-06,0.0,0.0,0.0
1592,1.0129681023889653e-05,0.0,0.0,0.0
1593,6.7094248541772165e-06,0.0,0.0,0.0
1594,6.8770564374582525e-06,0.0,0.0,0.0
1595,6.6717273544522215e-06,0.0,0.0,0.0
1596,6.508692633490552e-06,0.0,0.0,0.0
1597,5.970889901618648e-06,0.0,0.0,0.0
1598,9.950812406194537e-06,0.0,0.0,0.0
1599,1.0628615151680216e-05,0.0,0.0,0.0
1600,1.0161532584009234e-05,0.0,0.0,0.0
1601,1.018922486244784e-05,0.0,0.0,0.0
1602,9.325642947390276e-06,0.0,0.0,0.0
1603,9.115224721816567e-06,0.0,0.0,0.0
1604,8.873100536480446e-06,0.0,0.0,0.0
1605,4.626644567906624e-06,0.0,0.0,0.0
1606,2.2015955047598775e-06,0.0,0.0,0.0
1607,1.7755711659057333e-06,0.0,0.0,0.0
1608,2.578635303507326e-06,0.0,0.0,0.0
1609,1.827702833777169e-06,0.0,0.0,0.0
1610,2.719840673697555e-06,0.0,0.0,0.0
1611,1.552137566055275e-05,0.0,0.0,0.0
1612,1.552137566055275e-05,0.0,0.0,0.0
1613,1.551997672777361e-05,0.0,0.0,0.0
1614,1.551997672777361e-05,0.0,0.0,0.0
1615,1.6045361738698765e-05,0.0,0.0,0.0
1616,1.5856687761177974e-05,0.0,0.0,0.0
1617,1.5582256570009383e-05,0.0,0.0,0.0
1618,7.01523848485002e-06,0.0,0.0,0.0
1619,7.4653764841059456e-06,0.0,0.0,0.0
1620,7.027612387641316e-06,0.0,0.0,0.0
1621,7.206030383193658e-06,0.0,0.0,0.0
1622,8.144451563956473e-06,2.1104522472471997e-07,0.0,2.1104522472471997e-07
1623,9.222108328036224e-06,2.1104522472471997e-07,0.0,2.1104522472471997e-07
1624,9.052398240783077e-06,2.1104522472471997e-07,0.0,2.1104522472471997e-07
1625,4.817881339087242e-06,2.1104522472471997e-07,0.0,2.1104522472471997e-07
1626,4.597365156249518e-06,2.1104522472471997e-07,0.0,2.1104522472471997e-07
1627,5.034972689697627e-06,2.1104522472471997e-07,0.0,2.1104522472471997e-07
1628,5.7082058577049925e-06,2.1104522472471997e-07,0.0,2.1104522472471997e-07
1629,3.4110703544294144e-06,8.252934386681382e-08,0.0,8.252934386681382e-08
1630,2.7646585912017533e-06,8.252934386681382e-08,0.0,8.252934386681382e-08
1631,2.4300220015252956e-06,8.252934386681382e-08,0.0,8.252934386681382e-08
1632,2.6132742699961194e-06,8.252934386681382e-08,0.0,8.252934386681382e-08
1633,2.383652453577919e-06,8.252934386681382e-08,0.0,8.252934386681382e-08
1634,1.8679852554929051e-06,8.252934386681382e-08,0.0,8.252934386681382e-08
1635,1.3456129457673732e-06,8.252934386681382e-08,0.0,8.252934386681382e-08
1636,1.4410874931464995e-06,0.0,0.0,0.0
1637,1.0098424922944105e-06,0.0,0.0,0.0
1638,1.367827792364551e-06,1.3467007420331356e-07,0.0,1.3467007420331356e-07
1639,2.664109932278994e-06,2.1254030408662012e-07,0.0,2.1254030408662012e-07
1640,3.280958277887943e-06,2.1254030408662012e-07,0.0,2.1254030408662012e-07
1641,3.5755947140257504e-06,2.7226239142562137e-07,0.0,2.7226239142562137e-07
1642,3.354265694659781e-06,2.7226239142562137e-07,0.0,2.7226239142562137e-07
1643,3.0937324595470272e-06,2.7226239142562137e-07,0.0,2.7226239142562137e-07
1644,3.827024191390852e-06,2.7226239142562137e-07,0.0,2.7226239142562137e-07
1645,3.5521462434319673e-06,1.375923172223078e-07,0.0,1.375923172223078e-07
1646,2.173350245422106e-06,5.972208733900125e-08,0.0,5.972208733900125e-08
1647,1.5565018998131563e-06,5.972208733900125e-08,0.0,5.972208733900125e-08
1648,1.2301457721670367e-06,0.0,0.0,0.0
1649,1.7480181376023601e-06,0.0,0.0,0.0
1650,2.0115389653645773e-06,0.0,0.0,0.0
1651,1.579247818231774e-06,4.300008121000636e-08,0.0,4.300008121000636e-08
1652,2.384865654546177e-06,9.867147809927701e-08,0.0,9.867147809927701e-08
1653,2.661006127319914e-06,9.867147809927701e-08,0.0,9.867147809927701e-08
1654,2.70248931347591e-06,9.867147809927701e-08,0.0,9.867147809927701e-08
1655,2.7269969312523505e-06,9.867147809927701e-08,0.0,9.867147809927701e-08
1656,2.8260920308704433e-06,9.867147809927701e-08,0.0,9.867147809927701e-08
1657,2.6737889332447854e-06,2.3769363873985379e-07,0.0,2.3769363873985379e-07
1658,2.748097801129136e-06,2.4830919187479594e-07,0.0,2.4830919187479594e-07
1659,2.0355173100077602e-06,1.926377949855253e-07,0.0,1.926377949855253e-07
1660,1.8189880271230713e-06,1.926377949855253e-07,0.0,1.926377949855253e-07
1661,1.9118756589315514e-06,1.926377949855253e-07,0.0,1.926377949855253e-07
1662,2.079868603946774e-06,1.926377949855253e-07,0.0,1.926377949855253e-07
1663,1.6177312188249613e-06,1.926377949855253e-07,0.0,1.926377949855253e-07
1664,1.7816343691785214e-06,5.361563434494851e-08,0.0,5.361563434494851e-08
1665,1.538599763404948e-06,0.0,0.0,0.0
1666,1.3689402830355642e-06,3.9948397605777634e-08,0.0,3.9948397605777634e-08
1667,3.0908250486001113e-06,3.9948397605777634e-08,0.0,3.9948397605777634e-08
1668,3.131467094265515e-06,3.9948397605777634e-08,0.0,3.9948397605777634e-08
1669,2.9970385152669872e-06,3.9948397605777634e-08,0.0,3.9948397605777634e-08
1670,2.7342586008671788e-06,3.9948397605777634e-08,0.0,3.9948397605777634e-08
1671,2.5764683024525378e-06,7.905859027752221e-08,0.0,7.905859027752221e-08
1672,2.8870042732315985e-06,1.5286039862465778e-07,0.0,1.5286039862465778e-07
1673,2.965102047320605e-06,1.3765487137464204e-07,0.0,1.3765487137464204e-07
1674,1.1804592564398523e-06,1.7018539568068392e-07,0.0,1.7018539568068392e-07
1675,1.1427203909469036e-06,1.7018539568068392e-07,0.0,1.7018539568068392e-07
1676,1.4224150228463778e-06,1.7018539568068392e-07,0.0,1.7018539568068392e-07
1677,1.5567598146455047e-06,1.7018539568068392e-07,0.0,1.7018539568068392e-07
1678,1.6983706570629562e-06,1.5099377443610657e-07,0.0,1.5099377443610657e-07
1679,1.4862775320320258e-06,7.7191966088971e-08,0.0,7.7191966088971e-08
1680,1.4693538657541337e-06,1.610606688018379e-07,0.0,1.610606688018379e-07
1681,1.8192792237771625e-06,1.7328183941702135e-07,0.0,1.7328183941702135e-07
1682,2.0852258688007297e-06,1.7328183941702135e-07,0.0,1.7328183941702135e-07
1683,1.7881641513538073e-06,1.7328183941702135e-07,0.0,1.7328183941702135e-07
1684,1.7999272634889557e-06,2.025034189858031e-07,0.0,2.025034189858031e-07
1685,1.7026324923920453e-06,1.825848475586359e-07,0.0,1.825848475586359e-07
1686,1.5824316262426561e-06,1.825848475586359e-07,0.0,1.825848475586359e-07
1687,1.5250125946814869e-06,1.5637345386819236e-07,0.0,1.5637345386819236e-07
1688,1.2172703967345505e-06,1.5821333728841376e-07,0.0,1.5821333728841376e-07
1689,8.140497535740516e-07,1.5821333728841376e-07,0.0,1.5821333728841376e-07
1690,7.647275473183462e-07,1.9975391905648265e-07,0.0,1.9975391905648265e-07
1691,1.279203055608897e-06,1.9499839254422113e-07,0.0,1.9499839254422113e-07
1692,1.4252409934150428e-06,2.1866643708433132e-07,0.0,2.1866643708433132e-07
1693,1.81634326931349e-06,2.50017630979268e-07,0.0,2.50017630979268e-07
1694,1.8146707572798602e-06,1.6761745160108278e-07,0.0,1.6761745160108278e-07
1695,1.7524300395572418e-06,1.2102587325963604e-07,0.0,1.2102587325963604e-07
1696,1.9571273323240997e-06,1.367718190132499e-07,0.0,1.367718190132499e-07
1697,2.4250767864941736e-06,1.0992538688827023e-07,0.0,1.0992538688827023e-07
1698,3.060902193802966e-06,8.545933383174997e-08,0.0,8.545933383174997e-08
1699,2.9361911759094383e-06,8.793037003280396e-08,0.0,8.793037003280396e-08
1700,2.759518387002962e-06,6.957702883677744e-08,0.0,6.957702883677744e-08
1701,2.7245914679951966e-06,9.857730682532357e-08,0.0,9.857730682532357e-08
1702,3.1264638339832473e-06,1.2254762639583661e-07,0.0,1.2254762639583661e-07
1703,8.011764033913746e-06,1.2888410034455384e-07,0.0,1.2888410034455384e-07
1704,7.52136578187544e-06,1.2285171737045986e-07,0.0,1.2285171737045986e-07
1705,7.195684239442406e-06,1.5032513240547424e-07,0.0,1.5032513240547424e-07
1706,7.123464497129005e-06,1.4633681745733285e-07,0.0,1.4633681745733285e-07
1707,6.944347619862258e-06,1.454914177705697e-07,0.0,1.454914177705697e-07
