ngram,lan,loon
1500,3.148930147744977e-07,0.0
1501,2.519144118195982e-07,0.0
1502,2.0992867651633182e-07,0.0
1503,1.7993886558542727e-07,0.0
1504,4.627786763324236e-08,0.0
1505,0.0,0.0
1506,0.0,0.0
1507,0.0,0.0
1508,0.0,0.0
1509,0.0,0.0
1510,0.0,0.0
1511,0.0,0.0
1512,0.0,0.0
1513,0.0,0.0
1514,0.0,0.0
1515,0.0,0.0
1516,0.0,0.0
1517,0.0,0.0
1518,0.0,0.0
1519,0.0,0.0
1520,5.958227770211774e-07,0.0
1521,5.958227770211774e-07,0.0
1522,5.958227770211774e-07,0.0
1523,5.958227770211774e-07,0.0
1524,2.6605008705311254e-06,0.0
1525,2.6605008705311254e-06,0.0
1526,2.6605008705311254e-06,0.0
1527,2.064678093509948e-06,0.0
1528,2.064678093509948e-06,0.0
1529,2.064678093509948e-06,0.0
1530,2.064678093509948e-06,0.0
1531,0.0,0.0
1532,0.0,0.0
1533,0.0,0.0
1534,0.0,0.0
1535,0.0,0.0
1536,0.0,0.0
1537,0.0,0.0
1538,0.0,0.0
1539,0.0,0.0
1540,0.0,0.0
1541,0.0,0.0
1542,1.5046463366681046e-06,0.0
1543,1.5046463366681046e-06,0.0
1544,1.6437512613265426e-06,0.0
1545,1.6437512613265426e-06,0.0
1546,1.9234574568015106e-06,0.0
1547,1.9234574568015106e-06,0.0
1548,1.9234574568015106e-06,0.0
1549,1.6314688601986355e-06,0.0
1550,1.6314688601986355e-06,0.0
1551,1.4923639355401974e-06,0.0
1552,1.4923639355401974e-06,0.0
1553,1.2126577400652292e-06,0.0
1554,1.2126577400652292e-06,0.0
1555,1.2126577400652292e-06,0.0
1556,0.0,0.0
1557,0.0,0.0
1558,0.0,0.0
1559,0.0,0.0
1560,4.4869024610047094e-07,0.0
1561,4.4869024610047094e-07,0.0
1562,4.4869024610047094e-07,0.0
1563,4.4869024610047094e-07,0.0
1564,4.4869024610047094e-07,0.0
1565,4.4869024610047094e-07,0.0
1566,4.4869024610047094e-07,0.0
1567,1.3647946356546266e-06,0.0
1568,1.3647946356546266e-06,0.0
1569,1.3647946356546266e-06,0.0
1570,1.3647946356546266e-06,0.0
1571,1.3647946356546266e-06,0.0
1572,1.3647946356546266e-06,0.0
1573,1.3647946356546266e-06,0.0
1574,1.0894230919283082e-06,0.0
1575,1.0894230919283082e-06,0.0
1576,1.5401035398099339e-06,0.0
1577,1.5401035398099339e-06,0.0
1578,1.5401035398099339e-06,2.40913111935827e-07
1579,1.5401035398099339e-06,2.40913111935827e-07
1580,1.5401035398099339e-06,2.40913111935827e-07
1581,1.043987822413328e-06,2.40913111935827e-07
1582,1.043987822413328e-06,2.40913111935827e-07
1583,5.933073745317026e-07,2.40913111935827e-07
1584,5.933073745317026e-07,2.40913111935827e-07
1585,1.1594616548141597e-06,1.887180880138268e-07
1586,1.1594616548141597e-06,1.887180880138268e-07
1587,1.5055412144907417e-06,1.887180880138268e-07
1588,9.122338399590393e-07,1.887180880138268e-07
1589,9.122338399590393e-07,1.887180880138268e-07
1590,9.122338399590393e-07,1.887180880138268e-07
1591,9.122338399590393e-07,4.552515520117595e-07
1592,6.315797496167111e-06,2.6653346399793267e-07
1593,6.539074222798393e-06,2.6653346399793267e-07
1594,6.695889429205895e-06,2.6653346399793267e-07
1595,1.030226615382292e-05,2.6653346399793267e-07
1596,1.345853966735636e-05,2.6653346399793267e-07
1597,1.345853966735636e-05,2.6653346399793267e-07
1598,1.3547007500034982e-05,0.0
1599,7.81311186009199e-06,0.0
1600,8.228871641741925e-06,0.0
1601,8.311948460816763e-06,0.0
1602,4.809972454365509e-06,0.0
1603,2.0658090501716027e-06,0.0
1604,2.2360793699200646e-06,0.0
1605,2.260048428784752e-06,1.1243689154330891e-07
1606,2.1043062393541083e-06,1.1243689154330891e-07
1607,1.4652697310728918e-06,1.1243689154330891e-07
1608,8.79298145913968e-07,1.1243689154330891e-07
1609,3.7936810680808515e-06,1.1243689154330891e-07
1610,3.3815709587413167e-06,1.1243689154330891e-07
1611,3.518537466464165e-06,1.1243689154330891e-07
1612,3.406100574920856e-06,0.0
1613,3.485830948842964e-06,0.0
1614,4.8042699388263695e-06,0.0
1615,4.8042699388263695e-06,0.0
1616,2.1459108308720587e-06,0.0
1617,2.7636174796238526e-06,0.0
1618,2.653334929293903e-06,0.0
1619,3.1034729285498282e-06,0.0
1620,3.0444013613565142e-06,0.0
1621,2.4396343535824727e-06,0.0
1622,2.5099827618240463e-06,0.0
1623,2.688386611485579e-06,0.0
1624,2.5186765242324327e-06,0.0
1625,3.5676925693093964e-06,0.0
1626,3.806420019308072e-06,0.0
1627,4.504537790645762e-06,0.0
1628,4.118423930776771e-06,6.55116260921724e-08
1629,4.790839641697987e-06,1.4804096995898623e-07
