ngram,luck,luk
1500,0.0,0.0
1501,0.0,0.0
1502,0.0,0.0
1503,0.0,0.0
1504,0.0,0.0
1505,0.0,0.0
1506,0.0,0.0
1507,0.0,0.0
1508,0.0,0.0
1509,0.0,0.0
1510,0.0,0.0
1511,0.0,0.0
1512,0.0,0.0
1513,0.0,0.0
1514,2.8566114451678004e-07,0.0
1515,2.8566114451678004e-07,0.0
1516,2.8566114451678004e-07,0.0
1517,2.8566114451678004e-07,0.0
1518,2.8566114451678004e-07,0.0
1519,2.8566114451678004e-07,0.0
1520,5.835725330273687e-07,2.979113885105887e-07
1521,2.979113885105887e-07,2.979113885105887e-07
1522,3.4716682486240254e-06,2.979113885105887e-07
1523,3.4716682486240254e-06,2.979113885105887e-07
1524,3.4716682486240254e-06,2.979113885105887e-07
1525,3.4716682486240254e-06,2.979113885105887e-07
1526,3.4716682486240254e-06,2.979113885105887e-07
1527,3.1737568601134366e-06,0.0
1528,3.1737568601134366e-06,0.0
1529,0.0,0.0
1530,0.0,0.0
1531,0.0,0.0
1532,4.509165916845502e-07,0.0
1533,4.509165916845502e-07,0.0
1534,4.509165916845502e-07,0.0
1535,4.509165916845502e-07,0.0
1536,4.509165916845502e-07,0.0
1537,4.509165916845502e-07,0.0
1538,4.509165916845502e-07,0.0
1539,0.0,0.0
1540,0.0,0.0
1541,0.0,0.0
1542,0.0,0.0
1543,0.0,0.0
1544,1.3910492790663348e-06,0.0
1545,2.462729688496828e-06,0.0
1546,2.462729688496828e-06,0.0
1547,2.462729688496828e-06,0.0
1548,2.462729688496828e-06,0.0
1549,2.462729688496828e-06,1.2126577400652292e-06
1550,3.0030754000368428e-06,1.2126577400652292e-06
1551,1.612026120970508e-06,1.2126577400652292e-06
1552,1.2614567107708093e-06,1.2126577400652292e-06
1553,1.2614567107708093e-06,1.2126577400652292e-06
1554,1.0518058875926986e-05,1.2126577400652292e-06
1555,1.0518058875926986e-05,1.2126577400652292e-06
1556,1.0518058875926986e-05,0.0
1557,9.977713164386972e-06,0.0
1558,9.977713164386972e-06,0.0
1559,1.6133495332074483e-05,0.0
1560,1.6133495332074483e-05,0.0
1561,6.8768931669183075e-06,0.0
1562,6.8768931669183075e-06,0.0
1563,6.8768931669183075e-06,0.0
1564,6.8768931669183075e-06,0.0
1565,6.8768931669183075e-06,0.0
1566,0.0,0.0
1567,0.0,6.823973178273133e-07
1568,0.0,6.823973178273133e-07
1569,0.0,6.823973178273133e-07
1570,0.0,6.823973178273133e-07
1571,2.4518516771162728e-06,6.823973178273133e-07
1572,8.171420111986144e-06,6.823973178273133e-07
1573,8.171420111986144e-06,6.823973178273133e-07
1574,8.171420111986144e-06,0.0
1575,8.171420111986144e-06,0.0
1576,9.072781007749395e-06,0.0
1577,9.072781007749395e-06,0.0
1578,6.861842442568948e-06,0.0
1579,1.7890288128390758e-06,0.0
1580,1.7890288128390758e-06,0.0
1581,1.7890288128390758e-06,0.0
1582,1.7890288128390758e-06,0.0
1583,8.876679170758248e-07,0.0
1584,1.786779502513777e-06,0.0
1585,2.866893022915714e-06,1.887180880138268e-07
1586,2.2201382177757168e-06,1.887180880138268e-07
1587,2.9122973371288807e-06,1.887180880138268e-07
1588,2.9122973371288807e-06,1.887180880138268e-07
1589,4.4061091232703935e-06,1.887180880138268e-07
1590,5.186036040478419e-06,1.887180880138268e-07
1591,4.819991383036333e-06,1.887180880138268e-07
1592,6.483823718943833e-06,0.0
1593,6.930377172206395e-06,0.0
1594,7.0763759530174345e-06,0.0
1595,7.977970134171691e-06,0.0
1596,6.694576573603886e-06,0.0
1597,6.156773841731982e-06,0.0
1598,5.667940830075427e-06,0.0
1599,3.154726454925237e-06,0.0
1600,2.9211851710897463e-06,0.0
1601,2.473674994364826e-06,0.0
1602,2.3028858566119325e-06,0.0
1603,2.0924676310382244e-06,0.0
1604,2.5314247246959506e-06,0.0
1605,2.9369383745298753e-06,0.0
1606,2.8656943088987774e-06,0.0
1607,2.6526821394717056e-06,0.0
1608,2.2620344160324227e-06,0.0
1609,1.7199033501518507e-06,0.0
1610,1.9747998781635294e-06,0.0
1611,1.4985431562308804e-06,0.0
1612,1.0487955900576447e-06,0.0
1613,9.680160246716696e-07,0.0
1614,1.297625772167521e-06,0.0
