ngram,nail,naill,naill,naill
1500,4.3722940858970105e-06,0.0,0.0,0.0
1501,3.4978352687176082e-06,0.0,0.0,0.0
1502,2.9148627239313405e-06,0.0,0.0,0.0
1503,2.49845376336972e-06,0.0,0.0,0.0
1504,9.255573526648472e-08,0.0,0.0,0.0
1505,0.0,0.0,0.0,0.0
1506,0.0,0.0,0.0,0.0
1507,0.0,0.0,0.0,0.0
1508,0.0,0.0,0.0,0.0
1509,0.0,0.0,0.0,0.0
1510,0.0,0.0,0.0,0.0
1511,0.0,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,0.0,0.0,0.0,0.0
1515,0.0,0.0,0.0,0.0
1516,0.0,0.0,0.0,0.0
1517,5.312767825671472e-07,0.0,0.0,0.0
1518,5.312767825671472e-07,0.0,0.0,0.0
1519,5.312767825671472e-07,0.0,0.0,0.0
1520,5.312767825671472e-07,0.0,0.0,0.0
1521,5.312767825671472e-07,0.0,0.0,0.0
1522,3.7050336426805837e-06,0.0,0.0,0.0
1523,3.7050336426805837e-06,0.0,0.0,0.0
1524,3.1737568601134366e-06,0.0,0.0,0.0
1525,3.1737568601134366e-06,0.0,0.0,0.0
1526,3.1737568601134366e-06,0.0,0.0,0.0
1527,3.1737568601134366e-06,0.0,0.0,0.0
1528,3.1737568601134366e-06,0.0,0.0,0.0
1529,0.0,0.0,0.0,0.0
1530,7.289485048594153e-07,0.0,0.0,0.0
1531,7.289485048594153e-07,0.0,0.0,0.0
1532,7.289485048594153e-07,0.0,0.0,0.0
1533,7.289485048594153e-07,0.0,0.0,0.0
1534,7.289485048594153e-07,0.0,0.0,0.0
1535,7.289485048594153e-07,0.0,0.0,0.0
1536,7.289485048594153e-07,0.0,0.0,0.0
1537,0.0,0.0,0.0,0.0
1538,0.0,0.0,0.0,0.0
1539,0.0,0.0,0.0,0.0
1540,0.0,0.0,0.0,0.0
1541,0.0,0.0,0.0,0.0
1542,0.0,0.0,0.0,0.0
1543,0.0,0.0,0.0,0.0
1544,1.391049246584381e-07,0.0,0.0,0.0
1545,1.391049246584381e-07,0.0,0.0,0.0
1546,1.391049246584381e-07,0.0,0.0,0.0
1547,1.391049246584381e-07,0.0,0.0,0.0
1548,1.391049246584381e-07,0.0,0.0,0.0
1549,1.391049246584381e-07,0.0,0.0,0.0
1550,6.794506361984531e-07,0.0,0.0,0.0
1551,5.40345711540015e-07,0.0,0.0,0.0
1552,1.2614567107708093e-06,0.0,0.0,0.0
1553,1.2614567107708093e-06,0.0,0.0,0.0
1554,1.2614567107708093e-06,0.0,0.0,0.0
1555,1.2614567107708093e-06,0.0,0.0,0.0
1556,1.2614567107708093e-06,0.0,0.0,0.0
1557,7.211109992307943e-07,0.0,0.0,0.0
1558,7.211109992307943e-07,0.0,0.0,0.0
1559,5.157669615333102e-06,0.0,0.0,0.0
1560,5.157669615333102e-06,0.0,0.0,0.0
1561,5.157669615333102e-06,0.0,0.0,0.0
1562,5.157669615333102e-06,0.0,0.0,0.0
1563,5.157669615333102e-06,0.0,0.0,0.0
1564,5.157669615333102e-06,0.0,0.0,0.0
1565,5.157669615333102e-06,0.0,0.0,0.0
1566,0.0,0.0,0.0,0.0
1567,0.0,0.0,0.0,0.0
1568,0.0,0.0,0.0,0.0
1569,0.0,0.0,0.0,0.0
1570,1.5110122798692567e-06,0.0,0.0,0.0
1571,1.5110122798692567e-06,0.0,0.0,0.0
1572,3.0708946984045075e-06,0.0,0.0,0.0
1573,3.0708946984045075e-06,0.0,0.0,0.0
1574,3.0708946984045075e-06,0.0,0.0,0.0
1575,3.0708946984045075e-06,0.0,0.0,0.0
1576,3.521575146286133e-06,0.0,0.0,0.0
1577,2.010562866416876e-06,0.0,0.0,0.0
1578,3.937867761903492e-06,0.0,0.0,0.0
1579,2.377985343368242e-06,0.0,0.0,0.0
1580,2.377985343368242e-06,0.0,0.0,0.0
1581,2.971292717899944e-06,0.0,0.0,0.0
1582,2.971292717899944e-06,0.0,0.0,0.0
1583,3.001234875098037e-06,0.0,0.0,0.0
1584,3.001234875098037e-06,0.0,0.0,0.0
1585,1.073929979611421e-06,0.0,0.0,0.0
1586,1.073929979611421e-06,0.0,0.0,0.0
1587,1.073929979611421e-06,0.0,0.0,0.0
1588,4.806226050797185e-07,0.0,0.0,0.0
1589,4.806226050797185e-07,0.0,0.0,0.0
1590,5.199512997933198e-07,0.0,0.0,0.0
1591,5.199512997933198e-07,0.0,0.0,0.0
1592,5.199512997933198e-07,0.0,0.0,0.0
1593,5.199512997933198e-07,0.0,0.0,0.0
1594,5.199512997933198e-07,0.0,0.0,0.0
1595,1.4215454809475756e-06,0.0,0.0,0.0
1596,1.4215454809475756e-06,0.0,0.0,0.0
1597,1.0226562738223168e-06,0.0,0.0,0.0
1598,1.0668901901616273e-06,0.0,0.0,0.0
1599,1.0668901901616273e-06,0.0,0.0,0.0
1600,1.1733962748751634e-06,0.0,0.0,0.0
1601,2.15001558347337e-06,0.0,0.0,0.0
1602,1.5616235730573993e-06,0.0,0.0,0.0
1603,1.5616235730573993e-06,0.0,0.0,0.0
1604,2.4621833663981566e-06,0.0,0.0,0.0
1605,2.417949450058846e-06,0.0,0.0,0.0
1606,2.8183499775228223e-06,0.0,0.0,0.0
1607,2.711843892809286e-06,0.0,0.0,0.0
1608,3.1329677442824633e-06,0.0,0.0,0.0
1609,2.8197655735441785e-06,0.0,0.0,0.0
1610,2.9472138375500175e-06,0.0,0.0,0.0
1611,2.2328287790125093e-06,0.0,0.0,0.0
1612,2.2328287790125093e-06,0.0,0.0,0.0
1613,1.9922387325875335e-06,0.0,0.0,0.0
1614,2.6514582275792364e-06,0.0,0.0,0.0
1615,1.6346583200694503e-06,0.0,0.0,0.0
1616,1.9950828524477922e-06,0.0,0.0,0.0
1617,2.3617999269325603e-06,0.0,0.0,0.0
1618,2.15304023803193e-06,0.0,0.0,0.0
1619,2.940781728609311e-06,0.0,0.0,0.0
1620,3.0831879891073707e-06,0.0,0.0,0.0
1621,3.137640476325032e-06,0.0,0.0,0.0
1622,2.7566972237634346e-06,0.0,0.0,0.0
1623,2.6656868824050306e-06,0.0,0.0,0.0
1624,2.320853736494298e-06,0.0,0.0,0.0
1625,3.053023501057136e-06,0.0,0.0,0.0
1626,2.7245256433161558e-06,0.0,0.0,0.0
1627,2.7418515823488373e-06,0.0,0.0,0.0
1628,2.68329584482022e-06,0.0,0.0,0.0
1629,3.5085892672473814e-06,0.0,0.0,0.0
1630,4.015416071264813e-06,0.0,0.0,0.0
1631,3.979443850507128e-06,0.0,0.0,0.0
1632,3.2404230816090215e-06,0.0,0.0,0.0
1633,2.781179448772621e-06,0.0,0.0,0.0
1634,2.5850549312573482e-06,0.0,0.0,0.0
1635,2.917775248079124e-06,0.0,0.0,0.0
1636,2.3530150607647168e-06,0.0,0.0,0.0
1637,2.015734829845834e-06,7.316012735308114e-08,7.316012735308114e-08,7.316012735308114e-08
1638,2.3063850725130967e-06,7.316012735308114e-08,7.316012735308114e-08,7.316012735308114e-08
