ngram,paper,pper,papr,papper
1500,1.2299413810978876e-05,0.0,0.0,0.0
1501,9.839531048783102e-06,0.0,0.0,0.0
1502,1.909368226430767e-05,0.0,0.0,0.0
1503,0.00010561267663433682,0.0,0.0,0.0
1504,0.00011421737222657871,0.0,0.0,0.0
1505,0.0001162979289282313,0.0,0.0,0.0
1506,0.0001162979289282313,0.0,0.0,0.0
1507,0.0001162979289282313,0.0,0.0,0.0
1508,0.0001162979289282313,0.0,0.0,0.0
1509,0.00010696015202224121,0.0,0.0,0.0
1510,1.771348875731097e-05,0.0,0.0,0.0
1511,5.3662853523357105e-06,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,4.856239684158936e-06,0.0,0.0,0.0
1515,4.856239684158936e-06,0.0,0.0,0.0
1516,4.856239684158936e-06,0.0,0.0,0.0
1517,2.6107312026267338e-05,0.0,0.0,0.0
1518,2.6107312026267338e-05,0.0,0.0,0.0
1519,2.6107312026267338e-05,0.0,0.0,0.0
1520,3.6832122402431976e-05,0.0,0.0,0.0
1521,3.197588271827304e-05,0.0,0.0,0.0
1522,4.784466727869585e-05,0.0,0.0,0.0
1523,5.277302729414909e-05,0.0,0.0,0.0
1524,3.152195495204069e-05,0.0,0.0,0.0
1525,3.152195495204069e-05,0.0,0.0,0.0
1526,7.792436632111535e-05,0.0,0.0,0.0
1527,0.000531586860493657,0.0,0.0,0.0
1528,0.000531586860493657,0.0,0.0,0.0
1529,0.0005157180759332343,0.0,0.0,0.0
1530,0.0005129765613673953,0.0,0.0,0.0
1531,0.0005187214095972845,0.0,0.0,0.0
1532,0.0005277397418207588,0.0,0.0,0.0
1533,0.0004813373304516842,0.0,0.0,0.0
1534,1.8354496595358277e-05,0.0,0.0,0.0
1535,3.9439032661903184e-05,0.0,0.0,0.0
1536,4.3017147748157315e-05,0.0,0.0,0.0
1537,4.0830302298542976e-05,0.0,0.0,0.0
1538,3.5085454068653886e-05,0.0,0.0,0.0
1539,3.436823330308211e-05,0.0,0.0,0.0
1540,0.00046530984829067687,0.0,0.0,0.0
1541,0.00046390537759829646,0.0,0.0,0.0
1542,0.0004518487198116158,0.0,0.0,0.0
1543,0.00044827060472536165,0.0,0.0,0.0
1544,0.0004516091227872364,0.0,0.0,0.0
1545,0.00045375248360609736,0.0,0.0,0.0
1546,0.0004496469650153553,0.0,0.0,0.0
1547,1.8705350027760558e-05,0.0,0.0,0.0
1548,3.118951086175262e-05,0.0,0.0,0.0
1549,3.307555237240324e-05,0.0,0.0,0.0
1550,0.00015627437837143328,0.0,0.0,0.0
1551,0.00016001945199864816,0.0,0.0,0.0
1552,0.00016220275704524414,0.0,0.0,0.0
1553,0.00015800716417808353,0.0,0.0,0.0
1554,0.00015800716417808353,0.0,0.0,0.0
1555,0.00015333580813603476,0.0,0.0,0.0
1556,0.00017364817592481683,0.0,0.0,0.0
1557,6.91393662626589e-05,0.0,0.0,0.0
1558,0.00021619877432905405,0.0,0.0,0.0
1559,0.00021359133175532667,0.0,0.0,0.0
1560,0.0002319876322352294,0.0,0.0,0.0
1561,0.0002319876322352294,0.0,0.0,0.0
1562,0.0002259525420283483,0.0,0.0,0.0
1563,0.00019654474129181056,0.0,0.0,0.0
1564,0.00017785472495493844,0.0,0.0,0.0
1565,2.7758927769484997e-05,0.0,0.0,0.0
1566,3.936539841171387e-05,0.0,0.0,0.0
1567,3.12050575043291e-05,0.0,0.0,0.0
1568,3.12050575043291e-05,0.0,0.0,0.0
1569,3.239816422657376e-05,0.0,0.0,0.0
1570,3.057967738381454e-05,0.0,0.0,0.0
1571,6.98093042176749e-05,0.0,0.0,0.0
1572,6.628206243216741e-05,0.0,0.0,0.0
1573,0.00013097775087901806,0.0,0.0,0.0
1574,0.00013544900353476156,0.0,0.0,0.0
1575,0.00013922084229177147,0.0,0.0,0.0
1576,0.00014841839278493092,0.0,0.0,0.0
1577,0.0001866905327005952,0.0,0.0,0.0
1578,0.00014914729769900857,0.0,0.0,0.0
1579,0.00015444813003081696,0.0,0.0,0.0
1580,8.038859102401017e-05,0.0,0.0,0.0
1581,7.339437459969693e-05,0.0,0.0,0.0
1582,7.465031246413543e-05,0.0,0.0,0.0
1583,6.536567629414744e-05,0.0,0.0,0.0
1584,2.7093536378483156e-05,0.0,0.0,0.0
1585,4.031587377539836e-05,0.0,0.0,0.0
1586,4.527848847958792e-05,0.0,0.0,0.0
1587,5.862062269963124e-05,0.0,0.0,0.0
1588,5.6933178971771016e-05,0.0,0.0,0.0
1589,6.124172614363488e-05,0.0,0.0,0.0
1590,7.083682118848498e-05,0.0,0.0,0.0
1591,7.590095680955398e-05,0.0,0.0,0.0
1592,7.591652216173575e-05,0.0,0.0,0.0
1593,7.406418392617655e-05,0.0,0.0,0.0
1594,5.927468009758741e-05,0.0,0.0,0.0
1595,7.083021357954879e-05,0.0,0.0,0.0
1596,9.43191334954463e-05,0.0,0.0,0.0
1597,8.559322772530972e-05,0.0,0.0,0.0
1598,8.875660049462957e-05,0.0,0.0,0.0
1599,7.890248525654897e-05,0.0,0.0,0.0
1600,7.902443238500772e-05,0.0,0.0,0.0
1601,8.3150969918019e-05,0.0,0.0,0.0
1602,7.152072534414142e-05,0.0,0.0,0.0
1603,4.487713314509685e-05,0.0,0.0,0.0
1604,4.606204726899575e-05,0.0,0.0,0.0
1605,4.05330242106824e-05,0.0,0.0,0.0
1606,4.355093551566824e-05,0.0,0.0,0.0
1607,3.5244415877449296e-05,0.0,0.0,0.0
1608,2.9601792578302722e-05,0.0,0.0,0.0
1609,2.5349017440540983e-05,0.0,0.0,0.0
1610,2.133398642659553e-05,0.0,0.0,0.0
1611,2.0902287750297027e-05,0.0,0.0,0.0
1612,2.062480897231061e-05,0.0,0.0,0.0
1613,1.5892738442094663e-05,0.0,0.0,0.0
1614,1.6794290071889657e-05,3.296097474958515e-07,0.0,0.0
1615,2.1129107803322506e-05,3.296097474958515e-07,0.0,0.0
1616,2.3395711780592266e-05,3.296097474958515e-07,0.0,0.0
1617,2.2217421961353727e-05,3.296097474958515e-07,0.0,0.0
1618,2.3422955629419967e-05,5.265640246372121e-07,0.0,0.0
1619,2.4490518691371627e-05,5.265640246372121e-07,0.0,0.0
1620,3.443203559072572e-05,5.265640246372121e-07,0.0,0.0
1621,3.510342081166787e-05,1.9695427714136064e-07,0.0,0.0
1622,3.061439597981267e-05,1.9695427714136064e-07,0.0,0.0
1623,3.661805106146078e-05,1.9695427714136064e-07,0.0,0.0
1624,6.758680930423517e-05,1.9695427714136064e-07,0.0,0.0
1625,6.478239954178986e-05,0.0,0.0,0.0
1626,6.887134999747755e-05,0.0,0.0,0.0
1627,5.669221237829853e-05,0.0,0.0,0.0
1628,5.5093406315011505e-05,0.0,0.0,0.0
1629,5.788051657873439e-05,8.252934386681382e-08,0.0,0.0
1630,5.886581428577691e-05,8.252934386681382e-08,0.0,0.0
1631,2.8552445006165988e-05,8.252934386681382e-08,0.0,0.0
1632,2.7202825029754812e-05,8.252934386681382e-08,0.0,0.0
1633,2.181878971896367e-05,8.252934386681382e-08,1.3709279755858006e-07,0.0
1634,3.439980654158197e-05,8.252934386681382e-08,1.3709279755858006e-07,0.0
1635,3.614877018013171e-05,8.252934386681382e-08,1.3709279755858006e-07,0.0
1636,3.824921025495444e-05,0.0,1.3709279755858006e-07,0.0
1637,3.2197316094035546e-05,0.0,1.3709279755858006e-07,0.0
1638,3.317966288055426e-05,0.0,1.3709279755858006e-07,0.0
1639,3.419173611161698e-05,0.0,1.3709279755858006e-07,0.0
1640,3.456845271492577e-05,0.0,0.0,0.0
1641,2.1585701558381387e-05,0.0,0.0,0.0
1642,2.332615349587286e-05,0.0,0.0,0.0
1643,1.949119359778706e-05,0.0,0.0,0.0
1644,2.027247605188417e-05,0.0,0.0,0.0
1645,1.9267265088274144e-05,4.9116830983361326e-08,0.0,0.0
1646,2.364849803728118e-05,4.9116830983361326e-08,0.0,0.0
1647,2.3991572171715753e-05,4.9116830983361326e-08,0.0,0.0
1648,2.4971328847251633e-05,1.408153025295178e-07,0.0,0.0
1649,2.2325840940798764e-05,1.408153025295178e-07,0.0,0.0
1650,2.4250121376618544e-05,1.408153025295178e-07,0.0,0.0
1651,2.0545114239212126e-05,2.2681546494953052e-07,0.0,0.0
1652,3.3343150789733045e-05,1.776986339661692e-07,0.0,0.0
1653,2.857809782394075e-05,1.776986339661692e-07,0.0,0.0
1654,2.8776061299140565e-05,2.606650062781617e-07,0.0,0.0
1655,3.114685257189974e-05,1.6896653473200525e-07,0.0,0.0
1656,3.384118606066165e-05,1.6896653473200525e-07,0.0,0.0
1657,3.2383511097577866e-05,2.245753998002848e-07,0.0,0.0
1658,3.1745898143396645e-05,1.921908717252206e-07,0.0,0.0
1659,2.0093383942107073e-05,1.921908717252206e-07,0.0,0.0
1660,2.8250035679125824e-05,1.921908717252206e-07,0.0,0.0
1661,2.8094954619258976e-05,2.435953173777047e-07,0.0,0.0
1662,3.068611853710276e-05,3.247950368339454e-07,0.0,0.0
1663,3.227408251404995e-05,3.904900154338975e-07,0.0,0.0
1664,3.537382001793178e-05,4.5279008986653935e-07,0.0,0.0
1665,3.619391840662242e-05,3.991744555215908e-07,0.0,0.0
1666,3.630382512450784e-05,4.3912285312736845e-07,0.0,0.0
1667,2.9174055271141697e-05,4.715751690095463e-07,0.0,0.0
1668,2.849306461679849e-05,4.2471078286000973e-07,0.0,0.0
1669,2.4890005209142275e-05,3.734651556897006e-07,0.0,0.0
1670,2.0821014004468452e-05,3.464193452730667e-07,0.0,0.0
1671,1.8447604946101948e-05,2.6762059844388985e-07,0.0,0.0
1672,2.0493818478176502e-05,2.9222119987285365e-07,0.0,0.0
1673,1.8656734482647153e-05,3.2650141536448375e-07,0.0,0.0
1674,1.82090497479034e-05,3.591101480943897e-07,0.0,0.0
1675,1.8336177358183443e-05,3.059222158136825e-07,0.0,0.0
1676,1.794354355817112e-05,2.75968123527751e-07,0.0,0.0
1677,1.767706070105695e-05,2.3731895534443277e-07,0.0,0.0
1678,1.6758479757429867e-05,2.1812733409985542e-07,0.0,0.0
1679,1.3613078408525325e-05,2.396702711848775e-07,0.0,0.0
1680,1.641148687018098e-05,1.6544165808746974e-07,0.0,0.0
1681,1.617486311390946e-05,1.0038060947538594e-07,0.0,0.0
1682,1.550641711998781e-05,1.0638417588130064e-07,2.016103297007378e-08,0.0
1683,1.4785649455006933e-05,3.7119091546498696e-07,2.016103297007378e-08,0.0
1684,1.5699661616963567e-05,4.296340746025505e-07,2.016103297007378e-08,0.0
1685,1.5023768810351612e-05,4.299213348498857e-07,2.016103297007378e-08,0.0
1686,1.556496135890484e-05,3.837777963358998e-07,2.016103297007378e-08,0.0
1687,1.2098153157629505e-05,4.2497788602499244e-07,2.016103297007378e-08,0.0
1688,1.0920837991891727e-05,4.2497788602499244e-07,2.016103297007378e-08,0.0
1689,9.344844962860016e-06,4.4779815969572413e-07,0.0,0.0
1690,9.479957936621628e-06,2.0376171099607226e-07,0.0,0.0
1691,1.263282682170289e-05,1.9425065797154924e-07,0.0,0.0
1692,1.2107985168898136e-05,1.7404482629704683e-07,0.0,0.0
1693,1.1822241422773264e-05,1.7404482629704683e-07,0.0,0.0
1694,1.7035731860102844e-05,1.816158377973157e-07,0.0,0.0
1695,1.6677011558385857e-05,1.816158377973157e-07,0.0,0.0
1696,1.897552315962717e-05,1.1847349818643644e-07,0.0,0.0
1697,1.8191579264177043e-05,1.1239735694549121e-07,0.0,0.0
1698,1.4656459630454524e-05,7.383652140496061e-08,0.0,0.0
1699,1.5084510648323754e-05,8.69060617755427e-08,0.0,0.0
1700,1.56784448595967e-05,8.69060617755427e-08,0.0,0.0
1701,1.0190821220541174e-05,5.746847924521197e-08,0.0,0.0
1702,9.462059308264412e-06,6.94536390304685e-08,0.0,0.0
1703,9.346428230726036e-06,1.0257726959902616e-07,0.0,0.0
1704,8.41713730486455e-06,8.788311995593695e-08,0.0,0.0
1705,9.386914614749133e-06,1.0498526441844141e-07,9.157804673317775e-09,0.0
1706,8.896655133737244e-06,9.191572404785933e-08,9.157804673317775e-09,0.0
1707,7.569288478797327e-06,1.0406817706000635e-07,9.157804673317775e-09,0.0
1708,8.745875399134612e-06,9.438052574393754e-08,9.157804673317775e-09,0.0
1709,9.09547774036972e-06,9.442038211610842e-08,9.157804673317775e-09,0.0
1710,9.11319963441721e-06,7.851177485918015e-08,9.157804673317775e-09,0.0
1711,1.010633150144713e-05,8.820410357657238e-08,9.157804673317775e-09,0.0
1712,7.278091987115788e-06,6.0730688541558e-08,0.0,0.0
1713,7.635618382144977e-06,6.0730688541558e-08,0.0,0.0
1714,8.832620145377795e-06,4.857823552941097e-08,0.0,0.0
1715,8.906725643750438e-06,3.8932368186449044e-08,0.0,0.0
1716,8.82474729938362e-06,3.576231019256479e-08,0.0,0.0
1717,6.810152285652293e-06,2.6188692357566523e-08,0.0,0.0
1718,1.3543361920450739e-05,1.6496363640174294e-08,0.0,0.0
1719,1.4221301885949547e-05,2.966610576241432e-08,0.0,0.0
1720,1.4024807244693096e-05,4.778836221979483e-08,0.0,0.0
1721,1.545066912253138e-05,5.6548420295549865e-08,0.0,0.0
1722,1.803665073956446e-05,7.200359369059178e-08,0.0,0.0
1723,1.9493759931979833e-05,6.932381170697357e-08,0.0,0.0
1724,2.0183178548904834e-05,6.75533259806928e-08,0.0,0.0
1725,1.4798929636786592e-05,6.75533259806928e-08,0.0,0.0
1726,1.5034961247043352e-05,6.077108188102492e-08,0.0,0.0
1727,1.5861180405149105e-05,4.264882542364441e-08,0.0,0.0
1728,1.4734937784461571e-05,3.388876734788937e-08,0.0,0.0
1729,1.1521629533360414e-05,2.4805570676887456e-08,0.0,0.0
1730,1.3052015219727764e-05,1.8630394496962514e-08,0.0,0.0
1731,1.3356347348495287e-05,8.242686634827936e-08,0.0,0.0
1732,1.4618364795231692e-05,9.494391406406066e-08,0.0,0.0
1733,1.67511092123667e-05,1.0260595522432985e-07,0.0,0.0
1734,1.7488159950776856e-05,1.2325288167858162e-07,0.0,0.0
1735,1.8331271673689897e-05,1.4912058584773798e-07,0.0,0.0
1736,2.0659554008618996e-05,1.4274860912369798e-07,0.0,0.0
1737,1.886424706754042e-05,1.4274860912369798e-07,0.0,0.0
1738,2.5665504706142072e-05,7.308121752203078e-08,0.0,0.0
1739,2.7545559402954366e-05,6.379508629298211e-08,0.0,0.0
1740,2.6223421368091033e-05,6.47201043234093e-08,0.0,0.0
1741,2.5955595966869233e-05,4.407317786915753e-08,0.0,0.0
1742,2.5538852761591052e-05,2.45828459810582e-08,0.0,0.0
1743,2.4792440074504286e-05,2.45828459810582e-08,0.0,0.0
1744,2.5492939390200524e-05,2.9046906340519333e-08,0.0,0.0
1745,1.9954437058394043e-05,3.535848236424499e-08,0.0,0.0
1746,1.8208331182125092e-05,3.7105543019119325e-08,0.0,0.0
1747,2.1098736397107132e-05,2.2130985805850808e-08,0.0,0.0
1748,2.425555196948283e-05,2.5770717623377744e-08,0.0,0.0
1749,2.7110857835006235e-05,2.4348625718825393e-08,0.0,0.0
1750,3.12612735017735e-05,3.0946088612284125e-08,0.0,0.0
1751,3.790290117779348e-05,3.7189444412888406e-08,0.0,0.0
1752,4.2136760384892114e-05,5.037081862724335e-08,0.0,0.0
1753,4.538279141083227e-05,5.545154633880754e-08,0.0,0.0
1754,5.007259824196808e-05,5.963561504935505e-08,0.0,0.0
1755,5.2789496943920054e-05,5.5995883231828106e-08,0.0,0.0
1756,5.2888695271186794e-05,6.621795607080522e-08,0.0,0.0
1757,5.4390238801715896e-05,8.398147929459096e-08,0.0,0.0
1758,5.3180600973843995e-05,7.948923271986327e-08,0.0,0.0
1759,5.2851718854591514e-05,6.3475077384721e-08,0.0,0.0
1760,5.394569078427074e-05,5.8739106531139184e-08,0.0,0.0
1761,6.155371790685291e-05,6.843287536639764e-08,0.0,0.0
1762,6.523137510937107e-05,7.111545739592526e-08,0.0,0.0
1763,7.101171442107963e-05,5.8776778745693396e-08,0.0,0.0
1764,7.954248836280644e-05,4.284783169542347e-08,0.0,2.810679688991513e-09
