ngram,patient,patint,patiant,patent
1500,6.721860245306743e-06,0.0,0.0,2.429588050745224e-07
1501,5.3774881962453945e-06,0.0,0.0,1.9436704405961792e-07
1502,4.481240163537829e-06,0.0,0.0,4.373826476467002e-05
1503,3.841062997318139e-06,0.0,0.0,3.7489941226860015e-05
1504,6.927863848561953e-06,0.0,0.0,3.7489941226860015e-05
1505,7.190430811273732e-06,0.0,0.0,3.735110762396029e-05
1506,7.190430811273732e-06,0.0,0.0,3.735110762396029e-05
1507,7.190430811273732e-06,0.0,0.0,3.735110762396029e-05
1508,7.190430811273732e-06,0.0,0.0,3.735110762396029e-05
1509,7.190430811273732e-06,0.0,0.0,0.0
1510,7.190430811273732e-06,0.0,0.0,0.0
1511,4.103629960029918e-06,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,5.713222890335601e-07,0.0,0.0,1.628268572468577e-05
1515,5.713222890335601e-07,0.0,0.0,1.628268572468577e-05
1516,5.713222890335601e-07,0.0,0.0,1.628268572468577e-05
1517,5.713222890335601e-07,0.0,0.0,1.6813962507252915e-05
1518,5.713222890335601e-07,0.0,0.0,1.6813962507252915e-05
1519,5.713222890335601e-07,0.0,0.0,1.6813962507252915e-05
1520,2.3587906850609997e-06,0.0,0.0,1.800560806129527e-05
1521,1.7874683960274394e-06,0.0,0.0,1.722922336609502e-06
1522,1.7874683960274394e-06,0.0,0.0,1.722922336609502e-06
1523,1.2260233363901665e-05,0.0,0.0,1.722922336609502e-06
1524,1.2260233363901665e-05,0.0,0.0,1.1916455540423548e-06
1525,1.2260233363901665e-05,0.0,0.0,1.1916455540423548e-06
1526,1.2260233363901665e-05,0.0,0.0,3.734243494233981e-06
1527,1.0472764967874224e-05,0.0,0.0,2.5425979401916265e-06
1528,1.0472764967874224e-05,0.0,0.0,2.5425979401916265e-06
1529,1.0472764967874224e-05,0.0,0.0,2.5425979401916265e-06
1530,0.0,0.0,0.0,2.5425979401916265e-06
1531,0.0,0.0,0.0,2.5425979401916265e-06
1532,0.0,0.0,0.0,2.5425979401916265e-06
1533,0.0,0.0,0.0,0.0
1534,0.0,0.0,0.0,0.0
1535,0.0,0.0,0.0,1.995500601229391e-05
1536,0.0,0.0,0.0,2.2191327973684694e-05
1537,0.0,0.0,0.0,2.2191327973684694e-05
1538,0.0,0.0,0.0,2.2191327973684694e-05
1539,0.0,0.0,0.0,3.962366177542468e-05
1540,0.0,0.0,0.0,3.962366177542468e-05
1541,0.0,0.0,0.0,3.962366177542468e-05
1542,0.0,0.0,0.0,2.1173302099798874e-05
1543,0.0,0.0,0.0,1.8936980138408088e-05
1544,5.564196986337525e-07,0.0,0.0,2.0884449051144266e-05
1545,1.092259903348999e-06,0.0,0.0,4.071053756758504e-05
1546,1.092259903348999e-06,0.0,0.0,6.159795339044649e-05
1547,1.092259903348999e-06,0.0,0.0,6.159795339044649e-05
1548,1.6867437742413521e-06,0.0,0.0,6.159795339044649e-05
1549,1.6867437742413521e-06,0.0,0.0,6.009330705377839e-05
1550,7.630546828555193e-06,0.0,0.0,6.009330705377839e-05
1551,7.07412712992144e-06,0.0,0.0,5.8145838141042206e-05
1552,7.980508923667782e-06,0.0,0.0,3.976197162306302e-05
1553,7.980508923667782e-06,0.0,0.0,1.4422219984615886e-06
1554,7.980508923667782e-06,0.0,0.0,1.4422219984615886e-06
1555,7.386025052775429e-06,0.0,0.0,2.043207002446122e-06
1556,7.386025052775429e-06,0.0,0.0,2.043207002446122e-06
1557,1.4422219984615886e-06,0.0,0.0,2.043207002446122e-06
1558,4.170416624609581e-06,0.0,0.0,2.72525565898312e-06
1559,7.885864241481094e-06,0.0,0.0,1.2830336605215313e-06
1560,1.0578005718083919e-05,0.0,0.0,1.2830336605215313e-06
1561,1.0578005718083919e-05,0.0,0.0,1.2830336605215313e-06
1562,1.0578005718083919e-05,0.0,0.0,6.820486565369979e-07
1563,1.0578005718083919e-05,0.0,0.0,6.820486565369979e-07
1564,1.0578005718083919e-05,0.0,0.0,6.820486565369979e-07
1565,1.189701366196719e-05,0.0,0.0,2.023601285015632e-06
1566,6.73934404663409e-06,0.0,0.0,2.023601285015632e-06
1567,5.411997205685891e-06,0.0,0.0,2.023601285015632e-06
1568,5.411997205685891e-06,0.0,0.0,2.023601285015632e-06
1569,6.897407859339312e-06,0.0,0.0,9.45065455328274e-06
1570,8.40842013920857e-06,0.0,0.0,9.45065455328274e-06
1571,8.40842013920857e-06,0.0,0.0,9.45065455328274e-06
1572,6.4410607072724294e-06,0.0,0.0,0.00015561587497359142
1573,1.1474698112579063e-05,0.0,0.0,0.00015561587497359142
1574,1.1199326568852744e-05,0.0,0.0,0.00015616058651955558
1575,1.3713885826811228e-05,0.0,0.0,0.0001712479415475952
1576,1.4932557795483653e-05,0.0,0.0,0.00016427156872720974
1577,1.3421545515614395e-05,0.0,0.0,0.00016682304463496882
1578,1.534885041110101e-05,0.0,0.0,0.00016682304463496882
1579,1.3915762078145885e-05,0.0,0.0,1.86342229296445e-05
1580,1.6805811420843903e-05,0.0,0.0,1.86342229296445e-05
1581,1.8089617827042404e-05,0.0,0.0,1.927612613274375e-05
1582,1.8088946879808126e-05,0.0,0.0,4.188771104704106e-06
1583,1.7787977412808686e-05,0.0,0.0,7.583071497460228e-06
1584,2.4081758705766072e-05,0.0,0.0,5.031595589701153e-06
1585,2.4985225146727836e-05,0.0,0.0,5.22031367771498e-06
1586,2.7214045725746212e-05,0.0,0.0,5.22031367771498e-06
1587,2.3097234069220057e-05,0.0,0.0,5.566393237391562e-06
1588,2.273252201640779e-05,0.0,0.0,5.718790118537852e-06
1589,2.4513342525876525e-05,0.0,0.0,7.025875366447768e-06
1590,2.3410107652515372e-05,0.0,0.0,3.18089452581002e-06
1591,2.1114328384490883e-05,0.0,0.0,4.247028381801751e-06
1592,1.947750063534061e-05,0.0,0.0,4.058310293787924e-06
1593,1.7718308949302548e-05,0.0,0.0,4.058310293787924e-06
1594,1.5923012922160395e-05,0.0,0.0,4.885651833319571e-06
1595,1.6619278150236433e-05,0.0,0.0,3.5466402031098757e-06
1596,1.4218333360206867e-05,0.0,0.0,2.870809631921085e-06
1597,1.5702883242088967e-05,0.0,0.0,3.2339959099252676e-06
1598,1.2943430842174816e-05,0.0,0.0,3.671815225711076e-06
1599,1.5522643999637304e-05,0.0,0.0,8.270349845978281e-06
1600,1.7388430543568184e-05,0.0,0.0,9.22890464088206e-06
1601,1.7330090096428258e-05,0.0,0.0,8.05548354167383e-06
1602,6.411124884055295e-05,0.0,0.0,8.473086414336908e-06
1603,7.004757675791293e-05,0.0,0.0,8.253941846955318e-06
1604,6.93063923660832e-05,0.0,0.0,1.1296162028884282e-05
1605,7.009170674012109e-05,0.0,0.0,1.024195642327998e-05
1606,7.19241577046757e-05,0.0,0.0,6.043822330476749e-06
1607,7.043498161302913e-05,0.0,0.0,5.831764610775281e-06
1608,6.967980854304707e-05,0.0,0.0,5.831764610775281e-06
1609,2.2646628817061094e-05,0.0,0.0,5.414161738112203e-06
1610,1.7747846868587658e-05,0.0,0.0,6.2765342201081305e-06
1611,1.683113818476808e-05,0.0,0.0,3.588013701768692e-06
1612,1.9918288281977376e-05,0.0,0.0,4.21426904852394e-06
1613,1.894718440910635e-05,0.0,0.0,6.051215353051832e-06
1614,1.9102238963699036e-05,0.0,0.0,6.293547552819031e-06
