ngram,pipe,pip
1500,1.1030307177861687e-05,0.0
1501,8.82424574228935e-06,0.0
1502,8.232092416922873e-06,0.0
1503,7.056079214505319e-06,0.0
1504,2.511605479022754e-06,0.0
1505,3.5940211091656238e-06,0.0
1506,3.5940211091656238e-06,0.0
1507,3.5940211091656238e-06,0.0
1508,3.5940211091656238e-06,0.0
1509,2.8409745677241257e-06,0.0
1510,2.8409745677241257e-06,0.0
1511,2.8409745677241257e-06,0.0
1512,0.0,0.0
1513,0.0,0.0
1514,8.569834660322937e-07,0.0
1515,8.569834660322937e-07,0.0
1516,8.569834660322937e-07,0.0
1517,1.3882602485994409e-06,0.0
1518,1.3882602485994409e-06,0.0
1519,1.3882602485994409e-06,0.0
1520,3.1757286446268803e-06,0.0
1521,2.3187451785945868e-06,0.0
1522,2.3187451785945868e-06,0.0
1523,3.550835182457896e-06,0.0
1524,3.019558399890749e-06,0.0
1525,3.019558399890749e-06,0.0
1526,4.926506855034469e-06,6.356494850479066e-07
1527,3.1390384590070297e-06,6.356494850479066e-07
1528,7.107914500790815e-05,6.356494850479066e-07
1529,7.107914500790815e-05,6.356494850479066e-07
1530,6.984705500404484e-05,1.3645979899073218e-06
1531,6.984705500404484e-05,1.3645979899073218e-06
1532,8.111996950382101e-05,1.3645979899073218e-06
1533,7.921302104867729e-05,7.289485048594153e-07
1534,8.061749174105768e-05,7.289485048594153e-07
1535,1.267738519215657e-05,7.289485048594153e-07
1536,1.267738519215657e-05,7.289485048594153e-07
1537,1.267738519215657e-05,0.0
1538,1.267738519215657e-05,0.0
1539,3.894804129751199e-06,0.0
1540,3.894804129751199e-06,0.0
1541,2.4903334373708016e-06,0.0
1542,2.4903334373708016e-06,0.0
1543,2.4903334373708016e-06,0.0
1544,2.1686812553005958e-05,0.0
1545,2.2222652757721206e-05,0.0
1546,2.169026262371127e-05,0.0
1547,2.169026262371127e-05,0.0
1548,3.0310278784132345e-05,0.0
1549,3.0310278784132345e-05,0.0
1550,3.0310278784132345e-05,0.0
1551,1.111379966849719e-05,0.0
1552,1.3462403460705121e-05,0.0
1553,1.1504460157344251e-05,0.0
1554,1.1504460157344251e-05,0.0
1555,5.889369016845844e-06,0.0
1556,5.889369016845844e-06,0.0
1557,5.889369016845844e-06,0.0
1558,5.889369016845844e-06,0.0
1559,9.881818186840974e-06,0.0
1560,1.0330508432941445e-05,0.0
1561,1.0330508432941445e-05,0.0
1562,7.325583413018778e-06,0.0
1563,8.689448545088193e-06,0.0
1564,1.505109529326936e-05,0.0
1565,1.505109529326936e-05,0.0
1566,2.530723629336405e-05,0.0
1567,2.554094336509089e-05,0.0
1568,2.554094336509089e-05,0.0
1569,2.6283648691917604e-05,0.0
1570,2.491978355984819e-05,0.0
1571,1.855813681166702e-05,0.0
1572,2.21978623682974e-05,0.0
1573,5.064828201284399e-06,0.0
1574,4.92714242942124e-06,0.0
1575,6.184422058400482e-06,0.0
1576,7.695119003463852e-06,0.0
1577,7.695119003463852e-06,0.0
1578,1.0104250155304076e-05,2.40913111935827e-07
1579,6.464524598673701e-06,2.40913111935827e-07
1580,6.464524598673701e-06,2.40913111935827e-07
1581,6.513120427241249e-06,2.40913111935827e-07
1582,1.5311394041158826e-05,2.40913111935827e-07
1583,1.6662661242402726e-05,2.40913111935827e-07
1584,1.6662661242402726e-05,2.40913111935827e-07
1585,1.6140710938218816e-05,0.0
1586,1.685960478425841e-05,0.0
1587,2.239687773908372e-05,0.0
1588,2.1803570364552017e-05,0.0
1589,1.4735640693938226e-05,0.0
1590,1.9190216335118748e-05,0.0
1591,2.0522883590144503e-05,0.0
1592,2.0426618123435348e-05,0.0
1593,2.4396535341760943e-05,2.2327672663128135e-07
1594,2.7911367526810083e-05,2.2327672663128135e-07
1595,3.0165352914731818e-05,2.2327672663128135e-07
1596,3.159651194956885e-05,2.2327672663128135e-07
1597,2.4626825636784944e-05,2.2327672663128135e-07
1598,2.6302064725314267e-05,2.2327672663128135e-07
1599,2.5454438530557256e-05,2.2327672663128135e-07
1600,2.1937194365559014e-05,0.0
1601,1.581494715147918e-05,0.0
1602,1.4604968912733187e-05,0.0
1603,1.1422516633631727e-05,0.0
1604,1.1014039111094981e-05,0.0
1605,9.355375433577657e-06,0.0
1606,9.853528159250605e-06,0.0
1607,8.681961259883661e-06,0.0
1608,7.94855694558854e-06,0.0
1609,7.470571745216148e-06,0.0
1610,7.89106882491199e-06,0.0
1611,7.41481210297934e-06,0.0
1612,6.603570893405829e-06,0.0
1613,7.5592862458506715e-06,0.0
1614,8.877725235834077e-06,0.0
1615,7.443158129457775e-06,0.0
1616,7.2375607130327675e-06,0.0
1617,6.07489864380893e-06,0.0
1618,7.0517997820778485e-06,0.0
1619,8.989557240316312e-06,1.1253449981398132e-07
1620,8.204222597539359e-06,1.1253449981398132e-07
1621,7.064201603108293e-06,1.1253449981398132e-07
1622,6.4430119144682455e-06,1.1253449981398132e-07
1623,6.3520015731098415e-06,1.1253449981398132e-07
1624,6.604497213759584e-06,1.1253449981398132e-07
1625,5.422771518429467e-06,1.1253449981398132e-07
1626,3.176634420144962e-06,0.0
1627,1.7245831388988466e-06,0.0
1628,2.856397632708e-06,6.55116260921724e-08
1629,2.963288855945783e-06,6.55116260921724e-08
1630,3.5563646666300234e-06,6.55116260921724e-08
1631,4.51010329730447e-06,6.55116260921724e-08
1632,5.334738505423177e-06,6.55116260921724e-08
1633,5.51639506543974e-06,6.55116260921724e-08
1634,6.837641649326542e-06,6.55116260921724e-08
1635,6.185966867633397e-06,0.0
1636,6.806822901645708e-06,0.0
1637,6.5296139187661794e-06,0.0
1638,5.435229663167515e-06,0.0
1639,4.844205152819216e-06,0.0
1640,4.946967042737274e-06,0.0
1641,3.5853932932436043e-06,1.194441746780025e-07
1642,4.654032937066534e-06,1.194441746780025e-07
1643,3.7855888633332924e-06,2.097666213428186e-07
1644,3.475292235829589e-06,2.097666213428186e-07
1645,3.163977851272648e-06,2.097666213428186e-07
1646,2.93036715350224e-06,2.097666213428186e-07
1647,3.144645761819577e-06,2.097666213428186e-07
1648,3.4378447253402555e-06,9.032244666481607e-08
1649,1.7106473738489773e-06,9.032244666481607e-08
1650,3.1600118940592177e-06,0.0
1651,3.530028737129344e-06,4.300008121000636e-08
1652,3.8477131576135955e-06,9.867147809927701e-08
1653,4.375343613511566e-06,9.867147809927701e-08
1654,4.85003715766652e-06,9.867147809927701e-08
1655,5.076527518862609e-06,1.567745227605753e-07
1656,6.3451328255074e-06,1.567745227605753e-07
1657,5.285030348594384e-06,1.567745227605753e-07
1658,5.658726195179042e-06,2.2100571024046595e-07
1659,5.432347019710246e-06,1.653343133511953e-07
1660,5.465940148496884e-06,1.653343133511953e-07
1661,4.666040175444712e-06,2.997051313156719e-07
1662,5.569701378200469e-06,2.4160208665437365e-07
1663,1.717731148736285e-05,3.0729706525432577e-07
1664,1.949995502010487e-05,3.0729706525432577e-07
1665,1.9186723810500033e-05,2.0006579656442876e-07
1666,2.0238859860910452e-05,2.400141941702064e-07
1667,2.0716110384455533e-05,2.724665100523842e-07
1668,2.123181548085995e-05,1.8184890799537762e-07
1669,1.9928653516996875e-05,1.8184890799537762e-07
1670,7.709473964366356e-06,1.1615392939542549e-07
1671,6.0144334221539405e-06,1.5526412206717006e-07
1672,5.9485832122975675e-06,2.2906593041430563e-07
1673,4.980555477881613e-06,2.138604031642899e-07
1674,4.527630819341409e-06,1.8140808728211206e-07
1675,4.2608647845554515e-06,1.3765487137464204e-07
1676,4.321857626824307e-06,1.3765487137464204e-07
1677,4.101442332934571e-06,1.7124106932442373e-07
1678,3.204088727670751e-06,1.3213087665267915e-07
1679,3.0951237590670644e-06,1.0447260681952944e-07
1680,2.8965381570092826e-06,9.783166530853902e-08
1681,2.8480090463745e-06,9.783166530853902e-08
1682,3.768518053805435e-06,9.783166530853902e-08
1683,4.085774849370084e-06,1.4196612190582008e-07
1684,3.9413700879517166e-06,1.0837992395603838e-07
1685,4.12494614465686e-06,1.285857556305408e-07
1686,3.7876998898614796e-06,8.244221711655492e-08
1687,3.8045716012545327e-06,6.434028827178346e-08
1688,3.780058607714766e-06,6.434028827178346e-08
1689,2.428496275440141e-06,6.434028827178346e-08
1690,2.433722621779972e-06,8.251670229648361e-08
1691,2.581895777049275e-06,8.251670229648361e-08
1692,3.1308578789841183e-06,1.0964695970220159e-07
1693,3.2196142001339467e-06,1.409981535971383e-07
1694,3.272611268455096e-06,1.409981535971383e-07
1695,3.039226385226357e-06,1.409981535971383e-07
1696,2.97568765615454e-06,1.409981535971383e-07
1697,3.748523113245028e-06,8.60343577967017e-08
1698,4.054865615086913e-06,1.0677689894172155e-07
1699,3.7517367478098355e-06,7.251035023208325e-08
1700,3.95049655058496e-06,8.015271443387714e-08
1701,4.981778667050614e-06,8.981947376339252e-08
1702,4.846478126247737e-06,1.0180463354864904e-07
1703,4.954007717320305e-06,1.0180463354864904e-07
1704,3.8872106772812136e-06,9.445755872710443e-08
1705,3.3419509171445886e-06,8.287282225540236e-08
1706,3.623683921562458e-06,8.087866478133168e-08
1707,3.7625384590813027e-06,7.834246572104218e-08
1708,2.52490078115183e-06,7.832157373448873e-08
1709,2.6215791746965678e-06,7.836143010665961e-08
1710,2.8213957453512454e-06,1.1279147672991843e-07
1711,2.7248644950564734e-06,1.418684628820951e-07
1712,2.6428904058255805e-06,1.4357407808672308e-07
1713,2.3639554618577156e-06,1.4331671037228132e-07
1714,1.9164693542604383e-06,1.068593513358402e-07
1715,2.1210978177675443e-06,1.0853583733348517e-07
1716,2.5181544580326384e-06,1.496405701573167e-07
1717,3.0696557717289707e-06,1.6105895537878367e-07
1718,3.781534149181555e-06,1.7843250686512745e-07
1719,3.918846508505729e-06,1.8073882910942173e-07
1720,3.8020618668659675e-06,1.971041975983618e-07
1721,3.875054501025131e-06,2.146243137498719e-07
1722,7.901470374755653e-06,2.5739506729191166e-07
1723,7.91230693916337e-06,2.2279084634289704e-07
1724,7.359802680184657e-06,2.35651613016736e-07
1725,6.9741328161399e-06,2.112599355135509e-07
1726,6.947272774076347e-06,2.1725268644396628e-07
1727,7.005014189027341e-06,2.1059745084325447e-07
1728,7.362331660130751e-06,2.0603645469106725e-07
1729,3.5378632056953004e-06,1.9017520815266054e-07
1730,4.33790275370224e-06,2.1256586941425277e-07
1731,4.1667031415012645e-06,1.6779015002807034e-07
1732,4.233731146996433e-06,1.6450686197393744e-07
1733,4.16535091777145e-06,1.593939081041234e-07
1734,4.369509156276763e-06,1.7499788132876608e-07
1735,4.749882837781375e-06,2.1377416966775593e-07
1736,5.503661230120217e-06,2.1964090990422847e-07
1737,5.2803563741170886e-06,1.8564634883335073e-07
1738,5.48750860421673e-06,1.8269650224413324e-07
1739,5.288137166254663e-06,1.768445961098613e-07
1740,5.628215116563037e-06,1.852568922393922e-07
1741,5.3175691131660386e-06,1.5506612172089262e-07
1742,5.6292029252550236e-06,1.7348180999679892e-07
1743,4.853901763064121e-06,1.486459965909554e-07
1744,4.557298130488821e-06,1.7743685124368573e-07
1745,5.016902410456428e-06,1.9169952279542356e-07
1746,6.063902641731797e-06,2.2855562826456272e-07
1747,6.685226026093005e-06,2.102529447053517e-07
1748,7.096139532742589e-06,2.0795132574643764e-07
1749,6.718259815638053e-06,1.5266607026173267e-07
1750,6.973366453166818e-06,1.4659820887378112e-07
1751,7.708060430949054e-06,1.251622805398256e-07
1752,7.610289295761115e-06,1.5059764990610347e-07
1753,8.475457044759033e-06,2.0643428249351408e-07
1754,8.842014462321199e-06,2.3156361095288958e-07
1755,1.0229738758685666e-05,2.587503412801847e-07
1756,1.0323823581919506e-05,2.8031014461963165e-07
1757,1.1311748104552472e-05,3.3410793268525853e-07
1758,1.0565267075435258e-05,3.2915413226776634e-07
1759,1.086211737596646e-05,2.993452282242158e-07
