ngram,politics,poltics,politcs,politis
1500,8.098626835817413e-08,0.0,0.0,0.0
1501,6.47890146865393e-08,0.0,0.0,0.0
1502,5.3990845572116086e-08,0.0,0.0,0.0
1503,4.627786763324236e-08,0.0,0.0,0.0
1504,4.627786763324236e-08,0.0,0.0,0.0
1505,6.313276961528962e-07,0.0,0.0,0.0
1506,6.313276961528962e-07,0.0,0.0,0.0
1507,6.313276961528962e-07,0.0,0.0,0.0
1508,6.313276961528962e-07,0.0,0.0,0.0
1509,6.313276961528962e-07,0.0,0.0,0.0
1510,6.313276961528962e-07,0.0,0.0,0.0
1511,6.313276961528962e-07,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,5.713222890335601e-07,0.0,0.0,0.0
1515,5.713222890335601e-07,0.0,0.0,0.0
1516,5.713222890335601e-07,0.0,0.0,0.0
1517,1.6338758541678544e-06,0.0,0.0,0.0
1518,1.6338758541678544e-06,0.0,0.0,0.0
1519,1.6338758541678544e-06,0.0,0.0,0.0
1520,4.315078448209013e-06,0.0,0.0,0.0
1521,3.7437561591754535e-06,0.0,0.0,0.0
1522,3.7437561591754535e-06,0.0,0.0,0.0
1523,6.207936166902073e-06,0.0,0.0,0.0
1524,5.145382601767778e-06,0.0,0.0,0.0
1525,5.145382601767778e-06,0.0,0.0,0.0
1526,5.145382601767778e-06,0.0,0.0,0.0
1527,2.4641800077266192e-06,0.0,0.0,0.0
1528,2.4641800077266192e-06,0.0,0.0,0.0
1529,2.4641800077266192e-06,0.0,0.0,0.0
1530,0.0,0.0,0.0,0.0
1531,0.0,0.0,0.0,0.0
1532,0.0,0.0,0.0,0.0
1533,0.0,0.0,0.0,0.0
1534,0.0,0.0,0.0,0.0
1535,3.7650956333631515e-07,0.0,0.0,0.0
1536,3.7650956333631515e-07,0.0,0.0,0.0
1537,3.7650956333631515e-07,0.0,0.0,0.0
1538,3.7650956333631515e-07,0.0,0.0,0.0
1539,3.7650956333631515e-07,0.0,0.0,0.0
1540,3.7650956333631515e-07,0.0,0.0,0.0
1541,3.7650956333631515e-07,0.0,0.0,0.0
1542,0.0,0.0,0.0,0.0
1543,0.0,0.0,0.0,0.0
1544,1.3910492790663348e-06,0.0,0.0,0.0
1545,1.3910492790663348e-06,0.0,0.0,0.0
1546,1.3910492790663348e-06,0.0,0.0,0.0
1547,1.3910492790663348e-06,0.0,0.0,0.0
1548,4.957952374492639e-06,0.0,0.0,0.0
1549,4.957952374492639e-06,0.0,0.0,0.0
1550,7.119335220652699e-06,0.0,0.0,0.0
1551,5.728285941586364e-06,0.0,0.0,2.361197143077983e-06
1552,7.89161887431484e-06,0.0,0.0,2.361197143077983e-06
1553,7.89161887431484e-06,0.0,0.0,2.361197143077983e-06
1554,7.89161887431484e-06,0.0,0.0,2.361197143077983e-06
1555,4.324715778888536e-06,0.0,0.0,2.361197143077983e-06
1556,4.324715778888536e-06,0.0,0.0,2.361197143077983e-06
1557,2.1633329327284756e-06,0.0,0.0,2.361197143077983e-06
1558,2.1633329327284756e-06,0.0,0.0,0.0
1559,0.0,0.0,0.0,0.0
1560,4.4869024610047094e-07,0.0,0.0,0.0
1561,4.4869024610047094e-07,0.0,0.0,0.0
1562,4.4869024610047094e-07,0.0,0.0,0.0
1563,4.4869024610047094e-07,0.0,0.0,0.0
1564,4.4869024610047094e-07,0.0,0.0,0.0
1565,4.4869024610047094e-07,0.0,0.0,0.0
1566,4.4869024610047094e-07,0.0,0.0,0.0
1567,0.0,0.0,0.0,0.0
1568,0.0,0.0,0.0,0.0
1569,2.2281159804801324e-06,0.0,0.0,0.0
1570,2.2281159804801324e-06,0.0,0.0,0.0
1571,2.2281159804801324e-06,0.0,0.0,0.0
1572,2.2281159804801324e-06,0.0,0.0,0.0
1573,2.2281159804801324e-06,0.0,0.0,0.0
1574,2.2281159804801324e-06,0.0,0.0,0.0
1575,2.2281159804801324e-06,0.0,0.0,0.0
1576,9.013608957632511e-07,0.0,0.0,0.0
1577,9.013608957632511e-07,0.0,0.0,0.0
1578,1.8650133435065591e-06,0.0,0.0,0.0
1579,3.1585229537865544e-06,0.0,0.0,0.0
1580,3.1585229537865544e-06,0.0,0.0,0.0
1581,3.1585229537865544e-06,0.0,0.0,0.0
1582,3.1585229537865544e-06,0.0,0.0,0.0
1583,2.978095965642881e-06,0.0,0.0,0.0
1584,3.877207551080833e-06,0.0,0.0,0.0
1585,2.913555103337525e-06,0.0,0.0,0.0
1586,1.6200454930575298e-06,0.0,0.0,0.0
1587,1.6200454930575298e-06,0.0,0.0,0.0
1588,2.2895513081623775e-06,0.0,0.0,0.0
1589,2.4762777814300662e-06,0.0,0.0,0.0
1590,2.7952464733971283e-06,0.0,0.0,0.0
1591,2.162668351957109e-06,0.0,0.0,0.0
1592,2.162668351957109e-06,0.0,0.0,0.0
1593,2.162668351957109e-06,0.0,0.0,0.0
1594,2.162668351957109e-06,0.0,0.0,0.0
1595,3.296350899160773e-06,0.0,0.0,0.0
1596,3.109624425893084e-06,0.0,0.0,0.0
1597,2.1907839189745052e-06,0.0,0.0,0.0
1598,2.366589634610656e-06,0.0,0.0,0.0
1599,2.366589634610656e-06,0.0,0.0,1.1791114827376856e-07
1600,4.070686990027232e-06,0.0,0.0,1.1791114827376856e-07
1601,4.656658575186157e-06,0.0,0.0,1.1791114827376856e-07
1602,3.062271649209184e-06,0.0,0.0,1.1791114827376856e-07
1603,3.062271649209184e-06,0.0,0.0,1.1791114827376856e-07
1604,3.452020499545532e-06,0.0,0.0,1.1791114827376856e-07
1605,3.2345551029980664e-06,0.0,0.0,1.1791114827376856e-07
1606,4.595916915864759e-06,0.0,0.0,0.0
1607,3.638316635650491e-06,0.0,0.0,0.0
1608,3.2520226471076185e-06,0.0,0.0,0.0
1609,3.04322121077608e-06,0.0,0.0,0.0
1610,3.04322121077608e-06,0.0,0.0,0.0
1611,2.532410267771671e-06,0.0,0.0,1.0241227853059951e-07
1612,2.307536484685053e-06,0.0,0.0,1.0241227853059951e-07
1613,1.4256060986943858e-06,0.0,0.0,1.0241227853059951e-07
1614,1.008718770987928e-06,0.0,0.0,1.0241227853059951e-07
1615,8.090411743718764e-07,0.0,0.0,1.0241227853059951e-07
1616,1.1694657067502184e-06,0.0,0.0,1.0241227853059951e-07
1617,1.1694657067502184e-06,0.0,0.0,1.0241227853059951e-07
1618,2.449668500048574e-06,0.0,0.0,0.0
1619,3.0123409747570155e-06,0.0,0.0,0.0
1620,2.7343873755723635e-06,0.0,0.0,0.0
1621,2.5831956236288534e-06,0.0,0.0,0.0
1622,2.5831956236288534e-06,0.0,0.0,0.0
1623,4.108670460872028e-06,0.0,0.0,0.0
1624,4.108670460872028e-06,0.0,0.0,0.0
1625,2.828467667573672e-06,0.0,0.0,0.0
1626,2.265795192865231e-06,0.0,0.0,0.0
1627,2.0643173651738574e-06,0.0,0.0,0.0
1628,1.9514109957136886e-06,0.0,0.0,0.0
1629,2.0339403395805026e-06,0.0,0.0,0.0
1630,1.4804096995898623e-07,0.0,0.0,0.0
1631,1.4804096995898623e-07,0.0,0.0,0.0
1632,5.145455069006337e-07,0.0,0.0,0.0
1633,6.516383044592138e-07,0.0,0.0,0.0
1634,7.750564675136827e-07,0.0,0.0,0.0
1635,7.095448414215102e-07,0.0,0.0,0.0
1636,6.270154975546964e-07,0.0,0.0,0.0
1637,6.270154975546964e-07,0.0,0.0,0.0
1638,8.963556459613236e-07,0.0,0.0,0.0
1639,9.192022503157204e-07,0.0,0.0,0.0
1640,7.821094527571404e-07,0.0,0.0,0.0
1641,3.0475747507807682e-06,0.0,0.0,0.0
1642,3.0475747507807682e-06,0.0,0.0,0.0
1643,3.0475747507807682e-06,0.0,0.0,0.0
1644,3.2308976837417243e-06,0.0,0.0,0.0
1645,4.238595157143468e-06,0.0,0.0,0.0
1646,4.352936083965428e-06,0.0,0.0,0.0
1647,4.352936083965428e-06,0.0,0.0,0.0
1648,2.8351880863348403e-06,0.0,0.0,0.0
1649,2.8351880863348403e-06,0.0,0.0,0.0
1650,2.8351880863348403e-06,0.0,0.0,0.0
1651,3.0818659654739477e-06,0.0,0.0,0.0
1652,1.9718425262129003e-06,0.0,0.0,0.0
1653,1.5435262363488228e-06,0.0,0.0,0.0
1654,2.0413244539798015e-06,0.0,0.0,0.0
1655,1.1701889905322917e-06,0.0,0.0,0.0
1656,1.215496321752393e-06,0.0,0.0,0.0
1657,1.938411563579783e-06,0.0,0.0,0.0
1658,1.562026385824668e-06,0.0,0.0,0.0
1659,1.8131856214560166e-06,0.0,0.0,0.0
1660,1.817984643334317e-06,0.0,0.0,8.017480013222666e-08
1661,1.3201864257033385e-06,0.0,0.0,8.017480013222666e-08
1662,1.3201864257033385e-06,0.0,0.0,8.017480013222666e-08
1663,2.720168558718277e-06,0.0,0.0,8.017480013222666e-08
1664,2.193768226886407e-06,0.0,0.0,8.017480013222666e-08
1665,2.140152592541459e-06,0.0,0.0,8.017480013222666e-08
1666,1.7619275719685642e-06,0.0,0.0,8.017480013222666e-08
1667,1.7142050877185154e-06,0.0,0.0,0.0
1668,1.7142050877185154e-06,0.0,0.0,0.0
1669,1.804067362546188e-06,0.0,0.0,0.0
1670,4.3607623467778467e-07,0.0,0.0,0.0
1671,3.177817100257536e-07,0.0,0.0,0.0
1672,4.407847131103283e-07,0.0,0.0,0.0
1673,4.008363155045507e-07,0.0,0.0,0.0
1674,4.0091452392841476e-07,0.0,0.0,0.0
1675,4.695515229968805e-07,0.0,0.0,0.0
1676,7.23261330953002e-07,0.0,0.0,0.0
1677,6.795491925361472e-07,0.0,0.0,0.0
1678,7.407588112430728e-07,0.0,0.0,0.0
1679,6.40827577415491e-07,0.0,0.0,0.0
1680,1.1114777355000375e-06,0.0,0.0,0.0
1681,1.1684506010364463e-06,0.0,0.0,0.0
1682,1.4223901294891611e-06,0.0,0.0,0.0
1683,1.1229525033026481e-06,0.0,0.0,0.0
1684,1.0893663053528663e-06,0.0,0.0,0.0
1685,1.0307596280004612e-06,0.0,0.0,0.0
1686,1.2287215115845486e-06,0.0,0.0,0.0
1687,7.992714431890948e-07,0.0,0.0,0.0
1688,8.495427883709843e-07,0.0,0.0,0.0
1689,5.585374306552435e-07,0.0,0.0,0.0
1690,5.974841375941001e-07,0.0,0.0,0.0
1691,6.953483498201811e-07,0.0,0.0,0.0
1692,6.381930676622818e-07,0.0,0.0,0.0
