ngram,price,prce,prcie,priice
1500,1.8895992752732127e-05,0.0,0.0,0.0
1501,1.5116794202185702e-05,0.0,0.0,0.0
1502,3.174981111442321e-05,0.0,0.0,0.0
1503,7.183745544482787e-05,0.0,0.0,0.0
1504,7.600614221051469e-05,0.0,0.0,0.0
1505,9.909539585351013e-05,0.0,0.0,0.0
1506,9.909539585351013e-05,0.0,0.0,0.0
1507,9.909539585351013e-05,0.0,0.0,0.0
1508,9.909539585351013e-05,0.0,0.0,0.0
1509,8.267898218556573e-05,0.0,0.0,0.0
1510,3.805565055310061e-05,0.0,0.0,0.0
1511,3.188204885061298e-05,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,4.570578312268481e-06,0.0,0.0,0.0
1515,4.570578312268481e-06,0.0,0.0,0.0
1516,4.570578312268481e-06,0.0,0.0,0.0
1517,5.633131877402775e-06,0.0,0.0,0.0
1518,5.633131877402775e-06,0.0,0.0,0.0
1519,5.633131877402775e-06,0.0,0.0,0.0
1520,1.5166296309741614e-05,0.0,0.0,0.0
1521,1.0595717997473133e-05,0.0,0.0,0.0
1522,2.0116988317957813e-05,0.0,0.0,0.0
1523,3.3669977970670774e-05,0.0,0.0,0.0
1524,3.260742440553648e-05,0.0,0.0,0.0
1525,3.260742440553648e-05,0.0,0.0,0.0
1526,3.387872337563229e-05,0.0,0.0,0.0
1527,2.4345558943293456e-05,0.0,0.0,0.0
1528,2.4345558943293456e-05,0.0,0.0,0.0
1529,1.4824288622808776e-05,0.0,0.0,0.0
1530,1.2712989700958133e-06,0.0,0.0,0.0
1531,1.2760995429873998e-05,0.0,0.0,0.0
1532,1.5917411604147803e-05,0.0,0.0,0.0
1533,2.2627850609881405e-05,0.0,0.0,0.0
1534,7.037985233182553e-05,0.0,0.0,0.0
1535,7.452145759348891e-05,0.0,0.0,0.0
1536,8.21249523141887e-05,0.0,0.0,0.0
1537,8.21249523141887e-05,0.0,0.0,0.0
1538,7.381169442461604e-05,0.0,0.0,0.0
1539,7.314561168771303e-05,0.0,0.0,0.0
1540,6.516387371188362e-05,0.0,0.0,0.0
1541,1.7411871989939493e-05,0.0,0.0,0.0
1542,2.9821376041841825e-05,0.0,0.0,0.0
1543,2.221788132114203e-05,0.0,0.0,0.0
1544,3.334627555367271e-05,0.0,0.0,0.0
1545,3.4992398858386355e-05,0.0,0.0,0.0
1546,6.774504540122248e-05,0.0,0.0,0.0
1547,6.774504540122248e-05,0.0,0.0,0.0
1548,7.785127153121201e-05,0.0,0.0,0.0
1549,0.00016195075399342125,0.0,0.0,0.0
1550,0.00016897524827592342,0.0,0.0,0.0
1551,0.0001625692483295487,0.0,0.0,0.0
1552,0.00019596557051824805,0.0,0.0,0.0
