ngram,property,proprty,propeerty,proprty
1500,0.00018587532576930244,0.0,0.0,0.0
1501,0.00014870026061544194,0.0,0.0,0.0
1502,0.0002486715881483785,0.0,0.0,0.0
1503,0.000222071742298015,0.0,0.0,0.0
1504,0.00024065553692967763,0.0,0.0,0.0
1505,0.00022399308675500964,0.0,0.0,0.0
1506,0.00022399308675500964,0.0,0.0,0.0
1507,0.00022399308675500964,0.0,0.0,0.0
1508,0.00022399308675500964,0.0,0.0,0.0
1509,0.00011706048306742949,0.0,0.0,0.0
1510,0.00010813581632516746,0.0,0.0,0.0
1511,7.418100722134113e-05,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,2.2852891561342403e-06,0.0,0.0,0.0
1515,2.2852891561342403e-06,0.0,0.0,0.0
1516,2.2852891561342403e-06,0.0,0.0,0.0
1517,1.5035931937745772e-05,0.0,0.0,0.0
1518,1.5035931937745772e-05,0.0,0.0,0.0
1519,1.5035931937745772e-05,0.0,0.0,0.0
1520,2.54628303082427e-05,0.0,0.0,0.0
1521,2.317754115210846e-05,0.0,0.0,0.0
1522,2.317754115210846e-05,0.0,0.0,0.0
1523,3.8578666655147185e-05,0.0,0.0,0.0
1524,2.582802387353565e-05,0.0,0.0,0.0
1525,2.582802387353565e-05,0.0,0.0,0.0
1526,2.9006271298775183e-05,0.0,0.0,0.0
1527,7.662778599686655e-05,0.0,0.0,0.0
1528,0.00019369381958053315,0.0,0.0,0.0
1529,0.00019369381958053315,0.0,0.0,0.0
1530,0.00017829269407749443,0.0,0.0,0.0
1531,0.00017829269407749443,0.0,0.0,0.0
1532,0.00019001652565618445,0.0,0.0,0.0
1533,0.00018683827823094492,0.0,0.0,0.0
1534,0.00013019433585473701,0.0,0.0,0.0
1535,1.7646417290961836e-05,0.0,0.0,0.0
1536,9.412863112499638e-05,0.0,0.0,0.0
1537,9.412863112499638e-05,0.0,0.0,0.0
1538,9.412863112499638e-05,0.0,0.0,0.0
1539,8.323491069209663e-05,0.0,0.0,0.0
1540,8.323491069209663e-05,0.0,0.0,0.0
1541,8.183043999971622e-05,0.0,0.0,0.0
1542,8.333091032649722e-05,0.0,0.0,0.0
1543,6.848696492462685e-06,0.0,0.0,0.0
1544,1.6446936050280264e-05,0.0,0.0,0.0
1545,1.885821698773985e-05,0.0,0.0,0.0
1546,2.0265755405749326e-05,0.0,0.0,0.0
1547,2.0265755405749326e-05,0.0,0.0,0.0
1548,8.922588468911792e-05,0.0,0.0,0.0
1549,8.441995708251073e-05,0.0,0.0,0.0
1550,9.576721731718862e-05,0.0,0.0,0.0
1551,8.616897775937105e-05,0.0,0.0,0.0
1552,9.74588062620439e-05,0.0,0.0,0.0
1553,9.522115669824416e-05,0.0,0.0,0.0
1554,9.522115669824416e-05,0.0,0.0,0.0
1555,4.368959227057141e-05,0.0,0.0,0.0
1556,4.351781080913497e-05,0.0,0.0,0.0
1557,3.217055057445707e-05,0.0,0.0,0.0
1558,3.762693982675306e-05,0.0,0.0,0.0
1559,3.252194710512413e-05,0.0,0.0,0.0
1560,4.1944442143306204e-05,0.0,0.0,0.0
1561,4.1944442143306204e-05,0.0,0.0,0.0
1562,2.4515877287610367e-05,0.0,0.0,0.0
1563,2.4384244430361184e-05,0.0,0.0,0.0
1564,2.4384244430361184e-05,0.0,0.0,0.0
1565,1.9939655820573015e-05,0.0,0.0,0.0
1566,5.322429205989465e-05,0.0,0.0,0.0
1567,4.5166591657367204e-05,0.0,0.0,0.0
1568,4.5166591657367204e-05,0.0,0.0,0.0
1569,6.81904573087065e-05,0.0,0.0,0.0
1570,6.728121388732689e-05,0.0,0.0,0.0
1571,7.954047279261951e-05,0.0,0.0,0.0
1572,8.060851528820681e-05,0.0,0.0,0.0
1573,6.389594831749232e-05,0.0,0.0,0.0
1574,6.3620576773766e-05,0.0,0.0,0.0
1575,7.242153456640413e-05,0.0,0.0,0.0
1576,5.165107118695492e-05,0.0,0.0,0.0
1577,5.6754023002473074e-05,0.0,0.0,0.0
1578,4.521750341674695e-05,0.0,0.0,0.0
1579,9.617155404027602e-05,0.0,0.0,0.0
1580,7.298428974016653e-05,0.0,0.0,0.0
1581,7.486140345593282e-05,0.0,0.0,0.0
1582,6.689840841188146e-05,0.0,0.0,0.0
1583,7.786212823443098e-05,0.0,0.0,0.0
1584,7.455739958978873e-05,0.0,0.0,0.0
1585,7.440081455050469e-05,0.0,0.0,0.0
1586,2.496138988915066e-05,0.0,0.0,0.0
1587,2.401870688117924e-05,0.0,0.0,0.0
1588,2.1721675888589482e-05,0.0,0.0,0.0
1589,5.561483781743196e-05,0.0,0.0,0.0
1590,4.343761832257899e-05,0.0,0.0,0.0
1591,4.3771662863686546e-05,0.0,0.0,0.0
1592,4.3802480377053143e-05,0.0,0.0,0.0
1593,4.333388531969311e-05,0.0,0.0,0.0
1594,4.531301510724006e-05,0.0,0.0,0.0
1595,4.554510347328947e-05,0.0,0.0,0.0
1596,1.2286906374876188e-05,0.0,0.0,0.0
1597,1.705798422335647e-05,0.0,0.0,0.0
1598,5.809801846875676e-05,0.0,0.0,0.0
