ngram,replacement,replacment,replacemnt,replacemnt
1500,5.4889623015697e-06,0.0,0.0,0.0
1501,4.39116984125576e-06,0.0,0.0,0.0
1502,3.6593082010464664e-06,0.0,0.0,0.0
1503,3.136549886611257e-06,0.0,0.0,0.0
1504,2.8692278907068873e-06,0.0,0.0,0.0
1505,2.8409745677241257e-06,3.156638480764481e-07,0.0,0.0
1506,2.8409745677241257e-06,3.156638480764481e-07,0.0,0.0
1507,2.8409745677241257e-06,3.156638480764481e-07,0.0,0.0
1508,2.8409745677241257e-06,3.156638480764481e-07,0.0,0.0
1509,2.8409745677241257e-06,3.156638480764481e-07,0.0,0.0
1510,2.8409745677241257e-06,3.156638480764481e-07,0.0,0.0
1511,2.8409745677241257e-06,3.156638480764481e-07,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,0.0,0.0,0.0,0.0
1515,0.0,0.0,0.0,0.0
1516,0.0,0.0,0.0,0.0
1517,0.0,0.0,0.0,0.0
1518,0.0,0.0,0.0,0.0
1519,0.0,0.0,0.0,0.0
1520,0.0,0.0,0.0,0.0
1521,0.0,0.0,0.0,0.0
1522,0.0,0.0,0.0,0.0
1523,8.008585220003234e-06,0.0,0.0,0.0
1524,8.008585220003234e-06,0.0,0.0,0.0
1525,8.008585220003234e-06,0.0,0.0,0.0
1526,1.1186832645242767e-05,0.0,0.0,0.0
1527,1.1186832645242767e-05,0.0,0.0,0.0
1528,1.4322530010498927e-05,0.0,0.0,0.0
1529,1.4322530010498927e-05,0.0,0.0,0.0
1530,6.313944790495693e-06,0.0,0.0,0.0
1531,6.313944790495693e-06,0.0,0.0,0.0
1532,1.0823110902232916e-05,0.0,0.0,0.0
1533,7.644863476993383e-06,0.0,0.0,0.0
1534,7.644863476993383e-06,0.0,0.0,0.0
1535,4.509166111737224e-06,0.0,0.0,0.0
1536,4.95643049751899e-06,0.0,0.0,0.0
1537,4.95643049751899e-06,0.0,0.0,0.0
1538,4.95643049751899e-06,0.0,0.0,0.0
1539,2.6180709125713163e-05,0.0,0.0,0.0
1540,2.6180709125713163e-05,0.0,0.0,0.0
1541,2.6180709125713163e-05,0.0,0.0,0.0
1542,2.6180709125713163e-05,0.0,0.0,0.0
1543,2.5733444739931395e-05,0.0,0.0,0.0
1544,2.5733444739931395e-05,0.0,0.0,0.0
1545,2.5733444739931395e-05,0.0,0.0,0.0
1546,0.0,0.0,0.0,0.0
1547,0.0,0.0,0.0,0.0
1548,3.864145193282249e-06,0.0,0.0,0.0
1549,3.864145193282249e-06,0.0,0.0,0.0
1550,7.106219397558432e-06,0.0,0.0,0.0
1551,7.106219397558432e-06,0.0,0.0,0.0
1552,7.827330396789226e-06,0.0,0.0,0.0
1553,7.827330396789226e-06,0.0,0.0,0.0
1554,7.827330396789226e-06,0.0,0.0,0.0
1555,5.165155211476044e-06,0.0,0.0,0.0
1556,6.206031490104838e-06,0.0,0.0,0.0
1557,2.9639572858286556e-06,0.0,0.0,0.0
1558,5.692151911976648e-06,0.0,0.0,0.0
1559,4.971040912745853e-06,0.0,0.0,0.0
1560,4.971040912745853e-06,0.0,0.0,0.0
1561,4.971040912745853e-06,0.0,0.0,0.0
1562,3.7690709047767868e-06,0.0,0.0,0.0
1563,2.7281946261479917e-06,0.0,0.0,0.0
1564,2.7281946261479917e-06,0.0,0.0,0.0
1565,0.0,0.0,0.0,0.0
1566,0.0,0.0,0.0,0.0
1567,0.0,0.0,0.0,0.0
1568,0.0,0.0,0.0,0.0
1569,0.0,0.0,0.0,0.0
1570,0.0,0.0,0.0,0.0
1571,0.0,0.0,0.0,0.0
1572,5.199607845237811e-07,0.0,0.0,0.0
1573,5.199607845237811e-07,0.0,0.0,0.0
1574,5.199607845237811e-07,0.0,0.0,0.0
1575,5.199607845237811e-07,0.0,0.0,0.0
1576,5.199607845237811e-07,0.0,0.0,0.0
1577,5.199607845237811e-07,0.0,0.0,0.0
1578,5.199607845237811e-07,0.0,0.0,0.0
1579,0.0,0.0,0.0,0.0
1580,0.0,0.0,0.0,0.0
1581,0.0,0.0,0.0,0.0
1582,0.0,0.0,0.0,0.0
1583,7.209339076195777e-07,0.0,0.0,0.0
1584,7.209339076195777e-07,0.0,0.0,0.0
1585,7.209339076195777e-07,0.0,0.0,0.0
1586,7.209339076195777e-07,0.0,0.0,0.0
1587,7.209339076195777e-07,0.0,0.0,0.0
1588,7.209339076195777e-07,0.0,0.0,0.0
1589,9.076603808872668e-07,0.0,0.0,0.0
1590,1.867264732676891e-07,0.0,0.0,0.0
1591,1.867264732676891e-07,0.0,0.0,0.0
1592,1.380670060565795e-06,0.0,0.0,0.0
1593,1.380670060565795e-06,0.0,0.0,0.0
1594,1.548301643846831e-06,0.0,0.0,0.0
1595,1.548301643846831e-06,0.0,0.0,0.0
1596,1.3615751705791418e-06,0.0,0.0,0.0
1597,1.6036993559152637e-06,0.0,0.0,0.0
1598,2.7095472075546112e-06,0.0,0.0,0.0
1599,2.6947151679580983e-06,0.0,0.0,0.0
1600,2.6947151679580983e-06,0.0,0.0,0.0
1601,2.5270835846770623e-06,0.0,0.0,0.0
1602,2.5270835846770623e-06,0.0,0.0,0.0
1603,2.5270835846770623e-06,0.0,0.0,0.0
1604,2.2849593993409404e-06,0.0,0.0,0.0
1605,1.2915484392449019e-06,0.0,0.0,0.0
1606,2.7259710577709484e-07,0.0,0.0,0.0
1607,2.7259710577709484e-07,0.0,0.0,0.0
1608,2.7259710577709484e-07,0.0,0.0,0.0
1609,2.7259710577709484e-07,0.0,0.0,0.0
1610,2.7259710577709484e-07,0.0,0.0,0.0
1611,8.870707607197151e-07,0.0,1.0241227853059951e-07,1.0241227853059951e-07
1612,7.746338691764063e-07,0.0,1.0241227853059951e-07,1.0241227853059951e-07
1613,6.144736549426202e-07,0.0,1.0241227853059951e-07,1.0241227853059951e-07
1614,6.144736549426202e-07,0.0,1.0241227853059951e-07,1.0241227853059951e-07
1615,6.144736549426202e-07,0.0,1.0241227853059951e-07,1.0241227853059951e-07
1616,6.144736549426202e-07,0.0,1.0241227853059951e-07,1.0241227853059951e-07
1617,6.144736549426202e-07,0.0,1.0241227853059951e-07,1.0241227853059951e-07
1618,9.847713857068032e-08,0.0,0.0,0.0
1619,9.847713857068032e-08,0.0,0.0,0.0
1620,9.043884493361734e-07,0.0,0.0,0.0
1621,9.043884493361734e-07,0.0,0.0,0.0
1622,9.747368575777467e-07,0.0,0.0,0.0
1623,1.2441510485976842e-06,0.0,0.0,0.0
1624,2.1401441715949787e-06,0.0,0.0,0.0
1625,2.0416670330242984e-06,0.0,0.0,0.0
1626,2.0416670330242984e-06,0.0,0.0,0.0
1627,1.2357557222588054e-06,0.0,0.0,0.0
1628,5.100941637335511e-06,0.0,0.0,0.0
1629,5.030593229093938e-06,0.0,0.0,0.0
1630,5.53742003311137e-06,0.0,0.0,0.0
1631,4.69810689602517e-06,0.0,0.0,0.0
1632,4.69810689602517e-06,0.0,0.0,0.0
1633,4.69810689602517e-06,0.0,0.0,0.0
1634,4.821525059079639e-06,0.0,0.0,0.0
1635,9.56339144002933e-07,0.0,0.0,0.0
1636,9.56339144002933e-07,0.0,0.0,0.0
1637,1.8009814896556365e-07,0.0,0.0,0.0
