ngram,screw,scre,scre,srew
1500,7.198243565653684e-07,0.0,0.0,0.0
1501,5.758594852522946e-07,0.0,0.0,0.0
1502,1.5341480169202744e-06,0.0,0.0,0.0
1503,1.3149840145030924e-06,0.0,0.0,0.0
1504,1.1813230165509076e-06,0.0,0.0,0.0
1505,9.036558107514534e-07,0.0,0.0,0.0
1506,9.036558107514534e-07,0.0,0.0,0.0
1507,9.036558107514534e-07,0.0,0.0,0.0
1508,9.036558107514534e-07,0.0,0.0,0.0
1509,0.0,0.0,0.0,0.0
1510,0.0,0.0,0.0,0.0
1511,0.0,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,0.0,0.0,0.0,0.0
1515,0.0,0.0,0.0,0.0
1516,0.0,0.0,0.0,0.0
1517,1.0625535651342943e-06,0.0,0.0,0.0
1518,1.0625535651342943e-06,0.0,0.0,0.0
1519,1.0625535651342943e-06,0.0,0.0,0.0
1520,1.956287763148014e-06,0.0,0.0,0.0
1521,1.956287763148014e-06,0.0,0.0,0.0
1522,1.956287763148014e-06,0.0,0.0,0.0
1523,1.956287763148014e-06,0.0,0.0,0.0
1524,8.937341980137197e-07,0.0,0.0,0.0
1525,8.937341980137197e-07,0.0,0.0,0.0
1526,1.5293836830616264e-06,0.0,0.0,0.0
1527,6.356494850479066e-07,0.0,0.0,0.0
1528,6.356494850479066e-07,0.0,0.0,0.0
1529,6.356494850479066e-07,0.0,0.0,0.0
1530,6.356494850479066e-07,0.0,0.0,0.0
1531,6.356494850479066e-07,0.0,0.0,0.0
1532,6.356494850479066e-07,0.0,0.0,0.0
1533,0.0,0.0,0.0,0.0
1534,0.0,0.0,0.0,0.0
1535,0.0,0.0,0.0,0.0
1536,0.0,0.0,0.0,0.0
1537,0.0,0.0,0.0,0.0
1538,0.0,0.0,0.0,0.0
1539,1.494200010451355e-05,0.0,0.0,0.0
1540,1.494200010451355e-05,0.0,0.0,0.0
