ngram,sense,senese,snse,senes
1500,5.632348347717198e-06,0.0,0.0,0.0
1501,4.505878678173758e-06,0.0,0.0,0.0
1502,2.8354419252233736e-05,0.0,0.0,0.0
1503,9.570112186858231e-05,0.0,0.0,0.0
1504,0.00010322393115659776,0.0,0.0,0.0
1505,0.0001023743670884869,0.0,0.0,0.0
1506,0.0001023743670884869,0.0,0.0,0.0
1507,0.0001023743670884869,0.0,0.0,0.0
1508,0.0001023743670884869,0.0,0.0,0.0
1509,8.128906392812496e-05,0.0,0.0,0.0
1510,9.89172999002871e-06,0.0,0.0,0.0
1511,6.313276961528962e-07,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,1.1426445780671202e-06,0.0,0.0,0.0
1515,1.1426445780671202e-06,0.0,0.0,0.0
1516,1.1426445780671202e-06,0.0,0.0,0.0
1517,2.7364749257685617e-06,0.0,0.0,0.0
1518,2.7364749257685617e-06,0.0,0.0,0.0
1519,2.7364749257685617e-06,0.0,0.0,0.0
1520,1.971742390846235e-05,0.0,0.0,0.0
1521,1.857477933039523e-05,0.0,0.0,0.0
1522,3.1269806770848974e-05,0.0,0.0,0.0
1523,4.112652680175545e-05,0.0,0.0,0.0
1524,4.366205264107391e-05,0.0,0.0,0.0
1525,4.366205264107391e-05,0.0,0.0,0.0
1526,4.6204650581265537e-05,0.0,0.0,0.0
1527,2.9223701598571745e-05,0.0,0.0,0.0
1528,2.9223701598571745e-05,0.0,0.0,0.0
1529,1.6528674158118e-05,0.0,0.0,0.0
1530,8.129851136930353e-06,0.0,0.0,0.0
1531,2.1235039119866478e-05,0.0,0.0,0.0
1532,2.7998788027616683e-05,0.0,0.0,0.0
1533,2.5456190087425057e-05,0.0,0.0,0.0
1534,2.826513147218585e-05,0.0,0.0,0.0
1535,3.0147679223903522e-05,0.0,0.0,0.0
1536,3.148947234876687e-05,0.0,0.0,0.0
1537,3.0031575339048038e-05,0.0,0.0,0.0
1538,1.2797031169092016e-05,0.0,0.0,0.0
1539,6.8633934071320776e-06,0.0,0.0,0.0
1540,6.8633934071320776e-06,0.0,0.0,0.0
1541,4.054452022371281e-06,0.0,0.0,0.0
1542,2.0227660830382126e-05,0.0,0.0,0.0
1543,1.8885867705518778e-05,0.0,0.0,0.0
1544,2.1946176015522463e-05,0.0,0.0,1.391049246584381e-07
1545,2.5161217178850037e-05,0.0,0.0,1.391049246584381e-07
1546,2.7128168117737266e-05,0.0,0.0,1.391049246584381e-07
1547,2.7128168117737266e-05,0.0,0.0,1.391049246584381e-07
1548,3.188403908487609e-05,0.0,0.0,1.391049246584381e-07
1549,1.3828282525147578e-05,0.0,0.0,1.391049246584381e-07
1550,2.301415926402634e-05,0.0,0.0,1.391049246584381e-07
1551,2.2315048097100642e-05,0.0,0.0,0.0
1552,2.70322278603479e-05,0.0,0.0,0.0
1553,2.4235165775670403e-05,0.0,0.0,0.0
1554,2.4235165775670403e-05,0.0,0.0,0.0
1555,1.9479294808531578e-05,0.0,0.0,0.0
1556,2.676542888886096e-05,0.0,0.0,0.0
1557,1.757955214998219e-05,0.0,0.0,0.0
1558,2.7495231084425802e-05,0.0,0.0,0.0
1559,3.84744671464432e-05,0.0,0.0,0.0
1560,4.4756130851705424e-05,0.0,0.0,0.0
1561,4.4756130851705424e-05,0.0,0.0,0.0
1562,4.4756130851705424e-05,0.0,0.0,0.0
1563,3.746999677137605e-05,0.0,0.0,0.0
1564,5.019329026773838e-05,0.0,0.0,0.0
1565,4.1963616760248055e-05,0.0,0.0,0.0
1566,2.3052159771655818e-05,0.0,0.0,0.0
1567,1.6770496066393597e-05,0.0,0.0,0.0
1568,1.6770496066393597e-05,0.0,0.0,0.0
1569,2.4940254661487415e-05,0.0,0.0,0.0
1570,2.4940254661487415e-05,0.0,0.0,0.0
1571,4.1639181290520355e-05,0.0,0.0,0.0
1572,3.811193950501287e-05,0.0,0.0,0.0
1573,4.9437623407097166e-05,0.0,0.0,0.0
1574,5.1071758012507674e-05,0.0,0.0,0.0
1575,5.1071758012507674e-05,0.0,0.0,0.0
1576,4.785948457148541e-05,0.0,0.0,0.0
1577,5.041096047924449e-05,0.0,0.0,0.0
1578,2.5807002657529665e-05,0.0,0.0,0.0
1579,3.0461080314125866e-05,0.0,0.0,0.0
1580,6.6677517939492e-05,0.0,0.0,0.0
1581,6.56366907086132e-05,0.0,0.0,0.0
1582,7.234039269730732e-05,0.0,0.0,0.0
1583,9.670088606331515e-05,0.0,0.0,0.0
1584,9.954407953825597e-05,0.0,0.0,0.0
1585,9.925505147683518e-05,0.0,0.0,0.0
1586,9.623769457383397e-05,0.0,0.0,0.0
1587,5.6655403113836655e-05,0.0,0.0,0.0
1588,6.074863670489451e-05,0.0,0.0,0.0
1589,5.535201996411031e-05,0.0,0.0,0.0
1590,3.851287211935934e-05,0.0,0.0,0.0
1591,3.764927155966039e-05,0.0,0.0,0.0
1592,3.431398090469884e-05,0.0,0.0,0.0
1593,3.729266401413562e-05,0.0,0.0,0.0
1594,3.167967614509897e-05,0.0,0.0,0.0
1595,2.924712056743114e-05,0.0,0.0,0.0
1596,3.130672692870056e-05,0.0,0.0,0.0
1597,3.06919812698782e-05,0.0,0.0,0.0
1598,3.0451602339910876e-05,0.0,0.0,0.0
1599,2.9611392197434077e-05,0.0,0.0,0.0
1600,3.640470851808329e-05,0.0,0.0,0.0
1601,4.265211623533105e-05,0.0,0.0,0.0
1602,4.279934731649908e-05,0.0,0.0,0.0
1603,3.984476581665929e-05,0.0,0.0,0.0
1604,3.257797954704854e-05,0.0,0.0,0.0
1605,3.480862911991218e-05,0.0,0.0,0.0
1606,5.27131608448274e-05,0.0,0.0,0.0
1607,4.0784479876622625e-05,0.0,0.0,0.0
1608,3.338829550817276e-05,0.0,0.0,0.0
1609,3.47605585245349e-05,0.0,0.0,0.0
1610,4.492665448196931e-05,0.0,0.0,0.0
1611,4.401619779465753e-05,0.0,0.0,0.0
1612,4.8523887926421594e-05,0.0,0.0,2.6900072823212084e-07
1613,5.072136432967714e-05,0.0,0.0,2.6900072823212084e-07
1614,5.5995120289610766e-05,0.0,0.0,2.6900072823212084e-07
1615,5.670177103768635e-05,0.0,0.0,2.6900072823212084e-07
1616,6.049720676466157e-05,0.0,0.0,2.6900072823212084e-07
1617,5.683731537179223e-05,0.0,0.0,2.6900072823212084e-07
1618,5.866519287727507e-05,0.0,0.0,2.6900072823212084e-07
1619,5.731413070212251e-05,0.0,0.0,0.0
1620,4.330567961525438e-05,0.0,0.0,0.0
1621,4.623915135328259e-05,0.0,0.0,0.0
1622,5.981108500106659e-05,0.0,0.0,0.0
1623,5.358924071125719e-05,0.0,0.0,0.0
1624,5.0254898529341775e-05,0.0,0.0,0.0
1625,4.557082586740892e-05,0.0,0.0,0.0
1626,4.415924383595536e-05,0.0,0.0,0.0
1627,4.0108523340417636e-05,0.0,0.0,0.0
1628,4.126945798686522e-05,0.0,0.0,0.0
1629,2.777351236155872e-05,0.0,0.0,0.0
1630,3.4361349272720485e-05,0.0,0.0,0.0
1631,3.701217500357805e-05,0.0,0.0,0.0
1632,4.2870235899629605e-05,0.0,0.0,0.0
1633,3.7482799338509464e-05,0.0,0.0,1.3709279755858006e-07
1634,4.014637410624086e-05,0.0,0.0,1.3709279755858006e-07
1635,4.246761143024612e-05,0.0,0.0,1.3709279755858006e-07
1636,4.335277273120093e-05,0.0,0.0,1.3709279755858006e-07
1637,4.295335799854781e-05,0.0,0.0,2.102529249116612e-07
1638,4.486609915537494e-05,0.0,0.0,4.795930733182883e-07
1639,4.923496349614912e-05,0.0,0.0,4.795930733182883e-07
1640,5.149641739470618e-05,0.0,0.0,3.425002757597083e-07
1641,6.262095848796889e-05,0.0,0.0,3.425002757597083e-07
1642,6.62604351029066e-05,0.0,0.0,5.583999446961181e-07
1643,6.908488337233263e-05,0.0,0.0,5.583999446961181e-07
1644,7.099052111568329e-05,0.0,0.0,4.85239817343037e-07
1645,6.971933804119803e-05,0.0,0.0,2.1589966893640978e-07
1646,6.893708424675944e-05,0.0,0.0,2.1589966893640978e-07
1647,7.107987039489672e-05,0.0,0.0,2.1589966893640978e-07
1648,7.841584218632696e-05,0.0,0.0,2.1589966893640978e-07
1649,8.021884838983948e-05,0.0,0.0,0.0
1650,8.208279801432841e-05,0.0,0.0,0.0
1651,8.132768354179072e-05,0.0,0.0,4.300008121000636e-08
1652,8.113189479835066e-05,0.0,0.0,4.300008121000636e-08
1653,8.34443313319103e-05,0.0,0.0,1.9375163771785863e-07
1654,9.018245951405593e-05,0.0,0.0,1.9375163771785863e-07
1655,8.089704767501513e-05,0.0,0.0,1.9375163771785863e-07
1656,6.852243521799599e-05,0.0,0.0,1.9375163771785863e-07
1657,7.445332136869962e-05,0.0,0.0,1.9375163771785863e-07
1658,7.64368160162121e-05,0.0,0.0,1.5075155650785226e-07
1659,7.956724013118739e-05,0.0,0.0,1.5075155650785226e-07
1660,7.748238411815172e-05,0.0,0.0,0.0
1661,6.614848332122034e-05,0.0,0.0,0.0
1662,6.876217880095023e-05,0.0,0.0,0.0
1663,7.004884667237223e-05,0.0,0.0,0.0
1664,6.690038078107006e-05,0.0,0.0,0.0
1665,6.143368045741227e-05,0.0,0.0,0.0
1666,6.133014981709753e-05,0.0,0.0,0.0
1667,5.696073874007977e-05,0.0,0.0,0.0
1668,6.731178031519189e-05,0.0,0.0,0.0
1669,6.373250185528636e-05,0.0,0.0,0.0
1670,6.630732864973002e-05,0.0,0.0,0.0
1671,6.958099194369944e-05,0.0,0.0,0.0
1672,7.894173696903246e-05,0.0,0.0,0.0
1673,7.923039603545996e-05,0.0,0.0,2.4742870355761885e-08
1674,8.500308052004714e-05,0.0,0.0,5.727339466180378e-08
1675,7.790172302130876e-05,0.0,0.0,5.727339466180378e-08
1676,7.296368338367236e-05,0.0,0.0,5.727339466180378e-08
1677,7.025608959208642e-05,0.0,0.0,1.2444579056136718e-07
1678,6.758103804064117e-05,0.0,0.0,1.2444579056136718e-07
1679,5.7747195179607456e-05,0.0,0.0,1.2444579056136718e-07
1680,5.5969350796658546e-05,0.0,0.0,9.970292020560529e-08
1681,5.460220251864355e-05,0.0,0.0,6.71723958995634e-08
1682,5.513679362983177e-05,0.0,0.0,6.71723958995634e-08
1683,5.549965862883255e-05,0.0,0.0,6.71723958995634e-08
1684,5.987448405773778e-05,0.0,0.0,0.0
1685,5.595061208753448e-05,0.0,0.0,0.0
1686,6.658273767763083e-05,0.0,0.0,0.0
1687,6.812888334804614e-05,0.0,0.0,0.0
1688,6.37865393530644e-05,0.0,0.0,4.659157834144675e-08
1689,6.16400980756485e-05,0.0,0.0,4.659157834144675e-08
1690,5.8096642273345166e-05,0.0,0.0,4.659157834144675e-08
1691,5.700988237679537e-05,0.0,0.0,4.659157834144675e-08
1692,5.944200841310833e-05,0.0,0.0,4.659157834144675e-08
1693,4.8782849002496474e-05,0.0,0.0,4.659157834144675e-08
1694,4.387115196940223e-05,0.0,0.0,4.659157834144675e-08
1695,4.2279992547784264e-05,0.0,0.0,1.550680346034434e-08
1696,4.7276342749163245e-05,0.0,0.0,1.550680346034434e-08
1697,5.7833356549963355e-05,0.0,0.0,2.2853878281888943e-08
1698,5.564509878500498e-05,0.0,0.0,2.2853878281888943e-08
1699,4.9455864687583274e-05,0.0,0.0,2.2853878281888943e-08
1700,5.006930743028144e-05,0.0,0.0,3.5851730980799145e-08
1701,5.067830196432104e-05,0.0,0.0,3.5851730980799145e-08
1702,5.024361702713317e-05,0.0,0.0,2.0344927520454803e-08
1703,4.559244864919622e-05,0.0,0.0,3.138613737162034e-08
1704,3.6155521749086415e-05,0.0,0.0,3.270082921907098e-08
1705,3.564658462502328e-05,0.0,0.0,3.270082921907098e-08
1706,3.818469433878947e-05,0.0,0.0,4.377621211558237e-08
1707,3.6757357520400546e-05,0.0,0.0,4.293081242881921e-08
1708,3.402541915420443e-05,0.0,0.0,5.257667977178114e-08
1709,3.329373820244135e-05,0.0,0.0,6.460169592920855e-08
1710,3.681765753883935e-05,0.0,0.0,5.356048607804301e-08
1711,3.543147171772684e-05,0.0,0.0,5.459104812644e-08
1712,3.1178158159101645e-05,0.0,0.0,6.545446800438575e-08
1713,3.0621652383290764e-05,0.0,0.0,5.4379085107874355e-08
1714,3.392114714577994e-05,0.0,0.0,4.2226632095727316e-08
1715,3.549386097542343e-05,0.0,0.0,4.3903118093372284e-08
1716,3.588890311740605e-05,0.0,0.0,3.187810193594487e-08
1717,3.357079237632986e-05,0.0,0.0,3.187810193594487e-08
1718,3.707792296024438e-05,0.0,0.0,2.218577321855264e-08
1719,3.7357785393916334e-05,0.0,0.0,1.7907224401726906e-08
1720,3.607251788447944e-05,0.0,0.0,2.696835263041716e-08
1721,3.4324234158183185e-05,0.0,0.0,2.696835263041716e-08
1722,3.59101608669984e-05,0.0,0.0,2.3373585987331224e-08
1723,3.841169486154935e-05,0.0,0.0,2.3373585987331224e-08
1724,3.6973869490403945e-05,0.0,5.870919750350367e-09,2.3373585987331224e-08
