ngram,shoulder,shouler,shouler,shouder
1500,3.239450734326965e-07,0.0,0.0,0.0
1501,2.591560587461572e-07,0.0,0.0,0.0
1502,2.1596338228846435e-07,0.0,0.0,0.0
1503,1.8511147053296944e-07,0.0,0.0,0.0
1504,1.8511147053296944e-07,0.0,0.0,0.0
1505,0.0,0.0,0.0,0.0
1506,0.0,0.0,0.0,0.0
1507,0.0,0.0,0.0,0.0
1508,0.0,0.0,0.0,0.0
1509,0.0,0.0,0.0,0.0
1510,0.0,0.0,0.0,0.0
1511,0.0,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,0.0,0.0,0.0,0.0
1515,0.0,0.0,0.0,0.0
1516,0.0,0.0,0.0,0.0
1517,5.312767825671472e-07,0.0,0.0,0.0
1518,5.312767825671472e-07,0.0,0.0,0.0
1519,5.312767825671472e-07,0.0,0.0,0.0
1520,2.020833692638137e-06,0.0,0.0,0.0
1521,2.020833692638137e-06,0.0,0.0,0.0
1522,1.1542104013122817e-05,0.0,0.0,0.0
1523,1.1542104013122817e-05,0.0,0.0,0.0
1524,1.101082723055567e-05,0.0,0.0,0.0
1525,1.101082723055567e-05,0.0,0.0,0.0
1526,1.291777568569939e-05,0.0,0.0,0.0
1527,1.1428218775628401e-05,0.0,0.0,0.0
1528,1.1428218775628401e-05,0.0,0.0,0.0
1529,1.90694845514372e-06,0.0,0.0,0.0
1530,1.90694845514372e-06,0.0,0.0,0.0
1531,7.651796685032813e-06,0.0,0.0,0.0
1532,8.102713276717363e-06,0.0,0.0,0.0
1533,6.195764821573643e-06,0.0,0.0,0.0
1534,6.195764821573643e-06,0.0,0.0,0.0
1535,6.572274384909958e-06,0.0,0.0,0.0
1536,6.572274384909958e-06,0.0,0.0,0.0
1537,6.572274384909958e-06,0.0,0.0,0.0
1538,8.274261550208653e-07,0.0,0.0,0.0
1539,3.696954146497384e-06,0.0,0.0,0.0
1540,3.696954146497384e-06,0.0,0.0,0.0
1541,3.696954146497384e-06,0.0,0.0,0.0
1542,3.320444583161069e-06,0.0,0.0,0.0
1543,3.320444583161069e-06,0.0,0.0,0.0
1544,4.015969222694236e-06,0.0,0.0,0.0
1545,4.551809427409483e-06,0.0,0.0,0.0
1546,1.231364844248414e-06,0.0,0.0,0.0
1547,1.231364844248414e-06,0.0,0.0,0.0
1548,1.231364844248414e-06,0.0,0.0,0.0
1549,1.231364844248414e-06,0.0,0.0,0.0
1550,1.7717105557884288e-06,0.0,0.0,0.0
1551,3.4373830593332447e-06,0.0,0.0,0.0
1552,3.622653853848793e-06,0.0,0.0,0.0
1553,3.622653853848793e-06,0.0,0.0,0.0
1554,3.622653853848793e-06,0.0,0.0,0.0
1555,3.622653853848793e-06,0.0,0.0,0.0
1556,2.1317549940899232e-05,0.0,0.0,0.0
1557,2.0777204229359215e-05,0.0,0.0,0.0
1558,1.909805574281823e-05,0.0,0.0,0.0
1559,2.0096168035317013e-05,0.0,0.0,0.0
1560,2.278830951191984e-05,0.0,0.0,0.0
1561,2.278830951191984e-05,0.0,0.0,0.0
1562,2.278830951191984e-05,0.0,0.0,0.0
1563,5.0934134248694e-06,0.0,0.0,0.0
1564,1.1455060173050566e-05,0.0,0.0,0.0
1565,1.4820214086544833e-05,0.0,0.0,0.0
1566,1.3100990794815256e-05,0.0,0.0,0.0
