ngram,structure,strcture,strucure,sturcture
1500,1.1427634035499068e-05,0.0,0.0,0.0
1501,9.142107228399254e-06,0.0,0.0,0.0
1502,1.0781218103754023e-05,0.0,0.0,0.0
1503,0.0001163370449960764,0.0,0.0,0.0
1504,0.0001368753637507325,0.0,0.0,0.0
1505,0.00013772785184430956,0.0,0.0,0.0
1506,0.00013772785184430956,0.0,0.0,0.0
1507,0.00013772785184430956,0.0,0.0,0.0
1508,0.00013772785184430956,0.0,0.0,0.0
1509,0.0001350168843470913,0.0,0.0,0.0
1510,2.792088343994692e-05,0.0,0.0,0.0
1511,6.313276701673333e-06,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,0.0,0.0,0.0,0.0
1515,0.0,0.0,0.0,0.0
1516,0.0,0.0,0.0,0.0
1517,4.250214260537177e-06,0.0,0.0,0.0
1518,4.250214260537177e-06,0.0,0.0,0.0
1519,4.250214260537177e-06,0.0,0.0,0.0
1520,1.2889644754717925e-05,0.0,0.0,0.0
1521,1.2889644754717925e-05,0.0,0.0,0.0
1522,1.2889644754717925e-05,0.0,0.0,0.0
1523,2.27463647856244e-05,0.0,0.0,0.0
1524,1.8496150525087224e-05,0.0,0.0,0.0
1525,1.8496150525087224e-05,0.0,0.0,0.0
1526,0.00010113058150247005,0.0,0.0,0.0
1527,9.249115100828931e-05,0.0,0.0,0.0
1528,0.00010189824284420215,0.0,0.0,0.0
1529,0.00010189824284420215,0.0,0.0,0.0
1530,9.27704713181551e-05,0.0,0.0,0.0
1531,0.00010426016777793328,0.0,0.0,0.0
1532,0.00012139499806705447,0.0,0.0,0.0
1533,3.876056708967164e-05,0.0,0.0,0.0
1534,3.876056708967164e-05,0.0,0.0,0.0
1535,2.9353475253758787e-05,0.0,0.0,0.0
1536,3.0248004025322318e-05,0.0,0.0,0.0
1537,2.9519055520462905e-05,0.0,0.0,0.0
1538,1.802935906068472e-05,0.0,0.0,0.0
1539,2.9948419134078514e-05,0.0,0.0,0.0
1540,2.9948419134078514e-05,0.0,0.0,0.0
1541,2.9948419134078514e-05,0.0,0.0,0.0
1542,3.2957711807414724e-05,0.0,0.0,0.0
1543,3.206318303585119e-05,0.0,0.0,0.0
1544,3.2341392885168064e-05,0.0,0.0,0.0
1545,3.2341392885168064e-05,0.0,0.0,0.0
1546,3.287502522653085e-06,0.0,0.0,0.0
1547,3.287502522653085e-06,0.0,0.0,0.0
1548,1.3988211808931997e-05,0.0,0.0,0.0
1549,1.2191576875661017e-05,0.0,0.0,0.0
1550,1.5973996953886983e-05,0.0,0.0,0.0
1551,1.5695787104570108e-05,0.0,0.0,0.0
1552,2.002245297002706e-05,0.0,0.0,0.0
1553,2.002245297002706e-05,0.0,0.0,0.0
1554,2.002245297002706e-05,0.0,0.0,0.0
1555,9.321743683748146e-06,0.0,0.0,0.0
1556,0.0001090740822421919,0.0,0.0,0.0
1557,0.00010529166216396593,0.0,0.0,0.0
1558,0.00011484034309562827,0.0,0.0,0.0
1559,0.00011051367723017133,0.0,0.0,0.0
1560,0.0001109623674762718,0.0,0.0,0.0
1561,0.0001109623674762718,0.0,0.0,0.0
1562,0.0001109623674762718,0.0,0.0,0.0
1563,9.997371177762813e-06,0.0,0.0,0.0
1564,9.997371177762813e-06,0.0,0.0,0.0
1565,1.460490888608287e-06,0.0,0.0,0.0
1566,1.0978843550089681e-05,0.0,0.0,0.0
1567,1.1212550621816522e-05,0.0,0.0,0.0
1568,1.415363197208665e-05,0.0,0.0,0.0
1569,1.489633729891336e-05,0.0,0.0,0.0
1570,1.489633729891336e-05,0.0,0.0,0.0
1571,1.7348188976029633e-05,0.0,0.0,0.0
1572,1.6336388333521817e-05,0.0,0.0,0.0
1573,6.818035672040423e-06,0.0,0.0,0.0
1574,6.13563835421311e-06,0.0,0.0,0.0
1575,3.1945570039429834e-06,0.0,0.0,0.0
1576,4.254573468642775e-06,0.0,0.0,0.0
1577,4.762966260126892e-05,0.0,0.0,0.0
1578,4.56596371480243e-05,0.0,0.0,0.0
1579,4.56596371480243e-05,0.0,0.0,0.0
1580,4.56596371480243e-05,0.0,0.0,0.0
1581,4.6252944522556004e-05,0.0,0.0,0.0
1582,4.6252944522556004e-05,0.0,0.0,0.0
1583,4.9256449041682314e-05,0.0,0.0,0.0
1584,5.8813599090561704e-06,0.0,0.0,0.0
1585,5.399533685184517e-06,0.0,0.0,0.0
1586,8.275109069342892e-06,0.0,0.0,0.0
1587,8.275109069342892e-06,0.0,0.0,0.0
