ngram,technology,technolgy,technlogy,technolgy
1500,9.627831900616002e-07,0.0,0.0,0.0
1501,7.702265520492802e-07,0.0,0.0,0.0
1502,6.418554600410668e-07,0.0,0.0,0.0
1503,4.517349345535747e-05,0.0,0.0,0.0
1504,4.503983245740528e-05,0.0,0.0,0.0
1505,4.5885987024770915e-05,0.0,0.0,0.0
1506,4.5885987024770915e-05,0.0,0.0,0.0
1507,4.5885987024770915e-05,0.0,0.0,0.0
1508,4.5885987024770915e-05,0.0,0.0,0.0
1509,4.5885987024770915e-05,0.0,0.0,0.0
1510,1.2626553923057924e-06,0.0,0.0,0.0
1511,1.2626553923057924e-06,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,0.0,0.0,0.0,0.0
1515,0.0,0.0,0.0,0.0
1516,0.0,0.0,0.0,0.0
1517,0.0,0.0,0.0,0.0
1518,0.0,0.0,0.0,0.0
1519,0.0,0.0,0.0,0.0
1520,0.0,0.0,0.0,0.0
1521,0.0,0.0,0.0,0.0
1522,0.0,0.0,0.0,0.0
1523,6.160450019316548e-07,0.0,0.0,0.0
1524,6.160450019316548e-07,0.0,0.0,0.0
1525,6.160450019316548e-07,0.0,0.0,0.0
1526,6.160450019316548e-07,0.0,0.0,0.0
1527,6.160450019316548e-07,0.0,0.0,0.0
1528,6.160450019316548e-07,0.0,0.0,0.0
1529,6.160450019316548e-07,0.0,0.0,0.0
1530,0.0,0.0,0.0,0.0
1531,5.744848229889092e-06,0.0,0.0,0.0
1532,3.911267672914879e-05,0.0,0.0,0.0
1533,3.911267672914879e-05,0.0,0.0,0.0
1534,3.911267672914879e-05,0.0,0.0,0.0
1535,3.911267672914879e-05,0.0,0.0,0.0
1536,3.911267672914879e-05,0.0,0.0,0.0
1537,3.911267672914879e-05,0.0,0.0,0.0
1538,3.336782849925969e-05,0.0,0.0,0.0
1539,4.150555728951336e-06,0.0,0.0,0.0
1540,4.150555728951336e-06,0.0,0.0,0.0
1541,4.150555728951336e-06,0.0,0.0,0.0
1542,4.150555728951336e-06,0.0,0.0,0.0
1543,4.150555728951336e-06,0.0,0.0,0.0
1544,4.150555728951336e-06,0.0,0.0,0.0
1545,4.150555728951336e-06,0.0,0.0,0.0
1546,0.0,0.0,0.0,0.0
1547,0.0,0.0,0.0,0.0
1548,0.0,0.0,0.0,0.0
1549,0.0,0.0,0.0,0.0
1550,5.40345711540015e-07,0.0,0.0,0.0
1551,5.40345711540015e-07,0.0,0.0,0.0
1552,1.9825677100016037e-06,0.0,0.0,0.0
1553,1.9825677100016037e-06,0.0,0.0,0.0
1554,1.9825677100016037e-06,0.0,0.0,0.0
1555,1.9825677100016037e-06,0.0,0.0,0.0
1556,1.9825677100016037e-06,0.0,0.0,0.0
1557,1.4422219984615886e-06,0.0,0.0,0.0
1558,3.4883679680725824e-06,0.0,0.0,0.0
1559,2.046145969610994e-06,0.0,0.0,0.0
1560,2.046145969610994e-06,0.0,0.0,0.0
1561,2.046145969610994e-06,0.0,0.0,0.0
1562,2.046145969610994e-06,0.0,0.0,0.0
1563,2.046145969610994e-06,0.0,0.0,0.0
1564,2.046145969610994e-06,0.0,0.0,0.0
1565,0.0,0.0,0.0,0.0
1566,0.0,0.0,0.0,0.0
1567,0.0,0.0,0.0,0.0
1568,0.0,0.0,0.0,0.0
1569,0.0,0.0,0.0,0.0
1570,0.0,0.0,0.0,0.0
1571,0.0,0.0,0.0,0.0
1572,0.0,0.0,0.0,0.0
1573,0.0,0.0,0.0,0.0
1574,0.0,0.0,0.0,0.0
1575,0.0,0.0,0.0,0.0
1576,0.0,0.0,0.0,0.0
1577,0.0,0.0,0.0,0.0
1578,0.0,0.0,0.0,0.0
1579,0.0,0.0,0.0,0.0
1580,0.0,0.0,0.0,0.0
1581,0.0,0.0,0.0,0.0
1582,0.0,0.0,0.0,0.0
1583,1.4418678152391555e-06,0.0,0.0,0.0
1584,1.4418678152391555e-06,0.0,0.0,0.0
1585,1.4418678152391555e-06,0.0,0.0,0.0
1586,2.160761661278749e-06,0.0,0.0,0.0
1587,2.160761661278749e-06,0.0,0.0,0.0
1588,2.160761661278749e-06,0.0,0.0,0.0
1589,2.3474881345464382e-06,0.0,0.0,0.0
1590,9.056203193072829e-07,0.0,0.0,0.0
1591,9.056203193072829e-07,0.0,0.0,0.0
1592,9.056203193072829e-07,0.0,0.0,0.0
1593,1.867264732676891e-07,0.0,0.0,0.0
1594,1.867264732676891e-07,0.0,0.0,0.0
1595,1.867264732676891e-07,0.0,0.0,0.0
1596,2.945855158031918e-06,0.0,0.0,0.0
1597,3.18797934336804e-06,0.0,0.0,0.0
1598,3.586084598542324e-06,0.0,0.0,0.0
1599,3.586084598542324e-06,0.0,0.0,0.0
1600,3.586084598542324e-06,0.0,0.0,0.0
1601,3.586084598542324e-06,0.0,0.0,0.0
1602,3.586084598542324e-06,0.0,0.0,0.0
1603,6.402294405104061e-07,0.0,0.0,0.0
1604,3.981052551742843e-07,0.0,0.0,0.0
1605,0.0,0.0,0.0,0.0
1606,0.0,0.0,0.0,0.0
1607,0.0,0.0,0.0,0.0
1608,0.0,0.0,0.0,0.0
1609,0.0,0.0,0.0,0.0
1610,0.0,0.0,0.0,0.0
1611,4.0964911412239804e-07,0.0,0.0,0.0
1612,4.0964911412239804e-07,0.0,0.0,0.0
1613,4.0964911412239804e-07,0.0,0.0,0.0
1614,4.0964911412239804e-07,0.0,0.0,0.0
1615,4.0964911412239804e-07,0.0,0.0,0.0
1616,4.0964911412239804e-07,0.0,0.0,0.0
1617,4.0964911412239804e-07,0.0,0.0,0.0
1618,0.0,0.0,0.0,0.0
1619,0.0,0.0,0.0,0.0
1620,1.0073891384568664e-07,0.0,0.0,0.0
1621,1.0073891384568664e-07,0.0,0.0,0.0
1622,2.0704943446097398e-06,0.0,0.0,0.0
1623,2.0704943446097398e-06,0.0,0.0,0.0
1624,5.206470275100271e-06,0.0,0.0,0.0
1625,5.206470275100271e-06,0.0,0.0,0.0
1626,5.206470275100271e-06,0.0,0.0,0.0
1627,5.105731361254584e-06,0.0,0.0,0.0
1628,5.1712429873467566e-06,0.0,0.0,0.0
1629,3.2014875565827035e-06,0.0,0.0,0.0
1630,3.2014875565827035e-06,0.0,0.0,0.0
1631,6.55116260921724e-08,0.0,0.0,0.0
1632,6.55116260921724e-08,0.0,0.0,0.0
1633,6.55116260921724e-08,0.0,0.0,0.0
1634,2.904129303260561e-06,0.0,0.0,0.0
1635,2.8386176771683883e-06,0.0,0.0,0.0
