ngram,television,televsion,telvision,televison
1500,4.9668361725707655e-06,0.0,0.0,0.0
1501,3.973468938056612e-06,0.0,0.0,0.0
1502,3.311224115047177e-06,0.0,0.0,0.0
1503,2.838192098611866e-06,0.0,0.0,0.0
1504,2.0362261108987567e-06,0.0,0.0,0.0
1505,1.2626553923057924e-06,0.0,0.0,0.0
1506,1.2626553923057924e-06,0.0,0.0,0.0
1507,1.2626553923057924e-06,0.0,0.0,0.0
1508,1.2626553923057924e-06,0.0,0.0,0.0
1509,1.2626553923057924e-06,0.0,0.0,0.0
1510,1.2626553923057924e-06,0.0,0.0,0.0
1511,1.2626553923057924e-06,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,0.0,0.0,0.0,0.0
1515,0.0,0.0,0.0,0.0
1516,0.0,0.0,0.0,0.0
1517,0.0,0.0,0.0,0.0
1518,0.0,0.0,0.0,0.0
1519,0.0,0.0,0.0,0.0
1520,0.0,0.0,0.0,0.0
1521,0.0,0.0,0.0,0.0
1522,0.0,0.0,0.0,0.0
1523,0.0,0.0,0.0,0.0
1524,0.0,0.0,0.0,0.0
1525,0.0,0.0,0.0,0.0
1526,0.0,0.0,0.0,0.0
1527,0.0,0.0,0.0,0.0
1528,0.0,0.0,0.0,0.0
1529,0.0,0.0,0.0,0.0
1530,0.0,0.0,0.0,0.0
1531,0.0,0.0,0.0,0.0
1532,2.254583055868612e-06,0.0,0.0,0.0
1533,2.254583055868612e-06,0.0,0.0,0.0
1534,2.254583055868612e-06,0.0,0.0,0.0
1535,2.254583055868612e-06,0.0,0.0,0.0
1536,2.254583055868612e-06,0.0,0.0,0.0
1537,2.254583055868612e-06,0.0,0.0,0.0
1538,2.254583055868612e-06,0.0,0.0,0.0
1539,0.0,0.0,0.0,0.0
1540,0.0,0.0,0.0,0.0
1541,0.0,0.0,0.0,0.0
1542,0.0,0.0,0.0,0.0
1543,0.0,0.0,0.0,0.0
1544,0.0,0.0,0.0,0.0
1545,0.0,0.0,0.0,0.0
1546,0.0,0.0,0.0,0.0
1547,0.0,0.0,0.0,0.0
1548,2.972419354461765e-07,0.0,0.0,0.0
1549,2.972419354461765e-07,0.0,0.0,0.0
1550,1.3779333585262066e-06,0.0,0.0,0.0
1551,1.3779333585262066e-06,0.0,0.0,0.0
1552,3.541266291254682e-06,0.0,0.0,0.0
