ngram,term,tem,trm,terrm
1500,7.394565727736335e-05,1.6106733369269932e-06,2.3390674641632359e-07,0.0
1501,5.915652582189068e-05,1.2885386695415946e-06,1.8712539713305886e-07,0.0
1502,7.864081635489129e-05,1.0737822246179955e-06,1.5593783094421573e-07,0.0
1503,0.00010310508098752637,9.203847639582818e-07,1.336609979521849e-07,0.0
1504,0.00010596235370030627,7.867237660060969e-07,0.0,0.0
1505,0.00016284615204702796,3.156638480764481e-07,0.0,0.0
1506,0.00016284615204702796,3.156638480764481e-07,0.0,0.0
1507,0.00016284615204702796,3.156638480764481e-07,0.0,0.0
1508,0.00016284615204702796,3.156638480764481e-07,0.0,0.0
1509,0.0001376943993299002,3.156638480764481e-07,0.0,0.0
1510,0.00010199573236085209,3.156638480764481e-07,0.0,0.0
1511,8.964852895587683e-05,3.156638480764481e-07,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,3.7135949761640016e-06,5.713222890335601e-07,0.0,0.0
1515,3.7135949761640016e-06,5.713222890335601e-07,0.0,0.0
1516,3.7135949761640016e-06,5.713222890335601e-07,0.0,0.0
1517,1.2745300409733318e-05,5.713222890335601e-07,0.0,0.0
1518,1.2745300409733318e-05,5.713222890335601e-07,0.0,0.0
1519,1.2745300409733318e-05,5.713222890335601e-07,0.0,0.0
1520,5.2963339060495074e-05,1.1671450660547374e-06,0.0,0.0
1521,4.924974408433107e-05,5.958227770211774e-07,0.0,0.0
1522,4.924974408433107e-05,5.958227770211774e-07,0.0,0.0
1523,6.649900439827303e-05,5.958227770211774e-07,0.0,0.0
1524,5.746729896470372e-05,5.958227770211774e-07,0.0,0.0
1525,5.746729896470372e-05,5.958227770211774e-07,0.0,0.0
1526,0.00010577665982834463,5.958227770211774e-07,0.0,0.0
1527,6.555862117758287e-05,0.0,0.0,0.0
1528,0.00019098650955129415,0.0,0.0,0.0
1529,0.00019098650955129415,0.0,0.0,0.0
1530,0.00017373724923735217,1.4578970097188306e-06,0.0,0.0
1531,0.0002024614909065089,1.4578970097188306e-06,0.0,0.0
1532,0.0002646879791947348,1.9088136014033807e-06,0.0,0.0
1533,0.00021637861833109388,1.9088136014033807e-06,0.0,0.0
1534,0.00022901885469244526,1.9088136014033807e-06,0.0,0.0
1535,0.00011375672433392278,1.9088136014033807e-06,0.0,0.0
1536,0.00016340306943415532,3.2506067262667263e-06,0.0,0.0
1537,0.00016340306943415532,1.792709716547896e-06,0.0,0.0
1538,0.00013467882776499858,1.792709716547896e-06,0.0,0.0
1539,8.98846732785127e-05,2.171904270653613e-06,0.0,0.0
1540,8.98846732785127e-05,2.171904270653613e-06,0.0,0.0
1541,7.72444369171613e-05,2.171904270653613e-06,0.0,0.0
1542,8.362978821553822e-05,2.171904270653613e-06,0.0,0.0
1543,3.398344311530569e-05,1.2238603760904101e-05,0.0,0.0
1544,3.6348226785776205e-05,1.2516813610220976e-05,0.0,0.0
1545,5.188759236521686e-05,1.2516813610220976e-05,0.0,0.0
1546,4.340585681867586e-05,1.168670246443071e-05,0.0,0.0
1547,4.340585681867586e-05,1.168670246443071e-05,0.0,0.0
1548,6.599624378265747e-05,1.2281186335323063e-05,0.0,0.0
1549,4.944513446909176e-05,1.2281186335323063e-05,0.0,0.0
1550,6.565550549047268e-05,1.4130394317492443e-06,0.0,0.0
1551,6.329072182000215e-05,3.4960267255103517e-06,0.0,0.0
1552,5.7846910619576063e-05,3.4960267255103517e-06,0.0,0.0
1553,4.889631236437708e-05,3.4960267255103517e-06,0.0,0.0
1554,4.889631236437708e-05,3.4960267255103517e-06,0.0,0.0
1555,3.8325625480086144e-05,2.9015428546179985e-06,0.0,0.0
1556,5.393876926973462e-05,2.9015428546179985e-06,0.0,0.0
1557,3.772839824835371e-05,1.1706205311514037e-05,0.0,0.0
1558,6.842058688302391e-05,9.345008168436055e-06,0.0,0.0
1559,6.692114922251286e-05,9.345008168436055e-06,0.0,0.0
1560,6.871591020691474e-05,9.345008168436055e-06,0.0,0.0
1561,6.871591020691474e-05,9.345008168436055e-06,0.0,0.0
1562,5.669621012722408e-05,9.345008168436055e-06,0.0,0.0
1563,4.1992309758955215e-05,9.79962987912586e-06,0.0,0.0
1564,4.1992309758955215e-05,4.5462171068980493e-07,0.0,0.0
1565,1.7370924979331903e-05,4.5462171068980493e-07,0.0,0.0
1566,4.684821890675396e-05,2.3582922170005205e-06,0.0,0.0
1567,4.573585524017939e-05,5.7702787411731804e-06,0.0,0.0
1568,4.573585524017939e-05,5.7702787411731804e-06,0.0,0.0
1569,4.722126589383281e-05,5.7702787411731804e-06,0.0,0.0
