ngram,thanks,thnks,thaks,thankss
1500,2.3390674641632359e-07,0.0,0.0,0.0
1501,1.8712539713305886e-07,0.0,0.0,0.0
1502,3.3164868303477607e-07,0.0,0.0,0.0
1503,9.208937042006124e-06,0.0,0.0,0.0
1504,1.8335678337929755e-05,0.0,0.0,0.0
1505,1.9598333730235546e-05,0.0,0.0,0.0
1506,1.9598333730235546e-05,0.0,0.0,0.0
1507,1.9598333730235546e-05,0.0,0.0,0.0
1508,1.9598333730235546e-05,0.0,0.0,0.0
1509,1.9447724428443636e-05,0.0,0.0,0.0
1510,1.0523057686181606e-05,0.0,0.0,0.0
1511,1.2626553923057924e-06,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,1.3426074084626244e-05,0.0,0.0,0.0
1515,1.3426074084626244e-05,0.0,0.0,0.0
1516,1.3426074084626244e-05,0.0,0.0,0.0
1517,1.4488627649760538e-05,0.0,0.0,0.0
1518,1.4488627649760538e-05,0.0,0.0,0.0
1519,1.4488627649760538e-05,0.0,0.0,0.0
1520,1.687191875784525e-05,0.0,0.0,0.0
1521,3.445844673219004e-06,0.0,0.0,0.0
1522,1.614087211367275e-05,0.0,0.0,0.0
1523,1.860505212139937e-05,0.0,0.0,0.0
1524,1.7542498556265074e-05,0.0,0.0,0.0
1525,1.7542498556265074e-05,0.0,0.0,0.0
1526,2.5170292376839954e-05,0.0,0.0,0.0
1527,2.2787001268755246e-05,0.0,0.0,0.0
1528,2.2787001268755246e-05,0.0,0.0,0.0
1529,1.0091973828301498e-05,0.0,0.0,0.0
1530,7.62779382057488e-06,0.0,0.0,0.0
1531,7.62779382057488e-06,0.0,0.0,0.0
1532,7.62779382057488e-06,0.0,0.0,0.0
1533,0.0,0.0,0.0,0.0
1534,0.0,0.0,0.0,0.0
1535,9.412739018443972e-06,0.0,0.0,0.0
1536,9.412739018443972e-06,0.0,0.0,0.0
1537,9.412739018443972e-06,0.0,0.0,0.0
1538,9.412739018443972e-06,0.0,0.0,0.0
1539,9.412739018443972e-06,0.0,0.0,0.0
1540,9.412739018443972e-06,0.0,0.0,0.0
1541,9.412739018443972e-06,0.0,0.0,0.0
1542,1.5046463366681046e-06,0.0,0.0,0.0
1543,1.5046463366681046e-06,0.0,0.0,0.0
1544,8.738102483870794e-06,0.0,0.0,0.0
1545,1.061354318413318e-05,0.0,0.0,0.0
1546,1.1732367966033053e-05,0.0,0.0,0.0
1547,1.1732367966033053e-05,0.0,0.0,0.0
1548,1.2326851836925406e-05,0.0,0.0,0.0
1549,2.0523467420779135e-05,0.0,0.0,0.0
1550,2.2144504522917225e-05,0.0,0.0,0.0
1551,1.4911048375714537e-05,0.0,0.0,0.0
1552,2.7457827919923667e-05,0.0,0.0,0.0
1553,2.6339003138023793e-05,0.0,0.0,0.0
1554,2.6339003138023793e-05,0.0,0.0,0.0
