ngram,tone,toe,tne,tnne
1500,3.9587928313267184e-07,1.1695337889250368e-06,8.098626835817413e-08,0.0
1501,3.1670342650613745e-07,9.356270311400295e-07,6.47890146865393e-08,0.0
1502,4.3963037417900824e-07,7.796891926166912e-07,4.054125497532368e-07,0.0
1503,3.768260350105785e-07,6.683050222428781e-07,3.4749647121706015e-07,0.0
1504,2.4316503705839363e-07,0.0,3.4749647121706015e-07,0.0
1505,7.819369979448052e-07,6.313276961528962e-07,9.32546299736714e-07,0.0
1506,7.819369979448052e-07,6.313276961528962e-07,9.32546299736714e-07,0.0
1507,7.819369979448052e-07,6.313276961528962e-07,9.32546299736714e-07,0.0
1508,7.819369979448052e-07,6.313276961528962e-07,9.32546299736714e-07,0.0
1509,6.313276961528962e-07,6.313276961528962e-07,6.313276961528962e-07,0.0
1510,6.313276961528962e-07,6.313276961528962e-07,6.313276961528962e-07,0.0
1511,6.313276961528962e-07,6.313276961528962e-07,6.313276961528962e-07,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,1.4283056901019466e-06,0.0,0.0,0.0
1515,1.4283056901019466e-06,0.0,0.0,0.0
1516,1.4283056901019466e-06,0.0,0.0,0.0
1517,1.9595824726690936e-06,0.0,1.0625535651342943e-06,0.0
1518,1.9595824726690936e-06,0.0,1.0625535651342943e-06,0.0
1519,1.9595824726690936e-06,0.0,1.0625535651342943e-06,0.0
1520,4.342873580753803e-06,5.958227770211774e-07,1.0625535651342943e-06,0.0
1521,0.00021455477911201472,5.958227770211774e-07,1.0625535651342943e-06,0.0
1522,0.00021455477911201472,5.958227770211774e-07,1.6931338125557106e-05,0.0
1523,0.00021578686911587802,5.958227770211774e-07,1.9395518133283724e-05,0.0
1524,0.00022557898293078843,5.958227770211774e-07,1.833296456814943e-05,0.0
1525,0.00022557898293078843,5.958227770211774e-07,1.833296456814943e-05,0.0
1526,0.00022557898293078843,5.958227770211774e-07,1.833296456814943e-05,0.0
1527,0.00022319569182270373,0.0,1.833296456814943e-05,0.0
1528,1.1555480601340865e-05,3.1356973652561593e-06,1.9378197001580183e-05,0.0
1529,1.1555480601340865e-05,3.1356973652561593e-06,3.50941244115737e-06,0.0
1530,1.3968133186738538e-05,3.1356973652561593e-06,1.926894511988004e-05,0.0
1531,3.644742589260984e-06,3.1356973652561593e-06,1.926894511988004e-05,0.0
1532,3.644742589260984e-06,3.1356973652561593e-06,1.926894511988004e-05,0.0
1533,3.644742589260984e-06,3.1356973652561593e-06,1.926894511988004e-05,0.0
1534,5.049213281641382e-06,5.944638750016955e-06,1.926894511988004e-05,0.0
1535,5.425722844977697e-06,2.8089413847607958e-06,1.822371268644929e-05,0.0
1536,5.425722844977697e-06,2.8089413847607958e-06,1.822371268644929e-05,0.0
1537,1.7809802557167131e-06,2.8089413847607958e-06,0.0,0.0
1538,4.957418825922234e-06,2.8089413847607958e-06,0.0,0.0
1539,4.957418825922234e-06,2.8089413847607958e-06,0.0,0.0
1540,4.957418825922234e-06,2.8089413847607958e-06,0.0,0.0
1541,3.5529481335418367e-06,0.0,0.0,0.0
