ngram,towel,towl,towl,towel
1500,0.0,0.0,0.0,0.0
1501,0.0,0.0,0.0,0.0
1502,0.0,0.0,0.0,0.0
1503,0.0,0.0,0.0,0.0
1504,0.0,0.0,0.0,0.0
1505,0.0,0.0,0.0,0.0
1506,0.0,0.0,0.0,0.0
1507,0.0,0.0,0.0,0.0
1508,0.0,0.0,0.0,0.0
1509,0.0,0.0,0.0,0.0
1510,0.0,0.0,0.0,0.0
1511,0.0,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,0.0,0.0,0.0,0.0
1515,0.0,0.0,0.0,0.0
1516,0.0,0.0,0.0,0.0
1517,0.0,0.0,0.0,0.0
1518,0.0,0.0,0.0,0.0
1519,0.0,0.0,0.0,0.0
1520,0.0,0.0,0.0,0.0
1521,0.0,0.0,0.0,0.0
1522,0.0,0.0,0.0,0.0
1523,0.0,0.0,0.0,0.0
1524,0.0,0.0,0.0,0.0
1525,0.0,0.0,0.0,0.0
1526,0.0,0.0,0.0,0.0
1527,0.0,0.0,0.0,0.0
1528,0.0,0.0,0.0,0.0
1529,0.0,0.0,0.0,0.0
1530,0.0,0.0,0.0,0.0
1531,0.0,0.0,0.0,0.0
1532,0.0,0.0,0.0,0.0
1533,0.0,0.0,0.0,0.0
1534,0.0,0.0,0.0,0.0
1535,3.7650956333631515e-07,0.0,0.0,3.7650956333631515e-07
1536,3.7650956333631515e-07,0.0,0.0,3.7650956333631515e-07
1537,3.7650956333631515e-07,0.0,0.0,3.7650956333631515e-07
1538,3.7650956333631515e-07,0.0,0.0,3.7650956333631515e-07
1539,3.7650956333631515e-07,0.0,0.0,3.7650956333631515e-07
1540,3.7650956333631515e-07,0.0,0.0,3.7650956333631515e-07
1541,3.7650956333631515e-07,0.0,0.0,3.7650956333631515e-07
1542,0.0,0.0,0.0,0.0
1543,0.0,0.0,0.0,0.0
1544,0.0,0.0,0.0,0.0
1545,2.679201023576232e-07,0.0,0.0,2.679201023576232e-07
1546,2.679201023576232e-07,0.0,0.0,2.679201023576232e-07
1547,2.679201023576232e-07,0.0,0.0,2.679201023576232e-07
1548,2.679201023576232e-07,0.0,0.0,2.679201023576232e-07
1549,2.679201023576232e-07,0.0,0.0,2.679201023576232e-07
1550,2.679201023576232e-07,0.0,0.0,2.679201023576232e-07
1551,2.679201023576232e-07,0.0,0.0,2.679201023576232e-07
1552,0.0,0.0,0.0,0.0
1553,0.0,0.0,0.0,0.0
1554,0.0,0.0,0.0,0.0
1555,0.0,0.0,0.0,0.0
1556,0.0,0.0,0.0,0.0
1557,0.0,0.0,0.0,0.0
1558,0.0,0.0,0.0,0.0
1559,0.0,0.0,0.0,0.0
1560,0.0,0.0,0.0,0.0
1561,0.0,0.0,0.0,0.0
1562,0.0,0.0,0.0,0.0
1563,0.0,0.0,0.0,0.0
1564,0.0,0.0,0.0,0.0
1565,1.011800642507816e-06,0.0,0.0,1.011800642507816e-06
1566,1.011800642507816e-06,0.0,0.0,1.011800642507816e-06
1567,1.011800642507816e-06,0.0,0.0,1.011800642507816e-06
1568,1.011800642507816e-06,0.0,0.0,1.011800642507816e-06
1569,1.011800642507816e-06,0.0,0.0,1.011800642507816e-06
1570,1.011800642507816e-06,0.0,0.0,1.011800642507816e-06
1571,1.011800642507816e-06,0.0,0.0,1.011800642507816e-06
1572,0.0,0.0,0.0,0.0
1573,0.0,0.0,0.0,0.0
1574,2.1788461838566164e-06,0.0,0.0,2.1788461838566164e-06
1575,2.1788461838566164e-06,0.0,0.0,2.1788461838566164e-06
1576,2.1788461838566164e-06,0.0,0.0,2.1788461838566164e-06
1577,2.1788461838566164e-06,0.0,0.0,2.1788461838566164e-06
1578,2.1788461838566164e-06,0.0,0.0,2.1788461838566164e-06
1579,2.1788461838566164e-06,0.0,0.0,2.1788461838566164e-06
1580,2.1788461838566164e-06,0.0,0.0,2.1788461838566164e-06
1581,0.0,0.0,0.0,0.0
1582,0.0,0.0,0.0,0.0
1583,0.0,0.0,0.0,0.0
1584,0.0,0.0,0.0,0.0
1585,0.0,0.0,0.0,0.0
1586,0.0,0.0,0.0,0.0
1587,0.0,0.0,0.0,0.0
1588,0.0,0.0,0.0,0.0
1589,0.0,0.0,0.0,0.0
1590,0.0,0.0,0.0,0.0
1591,0.0,0.0,0.0,0.0
1592,0.0,0.0,0.0,0.0
1593,0.0,0.0,0.0,0.0
1594,0.0,0.0,0.0,0.0
1595,0.0,0.0,0.0,0.0
1596,0.0,0.0,0.0,0.0
1597,0.0,0.0,0.0,0.0
1598,0.0,0.0,0.0,0.0
1599,0.0,0.0,0.0,0.0
1600,1.0650608471353604e-07,0.0,0.0,1.0650608471353604e-07
1601,6.9247766987246e-07,0.0,0.0,6.9247766987246e-07
1602,6.9247766987246e-07,0.0,0.0,6.9247766987246e-07
1603,6.9247766987246e-07,0.0,0.0,6.9247766987246e-07
1604,6.9247766987246e-07,0.0,0.0,6.9247766987246e-07
1605,6.9247766987246e-07,0.0,0.0,6.9247766987246e-07
1606,6.9247766987246e-07,0.0,0.0,6.9247766987246e-07
1607,5.85971585158924e-07,0.0,0.0,5.85971585158924e-07
1608,0.0,0.0,0.0,0.0
1609,0.0,0.0,0.0,0.0
1610,0.0,0.0,0.0,0.0
1611,0.0,0.0,0.0,0.0
1612,0.0,0.0,0.0,0.0
1613,0.0,0.0,0.0,0.0
1614,0.0,0.0,0.0,0.0
1615,0.0,0.0,0.0,0.0
1616,0.0,0.0,0.0,0.0
