ngram,traffic,trafic,trffic,traffic
1500,2.392571104792296e-05,0.0,0.0,2.392571104792296e-05
1501,1.9140568838338368e-05,0.0,0.0,1.9140568838338368e-05
1502,3.106160723594561e-05,0.0,0.0,3.106160723594561e-05
1503,7.124756640613279e-05,0.0,0.0,7.124756640613279e-05
1504,6.817336335578667e-05,0.0,0.0,6.817336335578667e-05
1505,6.16793614816353e-05,0.0,0.0,6.16793614816353e-05
1506,6.16793614816353e-05,0.0,0.0,6.16793614816353e-05
1507,6.16793614816353e-05,0.0,0.0,6.16793614816353e-05
1508,6.16793614816353e-05,0.0,0.0,6.16793614816353e-05
1509,4.872696159249504e-05,0.0,0.0,4.872696159249504e-05
1510,4.103629960029918e-06,0.0,0.0,4.103629960029918e-06
1511,4.103629960029918e-06,0.0,0.0,4.103629960029918e-06
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,2.8566114451678004e-07,0.0,0.0,2.8566114451678004e-07
1515,2.8566114451678004e-07,0.0,0.0,2.8566114451678004e-07
1516,2.8566114451678004e-07,0.0,0.0,2.8566114451678004e-07
1517,2.4107682747853687e-06,0.0,0.0,2.4107682747853687e-06
1518,2.4107682747853687e-06,0.0,0.0,2.4107682747853687e-06
1519,2.4107682747853687e-06,0.0,0.0,2.4107682747853687e-06
1520,3.6024138288277233e-06,0.0,0.0,3.6024138288277233e-06
1521,3.3167526843109433e-06,0.0,0.0,3.3167526843109433e-06
1522,3.3167526843109433e-06,0.0,0.0,3.3167526843109433e-06
1523,5.164887755069815e-06,0.0,0.0,5.164887755069815e-06
1524,3.0397806248012264e-06,0.0,0.0,3.0397806248012264e-06
1525,3.0397806248012264e-06,0.0,0.0,3.0397806248012264e-06
1526,3.0397806248012264e-06,0.0,0.0,3.0397806248012264e-06
1527,1.8481350707588717e-06,0.0,0.0,1.8481350707588717e-06
1528,1.8481350707588717e-06,0.0,0.0,1.8481350707588717e-06
1529,1.8481350707588717e-06,0.0,0.0,1.8481350707588717e-06
1530,0.0,0.0,0.0,0.0
1531,0.0,0.0,0.0,0.0
1532,8.116498585357995e-06,0.0,0.0,8.116498585357995e-06
1533,8.116498585357995e-06,0.0,0.0,8.116498585357995e-06
1534,8.116498585357995e-06,0.0,0.0,8.116498585357995e-06
1535,8.116498585357995e-06,0.0,0.0,8.116498585357995e-06
1536,8.116498585357995e-06,0.0,0.0,8.116498585357995e-06
1537,8.116498585357995e-06,0.0,0.0,8.116498585357995e-06
1538,8.116498585357995e-06,0.0,0.0,8.116498585357995e-06
1539,1.6602222915805344e-06,0.0,0.0,1.6602222915805344e-06
1540,1.6602222915805344e-06,0.0,0.0,1.6602222915805344e-06
1541,1.6602222915805344e-06,0.0,0.0,1.6602222915805344e-06
1542,3.164868628248639e-06,0.0,0.0,3.164868628248639e-06
1543,3.164868628248639e-06,0.0,0.0,3.164868628248639e-06
1544,4.416812901451651e-06,0.0,0.0,4.416812901451651e-06
1545,4.416812901451651e-06,0.0,0.0,4.416812901451651e-06
1546,2.756590609871117e-06,0.0,0.0,2.756590609871117e-06
1547,2.756590609871117e-06,0.0,0.0,2.756590609871117e-06
1548,1.2565574122293452e-05,0.0,0.0,1.2565574122293452e-05
1549,1.1060927785625349e-05,0.0,0.0,1.1060927785625349e-05
1550,1.4303001989901531e-05,0.0,0.0,1.4303001989901531e-05
1551,1.3051057716698519e-05,0.0,0.0,1.3051057716698519e-05
1552,2.0262167838934276e-05,0.0,0.0,2.0262167838934276e-05
1553,2.0262167838934276e-05,0.0,0.0,2.0262167838934276e-05
1554,2.0262167838934276e-05,0.0,0.0,2.0262167838934276e-05
1555,1.0453184326511941e-05,0.0,0.0,1.0453184326511941e-05
1556,1.0453184326511941e-05,0.0,0.0,1.0453184326511941e-05
1557,7.211110122235758e-06,0.0,0.0,7.211110122235758e-06
1558,8.575207435309754e-06,6.820486565369979e-07,0.0,8.575207435309754e-06
1559,1.3640973130739958e-06,6.820486565369979e-07,0.0,1.3640973130739958e-06
1560,2.2614778052749377e-06,6.820486565369979e-07,0.0,2.2614778052749377e-06
1561,2.2614778052749377e-06,6.820486565369979e-07,0.0,2.2614778052749377e-06
1562,2.2614778052749377e-06,6.820486565369979e-07,0.0,2.2614778052749377e-06
1563,2.2614778052749377e-06,6.820486565369979e-07,0.0,2.2614778052749377e-06
1564,2.2614778052749377e-06,6.820486565369979e-07,0.0,2.2614778052749377e-06
1565,8.973804922009419e-07,0.0,0.0,8.973804922009419e-07
1566,8.973804922009419e-07,0.0,0.0,8.973804922009419e-07
1567,0.0,0.0,0.0,0.0
1568,0.0,0.0,0.0,0.0
1569,7.427053268267108e-07,0.0,0.0,7.427053268267108e-07
1570,7.427053268267108e-07,0.0,0.0,7.427053268267108e-07
1571,7.427053268267108e-07,0.0,0.0,7.427053268267108e-07
1572,7.427053268267108e-07,0.0,0.0,7.427053268267108e-07
1573,7.427053268267108e-07,0.0,0.0,7.427053268267108e-07
1574,7.427053268267108e-07,0.0,0.0,7.427053268267108e-07
1575,7.427053268267108e-07,0.0,0.0,7.427053268267108e-07
1576,4.5068044788162555e-07,0.0,0.0,4.5068044788162555e-07
1577,4.5068044788162555e-07,0.0,0.0,4.5068044788162555e-07
1578,4.5068044788162555e-07,0.0,0.0,4.5068044788162555e-07
1579,4.5068044788162555e-07,0.0,0.0,4.5068044788162555e-07
1580,4.5068044788162555e-07,0.0,0.0,4.5068044788162555e-07
1581,4.5068044788162555e-07,0.0,0.0,4.5068044788162555e-07
1582,4.5068044788162555e-07,0.0,0.0,4.5068044788162555e-07
1583,1.2015565776632035e-06,0.0,0.0,1.2015565776632035e-06
1584,1.2015565776632035e-06,0.0,0.0,1.2015565776632035e-06
1585,1.2015565776632035e-06,0.0,0.0,1.2015565776632035e-06
1586,1.2015565776632035e-06,0.0,0.0,1.2015565776632035e-06
1587,1.5476361373397855e-06,0.0,0.0,1.5476361373397855e-06
1588,1.5476361373397855e-06,0.0,0.0,1.5476361373397855e-06
1589,4.908712786086003e-06,0.0,0.0,4.908712786086003e-06
1590,3.7071562084228e-06,0.0,0.0,3.7071562084228e-06
1591,3.7071562084228e-06,0.0,0.0,3.7071562084228e-06
1592,3.7071562084228e-06,0.0,0.0,3.7071562084228e-06
1593,4.153709661685363e-06,0.0,0.0,4.153709661685363e-06
1594,4.142893268570853e-06,0.0,0.0,4.142893268570853e-06
1595,5.044487449725109e-06,0.0,0.0,5.044487449725109e-06
1596,3.998011412217498e-06,0.0,0.0,3.998011412217498e-06
1597,4.361197690221681e-06,0.0,0.0,4.361197690221681e-06
1598,9.71350177029048e-06,0.0,0.0,9.71350177029048e-06
1599,1.1128435549575702e-05,0.0,0.0,1.1128435549575702e-05
1600,1.1533930774021428e-05,0.0,0.0,1.1533930774021428e-05
1601,1.2565934639496845e-05,0.0,0.0,1.2565934639496845e-05
1602,1.33347519489949e-05,0.0,0.0,1.33347519489949e-05
1603,1.1020151337756293e-05,0.0,0.0,1.1020151337756293e-05
1604,1.167858694576093e-05,0.0,0.0,1.167858694576093e-05
1605,6.32628286569213e-06,0.0,0.0,6.32628286569213e-06
1606,5.391829745349241e-06,0.0,0.0,5.391829745349241e-06
1607,4.539781067640953e-06,0.0,0.0,4.539781067640953e-06
1608,3.172514035603464e-06,0.0,0.0,3.172514035603464e-06
1609,1.5021025449511529e-06,0.0,0.0,1.5021025449511529e-06
1610,1.5021025449511529e-06,0.0,0.0,1.5021025449511529e-06
1611,1.5046034604893066e-06,0.0,0.0,1.5046034604893066e-06
1612,1.5046034604893066e-06,0.0,0.0,1.5046034604893066e-06
1613,1.1839332825859726e-06,0.0,0.0,1.1839332825859726e-06
1614,1.1839332825859726e-06,0.0,0.0,1.1839332825859726e-06
1615,1.5648765351475698e-06,0.0,0.0,1.5648765351475698e-06
1616,1.5648765351475698e-06,0.0,0.0,1.5648765351475698e-06
1617,1.5648765351475698e-06,0.0,0.0,1.5648765351475698e-06
1618,1.8209565268989536e-06,0.0,0.0,1.8209565268989536e-06
1619,2.383629001607395e-06,0.0,0.0,2.383629001607395e-06
1620,2.425296348259768e-06,0.0,0.0,2.425296348259768e-06
1621,2.425296348259768e-06,0.0,0.0,2.425296348259768e-06
1622,2.1147015039397436e-06,0.0,0.0,2.1147015039397436e-06
1623,3.192358268019494e-06,0.0,0.0,3.192358268019494e-06
1624,3.3416904605993684e-06,0.0,0.0,3.3416904605993684e-06
1625,2.476811118867772e-06,0.0,0.0,2.476811118867772e-06
1626,3.980734991923132e-06,0.0,0.0,3.980734991923132e-06
1627,3.7792571642317592e-06,0.0,0.0,3.7792571642317592e-06
1628,4.69641994576315e-06,0.0,0.0,4.69641994576315e-06
1629,4.956188912988832e-06,0.0,0.0,4.956188912988832e-06
1630,3.878532148909082e-06,0.0,0.0,3.878532148909082e-06
1631,3.842559928151397e-06,0.0,0.0,3.842559928151397e-06
1632,3.518862610820049e-06,0.0,0.0,3.518862610820049e-06
1633,1.5893590606148272e-06,0.0,0.0,1.5893590606148272e-06
1634,3.1937951559614575e-06,0.0,0.0,3.1937951559614575e-06
1635,2.276632374430067e-06,0.0,0.0,2.276632374430067e-06
1636,2.0333594079602335e-06,0.0,0.0,2.0333594079602335e-06
1637,2.0333594079602335e-06,0.0,0.0,2.0333594079602335e-06
1638,1.9873344732397006e-06,0.0,0.0,1.9873344732397006e-06
1639,2.5965403998335594e-06,0.0,0.0,2.5965403998335594e-06
1640,2.4594476022749793e-06,0.0,0.0,2.4594476022749793e-06
1641,1.0341777730055973e-06,5.972208733900125e-08,0.0,1.0341777730055973e-06
1642,1.3580272682897236e-06,5.972208733900125e-08,0.0,1.3580272682897236e-06
1643,1.2711828592923017e-06,5.972208733900125e-08,0.0,1.2711828592923017e-06
1644,1.2711828592923017e-06,5.972208733900125e-08,0.0,1.2711828592923017e-06
1645,1.4494319852279399e-06,5.972208733900125e-08,0.0,1.4494319852279399e-06
1646,7.485999243986694e-07,5.972208733900125e-08,0.0,7.485999243986694e-07
1647,7.485999243986694e-07,5.972208733900125e-08,0.0,7.485999243986694e-07
1648,7.528306014137343e-07,0.0,0.0,7.528306014137343e-07
1649,4.2898110612960796e-07,0.0,0.0,4.2898110612960796e-07
1650,4.2898110612960796e-07,0.0,0.0,4.2898110612960796e-07
1651,4.2898110612960796e-07,0.0,0.0,4.2898110612960796e-07
1652,1.8339694309231292e-07,0.0,0.0,1.8339694309231292e-07
1653,2.5877272134623907e-07,0.0,0.0,2.5877272134623907e-07
1654,3.832222757539837e-07,0.0,0.0,3.832222757539837e-07
1655,5.484436168704374e-07,0.0,0.0,5.484436168704374e-07
1656,5.484436168704374e-07,0.0,0.0,5.484436168704374e-07
1657,6.040524819387169e-07,0.0,0.0,6.040524819387169e-07
1658,1.032977556698305e-06,0.0,0.0,1.032977556698305e-06
1659,1.451150974876977e-06,0.0,0.0,1.451150974876977e-06
1660,1.3757751966230508e-06,0.0,0.0,1.3757751966230508e-06
1661,1.2513256422153063e-06,0.0,0.0,1.2513256422153063e-06
1662,9.027073580065397e-07,0.0,0.0,9.027073580065397e-07
1663,9.027073580065397e-07,0.0,0.0,9.027073580065397e-07
1664,1.1615223424347017e-06,0.0,0.0,1.1615223424347017e-06
1665,7.325972676751138e-07,0.0,0.0,7.325972676751138e-07
1666,6.340110303426627e-07,0.0,0.0,6.340110303426627e-07
1667,9.909864989562526e-07,0.0,0.0,9.909864989562526e-07
1668,9.909864989562526e-07,0.0,0.0,9.909864989562526e-07
1669,9.909864989562526e-07,0.0,0.0,9.909864989562526e-07
1670,1.0296356671395707e-06,0.0,0.0,1.0296356671395707e-06
1671,8.32542399718607e-07,0.0,0.0,8.32542399718607e-07
1672,9.555454028031818e-07,0.0,0.0,9.555454028031818e-07
1673,6.607010923127226e-07,0.0,0.0,6.607010923127226e-07
1674,5.639698181474679e-07,0.0,0.0,5.639698181474679e-07
1675,5.982883176817008e-07,0.0,0.0,5.982883176817008e-07
1676,8.130208613010836e-07,0.0,0.0,8.130208613010836e-07
1677,8.751302910273548e-07,0.0,0.0,8.751302910273548e-07
1678,7.577997089518769e-07,0.0,0.0,7.577997089518769e-07
1679,6.347967058673021e-07,0.0,0.0,6.347967058673021e-07
1680,6.643596220458546e-07,0.0,0.0,6.643596220458546e-07
1681,4.264912750581321e-07,0.0,0.0,4.264912750581321e-07
1682,4.324948414640468e-07,0.0,0.0,4.324948414640468e-07
1683,2.1776229784466394e-07,0.0,0.0,2.1776229784466394e-07
1684,1.1700369993507462e-07,0.0,0.0,1.1700369993507462e-07
1685,1.7762119698870394e-07,0.0,0.0,1.7762119698870394e-07
1686,2.3287961019897401e-07,0.0,0.0,2.3287961019897401e-07
