ngram,wave,wve,wav,wavee
1500,6.47890146865393e-07,0.0,0.0,0.0
1501,5.183121174923144e-07,0.0,0.0,0.0
1502,4.319267645769287e-07,0.0,0.0,0.0
1503,2.7144223167852033e-05,0.0,0.0,0.0
1504,2.7144223167852033e-05,0.0,0.0,0.0
1505,2.6774000226786094e-05,0.0,0.0,0.0
1506,2.6774000226786094e-05,0.0,0.0,0.0
1507,2.6774000226786094e-05,0.0,0.0,0.0
1508,2.6774000226786094e-05,0.0,0.0,0.0
1509,2.6774000226786094e-05,0.0,0.0,0.0
1510,0.0,0.0,0.0,0.0
1511,0.0,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,0.0,0.0,0.0,0.0
1515,0.0,0.0,0.0,0.0
1516,0.0,0.0,0.0,0.0
1517,1.5938303477014415e-06,0.0,0.0,0.0
1518,1.5938303477014415e-06,0.0,0.0,0.0
1519,1.5938303477014415e-06,0.0,0.0,0.0
1520,3.381298743728881e-06,0.0,2.979113885105887e-07,0.0
1521,3.381298743728881e-06,0.0,2.979113885105887e-07,0.0
1522,9.728812463955755e-06,0.0,2.979113885105887e-07,0.0
1523,1.0960902467819064e-05,0.0,2.979113885105887e-07,0.0
1524,9.367072120117623e-06,0.0,2.979113885105887e-07,0.0
1525,9.367072120117623e-06,0.0,2.979113885105887e-07,0.0
1526,1.69948659406925e-05,0.0,2.979113885105887e-07,0.0
1527,1.5207397544665063e-05,0.0,0.0,0.0
1528,1.5207397544665063e-05,0.0,0.0,0.0
1529,8.859883824438189e-06,0.0,0.0,0.0
1530,7.62779382057488e-06,0.0,0.0,0.0
1531,7.62779382057488e-06,0.0,0.0,0.0
1532,9.882376876443491e-06,0.0,0.0,0.0
1533,2.254583055868612e-06,0.0,0.0,0.0
1534,2.254583055868612e-06,0.0,0.0,0.0
1535,2.631092619204927e-06,0.0,0.0,0.0
1536,2.631092619204927e-06,0.0,0.0,0.0
1537,2.631092619204927e-06,0.0,0.0,0.0
1538,2.631092619204927e-06,0.0,0.0,0.0
1539,1.2066207091265824e-06,0.0,0.0,0.0
1540,1.2066207091265824e-06,0.0,0.0,0.0
1541,1.2066207091265824e-06,0.0,0.0,0.0
1542,8.301111457902672e-07,0.0,0.0,0.0
1543,8.301111457902672e-07,0.0,0.0,0.0
1544,9.692160704487054e-07,0.0,0.0,0.0
1545,9.692160704487054e-07,0.0,0.0,0.0
1546,1.391049246584381e-07,0.0,0.0,0.0
1547,1.391049246584381e-07,0.0,0.0,0.0
1548,1.391049246584381e-07,0.0,0.0,0.0
1549,1.3517626647236675e-06,0.0,0.0,0.0
1550,1.8921083762636824e-06,0.0,0.0,0.0
1551,1.7530034516052443e-06,0.0,0.0,0.0
1552,3.195225450066833e-06,0.0,0.0,0.0
1553,3.195225450066833e-06,0.0,0.0,0.0
1554,3.195225450066833e-06,0.0,0.0,0.0
1555,3.195225450066833e-06,0.0,0.0,0.0
1556,2.175921713387652e-05,0.0,0.0,0.0
1557,2.1218871422336504e-05,0.0,0.0,0.0
1558,2.3265017391947496e-05,0.0,0.0,0.0
1559,2.182279539348591e-05,0.0,0.0,0.0
1560,2.182279539348591e-05,0.0,0.0,0.0
1561,2.182279539348591e-05,0.0,0.0,0.0
