ngram,wind,wnd,wind,wid
1500,5.487997611908213e-07,0.0,5.487997611908213e-07,0.0
1501,4.3903980895265704e-07,0.0,4.3903980895265704e-07,0.0
1502,1.068709915822789e-06,0.0,1.068709915822789e-06,0.0
1503,9.84070381296728e-06,0.0,9.84070381296728e-06,0.0
1504,9.57338181706291e-06,0.0,9.57338181706291e-06,0.0
1505,9.842767797506116e-06,0.0,9.842767797506116e-06,0.0
1506,9.842767797506116e-06,0.0,9.842767797506116e-06,0.0
1507,9.842767797506116e-06,0.0,9.842767797506116e-06,0.0
1508,9.842767797506116e-06,0.0,9.842767797506116e-06,0.0
1509,9.24033059033848e-06,0.0,9.24033059033848e-06,0.0
1510,3.156638480764481e-07,0.0,3.156638480764481e-07,0.0
1511,3.156638480764481e-07,0.0,3.156638480764481e-07,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,8.855495252646506e-06,0.0,8.855495252646506e-06,0.0
1515,8.855495252646506e-06,0.0,8.855495252646506e-06,0.0
1516,8.855495252646506e-06,0.0,8.855495252646506e-06,0.0
1517,8.855495252646506e-06,0.0,8.855495252646506e-06,0.0
1518,8.855495252646506e-06,0.0,8.855495252646506e-06,0.0
1519,8.855495252646506e-06,0.0,8.855495252646506e-06,0.0
1520,1.8686570651230534e-05,0.0,1.8686570651230534e-05,2.979113885105887e-07
1521,9.83107539858403e-06,0.0,9.83107539858403e-06,2.979113885105887e-07
1522,3.522113027949152e-05,0.0,3.522113027949152e-05,2.979113885105887e-07
1523,3.6453220283354835e-05,0.0,3.6453220283354835e-05,2.979113885105887e-07
1524,3.6453220283354835e-05,0.0,3.6453220283354835e-05,2.979113885105887e-07
1525,3.6453220283354835e-05,0.0,3.6453220283354835e-05,2.979113885105887e-07
1526,3.6453220283354835e-05,0.0,3.6453220283354835e-05,2.979113885105887e-07
1527,2.6622144884770804e-05,0.0,2.6622144884770804e-05,0.0
1528,2.6622144884770804e-05,0.0,2.6622144884770804e-05,0.0
1529,1.2320900038633096e-06,0.0,1.2320900038633096e-06,0.0
1530,0.0,0.0,0.0,0.0
1531,0.0,0.0,0.0,0.0
1532,3.472057661773371e-05,0.0,3.472057661773371e-05,0.0
1533,3.472057661773371e-05,0.0,3.472057661773371e-05,0.0
1534,3.472057661773371e-05,0.0,3.472057661773371e-05,0.0
1535,3.660312436945138e-05,0.0,3.660312436945138e-05,0.0
1536,3.7050388755233143e-05,0.0,3.7050388755233143e-05,0.0
1537,3.7050388755233143e-05,0.0,3.7050388755233143e-05,0.0
1538,3.7050388755233143e-05,0.0,3.7050388755233143e-05,0.0
1539,1.561159047014371e-05,0.0,1.561159047014371e-05,0.0
1540,1.561159047014371e-05,0.0,1.561159047014371e-05,0.0
1541,1.561159047014371e-05,0.0,1.561159047014371e-05,0.0
1542,1.673833539176225e-05,0.0,1.673833539176225e-05,0.0
1543,1.6291071005980484e-05,0.0,1.6291071005980484e-05,0.0
1544,1.976869420364632e-05,0.0,1.976869420364632e-05,0.0
1545,2.1376214785310106e-05,0.0,2.1376214785310106e-05,0.0
1546,8.653848843615769e-06,0.0,8.653848843615769e-06,0.0
1547,8.653848843615769e-06,0.0,8.653848843615769e-06,0.0
1548,2.5299396968746025e-05,0.0,2.5299396968746025e-05,0.0
1549,2.4715419775540276e-05,0.0,2.4715419775540276e-05,0.0
1550,2.4715419775540276e-05,0.0,2.4715419775540276e-05,0.0
1551,2.123779657787444e-05,0.0,2.123779657787444e-05,0.0
1552,3.405249624068217e-05,0.0,3.405249624068217e-05,0.0
1553,3.349308384973223e-05,0.0,3.349308384973223e-05,0.0
1554,4.274968601488841e-05,0.0,4.274968601488841e-05,0.0
1555,2.6705122893742684e-05,0.0,2.6705122893742684e-05,0.0
1556,2.4279807413612226e-05,0.0,2.4279807413612226e-05,0.0
1557,2.4279807413612226e-05,0.0,2.4279807413612226e-05,0.0
1558,2.4961856070149224e-05,0.0,2.4961856070149224e-05,0.0
1559,7.930856957370582e-05,0.0,7.930856957370582e-05,0.0
1560,8.469285252691147e-05,0.0,8.469285252691147e-05,0.0
1561,7.54362503617553e-05,0.0,7.54362503617553e-05,0.0
1562,8.194612369801948e-05,0.0,8.194612369801948e-05,0.0
1563,8.194612369801948e-05,0.0,8.194612369801948e-05,0.0
1564,0.00010103106446227425,0.0,0.00010103106446227425,0.0
1565,0.0001033844177332607,0.0,0.0001033844177332607,0.0
1566,3.461548398523259e-05,0.0,3.461548398523259e-05,0.0
1567,2.9231201032026937e-05,0.0,2.9231201032026937e-05,0.0
1568,2.9231201032026937e-05,0.0,2.9231201032026937e-05,0.0
1569,2.2863048018604915e-05,0.0,2.2863048018604915e-05,0.0
1570,2.437406029847417e-05,0.0,2.437406029847417e-05,0.0
1571,5.289119534219415e-06,0.0,5.289119534219415e-06,0.0
1572,9.533168719956717e-06,0.0,9.533168719956717e-06,0.0
1573,1.9600443530569983e-05,0.0,1.9600443530569983e-05,0.0
1574,2.0689866622498293e-05,0.0,2.0689866622498293e-05,0.0
1575,3.200538289352802e-05,0.0,3.200538289352802e-05,0.0
1576,3.667084281135301e-05,0.0,3.667084281135301e-05,0.0
1577,3.515983053148375e-05,0.0,3.515983053148375e-05,0.0
1578,4.3350876499711634e-05,0.0,4.3350876499711634e-05,2.40913111935827e-07
1579,3.736493499673088e-05,0.0,3.736493499673088e-05,2.40913111935827e-07
1580,2.7297660186117616e-05,0.0,2.7297660186117616e-05,2.40913111935827e-07
1581,2.739485184325271e-05,0.0,2.739485184325271e-05,2.40913111935827e-07
1582,2.0269149250192902e-05,0.0,2.0269149250192902e-05,2.40913111935827e-07
1583,1.5822229215700645e-05,0.0,1.5822229215700645e-05,2.40913111935827e-07
1584,1.762045238657655e-05,0.0,1.762045238657655e-05,2.40913111935827e-07
1585,1.829915631138387e-05,0.0,1.829915631138387e-05,0.0
1586,1.772454054714347e-05,0.0,1.772454054714347e-05,0.0
1587,2.0839256649196614e-05,0.0,2.0839256649196614e-05,0.0
1588,2.5008688420971987e-05,0.0,2.5008688420971987e-05,0.0
1589,2.660739534933652e-05,0.0,2.660739534933652e-05,0.0
1590,3.8124980814505503e-05,0.0,3.8124980814505503e-05,0.0
1591,4.8054230319394264e-05,0.0,4.8054230319394264e-05,0.0
1592,4.45572263093449e-05,0.0,4.45572263093449e-05,5.969717936490529e-07
1593,5.053663413231594e-05,0.0,5.053663413231594e-05,5.969717936490529e-07
