ngram,Monad
1500,0.0
1501,0.0
1502,0.0
1503,0.0
1504,0.0
1505,0.0
1506,0.0
1507,0.0
1508,0.0
1509,0.0
1510,0.0
1511,0.0
1512,0.0
1513,0.0
1514,0.0
1515,0.0
1516,0.0
1517,0.0
1518,0.0
1519,0.0
1520,0.0
1521,0.0
1522,0.0
1523,0.0
1524,0.0
1525,0.0
1526,0.0
1527,0.0
1528,0.0
1529,0.0
1530,0.0
1531,0.0
1532,0.0
1533,0.0
1534,0.0
1535,0.0
1536,0.0
1537,0.0
1538,0.0
1539,0.0
1540,0.0
1541,0.0
1542,0.0
1543,0.0
1544,0.0
1545,0.0
1546,0.0
1547,0.0
1548,0.0
1549,0.0
1550,0.0
1551,0.0
1552,0.0
1553,0.0
1554,0.0
1555,0.0
1556,0.0
1557,0.0
1558,0.0
1559,0.0
1560,0.0
1561,0.0
1562,0.0
1563,0.0
1564,0.0
1565,0.0
1566,0.0
1567,0.0
1568,0.0
1569,0.0
1570,0.0
1571,0.0
1572,0.0
1573,0.0
1574,0.0
1575,0.0
1576,0.0
1577,0.0
1578,0.0
1579,0.0
1580,0.0
1581,0.0
1582,0.0
1583,0.0
1584,0.0
1585,0.0
1586,0.0
1587,0.0
1588,0.0
1589,0.0
1590,0.0
1591,0.0
1592,0.0
1593,0.0
1594,0.0
1595,0.0
1596,0.0
1597,0.0
1598,0.0
1599,0.0
1600,0.0
1601,0.0
1602,0.0
1603,0.0
1604,0.0
1605,0.0
1606,4.0040052746397645e-07
1607,4.0040052746397645e-07
1608,4.0040052746397645e-07
1609,4.0040052746397645e-07
1610,4.0040052746397645e-07
1611,4.0040052746397645e-07
1612,4.0040052746397645e-07
1613,0.0
1614,0.0
1615,0.0
1616,0.0
1617,0.0
1618,0.0
1619,0.0
1620,0.0
1621,0.0
1622,0.0
1623,0.0
1624,0.0
1625,0.0
1626,0.0
1627,0.0
1628,0.0
1629,0.0
1630,0.0
1631,0.0
1632,0.0
1633,0.0
1634,0.0
1635,0.0
1636,0.0
1637,0.0
1638,0.0
1639,7.787022988330656e-08
1640,7.787022988330656e-08
1641,7.787022988330656e-08
1642,7.787022988330656e-08
1643,7.787022988330656e-08
1644,7.787022988330656e-08
1645,7.787022988330656e-08
1646,0.0
1647,0.0
1648,0.0
1649,0.0
1650,0.0
1651,0.0
1652,0.0
1653,0.0
1654,0.0
1655,0.0
1656,0.0
1657,0.0
1658,0.0
1659,0.0
1660,0.0
1661,0.0
1662,0.0
1663,0.0
1664,0.0
1665,0.0
1666,0.0
1667,0.0
1668,0.0
1669,0.0
1670,0.0
1671,0.0
1672,0.0
1673,0.0
1674,0.0
1675,0.0
1676,0.0
1677,0.0
1678,0.0
1679,0.0
1680,0.0
1681,2.237584746061267e-08
1682,6.269791340076023e-08
1683,6.269791340076023e-08
1684,6.269791340076023e-08
1685,6.269791340076023e-08
1686,9.032712000589527e-08
1687,9.032712000589527e-08
1688,6.79512725452826e-08
1689,2.762920660513503e-08
1690,2.762920660513503e-08
1691,5.209525966165529e-08
1692,5.209525966165529e-08
1693,2.446605305652026e-08
1694,2.446605305652026e-08
1695,3.99728565168646e-08
1696,3.99728565168646e-08
1697,3.99728565168646e-08
1698,3.624934460536419e-08
1699,2.8457061570666807e-07
1700,3.4955987920121903e-07
1701,3.8822691651928055e-07
1702,4.0867559342976687e-07
1703,4.417992239983245e-07
1704,4.417992239983245e-07
1705,4.2105668285330466e-07
1706,1.727354117520008e-07
1707,1.077461482574498e-07
1708,6.907911093938829e-08
1709,3.312363056855767e-08
1710,0.0
1711,7.753862973913783e-08
1712,1.1012889038803613e-07
1713,1.1012889038803613e-07
1714,1.484153325951151e-07
1715,1.8238239363199682e-07
1716,1.8238239363199682e-07
1717,2.053066095543597e-07
1718,1.2776797981522187e-07
1719,9.517771916632358e-08
1720,1.223611028373333e-07
1721,9.283471870600937e-08
1722,5.8867657669127634e-08
1723,1.5149529986047128e-07
1724,1.285710839381084e-07
1725,1.285710839381084e-07
1726,1.285710839381084e-07
1727,1.2875856368412185e-07
1728,1.1999850560836682e-07
1729,1.454864125045268e-07
1730,5.2858770313183156e-08
1731,5.98255098793743e-08
1732,6.608403373726495e-08
1733,6.608403373726495e-08
1734,3.871317032024178e-08
1735,5.164702240481997e-08
1736,3.1671440581249044e-08
1737,3.1671440581249044e-08
1738,2.4704701015057902e-08
1739,1.8446177157167247e-08
1740,2.593345576380151e-08
1741,2.593345576380151e-08
1742,1.2999603679223322e-08
1743,2.6750065781503248e-08
1744,4.90703670712784e-08
1745,6.800509463492485e-08
1746,8.791700320135273e-08
1747,9.290717985420218e-08
1748,9.290717985420218e-08
1749,9.290717985420218e-08
1750,7.694312412606255e-08
1751,9.031420868309072e-08
1752,8.697384171593317e-08
1753,7.712063800267646e-08
1754,9.393166295572947e-08
1755,9.393166295572947e-08
1756,9.393166295572947e-08
1757,1.0281342456762235e-07
1758,6.712203872081903e-08
1759,6.19640628331451e-08
1760,5.1905357979973946e-08
1761,3.094357988889637e-08
1762,3.3626161918424e-08
1763,5.065820829486256e-08
1764,4.128839492523184e-08
1765,4.423580333780462e-08
1766,3.379941862898964e-08
1767,3.379941862898964e-08
1768,2.815492905483552e-08
1769,2.5472347025307888e-08
1770,1.4206143816863914e-08
1771,1.4028107945104499e-08
1772,1.8988944765802833e-08
1773,1.8988944765802833e-08
1774,1.8988944765802833e-08
1775,2.2084110540276924e-08
1776,3.022121905108374e-08
1777,2.445537588308915e-08
1778,2.4603875762149333e-08
1779,2.4380687690950253e-08
1780,2.6729828001797225e-08
1781,3.0554861751852513e-08
1782,2.4777483430073388e-08
1783,2.0989573000308936e-08
1784,2.0989573000308936e-08
1785,1.8208429304016656e-08
1786,1.32035687780022e-08
1787,1.085442846715523e-08
1788,8.150286490149483e-08
1789,1.070973308766757e-07
1790,1.0606267813224284e-07
1791,1.0714864436981283e-07
1792,1.093251684736174e-07
1793,1.0861701607974997e-07
1794,1.0861701607974997e-07
1795,8.254696761054805e-08
1796,6.169330976238793e-08
1797,6.29141536328299e-08
1798,6.356415749309008e-08
1799,6.379071176049983e-08
1800,6.346532315555059e-08
1801,6.485834459977826e-08
1802,2.0796190801166048e-08
1803,1.8161382366242507e-08
1804,1.7592001379439026e-08
1805,2.104958150640966e-08
1806,2.666155613744487e-08
1807,2.6688670321358846e-08
1808,2.741391761215287e-08
1809,2.452004821407172e-08
1810,2.633692629063132e-08
1811,2.4245989597001686e-08
1812,3.098785203040474e-08
1813,2.530055174889055e-08
1814,2.5298447019801122e-08
1815,2.8008695807102413e-08
1816,3.8732351294510995e-08
1817,4.783188867207855e-08
1818,4.900040995181598e-08
1819,4.337748991746691e-08
1820,4.650342371499099e-08
1821,4.868838614819586e-08
1822,5.696060283761588e-08
1823,5.040805944085085e-08
1824,4.140924479502571e-08
1825,4.1151221604910204e-08
1826,4.3844595256002453e-08
1827,3.954118543703089e-08
1828,3.778081479412419e-08
1829,3.20588796144859e-08
1830,3.406473211445668e-08
1831,3.858744016379692e-08
1832,4.108113709528587e-08
1833,3.537440143982654e-08
1834,5.133452367951057e-08
1835,5.267338616070967e-08
1836,5.039874752453345e-08
1837,5.090573245476142e-08
1838,5.59454070371755e-08
1839,6.438258028294643e-08
1840,6.818853037771078e-08
1841,5.618649723260205e-08
1842,6.661729859810553e-08
1843,7.764447218505666e-08
1844,7.92634209696124e-08
1845,7.12834941550357e-08
1846,6.85240983955282e-08
1847,6.63280605043123e-08
1848,7.139160221722055e-08
1849,6.784367252115381e-08
1850,6.058921186991029e-08
1851,6.012463365274406e-08
1852,6.624886138086237e-08
1853,6.479890757304929e-08
1854,7.089927070832605e-08
1855,7.086020100846976e-08
1856,6.869281372295128e-08
1857,6.641032967991123e-08
1858,6.783886468448535e-08
1859,6.11657198541187e-08
1860,6.184482919430983e-08
1861,5.767031144695725e-08
1862,5.985121173271832e-08
1863,6.645161322791995e-08
1864,7.798884534996173e-08
1865,8.46998524650644e-08
1866,9.3135796979433e-08
1867,9.69072207876057e-08
1868,1.146291422417432e-07
1869,1.3073806976698116e-07
1870,1.261660510668402e-07
1871,1.2556328954360652e-07
1872,1.1849881177892842e-07
1873,1.200240973275868e-07
1874,1.2724827464743222e-07
1875,1.1476608920345046e-07
1876,9.63480713624319e-08
1877,9.931091377828644e-08
1878,9.676790771858837e-08
1879,9.66717865123558e-08
1880,9.329530367300062e-08
1881,8.335085510680074e-08
1882,8.109633345806547e-08
1883,8.37801234102439e-08
1884,8.723622763844624e-08
1885,9.108648210290734e-08
1886,9.166414624165295e-08
1887,9.325893099035706e-08
1888,9.222865315905437e-08
1889,1.070091926180794e-07
1890,1.1124357156079765e-07
1891,1.0588625595378939e-07
1892,9.590395068568926e-08
1893,9.548550090292857e-08
1894,1.0115938664512214e-07
1895,1.1851722498639511e-07
1896,1.035486546032059e-07
1897,9.492964738098766e-08
1898,9.139132777542208e-08
1899,9.381193269827495e-08
1900,9.258599474394811e-08
1901,9.602167797392472e-08
1902,7.567122902888254e-08
1903,8.040032639655692e-08
1904,8.842586903970836e-08
1905,9.368340363786437e-08
1906,9.297470120778989e-08
1907,9.239106546488074e-08
1908,7.954214759869111e-08
1909,8.431716176054189e-08
1910,8.24351370657236e-08
1911,7.528928591682416e-08
1912,7.04590103087607e-08
1913,8.234103684604374e-08
1914,9.55053037289742e-08
1915,1.1869830071223727e-07
1916,1.2039096576797549e-07
1917,1.2556450863192887e-07
1918,1.3094818943467805e-07
1919,1.3791934147125824e-07
1920,1.4516972766744273e-07
1921,1.3854331574033756e-07
1922,1.5166800437782513e-07
1923,1.623919853191832e-07
1924,1.6024696947170014e-07
1925,1.79497395233089e-07
1926,1.7308448921734714e-07
1927,1.5430079258749174e-07
1928,1.4959537963932235e-07
1929,1.1260511456612221e-07
1930,1.0728539276020196e-07
1931,1.0030344960958765e-07
1932,8.688996392233353e-08
1933,8.895172243228444e-08
1934,8.367673741206869e-08
1935,8.954118564068786e-08
1936,9.093390929137968e-08
1937,9.981075826155055e-08
1938,9.8419768335134e-08
1939,8.204847874131766e-08
1940,7.5245286319208e-08
1941,7.479062118826668e-08
1942,7.041038203275158e-08
1943,6.744413966990643e-08
1944,5.418366327043194e-08
1945,6.311554885079268e-08
1946,6.614875707506534e-08
1947,7.127561068338245e-08
1948,8.01641389460071e-08
1949,7.45254656716757e-08
1950,7.471903070869043e-08
1951,7.267631677417999e-08
1952,6.470261076125488e-08
1953,6.416329258383615e-08
1954,6.004001105809818e-08
1955,5.056138923415736e-08
1956,4.9871799388613777e-08
1957,5.352679518669642e-08
1958,4.78888009882082e-08
1959,4.774681627850441e-08
1960,5.281380158602847e-08
1961,5.3840567306094404e-08
1962,5.6989022263158924e-08
1963,6.151797699820755e-08
1964,5.844921803697746e-08
1965,5.834699073099208e-08
1966,5.888137165145833e-08
1967,5.961714677482632e-08
1968,6.555248788231438e-08
1969,6.732485400919228e-08
1970,6.933020963677855e-08
1971,7.546845941825658e-08
1972,7.65571250838093e-08
1973,7.696147313091777e-08
1974,7.223361058501204e-08
1975,6.721463766520433e-08
1976,6.52935661094034e-08
1977,6.4570121947684e-08
1978,5.8234377827862515e-08
1979,5.779276232179395e-08
1980,5.514905154768712e-08
1981,5.449054794683304e-08
1982,5.56092990068789e-08
1983,5.385544860863385e-08
1984,4.9873341773880904e-08
1985,4.8304519241680414e-08
1986,4.884136523790923e-08
1987,5.083437417040061e-08
1988,5.0538479813764884e-08
1989,5.0622151803736415e-08
1990,5.517387334309985e-08
1991,5.691969207077818e-08
1992,5.766628825248128e-08
1993,5.9462922458968544e-08
1994,5.8748083477309724e-08
1995,6.263962808767636e-08
1996,6.186079762723498e-08
1997,6.279521918323943e-08
1998,6.966864418700425e-08
1999,7.089524700631955e-08
2000,8.413753452681963e-08
2001,9.094329606844959e-08
2002,9.191470847927771e-08
2003,9.75862301442833e-08
2004,1.0118214685154011e-07
2005,1.0014157427105732e-07
2006,1.0193948136410264e-07
2007,9.195710301160684e-08
2008,9.027819101804977e-08
2009,9.012294656583566e-08
2010,8.883101847751667e-08
2011,9.064422304813239e-08
2012,9.07405594473078e-08
2013,9.57036608692111e-08
2014,9.452478216027365e-08
2015,9.785084590216034e-08
2016,1.0052743602630341e-07
2017,1.0363637059640496e-07
2018,1.0093346674011627e-07
2019,9.973053316514324e-08
