ngram,Record,Recrd,Reord,Recrd
1500,0.0001561988792673219,0.0,0.0,0.0
1501,0.0001249591034138575,0.0,0.0,0.0
1502,0.00010448400788239572,0.0,0.0,0.0
1503,8.955772104205348e-05,0.0,0.0,0.0
1504,8.308883759257566e-05,0.0,0.0,0.0
1505,5.467081746246549e-05,0.0,0.0,0.0
1506,5.467081746246549e-05,0.0,0.0,0.0
1507,5.467081746246549e-05,0.0,0.0,0.0
1508,5.467081746246549e-05,0.0,0.0,0.0
1509,5.4369598858881674e-05,0.0,0.0,0.0
1510,5.4369598858881674e-05,0.0,0.0,0.0
1511,1.8939830884586887e-06,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,0.0,0.0,0.0,0.0
1515,0.0,0.0,0.0,0.0
1516,0.0,0.0,0.0,0.0
1517,0.0,0.0,0.0,0.0
1518,0.0,0.0,0.0,0.0
1519,0.0,0.0,0.0,0.0
1520,0.0,0.0,0.0,0.0
1521,0.0,0.0,0.0,0.0
1522,0.0,0.0,0.0,0.0
1523,0.0,0.0,0.0,0.0
1524,0.0,0.0,0.0,0.0
1525,0.0,0.0,0.0,0.0
1526,0.0,0.0,0.0,0.0
1527,0.0,0.0,0.0,0.0
1528,4.2854529705696874e-05,0.0,0.0,0.0
1529,4.2854529705696874e-05,0.0,0.0,0.0
1530,4.2854529705696874e-05,0.0,0.0,0.0
1531,4.2854529705696874e-05,0.0,0.0,0.0
1532,4.420727951323248e-05,0.0,0.0,0.0
1533,4.420727951323248e-05,0.0,0.0,0.0
1534,9.476822495863806e-05,0.0,0.0,0.0
1535,5.379624300465886e-05,0.0,0.0,0.0
1536,5.871615147563196e-05,0.0,0.0,0.0
1537,5.871615147563196e-05,0.0,0.0,0.0
1538,5.871615147563196e-05,0.0,0.0,0.0
1539,6.81548463035142e-05,0.0,0.0,0.0
1540,6.81548463035142e-05,0.0,0.0,0.0
1541,1.759390085810862e-05,0.0,0.0,0.0
1542,2.9253170006476076e-05,0.0,0.0,0.0
1543,2.433326153550297e-05,0.0,0.0,0.0
1544,2.89237240005085e-05,0.0,0.0,0.0
1545,2.89237240005085e-05,0.0,0.0,0.0
1546,1.841198556056562e-05,0.0,0.0,0.0
1547,1.841198556056562e-05,0.0,0.0,0.0
1548,1.9006469431457974e-05,0.0,0.0,0.0
1549,6.677310271438078e-06,0.0,0.0,0.0
1550,6.677310271438078e-06,0.0,0.0,0.0
1551,2.0868478064325506e-06,0.0,0.0,0.0
1552,2.0868478064325506e-06,0.0,0.0,0.0
1553,1.8071416109575824e-06,0.0,0.0,0.0
1554,1.8071416109575824e-06,0.0,0.0,0.0
1555,1.9242208379312486e-05,0.0,0.0,0.0
1556,1.8029550639247255e-05,0.0,0.0,0.0
1557,1.8029550639247255e-05,0.0,0.0,0.0
1558,1.8029550639247255e-05,0.0,0.0,0.0
1559,1.8029550639247255e-05,0.0,0.0,0.0
1560,1.937562137754867e-05,0.0,0.0,0.0
1561,1.937562137754867e-05,0.0,0.0,0.0
1562,1.346070738301413e-06,0.0,0.0,0.0
1563,4.528422843057862e-06,0.0,0.0,0.0
1564,4.528422843057862e-06,0.0,0.0,0.0
1565,2.3752635830273254e-05,0.0,0.0,0.0
1566,3.707832976423171e-05,0.0,0.0,0.0
1567,3.573225902593029e-05,0.0,0.0,0.0
1568,3.867334037620042e-05,0.0,0.0,0.0
1569,3.9416045703027134e-05,0.0,0.0,0.0
1570,3.623369359827068e-05,0.0,0.0,0.0
1571,4.35892486296195e-05,0.0,0.0,0.0
1572,2.5404957211451672e-05,0.0,0.0,0.0
1573,1.7112900682799852e-05,0.0,0.0,0.0
1574,1.9291746866656467e-05,0.0,0.0,0.0
1575,7.418552715015332e-05,0.0,0.0,0.0
1576,7.34428218233266e-05,0.0,0.0,0.0
1577,7.34428218233266e-05,0.0,0.0,0.0
1578,7.62056177856201e-05,0.0,0.0,0.0
1579,7.516569621657254e-05,0.0,0.0,0.0
1580,7.013205881126591e-05,0.0,0.0,0.0
1581,6.854652000194099e-05,0.0,0.0,0.0
1582,1.071165836817402e-05,0.0,0.0,0.0
1583,1.8641931416953283e-05,0.0,0.0,0.0
1584,2.0440154587829185e-05,0.0,0.0,0.0
1585,1.0321803594186868e-05,0.0,0.0,0.0
1586,1.1759591286266056e-05,0.0,0.0,0.0
1587,1.4182148139038223e-05,0.0,0.0,0.0
1588,1.3588840764506521e-05,0.0,0.0,0.0
1589,1.3775567237774209e-05,0.0,0.0,0.0
1590,6.105269838891607e-06,0.0,0.0,0.0
1591,5.1066470600095016e-06,0.0,0.0,0.0
1592,5.703618853658554e-06,0.0,0.0,0.0
1593,4.712384614841929e-06,0.0,0.0,0.0
