ngram,G3,G3o,G3n,G3s,3,G3a,G3b
1500,0.0,0.0,0.0,0.0,0.0009860902791842818,0.0,0.0
1501,0.0,0.0,0.0,0.0,0.0007888722233474254,0.0,0.0
1502,0.0,0.0,0.0,0.0,0.0007594815203143904,0.0,0.0
1503,0.0,0.0,0.0,0.0,0.000829477486799338,0.0,0.0
1504,0.0,0.0,0.0,0.0,0.0006616895968493607,0.0,0.0
1505,0.0,0.0,0.0,0.0,0.0006398606263766331,0.0,0.0
1506,0.0,0.0,0.0,0.0,0.0006550654735682267,0.0,0.0
1507,0.0,0.0,0.0,0.0,0.0006550654735682267,0.0,0.0
1508,0.0,0.0,0.0,0.0,0.0006550654735682267,0.0,0.0
1509,0.0,0.0,0.0,0.0,0.0005675614728326244,0.0,0.0
1510,0.0,0.0,0.0,0.0,0.0003890681463027639,0.0,0.0
1511,0.0,0.0,0.0,0.0,0.00026868291232468825,0.0,0.0
1512,0.0,0.0,0.0,0.0,1.5204847191593476e-05,0.0,0.0
1513,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1514,0.0,0.0,0.0,0.0,0.00010026706149801612,0.0,0.0
1515,0.0,0.0,0.0,0.0,0.00010026706149801612,0.0,0.0
1516,0.0,0.0,0.0,0.0,0.00010026706149801612,0.0,0.0
1517,0.0,0.0,0.0,0.0,0.00029630820167117884,0.0,0.0
1518,0.0,0.0,0.0,0.0,0.00029630820167117884,0.0,0.0
1519,0.0,0.0,0.0,0.0,0.00029630820167117884,0.0,0.0
1520,0.0,0.0,0.0,0.0,0.00032460978296252767,0.0,0.0
1521,0.0,0.0,0.0,0.0,0.00022434272146451155,0.0,0.0
1522,0.0,0.0,0.0,0.0,0.0002465590202648725,0.0,0.0
1523,0.0,0.0,0.0,0.0,0.00027428104450726617,0.0,0.0
1524,0.0,0.0,0.0,0.0,0.0002743843215284869,0.0,0.0
1525,0.0,0.0,0.0,0.0,0.0005906731759231272,0.0,0.0
1526,0.0,0.0,0.0,0.0,0.0009301099863867941,0.0,0.0
1527,0.0,0.0,0.0,0.0,0.0009018084050954453,0.0,0.0
1528,0.0,0.0,0.0,0.0,0.001141166638782514,0.0,0.0
1529,0.0,0.0,0.0,0.0,0.001118950339982153,0.0,0.0
1530,0.0,0.0,0.0,0.0,0.001144441555620038,0.0,0.0
1531,0.0,0.0,0.0,0.0,0.0011091528950990842,0.0,0.0
1532,0.0,0.0,0.0,0.0,0.0009340009377670608,0.0,0.0
1533,0.0,0.0,0.0,0.0,0.0006025458652792233,0.0,0.0
1534,0.0,0.0,0.0,0.0,0.0007626555161550641,0.0,0.0
1535,0.0,0.0,0.0,0.0,0.0006592172347674412,0.0,0.0
1536,0.0,0.0,0.0,0.0,0.000810392591769674,0.0,0.0
1537,0.0,0.0,0.0,0.0,0.0007927513506729156,0.0,0.0
1538,0.0,0.0,0.0,0.0,0.0006477777871103692,0.0,0.0
1539,0.0,0.0,0.0,0.0,0.0006959062260908208,0.0,0.0
1540,0.0,0.0,0.0,0.0,0.0011188661031025862,0.0,0.0
1541,0.0,0.0,0.0,0.0,0.0010269948771955179,0.0,0.0
1542,0.0,0.0,0.0,0.0,0.0009136446190365989,0.0,0.0
1543,0.0,0.0,0.0,0.0,0.0007966947388402852,0.0,0.0
1544,0.0,0.0,0.0,0.0,0.0009208151916806985,0.0,0.0
1545,0.0,0.0,0.0,0.0,0.0010635417067013414,0.0,0.0
1546,0.0,0.0,0.0,0.0,0.0009925920894602314,0.0,0.0
1547,0.0,0.0,0.0,0.0,0.0011122101963597483,0.0,0.0
1548,0.0,0.0,0.0,0.0,0.0012886018895577373,0.0,0.0
1549,0.0,0.0,0.0,0.0,0.0012708828263774713,0.0,0.0
