ngram,Hop,Hopr,Hopd,Hopx,Hozp,Hopn
1500,1.4034404784979415e-06,0.0,0.0,0.0,0.0,0.0
1501,1.1227523827983533e-06,0.0,0.0,0.0,0.0,0.0
1502,9.356269856652943e-07,0.0,0.0,0.0,0.0,0.0
1503,8.019659877131094e-07,0.0,0.0,0.0,0.0,0.0
1504,0.0,0.0,0.0,0.0,0.0,0.0
1505,0.0,0.0,0.0,0.0,0.0,0.0
1506,0.0,0.0,0.0,0.0,0.0,0.0
1507,0.0,0.0,0.0,0.0,0.0,0.0
1508,0.0,0.0,0.0,0.0,0.0,0.0
1509,0.0,0.0,0.0,0.0,0.0,0.0
1510,0.0,0.0,0.0,0.0,0.0,0.0
1511,0.0,0.0,0.0,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0,0.0,0.0
1514,0.0,0.0,0.0,0.0,0.0,0.0
1515,0.0,0.0,0.0,0.0,0.0,0.0
1516,0.0,0.0,0.0,0.0,0.0,0.0
1517,0.0,0.0,0.0,0.0,0.0,0.0
1518,0.0,0.0,0.0,0.0,0.0,0.0
1519,0.0,0.0,0.0,0.0,0.0,0.0
1520,0.0,0.0,0.0,0.0,0.0,0.0
1521,0.0,0.0,0.0,0.0,0.0,0.0
1522,0.0,0.0,0.0,0.0,0.0,0.0
1523,0.0,0.0,0.0,0.0,0.0,0.0
1524,0.0,0.0,0.0,0.0,0.0,0.0
1525,0.0,0.0,0.0,0.0,0.0,0.0
1526,0.0,0.0,0.0,0.0,0.0,0.0
1527,0.0,0.0,0.0,0.0,0.0,0.0
1528,0.0,0.0,0.0,0.0,0.0,0.0
1529,0.0,0.0,0.0,0.0,0.0,0.0
1530,0.0,0.0,0.0,0.0,0.0,0.0
1531,0.0,0.0,0.0,0.0,0.0,0.0
1532,0.0,0.0,0.0,0.0,0.0,0.0
1533,0.0,0.0,0.0,0.0,0.0,0.0
1534,0.0,0.0,0.0,0.0,0.0,0.0
1535,0.0,0.0,0.0,0.0,0.0,0.0
1536,0.0,0.0,0.0,0.0,0.0,0.0
1537,0.0,0.0,0.0,0.0,0.0,0.0
1538,0.0,0.0,0.0,0.0,0.0,0.0
1539,0.0,0.0,0.0,0.0,0.0,0.0
1540,0.0,0.0,0.0,0.0,0.0,0.0
1541,0.0,0.0,0.0,0.0,0.0,0.0
1542,0.0,0.0,0.0,0.0,0.0,0.0
1543,0.0,0.0,0.0,0.0,0.0,0.0
1544,1.391049246584381e-07,0.0,0.0,0.0,0.0,0.0
1545,1.391049246584381e-07,0.0,0.0,0.0,0.0,0.0
1546,1.391049246584381e-07,0.0,0.0,0.0,0.0,0.0
1547,1.391049246584381e-07,0.0,0.0,0.0,0.0,0.0
1548,1.391049246584381e-07,0.0,0.0,0.0,0.0,0.0
1549,1.391049246584381e-07,0.0,0.0,0.0,0.0,0.0
1550,1.391049246584381e-07,0.0,0.0,0.0,0.0,0.0
1551,0.0,0.0,0.0,0.0,0.0,0.0
1552,0.0,0.0,0.0,0.0,0.0,0.0
1553,0.0,0.0,0.0,0.0,0.0,0.0
1554,0.0,0.0,0.0,0.0,0.0,0.0
1555,0.0,0.0,0.0,0.0,0.0,0.0
1556,0.0,0.0,0.0,0.0,0.0,0.0
1557,0.0,0.0,0.0,0.0,0.0,0.0
1558,0.0,0.0,0.0,0.0,0.0,0.0
1559,0.0,0.0,0.0,0.0,0.0,0.0
1560,0.0,0.0,0.0,0.0,0.0,0.0
1561,0.0,0.0,0.0,0.0,0.0,0.0
1562,0.0,0.0,0.0,0.0,0.0,0.0
1563,0.0,0.0,0.0,0.0,0.0,0.0
1564,0.0,0.0,0.0,0.0,0.0,0.0
1565,0.0,0.0,0.0,0.0,0.0,0.0
1566,0.0,0.0,0.0,0.0,0.0,0.0
1567,6.823973178273133e-07,0.0,0.0,0.0,0.0,0.0
1568,6.823973178273133e-07,0.0,0.0,0.0,0.0,0.0
1569,6.823973178273133e-07,0.0,0.0,0.0,0.0,0.0
1570,6.823973178273133e-07,0.0,0.0,0.0,0.0,0.0
1571,6.823973178273133e-07,0.0,0.0,0.0,0.0,0.0
1572,1.2023581023510945e-06,0.0,0.0,0.0,0.0,0.0
1573,1.2023581023510945e-06,0.0,0.0,0.0,0.0,0.0
1574,5.199607845237811e-07,0.0,0.0,0.0,0.0,0.0
1575,5.199607845237811e-07,0.0,0.0,0.0,0.0,0.0
1576,5.199607845237811e-07,0.0,0.0,0.0,0.0,0.0
1577,5.199607845237811e-07,0.0,0.0,0.0,0.0,0.0
1578,5.199607845237811e-07,0.0,0.0,0.0,0.0,0.0
1579,0.0,0.0,0.0,0.0,0.0,0.0
1580,0.0,0.0,0.0,0.0,0.0,0.0
1581,5.933073745317026e-07,0.0,0.0,0.0,0.0,0.0
1582,5.933073745317026e-07,0.0,0.0,0.0,0.0,0.0
1583,5.933073745317026e-07,0.0,0.0,0.0,0.0,0.0
1584,5.933073745317026e-07,0.0,0.0,0.0,0.0,0.0
1585,5.933073745317026e-07,0.0,0.0,0.0,0.0,0.0
1586,5.933073745317026e-07,0.0,0.0,0.0,0.0,0.0
1587,5.933073745317026e-07,0.0,0.0,0.0,0.0,0.0
1588,0.0,0.0,0.0,0.0,0.0,0.0
1589,0.0,0.0,0.0,0.0,0.0,0.0
1590,0.0,0.0,0.0,0.0,0.0,0.0
1591,0.0,0.0,0.0,0.0,0.0,0.0
1592,0.0,0.0,0.0,0.0,0.0,0.0
1593,2.2327672663128135e-07,0.0,0.0,0.0,0.0,0.0
1594,2.2327672663128135e-07,0.0,0.0,0.0,0.0,0.0
1595,6.740738172084093e-07,0.0,0.0,0.0,0.0,0.0
1596,6.740738172084093e-07,0.0,0.0,0.0,0.0,0.0
1597,1.037260095212592e-06,0.0,0.0,0.0,0.0,0.0
1598,1.0814940115519027e-06,0.0,0.0,0.0,0.0,0.0
1599,1.0814940115519027e-06,0.0,0.0,0.0,0.0,0.0
1600,1.0712294543476934e-06,0.0,0.0,0.0,0.0,0.0
1601,1.0712294543476934e-06,0.0,0.0,0.0,0.0,0.0
1602,6.204323637705654e-07,0.0,0.0,0.0,0.0,0.0
1603,1.0325424731101002e-06,0.0,0.0,0.0,0.0,0.0
1604,6.693561951059175e-07,0.0,0.0,0.0,0.0,0.0
1605,6.251222787666068e-07,0.0,0.0,0.0,0.0,0.0
1606,6.251222787666068e-07,0.0,0.0,0.0,0.0,0.0
1607,4.121101093395347e-07,0.0,0.0,0.0,0.0,0.0
1608,4.121101093395347e-07,0.0,0.0,0.0,0.0,0.0
1609,4.121101093395347e-07,0.0,0.0,0.0,0.0,0.0
1610,0.0,0.0,0.0,0.0,0.0,0.0
1611,0.0,0.0,0.0,0.0,0.0,0.0
1612,0.0,0.0,0.0,0.0,0.0,0.0
1613,0.0,0.0,0.0,0.0,0.0,0.0
1614,0.0,0.0,0.0,0.0,0.0,0.0
1615,0.0,0.0,0.0,0.0,0.0,0.0
1616,0.0,0.0,0.0,0.0,0.0,0.0
1617,0.0,0.0,0.0,0.0,0.0,0.0
1618,9.847713857068032e-08,0.0,0.0,0.0,0.0,0.0
1619,3.2354613819864297e-07,0.0,0.0,0.0,0.0,0.0
1620,7.265017935813895e-07,0.0,0.0,0.0,0.0,0.0
1621,9.049197891337306e-07,0.0,0.0,0.0,0.0,0.0
1622,9.049197891337306e-07,0.0,0.0,0.0,0.0,0.0
1623,9.049197891337306e-07,0.0,0.0,0.0,0.0,0.0
1624,1.5022485594532294e-06,0.0,0.0,0.0,0.0,0.0
1625,1.4037714208825491e-06,0.0,0.0,0.0,0.0,0.0
1626,1.1787024212545866e-06,0.0,0.0,0.0,0.0,0.0
1627,9.355181061567106e-07,0.0,0.0,0.0,0.0,0.0
1628,8.22611736696542e-07,0.0,0.0,0.0,0.0,0.0
1629,9.051410805633558e-07,0.0,0.0,0.0,0.0,0.0
1630,9.913900791096758e-07,0.0,0.0,0.0,0.0,0.0
1631,3.940613087901771e-07,0.0,0.0,0.0,0.0,0.0
1632,4.856874430255889e-07,0.0,0.0,0.0,0.0,0.0
1633,6.22780240584169e-07,0.0,0.0,0.0,0.0,0.0
1634,4.630089002992983e-07,0.0,0.0,0.0,0.0,0.0
1635,3.974972742071259e-07,0.0,0.0,0.0,0.0,0.0
1636,3.1496793034031203e-07,0.0,0.0,0.0,0.0,0.0
1637,3.7503918650015423e-07,0.0,0.0,0.0,0.0,0.0
1638,7.117143760686824e-07,0.0,0.0,0.0,0.0,0.0
1639,6.97958471716577e-07,0.0,0.0,0.0,0.0,0.0
1640,6.636737290526591e-07,0.0,0.0,0.0,0.0,0.0
1641,7.831179037306615e-07,0.0,0.0,0.0,0.0,0.0
1642,9.990175726670714e-07,0.0,0.0,0.0,0.0,0.0
1643,1.0893400193318875e-06,0.0,0.0,0.0,0.0,0.0
