ngram,Knowledge,Skills and Abilities,Knowledge,Knowledge,Knowledge,Knowledge,Skills and Abilities,Skills and Abilities
1500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1502,1.7571085209056037e-07,0.0,1.7571085209056037e-07,1.7571085209056037e-07,1.7571085209056037e-07,1.7571085209056037e-07,0.0,0.0
1503,1.506093017919089e-07,0.0,1.506093017919089e-07,1.506093017919089e-07,1.506093017919089e-07,1.506093017919089e-07,0.0,0.0
1504,1.506093017919089e-07,0.0,1.506093017919089e-07,1.506093017919089e-07,1.506093017919089e-07,1.506093017919089e-07,0.0,0.0
1505,1.506093017919089e-07,0.0,1.506093017919089e-07,1.506093017919089e-07,1.506093017919089e-07,1.506093017919089e-07,0.0,0.0
1506,1.5355456493385384e-05,0.0,1.5355456493385384e-05,1.5355456493385384e-05,1.5355456493385384e-05,1.5355456493385384e-05,0.0,0.0
1507,1.5355456493385384e-05,0.0,1.5355456493385384e-05,1.5355456493385384e-05,1.5355456493385384e-05,1.5355456493385384e-05,0.0,0.0
1508,1.5355456493385384e-05,0.0,1.5355456493385384e-05,1.5355456493385384e-05,1.5355456493385384e-05,1.5355456493385384e-05,0.0,0.0
1509,1.5204847191593476e-05,0.0,1.5204847191593476e-05,1.5204847191593476e-05,1.5204847191593476e-05,1.5204847191593476e-05,0.0,0.0
1510,1.5204847191593476e-05,0.0,1.5204847191593476e-05,1.5204847191593476e-05,1.5204847191593476e-05,1.5204847191593476e-05,0.0,0.0
1511,1.5204847191593476e-05,0.0,1.5204847191593476e-05,1.5204847191593476e-05,1.5204847191593476e-05,1.5204847191593476e-05,0.0,0.0
1512,1.5204847191593476e-05,0.0,1.5204847191593476e-05,1.5204847191593476e-05,1.5204847191593476e-05,1.5204847191593476e-05,0.0,0.0
1513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1517,5.312767825671472e-07,0.0,5.312767825671472e-07,5.312767825671472e-07,5.312767825671472e-07,5.312767825671472e-07,0.0,0.0
1518,5.312767825671472e-07,0.0,5.312767825671472e-07,5.312767825671472e-07,5.312767825671472e-07,5.312767825671472e-07,0.0,0.0
1519,5.312767825671472e-07,0.0,5.312767825671472e-07,5.312767825671472e-07,5.312767825671472e-07,5.312767825671472e-07,0.0,0.0
1520,1.722922336609502e-06,0.0,1.722922336609502e-06,1.722922336609502e-06,1.722922336609502e-06,1.722922336609502e-06,0.0,0.0
1521,1.722922336609502e-06,0.0,1.722922336609502e-06,1.722922336609502e-06,1.722922336609502e-06,1.722922336609502e-06,0.0,0.0
1522,1.722922336609502e-06,0.0,1.722922336609502e-06,1.722922336609502e-06,1.722922336609502e-06,1.722922336609502e-06,0.0,0.0
1523,1.722922336609502e-06,0.0,1.722922336609502e-06,1.722922336609502e-06,1.722922336609502e-06,1.722922336609502e-06,0.0,0.0
1524,1.1916455540423548e-06,0.0,1.1916455540423548e-06,1.1916455540423548e-06,1.1916455540423548e-06,1.1916455540423548e-06,0.0,0.0
1525,1.1916455540423548e-06,0.0,1.1916455540423548e-06,1.1916455540423548e-06,1.1916455540423548e-06,1.1916455540423548e-06,0.0,0.0
1526,1.1916455540423548e-06,0.0,1.1916455540423548e-06,1.1916455540423548e-06,1.1916455540423548e-06,1.1916455540423548e-06,0.0,0.0
1527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1530,1.4578970097188306e-06,0.0,1.4578970097188306e-06,1.4578970097188306e-06,1.4578970097188306e-06,1.4578970097188306e-06,0.0,0.0
1531,1.4578970097188306e-06,0.0,1.4578970097188306e-06,1.4578970097188306e-06,1.4578970097188306e-06,1.4578970097188306e-06,0.0,0.0
1532,1.9088136014033807e-06,0.0,1.9088136014033807e-06,1.9088136014033807e-06,1.9088136014033807e-06,1.9088136014033807e-06,0.0,0.0
1533,1.9088136014033807e-06,0.0,1.9088136014033807e-06,1.9088136014033807e-06,1.9088136014033807e-06,1.9088136014033807e-06,0.0,0.0
1534,1.9088136014033807e-06,0.0,1.9088136014033807e-06,1.9088136014033807e-06,1.9088136014033807e-06,1.9088136014033807e-06,0.0,0.0
1535,1.9088136014033807e-06,0.0,1.9088136014033807e-06,1.9088136014033807e-06,1.9088136014033807e-06,1.9088136014033807e-06,0.0,0.0
1536,1.9088136014033807e-06,0.0,1.9088136014033807e-06,1.9088136014033807e-06,1.9088136014033807e-06,1.9088136014033807e-06,0.0,0.0
