ngram,Motherboard
1500,0.0
1501,0.0
1502,0.0
1503,0.0
1504,0.0
1505,0.0
1506,0.0
1507,0.0
1508,0.0
1509,0.0
1510,0.0
1511,0.0
1512,0.0
1513,0.0
1514,0.0
1515,0.0
1516,0.0
1517,0.0
1518,0.0
1519,0.0
1520,0.0
1521,0.0
1522,0.0
1523,0.0
1524,0.0
1525,0.0
1526,0.0
1527,0.0
1528,0.0
1529,0.0
1530,0.0
1531,0.0
1532,0.0
1533,0.0
1534,0.0
1535,0.0
1536,0.0
1537,0.0
1538,0.0
1539,0.0
1540,0.0
1541,0.0
1542,0.0
1543,0.0
1544,0.0
1545,0.0
1546,0.0
1547,0.0
1548,0.0
1549,0.0
1550,0.0
1551,0.0
1552,0.0
1553,0.0
1554,0.0
1555,0.0
1556,0.0
1557,0.0
1558,0.0
1559,0.0
1560,0.0
1561,0.0
1562,0.0
1563,0.0
1564,0.0
1565,0.0
1566,0.0
1567,0.0
1568,0.0
1569,0.0
1570,0.0
1571,0.0
1572,0.0
1573,0.0
1574,0.0
1575,0.0
1576,0.0
1577,0.0
1578,0.0
1579,0.0
1580,0.0
1581,0.0
1582,0.0
1583,0.0
1584,0.0
1585,0.0
1586,0.0
1587,0.0
1588,0.0
1589,0.0
1590,0.0
1591,0.0
1592,0.0
1593,0.0
1594,0.0
1595,0.0
1596,0.0
1597,0.0
1598,0.0
1599,0.0
1600,0.0
1601,0.0
1602,0.0
1603,0.0
1604,0.0
1605,0.0
1606,0.0
1607,0.0
1608,0.0
1609,0.0
1610,0.0
1611,0.0
1612,0.0
1613,0.0
1614,0.0
1615,0.0
1616,0.0
1617,0.0
1618,0.0
1619,0.0
1620,0.0
1621,0.0
1622,0.0
1623,0.0
1624,0.0
1625,0.0
1626,0.0
1627,0.0
1628,0.0
1629,0.0
1630,0.0
1631,0.0
1632,0.0
1633,0.0
1634,0.0
1635,0.0
1636,0.0
1637,0.0
1638,0.0
1639,0.0
1640,0.0
1641,0.0
1642,0.0
1643,0.0
1644,0.0
1645,0.0
1646,0.0
1647,0.0
1648,0.0
1649,0.0
1650,0.0
1651,0.0
1652,0.0
1653,0.0
1654,0.0
1655,0.0
1656,0.0
1657,0.0
1658,0.0
1659,0.0
1660,0.0
1661,0.0
1662,0.0
1663,0.0
1664,0.0
1665,0.0
1666,0.0
1667,0.0
1668,0.0
1669,0.0
1670,0.0
1671,0.0
1672,0.0
1673,0.0
1674,0.0
1675,0.0
1676,0.0
1677,0.0
1678,0.0
1679,0.0
1680,0.0
1681,0.0
1682,0.0
1683,0.0
1684,0.0
1685,0.0
1686,0.0
1687,0.0
1688,0.0
1689,0.0
1690,0.0
1691,0.0
1692,0.0
1693,0.0
1694,0.0
1695,0.0
1696,0.0
1697,0.0
1698,0.0
1699,0.0
1700,0.0
1701,0.0
1702,0.0
1703,0.0
1704,0.0
1705,0.0
1706,0.0
1707,0.0
1708,0.0
1709,0.0
1710,0.0
1711,0.0
1712,0.0
1713,0.0
1714,0.0
1715,0.0
1716,0.0
1717,0.0
1718,0.0
1719,0.0
1720,0.0
1721,0.0
1722,0.0
1723,0.0
1724,0.0
1725,0.0
1726,0.0
1727,0.0
1728,0.0
1729,0.0
1730,0.0
1731,0.0
1732,0.0
1733,0.0
1734,0.0
1735,0.0
1736,0.0
1737,0.0
1738,0.0
1739,0.0
1740,0.0
1741,0.0
1742,0.0
1743,0.0
1744,0.0
1745,0.0
1746,0.0
1747,0.0
1748,0.0
1749,0.0
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,0.0
1767,0.0
1768,0.0
1769,0.0
1770,0.0
1771,0.0
1772,0.0
1773,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,0.0
1787,0.0
1788,0.0
1789,0.0
1790,0.0
1791,0.0
1792,0.0
1793,0.0
1794,0.0
1795,0.0
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.0
1851,0.0
1852,0.0
1853,0.0
1854,0.0
1855,0.0
1856,0.0
1857,0.0
1858,0.0
1859,0.0
1860,0.0
1861,0.0
1862,0.0
1863,0.0
1864,0.0
1865,0.0
1866,0.0
1867,0.0
1868,0.0
1869,0.0
1870,0.0
1871,0.0
1872,0.0
1873,0.0
1874,0.0
1875,0.0
1876,0.0
1877,0.0
1878,0.0
1879,0.0
1880,0.0
1881,0.0
1882,0.0
1883,0.0
1884,0.0
1885,0.0
1886,0.0
1887,0.0
1888,0.0
1889,0.0
1890,0.0
1891,0.0
1892,0.0
1893,0.0
1894,2.2091772855503677e-11
1895,2.2091772855503677e-11
1896,2.2091772855503677e-11
1897,9.63987937093894e-11
1898,9.63987937093894e-11
1899,9.63987937093894e-11
1900,9.63987937093894e-11
1901,7.430702085388572e-11
1902,7.430702085388572e-11
1903,7.430702085388572e-11
1904,0.0
1905,0.0
1906,0.0
1907,0.0
1908,1.372445411286703e-11
1909,2.7505463184862577e-11
1910,2.7505463184862577e-11
1911,4.148339509203934e-11
1912,4.148339509203934e-11
1913,4.148339509203934e-11
1914,4.148339509203934e-11
1915,2.775894097917231e-11
1916,1.3977931907176761e-11
1917,2.794366623014101e-11
1918,1.396573432296425e-11
1919,1.396573432296425e-11
1920,1.396573432296425e-11
1921,1.396573432296425e-11
1922,1.396573432296425e-11
1923,1.396573432296425e-11
1924,0.0
1925,0.0
1926,0.0
1927,0.0
1928,0.0
1929,0.0
1930,0.0
1931,0.0
1932,0.0
1933,0.0
1934,0.0
1935,0.0
1936,2.093743234343748e-11
1937,2.093743234343748e-11
1938,1.07946435520415e-10
1939,1.07946435520415e-10
1940,1.07946435520415e-10
1941,1.07946435520415e-10
1942,1.07946435520415e-10
1943,8.700900317697752e-11
1944,8.700900317697752e-11
1945,0.0
1946,0.0
1947,0.0
1948,0.0
1949,0.0
1950,1.6919975341446657e-11
1951,1.6919975341446657e-11
1952,1.6919975341446657e-11
1953,1.6919975341446657e-11
1954,1.6919975341446657e-11
1955,1.6919975341446657e-11
1956,1.6919975341446657e-11
1957,0.0
1958,0.0
1959,0.0
1960,4.235144378052423e-11
1961,7.611815146445013e-11
1962,2.495480092409455e-10
1963,2.792595797464413e-10
1964,3.6019937429568726e-10
1965,3.9545970070038143e-10
1966,4.833904110324028e-10
1967,5.737091516141593e-10
1968,6.46220937872144e-10
1969,9.395891406186303e-10
1970,1.0063421683272266e-09
1971,1.0238622806722576e-09
1972,1.266856199309631e-09
1973,1.3852779161866685e-09
1974,2.2140130998390563e-09
1975,5.951637579596333e-09
1976,9.671820186011156e-09
1977,1.2681576645943795e-08
1978,1.4663898508158825e-08
1979,1.6011184473490355e-08
1980,1.8767152720755576e-08
1981,2.0529585523628872e-08
1982,1.879054715000653e-08
1983,2.3923321101904094e-08
1984,2.9770122240384874e-08
1985,3.751321399546116e-08
1986,4.339727307670468e-08
1987,4.514292939461484e-08
1988,4.905245022866568e-08
1989,5.3586293497736344e-08
1990,5.527798104968237e-08
1991,5.778176312024438e-08
1992,5.811855631675046e-08
1993,6.262853347038799e-08
1994,6.961968728497985e-08
1995,7.41446467397314e-08
1996,7.851560163934274e-08
1997,7.670819814263399e-08
1998,7.46691871508379e-08
1999,7.487776291067608e-08
2000,7.716332918659776e-08
2001,7.452052232435693e-08
2002,7.02446898109039e-08
2003,6.739520027768517e-08
2004,6.408048085810541e-08
2005,6.015298329283983e-08
2006,5.7102166550748734e-08
2007,5.1175162139673244e-08
2008,4.7388753492733874e-08
2009,4.604890284960155e-08
2010,4.3616090295017784e-08
2011,4.157996055401522e-08
2012,4.197418793491384e-08
2013,4.252176566410526e-08
2014,3.8799019616167895e-08
2015,4.04640714586029e-08
2016,4.4202770713549655e-08
2017,4.488797837135886e-08
2018,4.84711087267442e-08
2019,5.029097049913389e-08
