ngram,Qi,Qip,Qit,Qia,Qik,Qei,Qui
1500,1.8712539713305887e-06,0.0,0.0,0.0,0.0,0.0,0.0
1501,1.4970031770644709e-06,0.0,0.0,0.0,0.0,0.0,0.0
1502,1.2475026475537259e-06,0.0,0.0,0.0,0.0,0.0,0.0
1503,1.0692879836174792e-06,0.0,0.0,0.0,0.0,0.0,0.0
1504,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1505,6.313276961528962e-07,0.0,0.0,0.0,0.0,0.0,0.0
1506,6.313276961528962e-07,0.0,0.0,0.0,0.0,0.0,0.0
1507,6.313276961528962e-07,0.0,0.0,0.0,0.0,0.0,0.0
1508,6.313276961528962e-07,0.0,0.0,0.0,0.0,0.0,0.0
1509,6.313276961528962e-07,0.0,0.0,0.0,0.0,0.0,0.0
1510,6.313276961528962e-07,0.0,0.0,0.0,0.0,0.0,0.0
1511,6.313276961528962e-07,0.0,0.0,0.0,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1514,0.0,0.0,0.0,0.0,0.0,0.0,2.8566114451678004e-07
1515,0.0,0.0,0.0,0.0,0.0,0.0,2.8566114451678004e-07
1516,0.0,0.0,0.0,0.0,0.0,0.0,2.8566114451678004e-07
1517,0.0,0.0,0.0,0.0,0.0,0.0,8.169379270839272e-07
1518,0.0,0.0,0.0,0.0,0.0,0.0,8.169379270839272e-07
1519,0.0,0.0,0.0,0.0,0.0,0.0,8.169379270839272e-07
1520,0.0,0.0,0.0,0.0,0.0,0.0,8.169379270839272e-07
1521,0.0,0.0,0.0,0.0,0.0,0.0,5.312767825671472e-07
1522,0.0,0.0,0.0,0.0,0.0,0.0,5.312767825671472e-07
1523,0.0,0.0,0.0,0.0,0.0,0.0,5.312767825671472e-07
1524,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1525,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1526,6.356494850479066e-07,0.0,0.0,0.0,0.0,0.0,0.0
1527,6.356494850479066e-07,0.0,0.0,0.0,0.0,0.0,0.0
1528,6.356494850479066e-07,0.0,0.0,0.0,0.0,0.0,0.0
1529,6.356494850479066e-07,0.0,0.0,0.0,0.0,0.0,0.0
1530,6.356494850479066e-07,0.0,0.0,0.0,0.0,0.0,1.0205278938103999e-05
1531,6.356494850479066e-07,0.0,0.0,0.0,0.0,0.0,1.0205278938103999e-05
1532,6.356494850479066e-07,0.0,0.0,0.0,0.0,0.0,1.0205278938103999e-05
1533,0.0,0.0,0.0,0.0,0.0,0.0,1.0205278938103999e-05
1534,0.0,0.0,0.0,0.0,0.0,0.0,1.0205278938103999e-05
1535,0.0,0.0,0.0,0.0,0.0,0.0,1.0205278938103999e-05
1536,0.0,0.0,0.0,0.0,0.0,0.0,1.0205278938103999e-05
1537,0.0,0.0,0.0,0.0,0.0,0.0,3.557199878352029e-05
1538,0.0,0.0,0.0,0.0,0.0,0.0,3.557199878352029e-05
1539,0.0,0.0,0.0,0.0,0.0,0.0,3.557199878352029e-05
1540,0.0,0.0,0.0,0.0,0.0,0.0,3.557199878352029e-05
1541,0.0,0.0,0.0,0.0,0.0,0.0,3.557199878352029e-05
