ngram,Worm,Worim
1500,0.0,0.0
1501,0.0,0.0
1502,0.0,0.0
1503,0.0,0.0
1504,0.0,0.0
1505,0.0,0.0
1506,0.0,0.0
1507,0.0,0.0
1508,0.0,0.0
1509,0.0,0.0
1510,0.0,0.0
1511,0.0,0.0
1512,0.0,0.0
1513,0.0,0.0
1514,0.0,0.0
1515,0.0,0.0
1516,0.0,0.0
1517,5.312767825671472e-07,0.0
1518,5.312767825671472e-07,0.0
1519,5.312767825671472e-07,0.0
1520,5.312767825671472e-07,0.0
1521,5.312767825671472e-07,0.0
1522,5.312767825671472e-07,0.0
1523,5.312767825671472e-07,0.0
1524,0.0,0.0
1525,0.0,0.0
1526,0.0,0.0
1527,0.0,0.0
1528,0.0,0.0
1529,0.0,0.0
1530,0.0,0.0
1531,0.0,0.0
1532,0.0,0.0
1533,0.0,0.0
1534,0.0,0.0
1535,0.0,0.0
1536,0.0,0.0
1537,0.0,0.0
1538,0.0,0.0
1539,0.0,0.0
1540,0.0,0.0
1541,0.0,0.0
1542,0.0,0.0
1543,0.0,0.0
1544,0.0,0.0
1545,0.0,0.0
1546,0.0,0.0
1547,0.0,0.0
1548,0.0,0.0
1549,0.0,0.0
1550,0.0,0.0
1551,0.0,0.0
1552,0.0,0.0
1553,0.0,0.0
1554,0.0,0.0
1555,0.0,0.0
1556,0.0,0.0
1557,0.0,0.0
1558,0.0,0.0
1559,3.4384465834591538e-06,0.0
1560,3.4384465834591538e-06,0.0
1561,3.4384465834591538e-06,0.0
1562,3.4384465834591538e-06,0.0
1563,3.4384465834591538e-06,0.0
1564,3.4384465834591538e-06,0.0
1565,3.4384465834591538e-06,0.0
1566,0.0,0.0
1567,0.0,0.0
1568,0.0,0.0
1569,0.0,0.0
1570,0.0,0.0
1571,0.0,0.0
1572,0.0,0.0
1573,0.0,0.0
1574,0.0,0.0
1575,0.0,0.0
1576,0.0,0.0
1577,0.0,0.0
1578,0.0,0.0
1579,0.0,0.0
1580,0.0,0.0
1581,0.0,0.0
1582,0.0,0.0
1583,0.0,0.0
1584,0.0,0.0
1585,0.0,0.0
1586,0.0,0.0
1587,0.0,0.0
1588,0.0,0.0
1589,0.0,0.0
1590,0.0,0.0
1591,0.0,0.0
1592,0.0,0.0
1593,0.0,0.0
1594,0.0,0.0
1595,0.0,0.0
1596,0.0,0.0
1597,1.2106209266806089e-07,0.0
1598,1.2106209266806089e-07,0.0
1599,1.2106209266806089e-07,0.0
1600,1.2106209266806089e-07,0.0
1601,1.2106209266806089e-07,0.0
1602,1.2106209266806089e-07,0.0
1603,1.2106209266806089e-07,0.0
1604,0.0,0.0
1605,0.0,0.0
1606,0.0,0.0
1607,0.0,0.0
1608,0.0,0.0
1609,0.0,0.0
1610,0.0,0.0
1611,1.0241227853059951e-07,0.0
1612,1.0241227853059951e-07,0.0
1613,2.6222275956960015e-07,0.0
1614,2.6222275956960015e-07,0.0
1615,2.6222275956960015e-07,0.0
1616,9.83071824326284e-07,0.0
1617,9.83071824326284e-07,0.0
1618,8.806595457956843e-07,0.0
1619,8.806595457956843e-07,0.0
1620,8.215879786023704e-07,0.0
1621,8.215879786023704e-07,0.0
1622,8.215879786023704e-07,0.0
1623,1.0073891384568664e-07,0.0
1624,3.9940329900543604e-07,0.0
1625,3.9940329900543604e-07,0.0
1626,3.9940329900543604e-07,0.0
1627,2.986643851597494e-07,0.0
1628,2.986643851597494e-07,0.0
1629,2.986643851597494e-07,0.0
1630,2.986643851597494e-07,0.0
1631,0.0,0.0
1632,0.0,0.0
1633,1.3709279755858006e-07,0.0
1634,1.3709279755858006e-07,0.0
1635,1.3709279755858006e-07,0.0
1636,3.97626032671334e-07,0.0
1637,4.707861600244152e-07,0.0
1638,5.38121197126072e-07,0.0
1639,6.159914270093785e-07,0.0
1640,1.0957469750597478e-06,0.0
1641,1.0957469750597478e-06,0.0
1642,1.419596470343874e-06,0.0
1643,1.3397081285607522e-06,0.0
1644,1.2665480012076711e-06,0.0
1645,1.1992129641060143e-06,0.0
1646,1.1213427342227078e-06,0.0
1647,6.085399409779971e-07,0.0
1648,1.0670322987087793e-06,0.0
1649,7.431828034246532e-07,0.0
1650,2.2754231931035714e-06,0.0
1651,2.4044234367335904e-06,0.0
